"繁"	"简"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"								
"我"	"我"	"ŋu213"	"ngu4"	"【文读】"	4	213		"ng"	"u"	"ŋ"	"u"			
"餓"	"饿"	"ŋu13"	"ngu6"		6	13		"ng"	"u"	"ŋ"	"u"			
"何"	"何"	"βu22"	"vu2"	"姓。"	2	22		"v"	"u"	"β"	"u"			
"何"	"何"	"ɦɑ22"	"gha2"	"疑问词。"	2	22		"gh"	"a"	"ɦ"	"ɑ"			
"荷"	"荷"	"βu22"	"vu2"	"~花。"	2	22		"v"	"u"	"β"	"u"			
"荷"	"荷"	"ɸu35"	"fu5"	"薄~。"	5	35		"f"	"u"	"ɸ"	"u"			
"荷"	"荷"	"βu213"	"vu4"	"负~；~载；电~。"	4	213		"v"	"u"	"β"	"u"			
"賀"	"贺"	"βu13"	"vu6"		6	13		"v"	"u"	"β"	"u"			
"阿"	"阿"	"βu53"	"vu1"	"~胶；~弥陀佛。"	1	53		"v"	"u"	"β"	"u"			
"阿"	"阿"	"ɑ53"	"a1"	"人称前缀：~姨。"	1	53			"a"		"ɑ"			
"阿"	"阿"	"æʔ5"	"aeq7"	"人称前缀：~姐；~哥；~叔；~三。"	7	5			"aeq"		"æʔ"			
"茄"	"茄"	"gɑ22"	"ga2"	"~子；番~。"	2	22		"g"	"a"	"g"	"ɑ"			
"茄"	"茄"	"dʑiɑ22"	"jia2"	"~克衫。"	2	22		"j"	"ia"	"dʑ"	"iɑ"			
"波"	"波"	"ɓu53"	"pu1"		1	53		"p"	"u"	"ɓ"	"u"			
"波"	"波"	"ɓok5"	"poq7"	"宁~（浙江地名）。"	7	5		"p"	"oq"	"ɓ"	"ok"			
"菠"	"菠"	"ɓu53"	"pu1"		1	53		"p"	"u"	"ɓ"	"u"			
"頗"	"颇"	"pʰu53"	"phu1"		1	53		"ph"	"u"	"pʰ"	"u"			
"破"	"破"	"pʰu35"	"phu5"		5	35		"ph"	"u"	"pʰ"	"u"			
"婆"	"婆"	"bu22"	"bu2"		2	22		"b"	"u"	"b"	"u"			
"爸"	"爸"	"ɓɑ53"	"pa1"		1	53		"p"	"a"	"ɓ"	"ɑ"			
"摩"	"摩"	"mu22"	"mu2"		2	22		"m"	"u"	"m"	"u"			
"磨"	"磨"	"mu22"	"mu2"	"动词：~刀。"	2	22		"m"	"u"	"m"	"u"			
"磨"	"磨"	"mu13"	"mu6"	"名词：石~。"	6	13		"m"	"u"	"m"	"u"			
"魔"	"魔"	"mu22"	"mu2"		2	22		"m"	"u"	"m"	"u"			
"朵"	"朵"	"ɗu44"	"tu3"	"【白读】耳~。"	3	44		"t"	"u"	"ɗ"	"u"			
"朵"	"朵"	"ɗiɔ44"	"tiau3"	"【文读】量词。"	3	44		"t"	"iau"	"ɗ"	"iɔ"			
"妥"	"妥"	"tʰu44"	"thu3"		3	44		"th"	"u"	"tʰ"	"u"			
"惰"	"惰"	"du13"	"du6"		6	13		"d"	"u"	"d"	"u"			
"惰"	"惰"	"du213"	"du4"		4	213		"d"	"u"	"d"	"u"			
"糯"	"糯"	"nu13"	"nu6"		6	13		"n"	"u"	"n"	"u"			
"螺"	"螺"	"lu22"	"lu2"		2	22		"l"	"u"	"l"	"u"			
"坐"	"坐"	"zu213"	"zu4"		4	213		"z"	"u"	"z"	"u"			
"座"	"座"	"zu13"	"zu6"		6	13		"z"	"u"	"z"	"u"			
"蓑"	"蓑"	"su53"	"su1"		1	53		"s"	"u"	"s"	"u"			
"梭"	"梭"	"su53"	"su1"		1	53		"s"	"u"	"s"	"u"			
"鎖"	"锁"	"su44"	"su3"		3	44		"s"	"u"	"s"	"u"			
"瑣"	"琐"	"su44"	"su3"		3	44		"s"	"u"	"s"	"u"			
"過"	"过"	"ku35"	"ku5"		5	35		"k"	"u"	"k"	"u"			
"鍋"	"锅"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"			
"戈"	"戈"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"			
"果"	"果"	"ku44"	"ku3"		3	44		"k"	"u"	"k"	"u"			
"裹"	"裹"	"ku44"	"ku3"		3	44		"k"	"u"	"k"	"u"			
"科"	"科"	"kʰu53"	"khu1"		1	53		"kh"	"u"	"kʰ"	"u"			
"裸"	"裸"	"lu213"	"lu4"		4	213		"l"	"u"	"l"	"u"			
"顆"	"颗"	"kʰu53"	"khu1"		1	53		"kh"	"u"	"kʰ"	"u"			
"課"	"课"	"kʰu35"	"khu5"		5	35		"kh"	"u"	"kʰ"	"u"			
"臥"	"卧"	"ŋu13"	"ngu6"		6	13		"ng"	"u"	"ŋ"	"u"			
"火"	"火"	"ɸu44"	"fu3"		3	44		"f"	"u"	"ɸ"	"u"			
"貨"	"货"	"ɸu35"	"fu5"		5	35		"f"	"u"	"ɸ"	"u"			
"和"	"和"	"βu22"	"vu2"		2	22		"v"	"u"	"β"	"u"			
"禍"	"祸"	"βu213"	"vu4"		4	213		"v"	"u"	"β"	"u"			
"窠"	"窠"	"kʰu53"	"khu1"		1	53		"kh"	"u"	"kʰ"	"u"			
"窩"	"窝"	"βu53"	"vu1"		1	53		"v"	"u"	"β"	"u"			
"靴"	"靴"	"ɕiu53"	"shio1"		1	53		"sh"	"io"	"ɕ"	"iu"			
"瘸"	"瘸"	"dʑiu22"	"jio2"		2	22		"j"	"io"	"dʑ"	"iu"			
"巴"	"巴"	"ɓo53"	"po1"	"【白读】嘴~；尾~；~城（江苏昆山地名）。"	1	53		"p"	"o"	"ɓ"	"o"			
"巴"	"巴"	"ɓɑ53"	"pa1"	"【文读】~西；~士。"	1	53		"p"	"a"	"ɓ"	"ɑ"			
"疤"	"疤"	"ɓo53"	"po1"		1	53		"p"	"o"	"ɓ"	"o"			
"芭"	"芭"	"ɓo53"	"po1"	"【白读】~蕉。"	1	53		"p"	"o"	"ɓ"	"o"			
"芭"	"芭"	"ɓɑ53"	"pa1"	"【文读】~蕾。"	1	53		"p"	"a"	"ɓ"	"ɑ"			
"吧"	"吧"	"bɑ"	"ba"	"外语bar的音译：酒~。"				"b"	"a"	"b"	"ɑ"			
"把"	"把"	"ɓo44"	"po3"		3	44		"p"	"o"	"ɓ"	"o"			
"把"	"把"	"ɓɑ44"	"pa3"	"【文读】（只在读书时用）"	3	44		"p"	"a"	"ɓ"	"ɑ"			
"霸"	"霸"	"ɓo35"	"po5"		5	35		"p"	"o"	"ɓ"	"o"			
"怕"	"怕"	"pʰo35"	"pho5"		5	35		"ph"	"o"	"pʰ"	"o"			
"爬"	"爬"	"bo22"	"bo2"		2	22		"b"	"o"	"b"	"o"			
"杷"	"杷"	"bo22"	"bo2"		2	22		"b"	"o"	"b"	"o"			
"媽"	"妈"	"mɑ53"	"ma1"		1	53		"m"	"a"	"m"	"ɑ"			
"麻"	"麻"	"mo22"	"mo2"		2	22		"m"	"o"	"m"	"o"			
"馬"	"马"	"mo213"	"mo4"	"【白读】"	4	213		"m"	"o"	"m"	"o"			
"馬"	"马"	"mɑ213"	"ma4"	"【文读】"	4	213		"m"	"a"	"m"	"ɑ"			
"馬"	"马"	"mɑ53"	"ma1"	"【文读】~虎。"	1	53		"m"	"a"	"m"	"ɑ"			
"瑪"	"玛"	"mo213"	"mo4"	"【白读】~瑙。"	4	213		"m"	"o"	"m"	"o"			
"瑪"	"玛"	"mɑ213"	"ma4"	"【文读】多用于外语音译的人名、地名。"	4	213		"m"	"a"	"m"	"ɑ"			
"碼"	"码"	"mo213"	"mo4"		4	213		"m"	"o"	"m"	"o"			
"罵"	"骂"	"mo13"	"mo6"		6	13		"m"	"o"	"m"	"o"			
"拿"	"拿"	"nɔ22"	"nau2"	"【白读】"	2	22		"n"	"au"	"n"	"ɔ"			
"拿"	"拿"	"nɑ22"	"na2"	"【文读】加~大。"	2	22		"n"	"a"	"n"	"ɑ"			
"茶"	"茶"	"ziɔ22"	"ziau2"		2	22		"z"	"iau"	"z"	"iɔ"			
"渣"	"渣"	"tsiɔ53"	"tsiau1"		1	53		"ts"	"iau"	"ts"	"iɔ"			
"詐"	"诈"	"tsiɔ35"	"tsiau5"		5	35		"ts"	"iau"	"ts"	"iɔ"			
"炸"	"炸"	"tsiɔ35"	"tsiau5"	"爆~；~弹。"	5	35		"ts"	"iau"	"ts"	"iɔ"			
"叉"	"叉"	"tsʰiɔ53"	"tshiau1"		1	53		"tsh"	"iau"	"tsʰ"	"iɔ"			
"差"	"差"	"tsʰiɔ53"	"tshiau1"		1	53		"tsh"	"iau"	"tsʰ"	"iɔ"			
"差"	"差"	"tsʰɿ53"	"tshy1"	"参~。"	1	53		"tsh"	"y"	"tsʰ"	"ɿ"			
"岔"	"岔"	"tsʰiɔ35"	"tshiau5"		5	35		"tsh"	"iau"	"tsʰ"	"iɔ"			
"查"	"查"	"ziɔ22"	"ziau2"		2	22		"z"	"iau"	"z"	"iɔ"			
"沙"	"沙"	"siɔ53"	"siau1"		1	53		"s"	"iau"	"s"	"iɔ"			
"紗"	"纱"	"siɔ53"	"siau1"		1	53		"s"	"iau"	"s"	"iɔ"			
"灑"	"洒"	"sɑ44"	"sa3"		3	44		"s"	"a"	"s"	"ɑ"			
"釃"	"酾"	"sɑ53"	"sa1"	"倒：~酒。"	1	53		"s"	"a"	"s"	"ɑ"			
"釃"	"酾"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"			
"加"	"加"	"kɑ53"	"ka1"		1	53		"k"	"a"	"k"	"ɑ"			
"嘉"	"嘉"	"kɑ53"	"ka1"	"【白读】~定（上海地名，北宋年号）；~兴，~善，永~（浙江地名）。"	1	53		"k"	"a"	"k"	"ɑ"			
"嘉"	"嘉"	"tɕiɑ53"	"cia1"	"【文读】~奖；~庆（清朝年号）。"	1	53		"c"	"ia"	"tɕ"	"iɑ"			
"家"	"家"	"kɑ53"	"ka1"	"【白读】一~人；大~；人~。"	1	53		"k"	"a"	"k"	"ɑ"			
"家"	"家"	"tɕiɑ53"	"cia1"	"【文读】国~；~庭；~教。"	1	53		"c"	"ia"	"tɕ"	"iɑ"			
"傢"	"家"	"kɑ53"	"ka1"	"【白读】"	1	53		"k"	"a"	"k"	"ɑ"			
"傢"	"家"	"tɕiɑ53"	"cia1"	"【文读】"	1	53		"c"	"ia"	"tɕ"	"iɑ"			
"假"	"假"	"kɑ44"	"ka3"	"【白读】与“真”相对。"	3	44		"k"	"a"	"k"	"ɑ"			
"假"	"假"	"kɑ35"	"ka5"	"【白读】放~。"	5	35		"k"	"a"	"k"	"ɑ"			
"賈"	"贾"	"kɑ44"	"ka3"	"【白读】姓。"	3	44		"k"	"a"	"k"	"ɑ"			
"賈"	"贾"	"tɕiɑ44"	"cia3"	"【文读】姓。"	3	44		"c"	"ia"	"tɕ"	"iɑ"			
"賈"	"贾"	"ku44"	"ku3"	"商~。"	3	44		"k"	"u"	"k"	"u"			
"稼"	"稼"	"kɑ35"	"ka5"	"【白读】庄~；召~楼（上海闵行地名）。"	5	35		"k"	"a"	"k"	"ɑ"			
"稼"	"稼"	"tɕiɑ35"	"cia5"	"【文读】庄~。"	5	35		"c"	"ia"	"tɕ"	"iɑ"			
"嫁"	"嫁"	"kɑ35"	"ka5"	"【白读】出~。"	5	35		"k"	"a"	"k"	"ɑ"			
"嫁"	"嫁"	"tɕiɑ35"	"cia5"	"【文读】~接。"	5	35		"c"	"ia"	"tɕ"	"iɑ"			
"架"	"架"	"kɑ35"	"ka5"		5	35		"k"	"a"	"k"	"ɑ"			
"駕"	"驾"	"kɑ35"	"ka5"	"【白读】接~；接~桥（江苏苏州地名）；腾~桥（上海浦东地名）。"	5	35		"k"	"a"	"k"	"ɑ"			
"駕"	"驾"	"tɕiɑ35"	"cia5"	"【文读】~驶。"	5	35		"c"	"ia"	"tɕ"	"iɑ"			
"價"	"价"	"kɑ35"	"ka5"	"【白读】~钱（俗写作“~钿”）。"	5	35		"k"	"a"	"k"	"ɑ"			
"價"	"价"	"tɕiɑ35"	"cia5"	"【文读】~格；~值。"	5	35		"c"	"ia"	"tɕ"	"iɑ"			
"牙"	"牙"	"ŋɑ22"	"nga2"		2	22		"ng"	"a"	"ŋ"	"ɑ"			
"芽"	"芽"	"ŋɑ22"	"nga2"		2	22		"ng"	"a"	"ŋ"	"ɑ"			
"衙"	"衙"	"ŋɑ22"	"nga2"		2	22		"ng"	"a"	"ŋ"	"ɑ"			
"雅"	"雅"	"iɑ44"	"ia3"	"【文读】"	3	44			"ia"		"iɑ"			
"霞"	"霞"	"iɑ53"	"ia1"	"【文读】"	1	53			"ia"		"iɑ"			
"下"	"下"	"ɦɔ213"	"ghau4"	"【白读】"	4	213		"gh"	"au"	"ɦ"	"ɔ"			
"下"	"下"	"ɦiɑ213"	"ya4"	"【文读】陛~。"	4	213		"y"	"a"	"ɦ"	"iɑ"			
"夏"	"夏"	"ɦɔ213"	"ghau4"	"姓；朝代名。"	4	213		"gh"	"au"	"ɦ"	"ɔ"			
"夏"	"夏"	"ɦɔ13"	"ghau6"	"季节。"	6	13		"gh"	"au"	"ɦ"	"ɔ"			
"鴉"	"鸦"	"ɔ53"	"au1"	"【白读】老~；水老~；~鹊。"	1	53			"au"		"ɔ"			
"鴉"	"鸦"	"iɑ53"	"ia1"	"【文读】~片；涂~。"	1	53			"ia"		"iɑ"			
"丫"	"丫"	"ɔ53"	"au1"		1	53			"au"		"ɔ"			
"啞"	"哑"	"ɔ44"	"au3"	"【白读】~巴。"	3	44			"au"		"ɔ"			
"啞"	"哑"	"iɑ44"	"ia3"	"【文读】沙~。"	3	44			"ia"		"iɑ"			
"亞"	"亚"	"ɔ53"	"au1"	"【白读】~细~；东~饭店。"	1	53			"au"		"ɔ"			
"亞"	"亚"	"iɑ53"	"ia1"	"【文读】~洲。"	1	53			"ia"		"iɑ"			
"姐"	"姐"	"tsiɑ44"	"tsia3"	"【白读】"	3	44		"ts"	"ia"	"ts"	"iɑ"			
"姐"	"姐"	"tsi44"	"tsi3"	"【文读】"	3	44		"ts"	"i"	"ts"	"i"			
"借"	"借"	"tsiɑ35"	"tsia5"		5	35		"ts"	"ia"	"ts"	"iɑ"			
"且"	"且"	"tsʰiɑ44"	"tshia3"	"【白读】"	3	44		"tsh"	"ia"	"tsʰ"	"iɑ"			
"且"	"且"	"tsʰi44"	"tshi3"	"【文读】而~。"	3	44		"tsh"	"i"	"tsʰ"	"i"			
"笡"	"笡"	"tsʰiɑ35"	"tshia5"	"斜。"	5	35		"tsh"	"ia"	"tsʰ"	"iɑ"			
"寫"	"写"	"siɑ44"	"sia3"		3	44		"s"	"ia"	"s"	"iɑ"			
"瀉"	"泻"	"siɑ35"	"sia5"		5	35		"s"	"ia"	"s"	"iɑ"			
"卸"	"卸"	"siɑ35"	"sia5"		5	35		"s"	"ia"	"s"	"iɑ"			
"邪"	"邪"	"ziɑ22"	"zia2"		2	22		"z"	"ia"	"z"	"iɑ"			
"邪"	"邪"	"ɦiɑ22"	"ya2"	"莫~。"	2	22		"y"	"a"	"ɦ"	"iɑ"			
"斜"	"斜"	"ziɑ22"	"zia2"		2	22		"z"	"ia"	"z"	"iɑ"			
"謝"	"谢"	"ziɑ13"	"zia6"		6	13		"z"	"ia"	"z"	"iɑ"			
"爹"	"爹"	"ɗiɑ53"	"tia1"		1	53		"t"	"ia"	"ɗ"	"iɑ"			
"遮"	"遮"	"tsiɔ53"	"tsiau1"		1	53		"ts"	"iau"	"ts"	"iɔ"			
"遮"	"遮"	"tsɑ53"	"tsa1"	"奢~（聪明）。"	1	53		"ts"	"a"	"ts"	"ɑ"			
"者"	"者"	"tse44"	"tse3"	"【文读】作~；知乎~也；或~。"	3	44		"ts"	"e"	"ts"	"e"			
"蔗"	"蔗"	"tsiɔ35"	"tsiau5"		5	35		"ts"	"iau"	"ts"	"iɔ"			
"車"	"车"	"tsʰiɔ53"	"tshiau1"		1	53		"tsh"	"iau"	"tsʰ"	"iɔ"			
"車"	"车"	"tsʰø53"	"tshoe1"	"“车”的儿化音。"	1	53		"tsh"	"oe"	"tsʰ"	"ø"			
"車"	"车"	"tɕy53"	"ciu1"	"象棋棋子。"	1	53		"c"	"iu"	"tɕ"	"y"			
"扯"	"扯"	"tsʰɑ44"	"tsha3"		3	44		"tsh"	"a"	"tsʰ"	"ɑ"			
"蛇"	"蛇"	"ziɔ22"	"ziau2"		2	22		"z"	"iau"	"z"	"iɔ"			
"射"	"射"	"ziɔ13"	"ziau6"	"【白读】~击。"	6	13		"z"	"iau"	"z"	"iɔ"			
"射"	"射"	"ze13"	"ze6"	"【文读】高~炮；~阳（江苏地名）。"	6	13		"z"	"e"	"z"	"e"			
"射"	"射"	"zɒk23"	"zaoq8"	"~箭。"	8	23		"z"	"aoq"	"z"	"ɒk"			
"射"	"射"	"zɑ13"	"za6"	"排泄。"	6	13		"z"	"a"	"z"	"ɑ"			
"賒"	"赊"	"siɔ53"	"siau1"		1	53		"s"	"iau"	"s"	"iɔ"			
"舍"	"舍"	"siɔ35"	"siau5"	"【白读】"	5	35		"s"	"iau"	"s"	"iɔ"			
"舍"	"舍"	"se35"	"se5"	"【文读】宿~。"	5	35		"s"	"e"	"s"	"e"			
"舍"	"舍"	"se35"	"se5"	"杨~（亦作“杨扇”，上海青浦地名）。可能是“舍”的儿化音。"	5	35		"s"	"e"	"s"	"e"			
"捨"	"舍"	"siɔ44"	"siau3"	"~勿得。"	3	44		"s"	"iau"	"s"	"iɔ"			
"厙"	"厍"	"siɔ35"	"siau5"		5	35		"s"	"iau"	"s"	"iɔ"			
"赦"	"赦"	"siɔ35"	"siau5"		5	35		"s"	"iau"	"s"	"iɔ"			
"社"	"社"	"ziɔ13"	"ziau6"		6	13		"z"	"iau"	"z"	"iɔ"			
"喏"	"喏"	"ziɔ213"	"ziau4"	"唱~（拜祖宗）。"	4	213		"z"	"iau"	"z"	"iɔ"			
"惹"	"惹"	"zɑ213"	"za4"		4	213		"z"	"a"	"z"	"ɑ"			
"爺"	"爷"	"ɦiɑ22"	"ya2"		2	22		"y"	"a"	"ɦ"	"iɑ"			
"耶"	"耶"	"ɦiɑ22"	"ya2"		2	22		"y"	"a"	"ɦ"	"iɑ"			
"椰"	"椰"	"ɦiɑ22"	"ya2"		2	22		"y"	"a"	"ɦ"	"iɑ"			
"揶"	"揶"	"ɦiɑ22"	"ya2"		2	22		"y"	"a"	"ɦ"	"iɑ"			
"也"	"也"	"ɦɑ213"	"gha4"	"【白读】"	4	213		"gh"	"a"	"ɦ"	"ɑ"			
"也"	"也"	"ɦiɛ213"	"yae4"	"【文读】"	4	213		"y"	"ae"	"ɦ"	"iɛ"			
"野"	"野"	"ɦiɑ213"	"ya4"		4	213		"y"	"a"	"ɦ"	"iɑ"			
"冶"	"冶"	"ɦiɑ213"	"ya4"	"【白读】"	4	213		"y"	"a"	"ɦ"	"iɑ"			
"冶"	"冶"	"ɦi213"	"yi4"	"【文读】"	4	213		"y"	"i"	"ɦ"	"i"			
"夜"	"夜"	"ɦiɑ13"	"ya6"		6	13		"y"	"a"	"ɦ"	"iɑ"			
"瓜"	"瓜"	"kuo53"	"kuo1"		1	53		"k"	"uo"	"k"	"uo"			
"寡"	"寡"	"kuo44"	"kuo3"		3	44		"k"	"uo"	"k"	"uo"			
"誇"	"夸"	"kʰuo53"	"khuo1"		1	53		"kh"	"uo"	"kʰ"	"uo"			
"垮"	"垮"	"kʰuo44"	"khuo3"		3	44		"kh"	"uo"	"kʰ"	"uo"			
"跨"	"跨"	"kʰuo35"	"khuo5"		5	35		"kh"	"uo"	"kʰ"	"uo"			
"瓦"	"瓦"	"ŋɔ213"	"ngau4"		4	213		"ng"	"au"	"ŋ"	"ɔ"			
"花"	"花"	"ɸo53"	"fo1"		1	53		"f"	"o"	"ɸ"	"o"			
"化"	"化"	"ɸo35"	"fo5"		5	35		"f"	"o"	"ɸ"	"o"			
"華"	"华"	"βo22"	"vo2"		2	22		"v"	"o"	"β"	"o"			
"華"	"华"	"ɸo53"	"fo1"	"龙~，法~（上海徐汇地名）；法~桥（上海奉贤地名）。"	1	53		"f"	"o"	"ɸ"	"o"			
"劃"	"划"	"βo22"	"vo2"	"~船。"	2	22		"v"	"o"	"β"	"o"			
"補"	"补"	"ɓu44"	"pu3"		3	44		"p"	"u"	"ɓ"	"u"			
"譜"	"谱"	"ɓu44"	"pu3"		3	44		"p"	"u"	"ɓ"	"u"			
"布"	"布"	"ɓu35"	"pu5"		5	35		"p"	"u"	"ɓ"	"u"			
"鋪"	"铺"	"pʰu53"	"phu1"		1	53		"ph"	"u"	"pʰ"	"u"			
"普"	"普"	"pʰu44"	"phu3"		3	44		"ph"	"u"	"pʰ"	"u"			
"浦"	"浦"	"pʰu44"	"phu3"		3	44		"ph"	"u"	"pʰ"	"u"			
"蒲"	"蒲"	"bu22"	"bu2"		2	22		"b"	"u"	"b"	"u"			
"菩"	"菩"	"bu22"	"bu2"		2	22		"b"	"u"	"b"	"u"			
"部"	"部"	"bu213"	"bu4"		4	213		"b"	"u"	"b"	"u"			
"簿"	"簿"	"bu213"	"bu4"		4	213		"b"	"u"	"b"	"u"			
"捕"	"捕"	"bu13"	"bu6"		6	13		"b"	"u"	"b"	"u"			
"步"	"步"	"bu13"	"bu6"		6	13		"b"	"u"	"b"	"u"			
"模"	"模"	"mu22"	"mu2"		2	22		"m"	"u"	"m"	"u"			
"暮"	"暮"	"mu13"	"mu6"		6	13		"m"	"u"	"m"	"u"			
"慕"	"慕"	"mu13"	"mu6"		6	13		"m"	"u"	"m"	"u"			
"墓"	"墓"	"mu13"	"mu6"		6	13		"m"	"u"	"m"	"u"			
"墓"	"墓"	"m̩13"	"m6"	"陆~（江苏苏州地名）；严~（江苏吴江地名）；陈~（江苏昆山地名）。"	6	13			"m"		"m̩"			
"募"	"募"	"mu13"	"mu6"		6	13		"m"	"u"	"m"	"u"			
"都"	"都"	"ɗu53"	"tu1"		1	53		"t"	"u"	"ɗ"	"u"			
"賭"	"赌"	"ɗu44"	"tu3"		3	44		"t"	"u"	"ɗ"	"u"			
"堵"	"堵"	"ɗu44"	"tu3"		3	44		"t"	"u"	"ɗ"	"u"			
"肚"	"肚"	"ɗu44"	"tu3"	"胃：牛~；猪~。"	3	44		"t"	"u"	"ɗ"	"u"			
"妒"	"妒"	"ɗu35"	"tu5"		5	35		"t"	"u"	"ɗ"	"u"			
"土"	"土"	"tʰu44"	"thu3"		3	44		"th"	"u"	"tʰ"	"u"			
"吐"	"吐"	"tʰu44"	"thu3"		3	44		"th"	"u"	"tʰ"	"u"			
"兔"	"兔"	"tʰu35"	"thu5"		5	35		"th"	"u"	"tʰ"	"u"			
"徒"	"徒"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"途"	"途"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"塗"	"涂"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"圖"	"图"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"屠"	"屠"	"du22"	"du2"		2	22		"d"	"u"	"d"	"u"			
"杜"	"杜"	"du213"	"du4"		4	213		"d"	"u"	"d"	"u"			
"肚"	"肚"	"du213"	"du4"	"腹部：~皮。"	4	213		"d"	"u"	"d"	"u"			
"度"	"度"	"du13"	"du6"		6	13		"d"	"u"	"d"	"u"			
"渡"	"渡"	"du13"	"du6"		6	13		"d"	"u"	"d"	"u"			
"鍍"	"镀"	"du13"	"du6"		6	13		"d"	"u"	"d"	"u"			
"奴"	"奴"	"nu22"	"nu2"		2	22		"n"	"u"	"n"	"u"			
"努"	"努"	"nu213"	"nu4"		4	213		"n"	"u"	"n"	"u"			
"怒"	"怒"	"nu13"	"nu6"		6	13		"n"	"u"	"n"	"u"			
"盧"	"卢"	"lu22"	"lu2"		2	22		"l"	"u"	"l"	"u"			
"爐"	"炉"	"lu22"	"lu2"		2	22		"l"	"u"	"l"	"u"			
"蘆"	"芦"	"lu22"	"lu2"		2	22		"l"	"u"	"l"	"u"			
"擼"	"撸"	"lu213"	"lu4"		4	213		"l"	"u"	"l"	"u"			
"魯"	"鲁"	"lu213"	"lu4"		4	213		"l"	"u"	"l"	"u"			
"櫓"	"橹"	"lu213"	"lu4"		4	213		"l"	"u"	"l"	"u"			
"露"	"露"	"lu13"	"lu6"		6	13		"l"	"u"	"l"	"u"			
"路"	"路"	"lu13"	"lu6"		6	13		"l"	"u"	"l"	"u"			
"租"	"租"	"tsu53"	"tsu1"		1	53		"ts"	"u"	"ts"	"u"			
"祖"	"祖"	"tsu44"	"tsu3"		3	44		"ts"	"u"	"ts"	"u"			
"組"	"组"	"tsu44"	"tsu3"		3	44		"ts"	"u"	"ts"	"u"			
