// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	pf	pfʰ	f	v	t	tʰ	n	l	ts	tsʰ	s	k	kʰ	x
@FIN	ei
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
ç	iæ̃	陽平	銜 閑{新派} 咸{~陽(地名)，~菜} 涎{垂~} 賢 嫌 弦
ç	iæ̃	上聲	顯 險 鮮{朝~} 蘚
ç	iæ̃	去聲	陷 餡 限 線 線 腺{腮~} 炎 線 憲 獻 現 縣
∅	iæ̃	陰平	言{語~} 焉{心不在~} 煙 燕{~京}
∅	iæ̃	陽平	閻 閻 顏{姓} 鹽 岩{~老鼠，指蝙蝠} 延 筵 言{發~} 研 沿
∅	iæ̃	上聲	演
∅	iæ̃	去聲	炎 厭 雁 閹 宴 諺 堰 硯 燕{~子} 焰 驗 咽
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	t	tʰ	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iŋ
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	iŋ	陰平	冰 兵
p	iŋ	上聲	秉 丙 柄 餅
p	iŋ	去聲	並 併
pʰ	iŋ	陰平	乒{~乒球}
pʰ	iŋ	陽平	平 坪{草~} 評 瓶 屏{~障} 萍 蘋
pʰ	iŋ	去聲	病
m	iŋ	陽平	鳴 銘{~刻} 名 明{新派}
m	iŋ	上聲	銘{~文}
m	iŋ	去聲	命
t	iŋ	陰平	丁 釘{~子} 耵 叮{~咬}
t	iŋ	上聲	頂 鼎
t	iŋ	去聲	釘{~住} 訂 預{~定}
tʰ	iŋ	陰平	聽{~話} 廳 汀
tʰ	iŋ	陽平	停 亭 庭 廷 蜓{蜻~}
tʰ	iŋ	上聲	艇 挺
tʰ	iŋ	去聲	錠{~銀子} 聽{~其自然，~認}
l	iŋ	陽平	陵 菱 凌 靈 零 鈴 伶 翎 齡 領{名詞，~導}
l	iŋ	上聲	領{~子} 嶺
l	iŋ	去聲	另 令
tɕ	iŋ	陰平	驚 荊 京 鯨 精 品 睛 經 更{三~半夜}
tɕ	iŋ	上聲	景 警 井
tɕ	iŋ	去聲	莖 境 敬 竟 鏡 脛 頸 徑 勁{~敵}
tɕʰ	iŋ	陰平	卿 清 輕{~重，年~，青} 蜻
tɕʰ	iŋ	陽平	晴 情 擎
tɕʰ	iŋ	上聲	傾 頃 請{~客}
tɕʰ	iŋ	去聲	慶 靜 淨{新派} 靖 罄 競{~爭}
ȵ	iŋ	陽平	凝 迎{~人，形容友好可親的樣子：歡~} 擰 寧{~靜}
ȵ	iŋ	上聲	影{~子} 佞
ȵ	iŋ	去聲	硬 應{~對} 寧{~可} 映
ɕ	iŋ	陰平	興{~旺} 星 腥
ɕ	iŋ	陽平	行{~為} 形 型 刑 陘
ɕ	iŋ	上聲	省{反~} 醒
ɕ	iŋ	去聲	興{高~} 幸 姓 性 杏
∅	iŋ	陰平	應{~該} 鷹 鶯 鸚 櫻 英 嬰 纓
∅	iŋ	陽平	蠅{~子} 盈 贏 營 瑩 螢 滎{地名，~陽}
∅	iŋ	上聲	穎 影{皮~戲}
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iɑ
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	iɑ	陰平	□{貼：~在牆上}
pʰ	iɑ	上聲	□{損人用語，~氣}
tɕ	iɑ	陰平	家 加 痂 枷{~鎖} 嘉 佳 夾{襖~襖，~層} 甲 胛 稼
tɕ	iɑ	上聲	假{真~，放~} 賈
tɕ	iɑ	去聲	架 駕 嫁 價
tɕʰ	iɑ	陰平	掐
tɕʰ	iɑ	陽平	茄 □{「去啊」的合音詞}
tɕʰ	iɑ	上聲	卡{~子}
tɕʰ	iɑ	去聲	恰{裾娃~子：尿布} 洽{~談，融~}
ȵ	iɑ	陰平	壓 押 鴨 伢{毛~娃：小孩子} 椏{枝~} 軋{~鋼} □{指示代詞：人家}
ȵ	iɑ	陽平	牙 芽 衙
ȵ	iɑ	上聲	啞
ȵ	iɑ	去聲	念{~書}
ɕ	iɑ	陰平	蝦 瞎
ɕ	iɑ	陽平	斜{插~：抄近路} 狹 峽 挾{要~} 轄 霞 瑕 遐 暇 俠
ɕ	iɑ	上聲	卸 厦{~門} 夏{姓氏}
∅	iɑ	陰平	鴉 呀
∅	iɑ	陽平	爺 涯
∅	iɑ	上聲	哪{~搭：詢問哪裡} 雅 也{~去，~是} 丫{~頭} 野
∅	iɑ	去聲	夜{~黑了} 亞
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iɑŋ
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	iɑŋ	陽平	□{~~面：陝西特產寬長形的軟麵條}
l	iɑŋ	陽平	良 涼 糧 梁 粱 量{~長短，動詞}
l	iɑŋ	上聲	兩
l	iɑŋ	去聲	亮 諒 晾 量{數~，名詞} 輛
tɕ	iɑŋ	陰平	將{~來} 疆 僵 韁 姜 江 豇{~豆}
tɕ	iɑŋ	上聲	蔣 獎 槳 講 耩{~地}
tɕ	iɑŋ	去聲	漿{~糊} 將{大~} 醬 降{下~}
tɕʰ	iɑŋ	陰平	槍 羌 腔 強{~人所難}
tɕʰ	iɑŋ	陽平	牆 強{~大}
tɕʰ	iɑŋ	上聲	搶 嗆 腔{~子，一種民間戲} 強{勉~}
tɕʰ	iɑŋ	去聲	匠 強{倔~}
ȵ	iɑŋ	陰平	秧{插~} 殃
ȵ	iɑŋ	陽平	娘
ȵ	iɑŋ	上聲	仰{~面}
ȵ	iɑŋ	去聲	釀{新派}
ɕ	iɑŋ	陰平	相{~互} 箱 廂 湘 襄 鑲 香 鄉
ɕ	iɑŋ	陽平	詳 祥 降{投~}
ɕ	iɑŋ	上聲	想 享 響 餉
ɕ	iɑŋ	去聲	像 象 橡 相{~機} 向
∅	iɑŋ	陰平	央 秧{~歌}
∅	iɑŋ	陽平	陽 羊 洋 烊 楊 揚 瘍
∅	iɑŋ	上聲	養{餵~} 癢
∅	iɑŋ	去聲	樣 映
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	f	tɕ	ɕ	∅
@FIN	iɛ
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
f	iɛ	陰平	說
tɕ	iɛ	陰平	秸{麥~稈} 街{~道} 皆
tɕ	iɛ	上聲	解{~了：知道了}
tɕ	iɛ	去聲	介 界 芥 疥 屆 戒 械{機~}
ɕ	iɛ	陽平	諧 鞋
ɕ	iɛ	去聲	蟹 懈 解{姓~}
∅	iɛ	陽平	涯{天~}
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	t	tʰ	l	tɕ	tɕʰ	n̠ʲ	ɕ	∅
@FIN	iᴇ
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	iᴇ	陰平	鱉 憋 □{扇耳光，~死你}
p	iᴇ	陽平	別{區~，離~}
p	iᴇ	去聲	蓖{~麻} 蹩 蹦{獨用}
pʰ	iᴇ	陰平	撇{筆劃名稱，一~一捺}
pʰ	iᴇ	陽平	蘋{草~} 別{~針}
pʰ	iᴇ	上聲	撇{~開；表扔掉，~咧}
m	iᴇ	陰平	滅
m	iᴇ	陽平	明{~兒：明天，天~：天亮了}
t	iᴇ	陰平	跌 滴{一~水} 爹 疔{補~}
t	iᴇ	陽平	咥{猛吃}
tʰ	iᴇ	陰平	帖 貼 鐵 聽{~不著}
tʰ	iᴇ	陽平	碟 蝶 疊 牒 諜
tʰ	iᴇ	去聲	錠{老派，一~錢}
l	iᴇ	陰平	列 烈 裂 獵
l	iᴇ	去聲	趔{~趄} 另{單~：單獨}
tɕ	iᴇ	陰平	接 皆 今{~兒：今天} 揭 潔{~淨}
tɕ	iᴇ	陽平	姐{面稱} 節 結
tɕ	iᴇ	上聲	井{老派} 姐{背稱}
tɕ	iᴇ	去聲	借
tɕʰ	iᴇ	陰平	怯{輕~重，年~~的} 切
tɕʰ	iᴇ	陽平	捷{便~} 劫 傑{~出} 截{~面} 晴{天~咧}
tɕʰ	iᴇ	上聲	且 □{~蓮：菜名}
tɕʰ	iᴇ	去聲	淨{~得太} 妾 竊
n̠ʲ	iᴇ	陰平	鑷 聶 躡 孽 攆 捏 業
n̠ʲ	iᴇ	陽平	蔫{發~：形容呆呆傻傻}
ɕ	iᴇ	陰平	些 薛 蠍 歇 血 馨
ɕ	iᴇ	陽平	諧 邪 斜 脅 協 穴{洞~}
ɕ	iᴇ	上聲	寫 屑{木~}
ɕ	iᴇ	去聲	瀉 謝 泄 沓{屑不~}
∅	iᴇ	陰平	葉 頁 噎 □{“一個”的合音}
∅	iᴇ	陽平	贏{~了}
∅	iᴇ	上聲	曳 野{~外} 魘
∅	iᴇ	去聲	液 夜
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	l	tɕ	tɕʰ	ȵ	ɕ	∅
@FIN	iẽ
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	iẽ	陰平	彬 賓
p	iẽ	去聲	鬢 殯
pʰ	iẽ	陽平	貧 頻 憑
pʰ	iẽ	上聲	品 拼{~命}
pʰ	iẽ	去聲	聘 姘{~頭}
m	iẽ	陽平	民
m	iẽ	上聲	閩 抿 敏 憫 皿
l	iẽ	陰平	拎{~東西}
l	iẽ	陽平	林 淋{新派} 臨 鱗 鄰 燐
l	iẽ	上聲	懔
l	iẽ	去聲	賃 吝{~嗇} 惏{~人：讓人感到不舒服}
tɕ	iẽ	陰平	今 金 襟 津 巾 斤 筋
tɕ	iẽ	上聲	錦 僅 緊 謹
tɕ	iẽ	去聲	禁 進 晉 勁{有~勁}
tɕʰ	iẽ	陰平	親 欽
tɕʰ	iẽ	陽平	琴 擒 禽 秦 勤 芹
tɕʰ	iẽ	上聲	寢 浸{~泡} □{嘔吐} 侵{~略}
tɕʰ	iẽ	去聲	妗 盡{~頭} 近
ȵ	iẽ	陰平	陰 音 蔭
ȵ	iẽ	陽平	吟 銀 齦{老鼠~}
ȵ	iẽ	上聲	飲{~酒} 隱
ȵ	iẽ	去聲	窨{地~子}
ɕ	iẽ	陰平	心 辛 新 薪 欣 馨
ɕ	iẽ	陽平	尋
ɕ	iẽ	去聲	信 訊 釁 迅 芯{花~} □{~~：形容人膽大無忌憚}
∅	iẽ	陰平	因 姻 洇 殷 湮
∅	iẽ	陽平	淫 寅 勻
∅	iẽ	上聲	引 尹
∅	iẽ	去聲	印 孕
// HSD Syllabary Data Partition
// 地区：陝西省-渭南市-大荔縣-朝邑鎮
// 来源：段蓓蕾《大荔（朝邑）方言語音研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	陝西省-渭南市-大荔縣-朝邑鎮
@SRC	段蓓蕾《大荔（朝邑）方言語音研究》

@INI	p	pʰ	m	pf	pfʰ	f	v
@FIN	o
@TON	陰平	31
@TON	陽平	24
@TON	上聲	53
@TON	上聲	52
@TON	去聲	55

// Initial	Final	Tone	CharList (Space separated)
p	o	陰平	撥 鈸 鐃{~：一種樂器} 餑 剝{~皮} 駁 玻{~璃} 缽
p	o	陽平	搏
p	o	上聲	跛{~子} 簸{~一~}
p	o	去聲	簸{~箕}
pʰ	o	陰平	潑{~煩：麻煩，多事} 勃 菠{~蘿，~菜} 波{~浪} 坡 布展{~：抹布} 泊{梁山~}
pʰ	o	陽平	薄{~荷，~厚} 婆 脖{~項}
pʰ	o	去聲	破
m	o	陰平	末 沫 沒{沈~，~有} 莫 默
m	o	陽平	魔 磨{~刀} 摩 饃{~~：饅頭} 驀{臨~}
m	o	上聲	抹{~掉} 膜 薄{~} 模{~子} 寞{~寂}
m	o	去聲	磨{~面，石~} 模{~範} 驀{~彷} 饃{獨用}
pf	o	陰平	桌 捉 拙
pf	o	陽平	濁
pfʰ	o	陰平	戳 綽{~~有餘}
pfʰ	o	陽平	酌 卓 琢{~磨} 涿 啄{~木鳥} 鐲{~子}
f	o	陰平	佛 仿{~縮}
f	o	陽平	佛{~祖}
f	o	上聲	所{派出~，老派}
v	o	陰平	物 勿 握 忘{~了}
// HSD Syllabary Data Partition
