"請同時收錄甲乙兩列字，因爲部分不是繁簡關係，只是釋義相同，謝謝！"	""	""	""	""	""
"zha"	"tʃɑ"	"7"	"隻"	""	""
"zha"	"tʃɑ"	"7"	"只"	""	""
"cha"	"tʃʰɑ"	"1"	"畬"	""	"姜～：地名"
"cha"	"tʃʰɑ"	"1"	"車"	""	""
"cha"	"tʃʰɑ"	"3"	"扯"	""	""
"cha"	"tʃʰɑ"	"6"	"哆"	""	"張開口：笑得一～起"
"cha"	"tʃʰɑ"	"7"	"尺"	""	""
"sha"	"ʃɑ"	"1"	"賒"	""	""
"sha"	"ʃɑ"	"2"	"蛇"	""	""
"sha"	"ʃɑ"	"3"	"舍"	""	"～不得"
"sha"	"ʃɑ"	"5"	"射"	""	"～石頭；～媚眼"
"sha"	"ʃɑ"	"6"	"射"	""	"～火子星：流星"
"sha"	"ʃɑ"	"6"	"社"	""	"～戲；～火"
"ra"	"ɹɑ"	"3"	"惹"	""	""
"ga"	"kɑ"	"1"	"枷"	""	""
"ga"	"kɑ"	"1"	"跏"	""	""
"ga"	"kɑ"	"1"	"家"	""	""
"ga"	"kɑ"	"1"	"痂"	""	"～子"
"ga"	"kɑ"	"2"	"蛤"	""	"～蟆：青蛙"
"ga"	"kɑ"	"3"	"賈"	""	""
"ga"	"kɑ"	"3"	"贾"	""	""
"ga"	"kɑ"	"3"	"寡"	""	"～白底：很白"
"ga"	"kɑ"	"3"	"噶"	""	"助詞，表完成"
"ga"	"kɑ"	"5"	"架"	""	""
"ga"	"kɑ"	"5"	"嫁"	""	""
"ga"	"kɑ"	"5"	"駕"	""	""
"ga"	"kɑ"	"6"	"嘎"	""	"因筆不好寫或紙粗糙，書寫不流利"
"ga"	"kɑ"	"6"	"㐄"	""	"跨也：～過去"
"ga"	"kɑ"	"7"	"嘎"	""	""
"ga"	"kɑ"	"7"	"軋"	""	""
"ga"	"kɑ"	"7"	"轧"	""	""
"ga"	"kɑ"	"7"	"釓"	""	""
"ga"	"kɑ"	"7"	"钆"	""	""
"ga"	"kɑ"	"7"	"呷"	""	""
"ga"	"kɑ"	"7"	"夾"	""	""
"ga"	"kɑ"	"7"	"甲"	""	""
"ga"	"kɑ"	"7"	"胳"	""	"～肢窩"
"ka"	"kʰɑ"	"1"	"咖"	""	""
"ka"	"kʰɑ"	"1"	"揢"	""	""
"ka"	"kʰɑ"	"1"	"哈"	""	""
"ka"	"kʰɑ"	"1"	"抲"	""	"用手的虎口緊緊扼住：～喉嚨"
"ka"	"kʰɑ"	"3"	"卡"	""	""
"ka"	"kʰɑ"	"5"	"胯"	""	"～襠"
"ka"	"kʰɑ"	"7"	"喀"	""	""
"ka"	"kʰɑ"	"7"	"掐"	""	""
"ka"	"kʰɑ"	"7"	"恰"	""	""
"nga"	"ŋɑ"	"1"	"丫"	""	"口一～"
"nga"	"ŋɑ"	"1"	"椏"	""	"樹～"
"nga"	"ŋɑ"	"1"	"疨"	""	"～痄：病痛"
"nga"	"ŋɑ"	"2"	"伢"	""	"～子"
"nga"	"ŋɑ"	"2"	"𤘅"	""	""
"nga"	"ŋɑ"	"2"	"牙"	""	""
"nga"	"ŋɑ"	"2"	"芽"	""	""
"nga"	"ŋɑ"	"3"	"啞"	""	""
"nga"	"ŋɑ"	"3"	"唖"	""	""
"nga"	"ŋɑ"	"3"	"哑"	""	""
"nga"	"ŋɑ"	"5"	"咬"	""	""
"nga"	"ŋɑ"	"5"	"𧧝"	""	"～𧨊：性情乖戾，喜歡扯皮"
"nga"	"ŋɑ"	"5"	"軋"	""	"～尖：固定鋤頭底小鐵塊"
"nga"	"ŋɑ"	"5"	"軛"	""	"牛～"
"nga"	"ŋɑ"	"6"	"砑"	""	"滾壓；拖延"
"nga"	"ŋɑ"	"7"	"壓"	""	""
"nga"	"ŋɑ"	"7"	"鴨"	""	""
"nga"	"ŋɑ"	"7"	"鸭"	""	""
"xa"	"xɑ"	"1"	"哈"	""	""
"xa"	"xɑ"	"1"	"疨"	""	""
"xa"	"xɑ"	"1"	"蝦"	""	""
"xa"	"xɑ"	"1"	"虾"	""	""
"xa"	"xɑ"	"1"	"花"	""	"麻～"
"xa"	"xɑ"	"2"	"蝦"	""	""
"xa"	"xɑ"	"2"	"虾"	""	""
"xa"	"xɑ"	"3"	"哈"	""	"～寶：傻子"
"xa"	"xɑ"	"3"	"哈"	""	"～啾：噴嚏"
"xa"	"xɑ"	"6"	"下"	""	""
"xa"	"xɑ"	"7"	"瞎"	""	""
"a"	"ɑ"	"1"	"阿"	""	""
"a"	"ɑ"	"1"	"啊"	""	""
"a"	"ɑ"	"1"	"錒"	""	""
"a"	"ɑ"	"1"	"锕"	""	""
"a"	"ɑ"	"3"	"阿"	""	""
"a"	"ɑ"	"7"	"嗄"	""	""
"a"	"ɑ"	"7"	"阿"	""	""
"bia"	"pjɑ"	"7"	"壁"	""	""
"pia"	"pʰjɑ"	"7"	"撇"	""	"～淡底：很淡"
"pia"	"pʰjɑ"	"7"	"劈"	""	""
"dia"	"tjɑ"	"1"	"爹"	""	"～～：祖父"
"dia"	"tjɑ"	"2"	"提"	""	""
"dia"	"tjɑ"	"7"	"滴"	""	""
"tia"	"tʰjɑ"	"7"	"踢"	""	""
"tia"	"tʰjɑ"	"7"	"締"	""	"繫：把鞋帶子～緊"
"lia"	"l̃jɑ"	"7"	"栗"	""	""
"zia"	"tsjɑ"	"1"	"嗟"	""	""
"zia"	"tsjɑ"	"2"	"斜"	""	""
"zia"	"tsjɑ"	"3"	"姐"	""	""
"zia"	"tsjɑ"	"5"	"借"	""	""
"zia"	"tsjɑ"	"6"	"謝"	""	"姓"
"zia"	"tsjɑ"	"7"	"節"	""	""
"zia"	"tsjɑ"	"7"	"节"	""	""
"cia"	"tsʰjɑ"	"7"	"緝"	""	""
"cia"	"tsʰjɑ"	"7"	"缉"	""	""
"sia"	"sjɑ"	"1"	"些"	""	""
"sia"	"sjɑ"	"2"	"斜"	""	""
"sia"	"sjɑ"	"3"	"寫"	""	""
"sia"	"sjɑ"	"3"	"写"	""	""
"sia"	"sjɑ"	"5"	"瀉"	""	"稀也：～泥巴；腐爛：西瓜～"
"sia"	"sjɑ"	"5"	"榭"	""	""
"sia"	"sjɑ"	"7"	"錫"	""	""
"sia"	"sjɑ"	"7"	"锡"	""	""
"zhia"	"tɕjɑ"	"1"	"加"	""	""
"zhia"	"tɕjɑ"	"1"	"伽"	""	""
"zhia"	"tɕjɑ"	"1"	"枷"	""	""
"zhia"	"tɕjɑ"	"1"	"迦"	""	""
"zhia"	"tɕjɑ"	"1"	"痂"	""	""
"zhia"	"tɕjɑ"	"1"	"笳"	""	""
"zhia"	"tɕjɑ"	"1"	"耞"	""	""
"zhia"	"tɕjɑ"	"1"	"袈"	""	""
"zhia"	"tɕjɑ"	"1"	"鉫"	""	""
"zhia"	"tɕjɑ"	"1"	"珈"	""	""
"zhia"	"tɕjɑ"	"1"	"跏"	""	""
"zhia"	"tɕjɑ"	"1"	"嘉"	""	""
"zhia"	"tɕjɑ"	"1"	"佳"	""	""
"zhia"	"tɕjɑ"	"1"	"家"	""	""
"zhia"	"tɕjɑ"	"1"	"傢"	""	""
"zhia"	"tɕjɑ"	"1"	"葭"	""	""
"zhia"	"tɕjɑ"	"1"	"豭"	""	""
"zhia"	"tɕjɑ"	"2"	"茄"	""	""
"zhia"	"tɕjɑ"	"3"	"賈"	""	""
"zhia"	"tɕjɑ"	"3"	"贾"	""	""
"zhia"	"tɕjɑ"	"3"	"檟"	""	""
"zhia"	"tɕjɑ"	"3"	"槚"	""	""
"zhia"	"tɕjɑ"	"3"	"榎"	""	""
"zhia"	"tɕjɑ"	"3"	"假"	""	""
"zhia"	"tɕjɑ"	"3"	"椵"	""	""
"zhia"	"tɕjɑ"	"3"	"叚"	""	""
"zhia"	"tɕjɑ"	"3"	"瘕"	""	""
"zhia"	"tɕjɑ"	"3"	"嘏"	""	""
"zhia"	"tɕjɑ"	"3"	"斝"	""	""
"zhia"	"tɕjɑ"	"5"	"價"	""	""
"zhia"	"tɕjɑ"	"5"	"价"	""	""
"zhia"	"tɕjɑ"	"5"	"賈"	""	""
"zhia"	"tɕjɑ"	"5"	"贾"	""	""
"zhia"	"tɕjɑ"	"5"	"稼"	""	""
"zhia"	"tɕjɑ"	"5"	"嫁"	""	""
"zhia"	"tɕjɑ"	"5"	"架"	""	""
"zhia"	"tɕjɑ"	"5"	"駕"	""	""
"zhia"	"tɕjɑ"	"5"	"驾"	""	""
"zhia"	"tɕjɑ"	"7"	"夾"	""	""
"zhia"	"tɕjɑ"	"7"	"夹"	""	""
"zhia"	"tɕjɑ"	"7"	"裌"	""	""
"zhia"	"tɕjɑ"	"7"	"𬡒"	""	""
"zhia"	"tɕjɑ"	"7"	"袷"	""	""
"zhia"	"tɕjɑ"	"7"	"浹"	""	""
"zhia"	"tɕjɑ"	"7"	"浃"	""	""
"zhia"	"tɕjɑ"	"7"	"莢"	""	""
"zhia"	"tɕjɑ"	"7"	"荚"	""	""
"zhia"	"tɕjɑ"	"7"	"鋏"	""	""
"zhia"	"tɕjɑ"	"7"	"铗"	""	""
"zhia"	"tɕjɑ"	"7"	"郟"	""	""
"zhia"	"tɕjɑ"	"7"	"郏"	""	""
"zhia"	"tɕjɑ"	"7"	"蛺"	""	""
"zhia"	"tɕjɑ"	"7"	"蛱"	""	""
"zhia"	"tɕjɑ"	"7"	"頰"	""	""
"zhia"	"tɕjɑ"	"7"	"頬"	""	""
"zhia"	"tɕjɑ"	"7"	"颊"	""	""
"zhia"	"tɕjɑ"	"7"	"梜"	""	""
"zhia"	"tɕjɑ"	"7"	"𬂩"	""	""
"zhia"	"tɕjɑ"	"7"	"筴"	""	""
"zhia"	"tɕjɑ"	"7"	"䇲"	""	""
"zhia"	"tɕjɑ"	"7"	"鵊"	""	""
"zhia"	"tɕjɑ"	"7"	"𫛥"	""	""
"zhia"	"tɕjɑ"	"7"	"甲"	""	""
"zhia"	"tɕjɑ"	"7"	"呷"	""	""
"zhia"	"tɕjɑ"	"7"	"鉀"	""	""
"zhia"	"tɕjɑ"	"7"	"钾"	""	""
"zhia"	"tɕjɑ"	"7"	"胛"	""	""
"zhia"	"tɕjɑ"	"7"	"岬"	""	""
"zhia"	"tɕjɑ"	"7"	"鞈"	""	""
"zhia"	"tɕjɑ"	"7"	"鞂"	""	""
"zhia"	"tɕjɑ"	"7"	"恝"	""	""
"zhia"	"tɕjɑ"	"7"	"嘎"	""	""
"zhia"	"tɕjɑ"	"7"	"戛"	""	""
"zhia"	"tɕjɑ"	"7"	"戞"	""	""
"chia"	"tɕʰjɑ"	"3"	"卡"	""	""
"chia"	"tɕʰjɑ"	"7"	"恰"	""	""
"chia"	"tɕʰjɑ"	"7"	"洽"	""	""
"chia"	"tɕʰjɑ"	"7"	"帢"	""	""
"chia"	"tɕʰjɑ"	"7"	"跲"	""	""
"chia"	"tɕʰjɑ"	"7"	"祫"	""	""
"chia"	"tɕʰjɑ"	"7"	"掐"	""	""
"chia"	"tɕʰjɑ"	"7"	"喫"	""	""
"chia"	"tɕʰjɑ"	"7"	"吃"	""	""
"gnia"	"ȵjɑ"	"1"	"𪐀"	""	""
"gnia"	"ȵjɑ"	"2"	"𪐀"	""	""
"gnia"	"ȵjɑ"	"3"	"惹"	""	""
"gnia"	"ȵjɑ"	"5"	"入"	""	""
"gnia"	"ȵjɑ"	"5"	"䏧"	""	"～腮：帶勁"
"gnia"	"ȵjɑ"	"6"	"黏"	""	"緊貼著：肉～肉"
"shia"	"ɕjɑ"	"1"	"蝦"	""	""
"shia"	"ɕjɑ"	"1"	"虾"	""	""
"shia"	"ɕjɑ"	"1"	"鰕"	""	""
"shia"	"ɕjɑ"	"1"	"𫚥"	""	""
"shia"	"ɕjɑ"	"1"	"𤹉"	""	""
"shia"	"ɕjɑ"	"1"	"谺"	""	""
"shia"	"ɕjɑ"	"2"	"瑕"	""	""
"shia"	"ɕjɑ"	"2"	"遐"	""	""
"shia"	"ɕjɑ"	"2"	"蝦"	""	""
"shia"	"ɕjɑ"	"2"	"虾"	""	""
"shia"	"ɕjɑ"	"2"	"赮"	""	""
"shia"	"ɕjɑ"	"2"	"騢"	""	""
"shia"	"ɕjɑ"	"2"	"𱅞"	""	""
"shia"	"ɕjɑ"	"2"	"霞"	""	""
"shia"	"ɕjɑ"	"2"	"瘕"	""	""
"shia"	"ɕjɑ"	"2"	"暇"	""	""
"shia"	"ɕjɑ"	"3"	"夏"	""	""
"shia"	"ɕjɑ"	"3"	"廈"	""	"～門"
"shia"	"ɕjɑ"	"5"	"夏"	""	""
"shia"	"ɕjɑ"	"5"	"廈"	""	""
"shia"	"ɕjɑ"	"5"	"厦"	""	""
"shia"	"ɕjɑ"	"5"	"下"	""	""
"shia"	"ɕjɑ"	"5"	"嗄"	""	""
"shia"	"ɕjɑ"	"5"	"暇"	""	""
"shia"	"ɕjɑ"	"5"	"罅"	""	""
"shia"	"ɕjɑ"	"5"	"𥕕"	""	""
"shia"	"ɕjɑ"	"6"	"夏"	""	""
"shia"	"ɕjɑ"	"6"	"下"	""	""
"shia"	"ɕjɑ"	"7"	"俠"	""	""
"shia"	"ɕjɑ"	"7"	"侠"	""	""
"shia"	"ɕjɑ"	"7"	"狹"	""	""
"shia"	"ɕjɑ"	"7"	"狭"	""	""
"shia"	"ɕjɑ"	"7"	"陿"	""	""
"shia"	"ɕjɑ"	"7"	"𬯅"	""	""
"shia"	"ɕjɑ"	"7"	"陜"	""	""
"shia"	"ɕjɑ"	"7"	"挾"	""	""
"shia"	"ɕjɑ"	"7"	"挟"	""	""
"shia"	"ɕjɑ"	"7"	"硤"	""	""
"shia"	"ɕjɑ"	"7"	"硖"	""	""
"shia"	"ɕjɑ"	"7"	"峽"	""	""
"shia"	"ɕjɑ"	"7"	"峡"	""	""
"shia"	"ɕjɑ"	"7"	"岬"	""	""
"shia"	"ɕjɑ"	"7"	"愜"	""	""
"shia"	"ɕjɑ"	"7"	"惬"	""	""
"shia"	"ɕjɑ"	"7"	"篋"	""	""
"shia"	"ɕjɑ"	"7"	"箧"	""	""
"shia"	"ɕjɑ"	"7"	"匣"	""	""
"shia"	"ɕjɑ"	"7"	"狎"	""	""
"shia"	"ɕjɑ"	"7"	"柙"	""	""
"shia"	"ɕjɑ"	"7"	"呷"	""	""
"shia"	"ɕjɑ"	"7"	"瞎"	""	""
"shia"	"ɕjɑ"	"7"	"轄"	""	""
"shia"	"ɕjɑ"	"7"	"辖"	""	""
"shia"	"ɕjɑ"	"7"	"鎋"	""	""
"shia"	"ɕjɑ"	"7"	"𬭪"	""	""
"shia"	"ɕjɑ"	"7"	"舝"	""	""
"shia"	"ɕjɑ"	"7"	"𤛉"	""	""
"shia"	"ɕjɑ"	"7"	"𤁳"	""	""
"shia"	"ɕjɑ"	"7"	"霅"	""	""
"shia"	"ɕjɑ"	"7"	"黠"	""	""
"shia"	"ɕjɑ"	"7"	"䕸"	""	""
"ia"	"jɑ"	"1"	"呀"	""	""
"ia"	"jɑ"	"1"	"鴉"	""	""
"ia"	"jɑ"	"1"	"鸦"	""	""
"ia"	"jɑ"	"1"	"鵶"	""	""
"ia"	"jɑ"	"1"	"𱉨"	""	""
"ia"	"jɑ"	"1"	"椏"	""	""
"ia"	"jɑ"	"1"	"𬂲"	""	""
"ia"	"jɑ"	"1"	"桠"	""	""
"ia"	"jɑ"	"1"	"啞"	""	""
"ia"	"jɑ"	"1"	"唖"	""	""
"ia"	"jɑ"	"1"	"哑"	""	""
"ia"	"jɑ"	"1"	"枒"	""	""
"ia"	"jɑ"	"1"	"丫"	""	""
"ia"	"jɑ"	"2"	"牙"	""	""
"ia"	"jɑ"	"2"	"芽"	""	""
"ia"	"jɑ"	"2"	"蚜"	""	""
"ia"	"jɑ"	"2"	"齖"	""	""
"ia"	"jɑ"	"2"	"𬹺"	""	""
"ia"	"jɑ"	"2"	"琊"	""	""
"ia"	"jɑ"	"2"	"衙"	""	""
"ia"	"jɑ"	"2"	"涯"	""	""
"ia"	"jɑ"	"2"	"崖"	""	""
"ia"	"jɑ"	"2"	"崕"	""	""
"ia"	"jɑ"	"2"	"厓"	""	""
"ia"	"jɑ"	"2"	"爺"	""	"父親"
"ia"	"jɑ"	"3"	"雅"	""	""
"ia"	"jɑ"	"3"	"疋"	""	""
"ia"	"jɑ"	"3"	"啞"	""	""
"ia"	"jɑ"	"3"	"唖"	""	""
"ia"	"jɑ"	"3"	"哑"	""	""
"ia"	"jɑ"	"3"	"野"	""	""
"ia"	"jɑ"	"3"	"也"	""	""
"ia"	"jɑ"	"5"	"亞"	""	""
"ia"	"jɑ"	"5"	"亜"	""	""
"ia"	"jɑ"	"5"	"亚"	""	""
"ia"	"jɑ"	"5"	"婭"	""	""
"ia"	"jɑ"	"5"	"𫰫"	""	""
"ia"	"jɑ"	"5"	"娅"	""	""
"ia"	"jɑ"	"5"	"氬"	""	""
"ia"	"jɑ"	"5"	"氩"	""	""
"ia"	"jɑ"	"5"	"稏"	""	""
"ia"	"jɑ"	"5"	"䅉"	""	""
"ia"	"jɑ"	"5"	"迓"	""	""
"ia"	"jɑ"	"5"	"訝"	""	""
"ia"	"jɑ"	"5"	"讶"	""	""
"ia"	"jɑ"	"5"	"庌"	""	""
"ia"	"jɑ"	"5"	"砑"	""	""
"ia"	"jɑ"	"5"	"犽"	""	""
"ia"	"jɑ"	"5"	"御"	""	""
"ia"	"jɑ"	"5"	"輅"	""	""
"ia"	"jɑ"	"5"	"辂"	""	""
"ia"	"jɑ"	"6"	"夜"	""	""
"ia"	"jɑ"	"7"	"押"	""	""
"ia"	"jɑ"	"7"	"鴨"	""	""
"ia"	"jɑ"	"7"	"鸭"	""	""
"ia"	"jɑ"	"7"	"軋"	""	""
"ia"	"jɑ"	"7"	"轧"	""	""
"ia"	"jɑ"	"7"	"圠"	""	""
"ia"	"jɑ"	"7"	"揠"	""	""
"ia"	"jɑ"	"7"	"掗"	""	""
"ia"	"jɑ"	"7"	"挜"	""	""
"ia"	"jɑ"	"7"	"壓"	""	""
"ia"	"jɑ"	"7"	"压"	""	""
"ia"	"jɑ"	"7"	"嚈"	""	""
"ia"	"jɑ"	"7"	"𫩫"	""	""
"gua"	"kwɑ"	"1"	"瓜"	""	""
"gua"	"kwɑ"	"1"	"呱"	""	"～～叫"
"gua"	"kwɑ"	"1"	"蝸"	""	""
"gua"	"kwɑ"	"1"	"蜗"	""	""
"gua"	"kwɑ"	"1"	"騧"	""	""
"gua"	"kwɑ"	"1"	"䯄"	""	""
"gua"	"kwɑ"	"1"	"絓"	""	""
"gua"	"kwɑ"	"1"	"𮉤"	""	""
"gua"	"kwɑ"	"3"	"剮"	""	""
"gua"	"kwɑ"	"3"	"剐"	""	""
"gua"	"kwɑ"	"3"	"寡"	""	""
"gua"	"kwɑ"	"5"	"卦"	""	""
"gua"	"kwɑ"	"5"	"掛"	""	""
"gua"	"kwɑ"	"5"	"挂"	""	""
"gua"	"kwɑ"	"5"	"褂"	""	""
"gua"	"kwɑ"	"5"	"詿"	""	""
"gua"	"kwɑ"	"5"	"诖"	""	""
"gua"	"kwɑ"	"5"	"絓"	""	""
"gua"	"kwɑ"	"5"	"𮉤"	""	""
"gua"	"kwɑ"	"5"	"罣"	""	""
"gua"	"kwɑ"	"5"	"𭁹"	""	""
"gua"	"kwɑ"	"5"	"罫"	""	""
"gua"	"kwɑ"	"7"	"刮"	""	""
"gua"	"kwɑ"	"7"	"括"	""	""
"gua"	"kwɑ"	"7"	"佸"	""	""
"gua"	"kwɑ"	"7"	"适"	""	""
"gua"	"kwɑ"	"7"	"聒"	""	""
"gua"	"kwɑ"	"7"	"筈"	""	""
"gua"	"kwɑ"	"7"	"苦"	""	""
"gua"	"kwɑ"	"7"	"鴰"	""	""
"gua"	"kwɑ"	"7"	"鸹"	""	""
"gua"	"kwɑ"	"7"	"颳"	""	""
"gua"	"kwɑ"	"7"	"栝"	""	""
"gua"	"kwɑ"	"7"	"桰"	""	""
"gua"	"kwɑ"	"7"	"𩬩"	""	""
"gua"	"kwɑ"	"7"	"摑"	""	""
"gua"	"kwɑ"	"7"	"掴"	""	""
"gua"	"kwɑ"	"7"	"嘓"	""	""
"gua"	"kwɑ"	"7"	"啯"	""	""
"gua"	"kwɑ"	"7"	"虢"	""	""
"gua"	"kwɑ"	"7"	"㶁"	""	""
"kua"	"kʰwɑ"	"1"	"夸"	""	""
"kua"	"kʰwɑ"	"1"	"誇"	""	""
"kua"	"kʰwɑ"	"1"	"姱"	""	""
"kua"	"kʰwɑ"	"1"	"喎"	""	""
"kua"	"kʰwɑ"	"1"	"㖞"	""	""
"kua"	"kʰwɑ"	"1"	"咼"	""	""
"kua"	"kʰwɑ"	"1"	"呙"	""	""
"kua"	"kʰwɑ"	"3"	"侉"	""	""
"kua"	"kʰwɑ"	"3"	"咵"	""	""
"kua"	"kʰwɑ"	"3"	"夸"	""	""
"kua"	"kʰwɑ"	"3"	"輠"	""	""
"kua"	"kʰwɑ"	"3"	"𰺍"	""	""
"kua"	"kʰwɑ"	"3"	"𠇗"	""	""
"kua"	"kʰwɑ"	"3"	"垮"	""	""
"kua"	"kʰwɑ"	"5"	"胯"	""	""
"kua"	"kʰwɑ"	"5"	"骻"	""	""
"kua"	"kʰwɑ"	"5"	"跨"	""	""
"kua"	"kʰwɑ"	"5"	"銙"	""	""
"kua"	"kʰwɑ"	"5"	"𰽴"	""	""
"kua"	"kʰwɑ"	"5"	"髂"	""	""
"kua"	"kʰwɑ"	"6"	"垮"	""	"臉一～起"
"ua"	"wɑ"	"1"	"哇"	""	""
"ua"	"wɑ"	"1"	"蛙"	""	""
"ua"	"wɑ"	"1"	"鼃"	""	""
"ua"	"wɑ"	"1"	"洼"	""	""
"ua"	"wɑ"	"1"	"窪"	""	""
"ua"	"wɑ"	"1"	"烓"	""	""
"ua"	"wɑ"	"1"	"娃"	""	""
"ua"	"wɑ"	"1"	"汙"	""	""
"ua"	"wɑ"	"1"	"呱"	""	""
"ua"	"wɑ"	"1"	"媧"	""	""
"ua"	"wɑ"	"1"	"娲"	""	""
"ua"	"wɑ"	"1"	"蝸"	""	""
"ua"	"wɑ"	"1"	"蜗"	""	""
"ua"	"wɑ"	"1"	"騧"	""	""
"ua"	"wɑ"	"1"	"䯄"	""	""
"ua"	"wɑ"	"1"	"剜"	""	""
"ua"	"wɑ"	"1"	"窊"	""	"凹：鐵桶子～進去一塊"
"ua"	"wɑ"	"1"	"挖"	""	"～耳朵"
"ua"	"wɑ"	"2"	"娃"	""	""
"ua"	"wɑ"	"3"	"瓦"	""	""
"ua"	"wɑ"	"3"	"搲"	""	"用瓢、勺等舀東西"
"ua"	"wɑ"	"5"	"窊"	""	""
"ua"	"wɑ"	"5"	"𠹁"	""	""
"ua"	"wɑ"	"5"	"滑"	""	""
"ua"	"wɑ"	"5"	"猾"	""	""
"ua"	"wɑ"	"7"	"挖"	""	""
"ua"	"wɑ"	"7"	"穵"	""	""
"ua"	"wɑ"	"7"	"襪"	""	""
"ua"	"wɑ"	"7"	"韈"	""	""
"ua"	"wɑ"	"7"	"韤"	""	""
"ua"	"wɑ"	"7"	"袜"	""	""
"ua"	"wɑ"	"7"	"韎"	""	""
"ua"	"wɑ"	"7"	"嗢"	""	""
"ua"	"wɑ"	"7"	"腽"	""	""
"ua"	"wɑ"	"7"	"噦"	""	""
"ua"	"wɑ"	"7"	"哕"	""	""
"ua"	"wɑ"	"7"	"斡"	""	""
"ua"	"wɑ"	"7"	"䁊"	""	"因疲勞或害病，眼睛下陷"
"zhya"	"tɕɥɑ"	"1"	"抓"	""	""
"zhya"	"tɕɥɑ"	"1"	"揸"	""	""
"zhya"	"tɕɥɑ"	"1"	"摣"	""	""
"zhya"	"tɕɥɑ"	"1"	"𠭯"	""	""
"zhya"	"tɕɥɑ"	"1"	"髽"	""	""
"zhya"	"tɕɥɑ"	"1"	"撾"	""	""
"zhya"	"tɕɥɑ"	"1"	"挝"	""	""
"zhya"	"tɕɥɑ"	"1"	"檛"	""	""
"zhya"	"tɕɥɑ"	"1"	"𭪆"	""	""
"zhya"	"tɕɥɑ"	"2"	"瘸"	""	""
"zhya"	"tɕɥɑ"	"3"	"爪"	""	""
"chya"	"tɕʰɥɑ"	"5"	"踹"	""	""
"shya"	"ɕɥɑ"	"3"	"耍"	""	""
"shya"	"ɕɥɑ"	"3"	"𠻦"	""	""
"shya"	"ɕɥɑ"	"3"	"灑"	""	""
"shya"	"ɕɥɑ"	"3"	"洒"	""	""
"shya"	"ɕɥɑ"	"5"	"刷"	""	"～亮底：很光亮"
"shya"	"ɕɥɑ"	"7"	"刷"	""	""
"ya"	"ɥɑ"	"5"	"噦"	""	""
"ya"	"ɥɑ"	"5"	"哕"	""	""
"be"	"pɘ"	"7"	"白"	""	""
"be"	"pɘ"	"7"	"柏"	""	""
"be"	"pɘ"	"7"	"栢"	""	""
"be"	"pɘ"	"7"	"帛"	""	""
"be"	"pɘ"	"7"	"伯"	""	""
"be"	"pɘ"	"7"	"鉑"	""	""
"be"	"pɘ"	"7"	"铂"	""	""
"be"	"pɘ"	"7"	"百"	""	""
"be"	"pɘ"	"7"	"佰"	""	""
"be"	"pɘ"	"7"	"北"	""	""
"be"	"pɘ"	"7"	"鉢"	""	""
"be"	"pɘ"	"7"	"钵"	""	""
"be"	"pɘ"	"7"	"缽"	""	""
"be"	"pɘ"	"7"	"捭"	""	""
"be"	"pɘ"	"7"	"匐"	""	""
"be"	"pɘ"	"7"	"蔔"	""	""
"be"	"pɘ"	"7"	"僰"	""	""
"be"	"pɘ"	"7"	"擘"	""	""
"be"	"pɘ"	"7"	"蘗"	""	""
"be"	"pɘ"	"7"	"檗"	""	""
"be"	"pɘ"	"7"	"陌"	""	""
"pe"	"pʰɘ"	"7"	"迫"	""	""
"pe"	"pʰɘ"	"7"	"粕"	""	""
"pe"	"pʰɘ"	"7"	"拍"	""	""
"pe"	"pʰɘ"	"7"	"珀"	""	""
"pe"	"pʰɘ"	"7"	"魄"	""	""
"pe"	"pʰɘ"	"7"	"胉"	""	""
"pe"	"pʰɘ"	"7"	"帕"	""	""
"pe"	"pʰɘ"	"7"	"舶"	""	""
"pe"	"pʰɘ"	"7"	"箔"	""	""
"pe"	"pʰɘ"	"7"	"泊"	""	""
"pe"	"pʰɘ"	"7"	"濼"	""	""
"pe"	"pʰɘ"	"7"	"踣"	""	""
"pe"	"pʰɘ"	"7"	"茇"	""	""
"pe"	"pʰɘ"	"7"	"軷"	""	""
"pe"	"pʰɘ"	"7"	"𫐈"	""	""
"pe"	"pʰɘ"	"7"	"魃"	""	""
"me"	"mɘ"	"5"	"墨"	""	"～黑底"
"me"	"mɘ"	"7"	"嚜"	""	""
"me"	"mɘ"	"7"	"墨"	""	""
"me"	"mɘ"	"7"	"默"	""	""
"me"	"mɘ"	"7"	"嘿"	""	""
"me"	"mɘ"	"7"	"纆"	""	""
"me"	"mɘ"	"7"	"𬙊"	""	""
"me"	"mɘ"	"7"	"𪒂"	""	""
"me"	"mɘ"	"7"	"陌"	""	""
"me"	"mɘ"	"7"	"袹"	""	""
"me"	"mɘ"	"7"	"貊"	""	""
"me"	"mɘ"	"7"	"貉"	""	""
"me"	"mɘ"	"7"	"莫"	""	""
"me"	"mɘ"	"7"	"驀"	""	""
"me"	"mɘ"	"7"	"蓦"	""	""
"me"	"mɘ"	"7"	"貘"	""	""
"me"	"mɘ"	"7"	"脈"	""	""
"me"	"mɘ"	"7"	"脉"	""	""
"me"	"mɘ"	"7"	"眽"	""	""
"me"	"mɘ"	"7"	"覛"	""	""
"me"	"mɘ"	"7"	"𫌪"	""	""
"me"	"mɘ"	"7"	"衇"	""	""
"me"	"mɘ"	"7"	"霢"	""	""
