			中山石岐話			南蓢白話			珠海唐家話												
	鴻		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51										
	翁		j	ʊŋ	55	j	ʊŋ	45	j	ʊŋ	55										
	蓊		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21										
	雄		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51										
	熊		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51										
	融		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	楓		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	風		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	蓬		pʰ	ʊŋ	51	pʰ	ʊŋ	51	pʰ	ʊŋ	51										
	篷		pʰ	ʊŋ	51	pʰ	ʊŋ	51	pʰ	ʊŋ	51										
	蜂		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	梵		f	an	51	f	an	51	f	an	51										
	馮		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	姓馮									
	馮		pʰ	ɐŋ	51	pʰ	ɐŋ	51	pʰ	ɐŋ	51	暴虎馮河									
	矇		m	ʊŋ	55	m	ʊŋ	45	m	ʊŋ	55										
	濛		m	ʊŋ	51	m	ʊŋ	51	m	ʊŋ	51										
	朦		m	ʊŋ	51	m	ʊŋ	51	m	ʊŋ	51										
	檬		m	ʊŋ	55	m	ʊŋ	45	m	ʊŋ	55										
	蒙		m	ʊŋ	51	m	ʊŋ	51	m	ʊŋ	51										
	夢		m	ʊŋ	33	m	ʊŋ	33	m	ʊŋ	22										
	豐		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	窮		kʰ	ʊŋ	51	kʰ	ʊŋ	51	kʰ	ʊŋ	51										
	董		t	ʊŋ	213	t	ʊŋ	21	t	ʊŋ	21										
	桶		tʰ	ʊŋ	213	tʰ	ʊŋ	21	tʰ	ʊŋ	21										
	動		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22										
	攏		l	ʊŋ	213	l	ʊŋ	21	l	ʊŋ	21										
	總		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21										
	孔		kʰ	ʊŋ	213	kʰ	ʊŋ	21	kʰ	ʊŋ	21										
	俸		h	ʊŋ	213	h	ʊŋ	21	h	ʊŋ	21										
	懵		m	ʊŋ	213	m	ʊŋ	21	m	ʊŋ	21										
	棟		t	ʊŋ	33	t	ʊŋ	33	t	ʊŋ	22										
	痛		tʰ	ʊŋ	33	tʰ	ʊŋ	33	tʰ	ʊŋ	22										
	弄		l	ʊŋ	33	l	ʊŋ	33	l	ʊŋ	22										
	粽		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22										
	送		s	ʊŋ	33	s	ʊŋ	33	s	ʊŋ	22										
	仲		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22										
	銃		tsʰ	ʊŋ	33	tsʰ	ʊŋ	33	tsʰ	ʊŋ	22										
	貢		k	ʊŋ	33	k	ʊŋ	33	k	ʊŋ	22										
	哄		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22										
	哄																				
	甕			ʊŋ	33		ʊŋ	33		ʊŋ	22										
	諷		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22										
	鳳		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22										
	啄		t	œk	3	t	iɔk	2	t	œk	5										
	啄		t	œŋ	55	t	iɔŋ	45	t	œŋ	55										
	竺		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	禿		tʰ	ʊk	5	tʰ	ʊk	5	tʰ	ʊk	5										
	犢		t	ʊk	3	t	ʊk	2	t	ʊk	2										
	獨		t	ʊk	3	t	ʊk	2	t	ʊk	2										
	瀆		t	ʊk	3	t	ʊk	2	t	ʊk	2										
	讀		t	ʊk	3	t	ʊk	2	t	ʊk	2										
	讀		t	ɐu	33							句讀									
	麓		l	ʊk	5	l	ʊk	5	l	ʊk	5										
	鹿		l	ʊk	3	l	ʊk	2	l	ʊk	2										
	漉		l	ʊk	5	l	ʊk	5	l	ʊk	5										
	碌		l	ʊk	5	l	ʊk	5	l	ʊk	5										
	角		k	ɔk	3	k	ɔk	2	k	ɔk	5										
	祿		l	ʊk	3	l	ʊk	2	l	ʊk	2										
	陸		l	ʊk	3	l	ʊk	2	l	ʊk	2										
	六		l	ʊk	3	l	ʊk	2	l	ʊk	2										
	蹙		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	簇		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	蹴		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	族		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2										
	鑿		ts	ɔk	3	ts	ɔk	2	ts	ɔk	2										
	速		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	肅		s	ʊk	5	s	ʊk	5	s	ʊk	5										
	夙		s	ʊk	5	s	ʊk	5	s	ʊk	5										
	竹		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	築		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	逐		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2										
	軸		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2										
	筑		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	矗		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	縮		s	ʊk	5	s	ʊk	5	s	ʊk	5										
	淑		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	熟		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	塾		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	孰		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	倏		s	ʊk	5	s	ʊk	5	s	ʊk	5										
	叔		s	ʊk	5	s	ʊk	5	s	ʊk	5										
	肉		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	穀		k	ʊk	5	k	ʊk	5	k	ʊk	5										
	谷		k	ʊk	5	k	ʊk	5	k	ʊk	5										
	谷																				
	掬		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	鞠		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	菊		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	哭		h	ʊk	5	h	ʊk	5	h	ʊk	5										
	麴		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	蓄		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	斛		h	ʊk	3	h	ʊk	2	h	ʊk	2										
	屋			ʊk	5		ʊk	5		ʊk	5										
	郁		j	ʊk	5	j	ʊk	5	j	ʊk	5										
	粥		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	鬻		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	育		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	昱		j	ʊk	5	j	ʊk	5	j	ʊk	5										
	蹼		p	ʊk	3	p	ʊk	2	p	ʊk	2										
	卜		p	ʊk	5	p	ʊk	5	p	ʊk	5										
	腹		h	ʊk	5	h	ʊk	5	h	ʊk	5										
	蝠		h	ʊk	5	h	ʊk	5	h	ʊk	5										
	福		h	ʊk	5	h	ʊk	5	h	ʊk	5										
	幅		h	ʊk	5	h	ʊk	5	h	ʊk	5										
	僕		p	ʊk	3	p	ʊk	2	p	ʊk	2										
	服		h	ʊk	3	h	ʊk	2	h	ʊk	2										
	匐		h	ʊk	3	h	ʊk	2	h	ʊk	2										
	馥		h	ʊk	5	h	ʊk	5	h	ʊk	5										
	木		m	ʊk	3	m	ʊk	2	m	ʊk	2										
	沐		m	ʊk	3	m	ʊk	2	m	ʊk	2										
	睦		m	ʊk	3	m	ʊk	2	m	ʊk	2										
	穆		m	ʊk	3	m	ʊk	2	m	ʊk	2										
	目		m	ʊk	3	m	ʊk	2	m	ʊk	2										
	牧		m	ʊk	3	m	ʊk	2	m	ʊk	2										
	撲		pʰ	ɔk	3	pʰ	ɔk	2	pʰ	ɔk	5										
	撲		p	ʊk	3	p	ʊk	2	p	ʊk	2	撲鷄盲									
	冬		t	ʊŋ	55	t	ʊŋ	45	t	ʊŋ	55										
	疼		tʰ	ɐŋ	51	tʰ	ɐŋ	51	tʰ	ɐŋ	51										
	疼																				
	彤		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	鼕		tʰ	ʊŋ	51	tʰ	ʊŋ	51	tʰ	ʊŋ	51										
	農		n	ʊŋ	51	n	ʊŋ	51	n	ʊŋ	51										
	膿		n	ʊŋ	51	n	ʊŋ	51	n	ʊŋ	51										
	宗		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	淙		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	鬃		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	鬆		s	ʊŋ	55	s	ʊŋ	45	s	ʊŋ	55										
	統		tʰ	ʊŋ	213	tʰ	ʊŋ	21	tʰ	ʊŋ	21										
	綜		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	宋		s	ʊŋ	33	s	ʊŋ	33	s	ʊŋ	22										
	篤		t	ʊk	5	t	ʊk	5	t	ʊk	5										
	督		t	ʊk	5	t	ʊk	5	t	ʊk	5										
	毒		t	ʊk	3	t	ʊk	2	t	ʊk	2										
	褥		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	酷		h	ʊk	3	h	ʊk	2	h	ʊk	2										
	酷		k	ʊk	5																
	沃		j	ʊk	5	j	ʊk	5	j	ʊk	5										
	濃		n	ʊŋ	51	n	ʊŋ	51	n	ʊŋ	51										
	龍		l	ʊŋ	51	l	ʊŋ	51	l	ʊŋ	51										
	縱																				
	縱		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22										
	蹤		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	樅		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	從		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	跟從									
	從		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55	從容									
	從																				
	松		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51										
	訟		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22										
	重		tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	tsʰ	ʊŋ	51	重新									
	重		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21	重量									
	重		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	重要									
	鐘		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	忪		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55	怔忪									
	忪		s	ʊŋ	55	s	ʊŋ	45	s	ʊŋ	55	惺忪									
	鍾		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	憧		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	衝		tsʰ	ʊŋ	55	tsʰ	ʊŋ	45	tsʰ	ʊŋ	55										
	衝																				
	舂		ts	ʊŋ	55	ts	ʊŋ	45	ts	ʊŋ	55										
	茸		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	共		k	ʊŋ	33	k	ʊŋ	33	k	ʊŋ	22										
	恭		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55										
	供		k	ʊŋ	55	k	ʊŋ	45	k	ʊŋ	55	提供									
	供		k	ʊŋ	33	k	ʊŋ	33	k	ʊŋ	22	供奉									
	凶		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	洶		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	兇		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	匈		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	雍		j	ʊŋ	55	j	ʊŋ	45	j	ʊŋ	55										
	蓉		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	溶		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	容		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	傭		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	鎔		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	頌		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22										
	庸		j	ʊŋ	51	j	ʊŋ	51	j	ʊŋ	51										
	封		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	逢		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51										
	縫		h	ʊŋ	51	h	ʊŋ	51	h	ʊŋ	51	裁縫									
	縫		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22	裂縫									
	鋒		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	烽		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	丰		h	ʊŋ	55	h	ʊŋ	45	h	ʊŋ	55										
	隴		l	ʊŋ	213	l	ʊŋ	21	l	ʊŋ	21										
	聳		s	ʊŋ	213	s	ʊŋ	21	s	ʊŋ	21										
	悚		s	ʊŋ	213	s	ʊŋ	21	s	ʊŋ	21										
	慫		s	ʊŋ	213	s	ʊŋ	21	s	ʊŋ	21										
	冢		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21										
	塚		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21										
	寵		tsʰ	ʊŋ	213	tsʰ	ʊŋ	21	tsʰ	ʊŋ	21										
	寵		ts	ʊŋ	33																
	踵		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21										
	腫		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21										
	種		ts	ʊŋ	213	ts	ʊŋ	21	ts	ʊŋ	21	種子									
	種		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22	種植									
	鞏		k	ʊŋ	213	k	ʊŋ	21	k	ʊŋ	21										
	拱		k	ʊŋ	213	k	ʊŋ	21	k	ʊŋ	21										
	恐		kʰ	ʊŋ	213	kʰ	ʊŋ	21	kʰ	ʊŋ	21										
	擁		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21										
	恿		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21										
	蛹		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21										
	勇		j	ʊŋ	213	j	ʊŋ	21	j	ʊŋ	21										
	奉		h	ʊŋ	33	h	ʊŋ	33	h	ʊŋ	22										
	捧		p	ʊŋ	213	p	ʊŋ	21	p	ʊŋ	21										
	誦		ts	ʊŋ	33	ts	ʊŋ	33	ts	ʊŋ	22										
	用		j	ʊŋ	33	j	ʊŋ	33	j	ʊŋ	22										
	綠		l	ʊk	3	l	ʊk	2	l	ʊk	2										
	錄		l	ʊk	3	l	ʊk	2	l	ʊk	2										
	促		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	粟		s	ʊk	5	s	ʊk	5	s	ʊk	5										
	續		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2										
	俗		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	燭		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	囑		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	矚		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	屬																				
	屬		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	觸		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	鐲		ts	ʊk	5	ts	ʊk	5	ts	ʊk	5										
	蜀		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	蜀		ts	ʊk	5																
	束		tsʰ	ʊk	5	tsʰ	ʊk	5	tsʰ	ʊk	5										
	贖		s	ʊk	3	s	ʊk	2	s	ʊk	2										
	贖		ts	ʊk	3																
	辱		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	曲		kʰ	ʊk	5	kʰ	ʊk	5	kʰ	ʊk	5										
	獄		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	玉		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	旭		j	ʊk	5	j	ʊk	5	j	ʊk	5										
	浴		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	慾		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	欲		j	ʊk	3	j	ʊk	2	j	ʊk	2										
	局		k	ʊk	3	k	ʊk	2	k	ʊk	2										
	樁		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55										
	撞		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22										
	幢		tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	經幢									
	幢		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22	量詞									
	幢		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51	海幢寺									
	雙		s	œŋ	55	s	iɔŋ	45	s	œŋ	55										
	江		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55										
	肛		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55										
	扛		kʰ	ɔŋ	55	kʰ	ɔŋ	45	kʰ	ɔŋ	55										
	控		kʰ	ʊŋ	33	kʰ	ʊŋ	33	kʰ	ʊŋ	22										
	腔		h	ɔŋ	55	h	ɔŋ	45	h	ɔŋ	55										
	缸		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55										
	降		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51	投降									
	降		k	ɔŋ	33	k	ɔŋ	33	k	ɔŋ	22	降落									
	邦		p	ɔŋ	55	p	ɔŋ	45	p	ɔŋ	55										
	龐		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51										
	講		k	ɔŋ	213	k	ɔŋ	21	k	ɔŋ	21										
	港		k	ɔŋ	213	k	ɔŋ	21	k	ɔŋ	21										
	項		h	ɔŋ	33	h	ɔŋ	33	h	ɔŋ	22										
	棒		pʰ	aŋ	213	pʰ	aŋ	21	pʰ	aŋ	21										
	蚌		pʰ	ɔŋ	213	pʰ	ɔŋ	21	pʰ	ɔŋ	21										
	巷		h	ɔŋ	33	h	ɔŋ	33	h	ɔŋ	22										
	桌		tsʰ	œk	3	tsʰ	iɔk	2	tsʰ	œk	5										
	琢		t	œk	3	t	iɔk	2	t	œk	5										
	卓		tsʰ	œk	3	tsʰ	iɔk	2	tsʰ	œk	5										
	擢		ts	ɔk	3	ts	ɔk	2	ts	ɔk	2										
	濁		ts	ʊk	3	ts	ʊk	2	ts	ʊk	2										
	捉		ts	ɔk	5	ts	ɔk	5	ts	ɔk	5										
	浞		ts	ɔk	3	ts	ɔk	2	ts	ɔk	2										
	朔		s	ɔk	3	s	ɔk	2	s	ɔk	5										
	確		kʰ	ɔk	3	kʰ	ɔk	2	kʰ	ɔk	5										
	嶽		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2										
	岳		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2										
	學		h	ɔk	3	h	ɔk	2	h	ɔk	2										
	握			ɐk	5		ɐk	5		ɐk	5										
	渥			ɐk	5		ɐk	5		ɐk	5										
	喔			ɐk	5		ɐk	5		ɐk	5	雞叫聲									
	喔			ɔ	55		ɔ	45		ɔ	55	嘆詞									
	剝		m	ɔk	5	m	ɔk	5	m	ɔk	5										
	駁		p	ɔk	3	p	ɔk	2	p	ɔk	5										
	雹		p	ɔk	3	p	ɔk	2	p	ɔk	2										
	璞		pʰ	ɔk	3	pʰ	ɔk	2	pʰ	ɔk	5										
	罹		l	i	51	l	i	51	l	i	51										
	鸝		l	i	51	l	i	51	l	i	51										
	離		l	i	51	l	i	51	l	i	51										
	驪		l	i	51	l	i	51	l	i	51										
	麗		l	ɐi	33	l	ɐi	33	l	ɐi	22										
	璃		l	i	51	l	i	51	l	i	51	琉璃									
	璃		l	i	55	l	i	45	l	i	55	玻璃									
	漓		l	i	51	l	i	51	l	i	51										
	籬		l	i	51	l	i	51	l	i	51										
	劑		ts	ɐi	55	ts	ɐi	45	ts	ɐi	55										
	雌		tsʰ	i	55	tsʰ	i	45	tsʰ	i	55										
	疵		tsʰ	i	55	tsʰ	i	45	tsʰ	i	55										
	斯		s	i	55	s	i	45	s	i	55										
	廝		s	i	55	s	i	45	s	i	55										
	隨		tsʰ	ɵy	51	tsʰ	ɐi	51	tsʰ	ui	51										
	隋		tsʰ	ɵy	51	tsʰ	ɐi	51	tsʰ	ui	51										
	肢		ts	i	55	ts	i	45	ts	i	55										
	支		ts	i	55	ts	i	45	ts	i	55										
	只		ts	i	213	ts	i	21	ts	i	21										
	枝		ts	i	55	ts	i	45	ts	i	55										
	枝		k	i	55	k	i	45	k	i	55	荔枝									
	氏		s	i	33	s	i	33	s	i	22	姓氏									
	氏		ts	i	55	ts	i	45	ts	i	55	大月氏									
	炊		tsʰ	ɵy	55	tsʰ	ɐi	45	tsʰ	ui	55										
	吹		tsʰ	ɵy	55	tsʰ	ɐi	45	tsʰ	ui	55										
	提		tʰ	ɐi	51	tʰ	ɐi	51	tʰ	ɐi	51										
	垂		s	ɵy	51	s	ɐi	51	s	ui	51										
	匙		s	i	51	s	i	51	s	i	51	鎖匙									
	匙		tsʰ	i	51	tsʰ	i	51	tsʰ	i	51	匙羹									
	堤		tʰ	ɐi	51	tʰ	ɐi	51	tʰ	ɐi	51										
	施		s	i	55	s	i	45	s	i	55										
	兒		ŋ	i	51	ŋ	i	51	ŋ	i	51										
	規		kʷʰ	ɐi	55	kʷʰ	ɐi	45	kʰ	ɐi	55										
	窺		kʷʰ	ɐi	55	kʷʰ	ɐi	45	kʰ	ɐi	55										
	墮		t	ɔ	33	t	ɔ	33	t	ɔ	22										
	蛇		s	ɛ	51	s	ia	51	s	ɛ	51	毒蛇									
	蠵																				
	移			i	51		i	51		i	51										
	卑		p	i	55	p	i	45	p	i	55										
	脾		pʰ	i	51	pʰ	i	51	pʰ	i	51										
	瀰		n	i	51	n	i	51	n	i	51										
	獼		n	i	51	n	i	51	n	i	51										
	彌		n	i	51	n	i	51	n	i	51										
	彌		m	i	51																
	歧		kʰ	i	51	kʰ	i	51	kʰ	i	51										
	祇		kʰ	i	51	kʰ	i	51	kʰ	i	51	神祇									
	祇		ts	i	213	ts	i	21	ts	i	21	同“只”									
	示		s	i	33	s	i	33	s	i	22										
	累		l	ɵy	213	l	ɐi	21	l	ui	21	累積									
	累		l	ɵy	33	l	ɐi	33	l	ui	22	連累									
	累																				
	邐		l	ɐi	213	l	ɐi	21	l	ɐi	21										
