正體	国际音标（丰利）	声调符号	国际音标带调（丰利）	调值	调类	备注
楊	iã	˨˦	iã˨˦	24	2	
瘍	iã	˨˦	iã˨˦	24	2	
颺	iã	˨˦	iã˨˦	24	2	
衙	iɑ	˨˦	iɑ˨˦	24	2	
爺	iɑ	˨˦	iɑ˨˦	24	2	父親
呀	iɑ	˨˩	iɑ˨˩	21	1	
椰	iɑ	˨˩	iɑ˨˩	21	1	
耶	iɑ	˨˩	iɑ˨˩	21	1	
訝	iɑ	˧	iɑ˧	33	6	
夜	iɑ	˧	iɑ˧	33	6	
也	iɑ	˧˨˨	iɑ˧˨˨	322	3	
野	iɑ	˧˨˨	iɑ˧˨˨	322	3	
央	iã	˨˩	iã˨˩	21	1	
殃	iã	˨˩	iã˨˩	21	1	
秧	iã	˨˩	iã˨˩	21	1	
鴦	iã	˨˩	iã˨˩	21	1	
烊	iã	˧	iã˧	33	6	打～
漾	iã	˧	iã˧	33	6	
樣	iã	˧	iã˧	33	6	
仰	iã	˧˨˨	iã˧˨˨	322	3	文讀
氧	iã	˧˨˨	iã˧˨˨	322	3	
養	iã	˧˨˨	iã˧˨˨	322	3	
癢	iã	˧˨˨	iã˧˨˨	322	3	
約	iaʔ	˦˥	iaʔ˦˥	45	7	
藥	iaʔ	˧	iaʔ˧	33	8	
鑰	iaʔ	˧	iaʔ˧	33	8	
樂	iaʔ	˧	iaʔ˧	33	8	
喲	iaʔ		iaʔ	0	0	
要	iɔ	˦˥	iɔ˦˥	45	5	
曜	iɔ	˦˥	iɔ˦˥	45	5	
燿	iɔ	˦˥	iɔ˦˥	45	5	
耀	iɔ	˦˥	iɔ˦˥	45	5	
姚	iɔ	˨˦	iɔ˨˦	24	2	
堯	iɔ	˨˦	iɔ˨˦	24	2	
搖	iɔ	˨˦	iɔ˨˦	24	2	
遙	iɔ	˨˦	iɔ˨˦	24	2	
窯	iɔ	˨˦	iɔ˨˦	24	2	
謠	iɔ	˨˦	iɔ˨˦	24	2	
夭	iɔ	˨˩	iɔ˨˩	21	1	
吆	iɔ	˨˩	iɔ˨˩	21	1	
妖	iɔ	˨˩	iɔ˨˩	21	1	
腰	iɔ	˨˩	iɔ˨˩	21	1	
邀	iɔ	˨˩	iɔ˨˩	21	1	
要	iɔ	˨˩	iɔ˨˩	21	1	
鷂	iɔ	˧	iɔ˧	33	6	～子
舀	iɔ	˧˨˨	iɔ˧˨˨	322	3	
壅	iɔŋ	˦˥	iɔŋ˦˥	45	5	堆積
容	iɔŋ	˨˦	iɔŋ˨˦	24	2	
蓉	iɔŋ	˨˦	iɔŋ˨˦	24	2	
溶	iɔŋ	˨˦	iɔŋ˨˦	24	2	
榮	iɔŋ	˨˦	iɔŋ˨˦	24	2	
熔	iɔŋ	˨˦	iɔŋ˨˦	24	2	
融	iɔŋ	˨˦	iɔŋ˨˦	24	2	
雄	iɔŋ	˨˦	iɔŋ˨˦	24	2	白讀
雍	iɔŋ	˨˩	iɔŋ˨˩	21	1	
臃	iɔŋ	˨˩	iɔŋ˨˩	21	1	
佣	iɔŋ	˧	iɔŋ˧	33	6	
用	iɔŋ	˧	iɔŋ˧	33	6	
擁	iɔŋ	˧˨˨	iɔŋ˧˨˨	322	3	
永	iɔŋ	˧˨˨	iɔŋ˧˨˨	322	3	
泳	iɔŋ	˧˨˨	iɔŋ˧˨˨	322	3	
勇	iɔŋ	˧˨˨	iɔŋ˧˨˨	322	3	
涌	iɔŋ	˧˨˨	iɔŋ˧˨˨	322	3	
詠	iɔŋ	˧˨˨	iɔŋ˧˨˨	322	3	
湧	iɔŋ	˧˨˨	iɔŋ˧˨˨	322	3	
拗	iɔʔ	˦˥	iɔʔ˦˥	45	7	
玉	iɔʔ	˦˥	iɔʔ˦˥	45	7	文讀
郁	iɔʔ	˦˥	iɔʔ˦˥	45	7	
玉	iɔʔ	˧	iɔʔ˧	33	8	白讀
育	iɔʔ	˧	iɔʔ˧	33	8	
浴	iɔʔ	˧	iɔʔ˧	33	8	
欲	iɔʔ	˧	iɔʔ˧	33	8	
獄	iɔʔ	˧	iɔʔ˧	33	8	
慾	iɔʔ	˧	iɔʔ˧	33	8	
唷	iɔʔ		iɔʔ	0	0	
一	iəʔ	˦˥	iəʔ˦˥	45	7	
壹	iəʔ	˦˥	iəʔ˦˥	45	7	
乙	iəʔ	˦˥	iəʔ˦˥	45	7	
亦	iəʔ	˦˥	iəʔ˦˥	45	7	
抑	iəʔ	˦˥	iəʔ˦˥	45	7	
益	iəʔ	˦˥	iəʔ˦˥	45	7	
憶	iəʔ	˦˥	iəʔ˦˥	45	7	～頭
翼	iəʔ	˦˥	iəʔ˦˥	45	7	
驛	iəʔ	˦˥	iəʔ˦˥	45	7	～站
易	iəʔ	˧	iəʔ˧	33	8	
譯	iəʔ	˧	iəʔ˧	33	8	
洇	iŋ	˦˥	iŋ˦˥	45	5	
印	iŋ	˦˥	iŋ˦˥	45	5	
映	iŋ	˦˥	iŋ˦˥	45	5	
應	iŋ	˦˥	iŋ˦˥	45	5	
吟	iŋ	˨˦	iŋ˨˦	24	2	
寅	iŋ	˨˦	iŋ˨˦	24	2	
銀	iŋ	˨˦	iŋ˨˦	24	2	
迎	iŋ	˨˦	iŋ˨˦	24	2	
盈	iŋ	˨˦	iŋ˨˦	24	2	
塋	iŋ	˨˦	iŋ˨˦	24	2	文讀
螢	iŋ	˨˦	iŋ˨˦	24	2	
營	iŋ	˨˦	iŋ˨˦	24	2	
蠅	iŋ	˨˦	iŋ˨˦	24	2	
贏	iŋ	˨˦	iŋ˨˦	24	2	
因	iŋ	˨˩	iŋ˨˩	21	1	
音	iŋ	˨˩	iŋ˨˩	21	1	
姻	iŋ	˨˩	iŋ˨˩	21	1	
陰	iŋ	˨˩	iŋ˨˩	21	1	
英	iŋ	˨˩	iŋ˨˩	21	1	
嬰	iŋ	˨˩	iŋ˨˩	21	1	
櫻	iŋ	˨˩	iŋ˨˩	21	1	
纓	iŋ	˨˩	iŋ˨˩	21	1	
鷹	iŋ	˨˩	iŋ˨˩	21	1	
鸚	iŋ	˨˩	iŋ˨˩	21	1	
應	iŋ	˨˩	iŋ˨˩	21	1	
引	iŋ	˧˨˨	iŋ˧˨˨	322	3	
飲	iŋ	˧˨˨	iŋ˧˨˨	322	3	
隱	iŋ	˧˨˨	iŋ˧˨˨	322	3	
癮	iŋ	˧˨˨	iŋ˧˨˨	322	3	
影	iŋ	˧˨˨	iŋ˧˨˨	322	3	
幼	iʊ	˦˥	iʊ˦˥	45	5	
尤	iʊ	˨˦	iʊ˨˦	24	2	
由	iʊ	˨˦	iʊ˨˦	24	2	
油	iʊ	˨˦	iʊ˨˦	24	2	
郵	iʊ	˨˦	iʊ˨˦	24	2	
猶	iʊ	˨˦	iʊ˨˦	24	2	
遊	iʊ	˨˦	iʊ˨˦	24	2	
游	iʊ	˨˦	iʊ˨˦	24	2	
魷	iʊ	˨˦	iʊ˨˦	24	2	
幽	iʊ	˨˩	iʊ˨˩	21	1	
悠	iʊ	˨˩	iʊ˨˩	21	1	
憂	iʊ	˨˩	iʊ˨˩	21	1	
優	iʊ	˨˩	iʊ˨˩	21	1	
又	iʊ	˧	iʊ˧	33	6	
右	iʊ	˧	iʊ˧	33	6	
佑	iʊ	˧	iʊ˧	33	6	
柚	iʊ	˧	iʊ˧	33	6	
祐	iʊ	˧	iʊ˧	33	6	
友	iʊ	˧˨˨	iʊ˧˨˨	322	3	
有	iʊ	˧˨˨	iʊ˧˨˨	322	3	
酉	iʊ	˧˨˨	iʊ˧˨˨	322	3	
怨	iʊ̃ᵘ̃	˦˥	iʊ̃ᵘ̃˦˥	45	5	
元	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
袁	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
原	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
員	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
援	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
園	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
圓	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
源	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
緣	iʊ̃ᵘ̃	˨˦	iʊ̃ᵘ̃˨˦	24	2	
冤	iʊ̃ᵘ̃	˨˩	iʊ̃ᵘ̃˨˩	21	1	
淵	iʊ̃ᵘ̃	˨˩	iʊ̃ᵘ̃˨˩	21	1	
鴛	iʊ̃ᵘ̃	˨˩	iʊ̃ᵘ̃˨˩	21	1	
塋	iʊ̃ᵘ̃	˧	iʊ̃ᵘ̃˧	33	6	白讀，坟～
院	iʊ̃ᵘ̃	˧	iʊ̃ᵘ̃˧	33	6	
願	iʊ̃ᵘ̃	˧	iʊ̃ᵘ̃˧	33	6	
遠	iʊ̃ᵘ̃	˧˨˨	iʊ̃ᵘ̃˧˨˨	322	3	
月	iʊʔ	˧	iʊʔ˧	33	8	
悅	iʊʔ	˧	iʊʔ˧	33	8	
越	iʊʔ	˧	iʊʔ˧	33	8	
閱	iʊʔ	˧	iʊʔ˧	33	8	
咽	iʔ	˦˥	iʔ˦˥	45	7	
噎	iʔ	˦˥	iʔ˦˥	45	7	
頁	iʔ	˧	iʔ˧	33	8	
葉	iʔ	˧	iʔ˧	33	8	
業	iʔ	˧	iʔ˧	33	8	
意	ɨᶨ	˦˥	ɨᶨ˦˥	45	5	
億	ɨᶨ	˦˥	ɨᶨ˦˥	45	5	
憶	ɨᶨ	˦˥	ɨᶨ˦˥	45	5	文讀
爺	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	父亲的弟弟
夷	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
宜	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
咦	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
姨	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
胰	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
移	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
疑	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
遺	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
儀	ɨᶨ	˨˦	ɨᶨ˨˦	24	2	
伊	ɨᶨ	˨˩	ɨᶨ˨˩	21	1	
衣	ɨᶨ	˨˩	ɨᶨ˨˩	21	1	
依	ɨᶨ	˨˩	ɨᶨ˨˩	21	1	
醫	ɨᶨ	˨˩	ɨᶨ˨˩	21	1	
易	ɨᶨ	˧	ɨᶨ˧	33	6	
異	ɨᶨ	˧	ɨᶨ˧	33	6	
裔	ɨᶨ	˧	ɨᶨ˧	33	6	
義	ɨᶨ	˧	ɨᶨ˧	33	6	
誼	ɨᶨ	˧	ɨᶨ˧	33	6	
毅	ɨᶨ	˧	ɨᶨ˧	33	6	
藝	ɨᶨ	˧	ɨᶨ˧	33	6	
議	ɨᶨ	˧	ɨᶨ˧	33	6	
已	ɨᶨ	˧˨˨	ɨᶨ˧˨˨	322	3	
以	ɨᶨ	˧˨˨	ɨᶨ˧˨˨	322	3	
倚	ɨᶨ	˧˨˨	ɨᶨ˧˨˨	322	3	
椅	ɨᶨ	˧˨˨	ɨᶨ˧˨˨	322	3	
蟻	ɨᶨ	˧˨˨	ɨᶨ˧˨˨	322	3	
尬	kɑ	˦˥	kɑ˦˥	45	5	
架	kɑ	˦˥	kɑ˦˥	45	5	白讀
嫁	kɑ	˦˥	kɑ˦˥	45	5	白讀
駕	kɑ	˦˥	kɑ˦˥	45	5	白讀
界	kɑ	˦˥	kɑ˦˥	45	5	又音
家	kɑ	˨˩	kɑ˨˩	21	1	白讀
袈	kɑ	˨˩	kɑ˨˩	21	1	白讀
稼	kɑ	˨˩	kɑ˨˩	21	1	白讀
賈	kɑ	˧˨˨	kɑ˧˨˨	322	3	白讀
槓	kã	˦˥	kã˦˥	45	5	
虹	kã	˦˥	kã˦˥	45	5	
降	kã	˦˥	kã˦˥	45	5	白讀
肛	kã	˨˩	kã˨˩	21	1	
缸	kã	˨˩	kã˨˩	21	1	
剛	kã	˨˩	kã˨˩	21	1	
綱	kã	˨˩	kã˨˩	21	1	
鋼	kã	˨˩	kã˨˩	21	1	
江	kã	˨˩	kã˨˩	21	1	白讀
豇	kã	˨˩	kã˨˩	21	1	
加	kɑ	˨˩	kɑ˨˩	21	1	白讀
枷	kɑ	˨˩	kɑ˨˩	21	1	白讀
痂	kɑ	˨˩	kɑ˨˩	21	1	白讀
崗	kã	˧˨˨	kã˧˨˨	322	3	
港	kã	˧˨˨	kã˧˨˨	322	3	
講	kã	˧˨˨	kã˧˨˨	322	3	白讀
旮	kaʔ	˦˥	kaʔ˦˥	45	7	
擱	kaʔ	˦˥	kaʔ˦˥	45	7	
閣	kaʔ	˦˥	kaʔ˦˥	45	7	
各	kaʔ	˦˥	kaʔ˦˥	45	7	
角	kaʔ	˦˥	kaʔ˦˥	45	7	
覺	kaʔ	˦˥	kaʔ˦˥	45	7	白讀
告	kɔ	˦˥	kɔ˦˥	45	5	
叫	kɔ	˦˥	kɔ˦˥	45	5	白讀，～花子
窖	kɔ	˦˥	kɔ˦˥	45	5	
較	kɔ	˦˥	kɔ˦˥	45	5	白讀
酵	kɔ	˦˥	kɔ˦˥	45	5	白讀
覺	kɔ	˦˥	kɔ˦˥	45	5	白讀
校	kɔ	˦˥	kɔ˦˥	45	5	白讀，地名，～場
皋	kɔ	˨˩	kɔ˨˩	21	1	地名，如～
高	kɔ	˨˩	kɔ˨˩	21	1	
羔	kɔ	˨˩	kɔ˨˩	21	1	
膏	kɔ	˨˩	kɔ˨˩	21	1	
糕	kɔ	˨˩	kɔ˨˩	21	1	
交	kɔ	˨˩	kɔ˨˩	21	1	白讀
茭	kɔ	˨˩	kɔ˨˩	21	1	
跤	kɔ	˨˩	kɔ˨˩	21	1	
膠	kɔ	˨˩	kɔ˨˩	21	1	白讀
教	kɔ	˨˩	kɔ˨˩	21	1	白讀
杲	kɔ	˧˨˨	kɔ˧˨˨	322	3	～昃
搞	kɔ	˧˨˨	kɔ˧˨˨	322	3	
稿	kɔ	˧˨˨	kɔ˧˨˨	322	3	
鎬	kɔ	˧˨˨	kɔ˧˨˨	322	3	
狡	kɔ	˧˨˨	kɔ˧˨˨	322	3	白讀
絞	kɔ	˧˨˨	kɔ˧˨˨	322	3	白讀
攪	kɔ	˧˨˨	kɔ˧˨˨	322	3	白讀
供	kɔŋ	˦˥	kɔŋ˦˥	45	5	
共	kɔŋ	˦˥	kɔŋ˦˥	45	5	文讀
貢	kɔŋ	˦˥	kɔŋ˦˥	45	5	
工	kɔŋ	˨˩	kɔŋ˨˩	21	1	
弓	kɔŋ	˨˩	kɔŋ˨˩	21	1	
公	kɔŋ	˨˩	kɔŋ˨˩	21	1	
功	kɔŋ	˨˩	kɔŋ˨˩	21	1	
攻	kɔŋ	˨˩	kɔŋ˨˩	21	1	
恭	kɔŋ	˨˩	kɔŋ˨˩	21	1	
蚣	kɔŋ	˨˩	kɔŋ˨˩	21	1	
躬	kɔŋ	˨˩	kɔŋ˨˩	21	1	
宮	kɔŋ	˨˩	kɔŋ˨˩	21	1	
汞	kɔŋ	˧˨˨	kɔŋ˧˨˨	322	3	
拱	kɔŋ	˧˨˨	kɔŋ˧˨˨	322	3	
鞏	kɔŋ	˧˨˨	kɔŋ˧˨˨	322	3	
谷	kɔʔ	˦˥	kɔʔ˦˥	45	7	
穀	kɔʔ	˦˥	kɔʔ˦˥	45	7	
國	kɔʔ	˦˥	kɔʔ˦˥	45	7	
垢	kəɪ	˦˥	kəɪ˦˥	45	5	
夠	kəɪ	˦˥	kəɪ˦˥	45	5	
構	kəɪ	˦˥	kəɪ˦˥	45	5	
購	kəɪ	˦˥	kəɪ˦˥	45	5	
勾	kəɪ	˨˩	kəɪ˨˩	21	1	
鉤	kəɪ	˨˩	kəɪ˨˩	21	1	
溝	kəɪ	˨˩	kəɪ˨˩	21	1	
篝	kəɪ	˨˩	kəɪ˨˩	21	1	
給	kəɪ	˧˨˨	kəɪ˧˨˨	322	3	
苟	kəɪ	˧˨˨	kəɪ˧˨˨	322	3	
狗	kəɪ	˧˨˨	kəɪ˧˨˨	322	3	
枸	kəɪ	˧˨˨	kəɪ˧˨˨	322	3	
艮	kəŋ	˦˥	kəŋ˦˥	45	5	
更	kəŋ	˦˥	kəŋ˦˥	45	5	
根	kəŋ	˨˩	kəŋ˨˩	21	1	
跟	kəŋ	˨˩	kəŋ˨˩	21	1	
庚	kəŋ	˨˩	kəŋ˨˩	21	1	
耕	kəŋ	˨˩	kəŋ˨˩	21	1	
羹	kəŋ	˨˩	kəŋ˨˩	21	1	
更	kəŋ	˨˩	kəŋ˨˩	21	1	
今	kəŋ	˨˩	kəŋ˨˩	21	1	白讀
粳	kəŋ	˨˩	kəŋ˨˩	21	1	
埂	kəŋ	˧˨˨	kəŋ˧˨˨	322	3	
梗	kəŋ	˧˨˨	kəŋ˧˨˨	322	3	
革	kəʔ	˦˥	kəʔ˦˥	45	7	
格	kəʔ	˦˥	kəʔ˦˥	45	7	
隔	kəʔ	˦˥	kəʔ˦˥	45	7	
嗝	kəʔ	˦˥	kəʔ˦˥	45	7	
骼	kəʔ	˦˥	kəʔ˦˥	45	7	
𠺝	kəʔ		kəʔ	0	0	語氣詞
丐	kɛ	˦˥	kɛ˦˥	45	5	
鈣	kɛ	˦˥	kɛ˦˥	45	5	
溉	kɛ	˦˥	kɛ˦˥	45	5	
蓋	kɛ	˦˥	kɛ˦˥	45	5	
概	kɛ	˦˥	kɛ˦˥	45	5	
解	kɛ	˦˥	kɛ˦˥	45	5	
介	kɛ	˦˥	kɛ˦˥	45	5	白讀
戒	kɛ	˦˥	kɛ˦˥	45	5	
屆	kɛ	˦˥	kɛ˦˥	45	5	白讀
界	kɛ	˦˥	kɛ˦˥	45	5	白讀
誡	kɛ	˦˥	kɛ˦˥	45	5	
鋸	kɛ	˦˥	kɛ˦˥	45	5	白讀
械	kɛ	˦˥	kɛ˦˥	45	5	白讀
該	kɛ	˨˩	kɛ˨˩	21	1	
皆	kɛ	˨˩	kɛ˨˩	21	1	白讀
階	kɛ	˨˩	kɛ˨˩	21	1	白讀
街	kɛ	˨˩	kɛ˨˩	21	1	
稭	kɛ	˨˩	kɛ˨˩	21	1	
改	kɛ	˧˨˨	kɛ˧˨˨	322	3	
解	kɛ	˧˨˨	kɛ˧˨˨	322	3	白讀
康	kʰã	˨˩	kʰã˨˩	21	1	
揢	kʰɑ	˦˥	kʰɑ˦˥	45	5	掐
卡	kʰɑ	˨˦	kʰɑ˨˦	24	2	借字。搶；騎跨
骑	kʰɑ	˨˦	kʰɑ˨˦	24	2	跨
抲	kʰɑ	˨˩	kʰɑ˨˩	21	1	塞，揣
咖	kʰɑ	˨˩	kʰɑ˨˩	21	1	
卡	kʰɑ	˧˨˨	kʰɑ˧˨˨	322	3	
亢	kʰã	˦˥	kʰã˦˥	45	5	
抗	kʰã	˦˥	kʰã˦˥	45	5	
囥	kʰã	˦˥	kʰã˦˥	45	5	藏匿物體
炕	kʰã	˦˥	kʰã˦˥	45	5	
扛	kʰã	˨˦	kʰã˨˦	24	2	
吭	kʰã	˨˦	kʰã˨˦	24	2	聲稱，堅持認為
慷	kʰã	˨˩	kʰã˨˩	21	1	
糠	kʰã	˨˩	kʰã˨˩	21	1	
項	kʰã	˨˩	kʰã˨˩	21	1	白讀，颈～
殼	kʰaʔ	˦˥	kʰaʔ˦˥	45	7	
搉	kʰaʔ	˦˥	kʰaʔ˦˥	45	7	敲打，砸。
確	kʰaʔ	˦˥	kʰaʔ˦˥	45	7	白讀
犒	kʰɔ	˦˥	kʰɔ˦˥	45	5	
銬	kʰɔ	˦˥	kʰɔ˦˥	45	5	
靠	kʰɔ	˦˥	kʰɔ˦˥	45	5	
敲	kʰɔ	˨˩	kʰɔ˨˩	21	1	
敽	kʰɔ	˧˨˨	kʰɔ˧˨˨	322	3	縫合，～邊
考	kʰɔ	˧˨˨	kʰɔ˧˨˨	322	3	
拷	kʰɔ	˧˨˨	kʰɔ˧˨˨	322	3	
烤	kʰɔ	˧˨˨	kʰɔ˧˨˨	322	3	
空	kʰɔŋ	˦˥	kʰɔŋ˦˥	45	5	
控	kʰɔŋ	˦˥	kʰɔŋ˦˥	45	5	
穹	kʰɔŋ	˨˦	kʰɔŋ˨˦	24	2	鼓起
空	kʰɔŋ	˨˩	kʰɔŋ˨˩	21	1	
共	kʰɔŋ	˧	kʰɔŋ˧	33	6	白讀
共	kʰɔŋ	˧˨˨	kʰɔŋ˧˨˨	322	3	白讀
孔	kʰɔŋ	˧˨˨	kʰɔŋ˧˨˨	322	3	
恐	kʰɔŋ	˧˨˨	kʰɔŋ˧˨˨	322	3	
哭	kʰɔʔ	˦˥	kʰɔʔ˦˥	45	7	
酷	kʰɔʔ	˦˥	kʰɔʔ˦˥	45	7	
叩	kʰəɪ	˦˥	kʰəɪ˦˥	45	5	
扣	kʰəɪ	˦˥	kʰəɪ˦˥	45	5	
寇	kʰəɪ	˦˥	kʰəɪ˦˥	45	5	
彄	kʰəɪ	˨˦	kʰəɪ˨˦	24	2	略微驼背
摳	kʰəɪ	˨˩	kʰəɪ˨˩	21	1	
扣	kʰəɪ	˨˩	kʰəɪ˨˩	21	1	
口	kʰəɪ	˧˨˨	kʰəɪ˧˨˨	322	3	
掯	kʰəŋ	˦˥	kʰəŋ˦˥	45	5	按壓
硍	kʰəŋ	˦˥	kʰəŋ˦˥	45	5	身上的污垢
拫	kʰəŋ	˨˦	kʰəŋ˨˦	24	2	推，打
阬	kʰəŋ	˨˩	kʰəŋ˨˩	21	1	
坑	kʰəŋ	˨˩	kʰəŋ˨˩	21	1	
吭	kʰəŋ	˨˩	kʰəŋ˨˩	21	1	
肯	kʰəŋ	˧˨˨	kʰəŋ˧˨˨	322	3	
啃	kʰəŋ	˧˨˨	kʰəŋ˧˨˨	322	3	
墾	kʰəŋ	˧˨˨	kʰəŋ˧˨˨	322	3	
懇	kʰəŋ	˧˨˨	kʰəŋ˧˨˨	322	3	
咳	kʰəʔ	˦˥	kʰəʔ˦˥	45	7	
克	kʰəʔ	˦˥	kʰəʔ˦˥	45	7	
刻	kʰəʔ	˦˥	kʰəʔ˦˥	45	7	
客	kʰəʔ	˦˥	kʰəʔ˦˥	45	7	
剋	kʰəʔ	˧	kʰəʔ˧	33	8	挤
隑	kʰɛ	˦˥	kʰɛ˦˥	45	5	倚靠
慨	kʰɛ	˦˥	kʰɛ˦˥	45	5	
䬵	kʰɛ	˨˦	kʰɛ˨˦	24	2	打饱嗝
揩	kʰɛ	˨˩	kʰɛ˨˩	21	1	
開	kʰɛ	˨˩	kʰɛ˨˩	21	1	
凱	kʰɛ	˧˨˨	kʰɛ˧˨˨	322	3	
慨	kʰɛ	˧˨˨	kʰɛ˧˨˨	322	3	
楷	kʰɛ	˧˨˨	kʰɛ˧˨˨	322	3	
嵌	kʰʲɛ̃	˦˥	kʰʲɛ̃˦˥	45	5	
函	kʰʲɛ̃	˨˦	kʰʲɛ̃˨˦	24	2	細～子
䶠	kʰʲɛ̃	˨˦	kʰʲɛ̃˨˦	24	2	虾蟹的螯
鉛	kʰʲɛ̃	˨˩	kʰʲɛ̃˨˩	21	1	
艦	kʰʲɛ̃	˧˨˨	kʰʲɛ̃˧˨˨	322	3	
檻	kʰʲɛ̃	˧˨˨	kʰʲɛ̃˧˨˨	322	3	
甲	kʰʲɛʔ	˦˥	kʰʲɛʔ˦˥	45	7	白讀，指～
掐	kʰʲɛʔ	˦˥	kʰʲɛʔ˦˥	45	7	
恰	kʰʲɛʔ	˦˥	kʰʲɛʔ˦˥	45	7	白讀
挾	kʰʲɛʔ	˧	kʰʲɛʔ˧	33	8	～住
軋	kʰʲɛʔ	˧	kʰʲɛʔ˧	33	8	～花
環	kʰʲuɛ̃	˨˦	kʰʲuɛ̃˨˦	24	2	
摜	kʰʲuɛ̃	˧	kʰʲuɛ̃˧	33	6	
狹	kʰʲuɛʔ	˦˥	kʰʲuɛʔ˦˥	45	7	促～
貫	kʰʲuɛʔ	˧	kʰʲuɛʔ˧	33	8	借字，鈎住，牽住
課	kʰʊ	˦˥	kʰʊ˦˥	45	5	
科	kʰʊ	˨˩	kʰʊ˨˩	21	1	
棵	kʰʊ	˨˩	kʰʊ˨˩	21	1	
窠	kʰʊ	˨˩	kʰʊ˨˩	21	1	
蝌	kʰʊ	˨˩	kʰʊ˨˩	21	1	
顆	kʰʊ	˨˩	kʰʊ˨˩	21	1	
可	kʰʊ	˧˨˨	kʰʊ˧˨˨	322	3	
挎	kʰuɑ	˦˥	kʰuɑ˦˥	45	5	
侉	kʰuɑ	˧˨˨	kʰuɑ˧˨˨	322	3	
曠	kʰuã	˦˥	kʰuã˦˥	45	5	
礦	kʰuã	˦˥	kʰuã˦˥	45	5	
跨	kʰuɑ	˦˥	kʰuɑ˦˥	45	5	
垮	kʰuɑ	˧˨˨	kʰuɑ˧˨˨	322	3	
況	kʰuã	˦˥	kʰuã˦˥	45	5	
狂	kʰuã	˨˦	kʰuã˨˦	24	2	
匡	kʰuã	˨˩	kʰuã˨˩	21	1	
筐	kʰuã	˨˩	kʰuã˨˩	21	1	
框	kʰuã	˨˩	kʰuã˨˩	21	1	
眶	kʰuã	˨˩	kʰuã˨˩	21	1	
胯	kʰuɑ	˦˥	kʰuɑ˦˥	45	5	
刳	kʰuɑ	˨˦	kʰuɑ˨˦	24	2	刮
誇	kʰuɑ	˨˩	kʰuɑ˨˩	21	1	
夸	kʰuɑ	˨˩	kʰuɑ˨˩	21	1	
廓	kʰuaʔ	˦˥	kʰuaʔ˦˥	45	7	
擴	kʰuaʔ	˦˥	kʰuaʔ˦˥	45	7	
愧	kʰuəɪ	˦˥	kʰuəɪ˦˥	45	5	
潰	kʰuəɪ	˦˥	kʰuəɪ˦˥	45	5	
逵	kʰuəɪ	˨˦	kʰuəɪ˨˦	24	2	
馗	kʰuəɪ	˨˦	kʰuəɪ˨˦	24	2	
葵	kʰuəɪ	˨˦	kʰuəɪ˨˦	24	2	
魁	kʰuəɪ	˨˦	kʰuəɪ˨˦	24	2	
盔	kʰuəɪ	˨˩	kʰuəɪ˨˩	21	1	
窺	kʰuəɪ	˨˩	kʰuəɪ˨˩	21	1	
虧	kʰuəɪ	˨˩	kʰuəɪ˨˩	21	1	
跪	kʰuəɪ	˧	kʰuəɪ˧	33	6	
櫃	kʰuəɪ	˧	kʰuəɪ˧	33	6	
傀	kʰuəɪ	˧˨˨	kʰuəɪ˧˨˨	322	3	
困	kʰuəŋ	˦˥	kʰuəŋ˦˥	45	5	
睏	kʰuəŋ	˦˥	kʰuəŋ˦˥	45	5	
坤	kʰuəŋ	˨˩	kʰuəŋ˨˩	21	1	
昆	kʰuəŋ	˨˩	kʰuəŋ˨˩	21	1	
崑	kʰuəŋ	˨˩	kʰuəŋ˨˩	21	1	
捆	kʰuəŋ	˧˨˨	kʰuəŋ˧˨˨	322	3	
綑	kʰuəŋ	˧˨˨	kʰuəŋ˧˨˨	322	3	
窟	kʰuəʔ	˦˥	kʰuəʔ˦˥	45	7	
會	kʰuɛ	˦˥	kʰuɛ˦˥	45	5	
快	kʰuɛ	˦˥	kʰuɛ˦˥	45	5	
塊	kʰuɛ	˦˥	kʰuɛ˦˥	45	5	
筷	kʰuɛ	˦˥	kʰuɛ˦˥	45	5	
擓	kʰuɛ	˧	kʰuɛ˧	33	6	背，挎
擓	kʰuɛ	˧˨˨	kʰuɛ˧˨˨	322	3	舀，搲
