繁	簡	IPA	IPA無調	拼音	調值	解釋													
牸	牸	zɿ¹¹³	zɿ	zy2A	113	~牛；下~													
垐	垐	zɿ¹¹³	zɿ	zy2A	113	~實													
鶿	鹚	zɿ¹¹³	zɿ	zy2A	113														
兒	儿	zɿ¹¹³	zɿ	zy2A	113	白，爺~兩個，孃~兩個													
牸	牸	zɿ²¹³	zɿ	zy6	213	又音													
遲	迟	zɿ¹¹³	zɿ	zy2A	113	又音													
弛	弛	zɿ¹¹³	zɿ	zy2A	113	文													
茨	茨	zɿ¹¹³	zɿ	zy2A	113	~菇													
嗣	嗣	zɿ²¹³	zɿ	zy6	213	滅門絕~													
豉	豉	zɿ¹¹³	zɿ	zy2A	113														
匙	匙	zɿ¹¹³	zɿ	zy2A	113	湯~													
糍	糍	zɿ¹¹³	zɿ	zy2A	113														
𨫞	匙	zɿ¹¹³	zɿ	zy2A	113	鑰~													
時	时	zɿ¹¹³	zɿ	zy2A	113														
旹	时	zɿ¹¹³	zɿ	zy2A	113														
鰣	鲥	zɿ¹¹³	zɿ	zy2A	113														
是	是	zɿ²³¹	zɿ	zy4	231	又音													
自	自	zɿ²¹³	zɿ	zy6	213														
字	字	zɿ²¹³	zɿ	zy6	213														
似	似	zɿ²¹³	zɿ	zy6	213														
巳	巳	zɿ²¹³	zɿ	zy6	213														
祀	祀	zɿ²¹³	zɿ	zy6	213														
禩	祀	zɿ²¹³	zɿ	zy6	213														
寺	寺	zɿ²¹³	zɿ	zy6	213														
豉	豉	zɿ²¹³	zɿ	zy6	213														
漬	渍	zɿ²¹³	zɿ	zy6	213	~腳													
誓	誓	zɿ²¹³	zɿ	zy6	213	賭呪罰~													
逝	逝	zɿ²¹³	zɿ	zy6	213														
兕	兕	zɿ²¹³	zɿ	zy6	213														
是	是	zɿ²¹³	zɿ	zy6	213														
氏	氏	zɿ²¹³	zɿ	zy6	213														
舐	舐	zɿ²¹³	zɿ	zy6	213														
稚	稚	zɿ²¹³	zɿ	zy6	213														
示	示	zɿ²¹³	zɿ	zy6	213														
視	视	zɿ²¹³	zɿ	zy6	213														
嗜	嗜	zɿ²¹³	zɿ	zy6	213														
噬	噬	zɿ²¹³	zɿ	zy6	213														
士	士	zɿ²¹³	zɿ	zy6	213														
仕	仕	zɿ²¹³	zɿ	zy6	213														
市	市	zɿ²¹³	zɿ	zy6	213														
俟	俟	zɿ²¹³	zɿ	zy6	213	~機													
鈰	铈	zɿ²¹³	zɿ	zy6	213														
柿	柿	zɿ²¹³	zɿ	zy6	213														
事	事	zɿ²¹³	zɿ	zy6	213														
恃	恃	zɿ²¹³	zɿ	zy6	213														
侍	侍	zɿ²¹³	zɿ	zy6	213														
伺	伺	zɿ²¹³	zɿ	zy6	213	~機，本字或作俟													
謚	谥	zɿ²¹³	zɿ	zy6	213														
剚	剚	zɿ²¹³	zɿ	zy6	213	碎割零~													
蒔	莳	zɿ²¹³	zɿ	zy6	213	~稻													
屄	屄	piⱼ⁴⁴	piⱼ	pi1	44	女陰													
彼	彼	piⱼ⁵¹	piⱼ	pi3	51														
俾	俾	piⱼ⁵¹	piⱼ	pi3	51														
鄙	鄙	piⱼ⁵¹	piⱼ	pi3	51	卑~													
比	比	piⱼ⁵¹	piⱼ	pi3	51														
妣	妣	piⱼ⁵¹	piⱼ	pi3	51	考~													
匕	匕	piⱼ⁵¹	piⱼ	pi3	51														
秕	秕	piⱼ⁵¹	piⱼ	pi3	51														
閉	闭	piⱼ⁵¹	piⱼ	pi5	324														
臂	臂	piⱼ³²⁴	piⱼ	pi5	324														
轡	辔	piⱼ³²⁴	piⱼ	pi5	324	白													
祕	秘	piⱼ³²⁴	piⱼ	pi5	324	~密													
泌	泌	piⱼ³²⁴	piⱼ	pi5	324	便~													
毖	毖	piⱼ³²⁴	piⱼ	pi5	324	懲前~後													
庇	庇	piⱼ³²⁴	piⱼ	pi5	324	又音													
畀	畀	piⱼ³²⁴	piⱼ	pi5	324														
痹	痹	piⱼ³²⁴	piⱼ	pi5	324	麻~													
箅	箅	piⱼ³²⁴	piⱼ	pi5	324														
裨	裨	piⱼ³²⁴	piⱼ	pi5	324	~益													
批	批	pʰiⱼ⁴⁴	pʰi	phi1	44														
披	披	pʰiⱼ⁴⁴	pʰi	phi1	44														
砒	砒	pʰiⱼ⁴⁴	pʰi	phi1	44														
紕	纰	pʰiⱼ⁴⁴	pʰi	phi1	44	~謬													
𠜱	𠜱	pʰiⱼ⁴⁴	pʰi	phi1	44	削													
丕	丕	pʰiⱼ⁴⁴	pʰi	phi1	44														
𠜱	𠜱	pʰiⱼ⁵¹	pʰi	phi3	51	又音													
庇	庇	pʰiⱼ⁵¹	pʰi	phi3	51	包~													
痞	痞	pʰiⱼ⁵¹	pʰi	phi3	51														
嚭	嚭	pʰiⱼ⁵¹	pʰi	phi3	51														
屁	屁	pʰiⱼ³²⁴	pʰi	phi5	324														
譬	譬	pʰiⱼ³²⁴	pʰi	phi5	324	~如													
媲	媲	pʰiⱼ³²⁴	pʰi	phi5	324	~美													
濞	濞	pʰiⱼ³²⁴	pʰi	phi5	324														
皮	皮	biⱼ¹¹³	biⱼ	bi2A	113														
疲	疲	biⱼ¹¹³	biⱼ	bi2A	113														
陂	陂	biⱼ¹¹³	biⱼ	bi2A	113														
鮍	鲏	biⱼ¹¹³	biⱼ	bi2A	113														
啤	啤	biⱼ¹¹³	biⱼ	bi2A	113														
脾	脾	biⱼ¹¹³	biⱼ	bi2A	113														
琵	琵	biⱼ¹¹³	biⱼ	bi2A	113	~琶													
毗	毗	biⱼ¹¹³	biⱼ	bi2A	113														
毘	毗	biⱼ¹¹³	biⱼ	bi2A	113														
紕	纰	biⱼ¹¹³	biⱼ	bi2A	113	~漏													
肥	肥	biⱼ¹¹³	biⱼ	bi2A	113	~皁													
比	比	biⱼ¹¹³	biⱼ	bi2A	113	量詞，層次													
羆	罴	biⱼ¹¹³	biⱼ	bi2A	113														
鈹	铍	biⱼ¹¹³	biⱼ	bi2A	113														
貔	貔	biⱼ¹¹³	biⱼ	bi2A	113														
邳	邳	biⱼ¹¹³	biⱼ	bi2A	113														
皮	皮	biⱼ²³¹	biⱼ	bi4	231	~軑，車輪打滑，破讀													
坒	坒	biⱼ²³¹	biⱼ	bi4	231	堆㬪													
鐾	鐾	biⱼ²³¹	biⱼ	bi4	231	刀~~快													
陛	陛	biⱼ²¹³	biⱼ	bi6	213														
鐾	鐾	biⱼ²¹³	biⱼ	bi6	213	又音													
被	被	biⱼ²¹³	biⱼ	bi6	213														
婢	婢	biⱼ²¹³	biⱼ	bi6	213														
避	避	biⱼ²¹³	biⱼ	bi6	213														
辟	辟	biⱼ²¹³	biⱼ	bi6	213	~邪，字又作避													
否	否	biⱼ²¹³	biⱼ	bi6	213	~極泰來													
備	备	biⱼ²¹³	biⱼ	bi6	213														
比	比	biⱼ²¹³	biⱼ	bi6	213	比鄰													
蔽	蔽	biⱼ²¹³	biⱼ	bi6	213														
敝	敝	biⱼ²¹³	biⱼ	bi6	213														
弊	弊	biⱼ²¹³	biⱼ	bi6	213														
幣	币	biⱼ²¹³	biⱼ	bi6	213														
斃	毙	biⱼ²¹³	biⱼ	bi6	213														
篦	篦	biⱼ²¹³	biⱼ	bi6	213	~䇫													
鄙	鄙	biⱼ²¹³	biⱼ	bi6	213	~人													
痹	痹	biⱼ²¹³	biⱼ	bi6	213	麻~，又音													
瞇	瞇	ʔmiⱼ⁴⁴	ʔmiⱼ	mi1	44														
眯	眯	ʔmiⱼ⁴⁴	ʔmiⱼ	mi1	44	~細眼													
渳	渳	ʔmiⱼ⁴⁴	ʔmiⱼ	mi1	44	~一口酒													
㝥	㝥	ʔmiⱼ⁴⁴	ʔmiⱼ	mi1	44	小睡													
咪	咪	ʔmiⱼ⁴⁴	ʔmiⱼ	mi1	44	甜~~													
米	米	ʔmiⱼ⁵¹	ʔmiⱼ	mi3	51														
芈	芈	ʔmiⱼ⁵¹	ʔmiⱼ	mi3	51														
迷	迷	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
醚	醚	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
糜	糜	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
靡	靡	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
麋	麋	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
彌	弥	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34	~勒佛													
瀰	弥	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34	~漫													
獼	猕	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
眉	眉	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
鎇	镅	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
楣	楣	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34	門~													
嵋	眉	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
謎	谜	ʔmiⱼ³⁴	ʔmiⱼ	mi2B	34														
媚	媚	miⱼ²¹³	miⱼ	mi6	213														
尾	尾	miⱼ²¹³	miⱼ	mi6	213	~巴													
謎	謎	miⱼ²¹³	miⱼ	mi6	213														
味	味	miⱼ²¹³	miⱼ	mi6	213	~道													
寐	寐	miⱼ²¹³	miⱼ	mi6	213														
魅	魅	miⱼ²¹³	miⱼ	mi6	213														
飛	飞	fiⱼ⁴⁴	fiⱼ	fi1	44														
非	非	fiⱼ⁴⁴	fiⱼ	fi1	44														
妃	妃	fiⱼ⁴⁴	fiⱼ	fi1	44														
緋	绯	fiⱼ⁴⁴	fiⱼ	fi1	44	~紅													
扉	扉	fiⱼ⁴⁴	fiⱼ	fi1	44	門~													
𥳊		fiⱼ⁴⁴	fiⱼ	fi1	44	蘆~													
菲	菲	fiⱼ⁴⁴	fiⱼ	fi1	44														
霏	霏	fiⱼ⁴⁴	fiⱼ	fi1	44														
啡	啡	fiⱼ⁴⁴	fiⱼ	fi1	44														
蜚	蜚	fiⱼ⁴⁴	fiⱼ	fi1	44														
匪	匪	fiⱼ⁵¹	fiⱼ	fi3	51														
榧	榧	fiⱼ⁵¹	fiⱼ	fi3	51														
誹	诽	fiⱼ⁵¹	fiⱼ	fi3	51														
斐	斐	fiⱼ⁵¹	fiⱼ	fi3	51	~然													
菲	菲	fiⱼ⁵¹	fiⱼ	fi3	51	~薄													
翡	翡	fiⱼ⁵¹	fiⱼ	fi3	51														
翡	翡	fiⱼ³²⁴	fiⱼ	fi5	324	~翠													
廢	废	fiⱼ³²⁴	fiⱼ	fi5	324														
肺	肺	fiⱼ³²⁴	fiⱼ	fi5	324														
費	费	fiⱼ³²⁴	fiⱼ	fi5	324	~用													
鐨	镄	fiⱼ³²⁴	fiⱼ	fi5	324														
沸	沸	fiⱼ³²⁴	fiⱼ	fi5	324	新													
狒	狒	fiⱼ³²⁴	fiⱼ	fi5	324	~~													
痱	痱	fiⱼ³²⁴	fiⱼ	fi5	324	文													
吠	吠	fiⱼ³²⁴	fiⱼ	fi5	324	文													
維	维	viⱼ¹¹³	viⱼ	vi2A	113														
唯	唯	viⱼ¹¹³	viⱼ	vi2A	113														
惟	惟	viⱼ¹¹³	viⱼ	vi2A	113														
濰	潍	viⱼ¹¹³	viⱼ	vi2A	113														
肥	肥	viⱼ¹¹³	viⱼ	vi2A	113	~料													
淝	淝	viⱼ¹¹³	viⱼ	vi2A	113														
薇	薇	viⱼ¹¹³	viⱼ	vi2A	113														
微	微	viⱼ¹¹³	viⱼ	vi2A	113	~小													
尾	尾	viⱼ²³¹	viⱼ	vi4	231	~子，指尾數													
尾	尾	viⱼ²¹³	viⱼ	vi6	213	文													
吠	吠	viⱼ²¹³	viⱼ	vi6	213	又音													
未	未	viⱼ²¹³	viⱼ	vi6	213														
味	味	viⱼ²¹³	viⱼ	vi6	213														
費	费	viⱼ²¹³	viⱼ	vi6	213	姓氏													
低	低	tiⱼ⁴⁴	tiⱼ	ti1	44														
氐	氐	tiⱼ⁴⁴	tiⱼ	ti1	44	~族													
底	底	tiⱼ⁵¹	tiⱼ	ti3	51														
底	底	teⁱ⁵¹	teⁱ	tei3	51	疑問代詞，甚麼													
底	底	tia⁵¹	tia	tia3	51	應爲底下合音													
抵	抵	tiⱼ⁵¹	tiⱼ	ti3	51	~達													
牴	牴	tiⱼ⁵¹	tiⱼ	ti3	51														
觝	抵	tiⱼ⁵¹	tiⱼ	ti3	51	~觸													
砥	砥	tiⱼ⁵¹	tiⱼ	ti3	51														
柢	柢	tiⱼ⁵¹	tiⱼ	ti3	51														
詆	诋	tiⱼ⁵¹	tiⱼ	ti3	51														
邸	邸	tiⱼ⁵¹	tiⱼ	ti3	51														
帝	帝	tiⱼ³²⁴	tiⱼ	ti5	324														
碲	碲	tiⱼ³²⁴	tiⱼ	ti5	324														
蒂	蒂	tiⱼ³²⁴	tiⱼ	ti5	324														
蔕	蒂	tiⱼ³²⁴	tiⱼ	ti5	324														
諦	谛	tiⱼ³²⁴	tiⱼ	ti5	324														
渧	渧	tiⱼ³²⁴	tiⱼ	ti5	324	~水													
滴	滴	tiɪ³²⁴	tiɪ	tii5	324	一~水													
梯	梯	tʰiⱼ⁴⁴	tʰiⱼ	thi1	44														
銻	锑	tʰiⱼ⁴⁴	tʰiⱼ	thi1	44	化學元素													
體	体	tʰiⱼ⁵¹	tʰiⱼ	thi3	51														
替	替	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
涕	涕	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
剃	剃	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
鬀	剃	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
鬄	剃	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
笹	屉	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
屉	屉	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
屜	屉	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
嚏	嚏	tʰiⱼ³²⁴	tʰiⱼ	thi5	324														
嚔	嚏	tʰiəʔ³⁴	tʰiəʔ	thiq7	34														
□		tʰiⱼ³²⁴	tʰi	thi5	324	和麪時水摻多了，太黏糊：麪太~着													
䶑	嚏	tʰiⱼ³²⁴	tʰi	thi5	324														
堤	堤	diⱼ¹¹³	diⱼ	di2A	113														
題	题	diⱼ¹¹³	diⱼ	di2A	113														
提	提	diⱼ¹¹³	diⱼ	di2A	113														
醍	醍	diⱼ¹¹³	diⱼ	di2A	113														
締	缔	diⱼ¹¹³	diⱼ	di2A	113														
蹄	蹄	diⱼ¹¹³	diⱼ	di2A	113														
蹏	蹄	diⱼ¹¹³	diⱼ	di2A	113														
啼	啼	diⱼ¹¹³	diⱼ	di2A	113														
嗁	啼	diⱼ¹¹³	diⱼ	di2A	113														
粒	粒	diⱼ¹¹³	diⱼ	di2A	113	幾~寒豆，破讀													
弟	弟	diⱼ²¹³	diⱼ	di6	213														
悌	悌	diⱼ²¹³	diⱼ	di6	213														
第	第	diⱼ²¹³	diⱼ	di6	213														
遞	递	diⱼ²¹³	diⱼ	di6	213														
地	地	diⱼ²¹³	diⱼ	di6	213														
地	地	dia²¹³	dia	dia6	213	應爲地下合音													
棣	棣	diⱼ²¹³	diⱼ	di6	213														
□		ʔɭiⱼ⁴⁴	ʔɭiⱼ	li1	44	提（物）													
呂	吕	ʔɭiⱼ⁵¹	ʔɭiⱼ	li3	51	~四													
禮	礼	ʔɭiⱼ⁵¹	ʔɭiⱼ	li3	51														
豊	礼	ʔɭiⱼ⁵¹	ʔɭiⱼ	li3	51														
鱧	鳢	ʔɭiⱼ⁵¹	ʔɭiⱼ	li3	51														
醴	醴	ʔɭiⱼ⁵¹	ʔɭiⱼ	li3	51														
