字	声母	韵母	调值	備註	陰平54 陰上32 陰去52 陰入2  陽平24 陽去21 陽入4		
仙	ɬ	iŋ	54	白讀			
仙	ɬ	ɛŋ	54	文讀			
代	t	ai	21				
令	l	iŋ	21				
以	0	i	32				
仰	ŋ	yøŋ	32				
仲	t	yøŋ	21				
件	k	yã	21				
任	ts	iŋ	21				
仿	h	ɒŋ	32				
企	kʰ	i	32				
伍	k	ɔu	21	白讀			
伍	ŋ	ɔu	32	文讀			
伏	pʰ	aʔ	2				
伏	h	ɒʔ	4				
伐	h	uoʔ	4				
休	h	iu	54				
会	h	uoi	21	開會			
伞	ɬ	uã	32				
伟	0	ui	32				
传	t	uĩ	52	自傳			
伤	ɬ	yøŋ	54	白讀			
伤	ɬ	iũ	54	文讀			
伦	l	uoŋ	24				
伪	k	ui	21				
伯	p	a	21	白讀			
伯	p	ɛʔ	2	文讀			
估	k	ɔu	32				
伱	n	i	32				
伴	pʰ	uã	21	白讀			
伴	p	uoŋ	21	文讀			
伶	l	ɛŋ	24				
伸	tsʰ	uoŋ	54	白讀			
伸	ɬ	iŋ	54	文讀			
似	ɬ	o	21				
佈	p	ɔu	52				
位	0	ui	21				
低	t	e	54				
住	t	ɔu	21	白讀			
住	ts	y	52	文讀			
佐	ts	ɒ	32				
佑	0	iu	21				
佚	0	iʔ	4				
佛	h	uoʔ	4	文讀，佛祖			
你	n	i	32				
佩	p	uoi	21				
佳	k	a	54				
使	ɬ	ai	32	白讀			
使	ɬ	o	32	文讀			
侃	kʰ	aŋ	32				
來	l	i	24	白讀			
來	l	ai	24	文讀			
侈	tsʰ	i	32				
例	l	e	21				
侍	ɬ	ai/i/o	21				
侖	l	uoŋ	24				
供	k	yøŋ	21	供應			
依	0	i	54				
侠	h	ieʔ	4				
侥	h	ieu	54	否認、不認帳			
侦	ts	iŋ	54				
侧	tsʰ	ɛʔ	2				
侨	k	ieu	24				
侬	n	aŋ	24	原作人			
侮	p	u	32				
侯	h	ieu	24				
侵	tsʰ	iŋ	54				
便	p	ɛŋ	24	便宜			
促	tsʰ	yøʔ	2				
俄	k	ɒ	24				
俊	ts	uoŋ	52				
俏	tsʰ	ieu	52				
俗	ɬ	yøʔ	4				
俘	h	u	24				
保	p	ɒ	32	白讀			
保	p	au	32	文讀			
俞	ts	ɔu/y	24	文讀，姓。			
俟	ɬ	o	21				
俠	h	ieʔ	4				
信	ɬ	ɛŋ	52				
俨	ŋ	ieŋ	32				
俭	k	ieŋ	21				
修	ɬ	iu	54				
俯	h	u	32				
俸	h	ɒŋ	32				
倉	tsʰ	ŋ	54	白讀			
倉	tsʰ	ɒŋ	54	文讀			
個	k/kʰ	o/ɒ	52	個人，量詞（原作本字不明）。			
倒	t	o	32	白讀，倒下			
倒	t	ɒ	32	文讀，打倒			
倚	0	ua	32	白讀			
倚	0	i	32	文讀			
倦	k	yøŋ	21				
倩	tsʰ	ɛŋ	52				
倫	l	uoŋ	24				
债	ts	ua/ai	52	債務，白讀。			
倾	kʰ	iŋ/yŋ	24/32	右傾，傾茶：倒茶。			
假	k	ɒ	32	假裝。			
偉	0	ui	32				
偏	pʰ	ɛŋ	54				
停	t	ɛŋ	24				
健	k	yã	21	白讀			
健	k	yøŋ	21	文讀			
側	tsʰ	ɛʔ	2				
偵	ts	iŋ	54				
偶	k	ieu	32				
偷	tʰ	au/ieu	24				
偿	ɬ	yøŋ	24				
傑	k	ɛʔ	4				
傘	ɬ	uã	32				
備	p	i	21				
储	tʰ	y	24				
催	tsʰ	ui	54				
傲	k	ɒ	21				
傳	t	uĩ	52	自傳。			
債	ts	ua/ai	52	債務，白讀。			
傷	ɬ	iũ	54	白讀			
傷	ɬ	yøŋ	54	文讀			
傾	kʰ	iŋ/yŋ	24/32	右傾，傾茶：倒茶。			
僅	k	iŋ	21				
僑	k	ieu	24				
僞	k	ui	21				
僥	h	ieu	54	否認、不認帳。			
僵	k	yøŋ	54				
價	k	a	52/32	他讀，文讀，白讀，自個兒。			
僻	pʰ	ia	21				
僻	pʰ	iʔ	2				
儀	k	i	24				
儂	n	aŋ	24	原作人。			
億	0	i	52				
儉	k	ieŋ	21				
償	ɬ	yøŋ	24				
優	0	iu	54				
儲	tʰ	y	24				
儼	ŋ	ieŋ	32				
兀	k	uoʔ	4				
允	0	yŋ	32				
元	ŋ	uĩ	24	白讀			
元	ŋ	yŋ	24	文讀			
兄	h	iã	54	白讀			
兄	h	iŋ	54	文讀			
充	tsʰ	yøŋ	54				
先	ɬ	ĩ	54	白讀，占~：佔便宜			
先	ɬ	ɛŋ	54	文讀			
光	k	ŋ	54	白讀			
光	k	ɒŋ	54	文讀			
克	kʰ	ɛʔ	2				
兌	t	ui	52				
免	m	ɛŋ	32				
兒	ts	i	24				
兔	tʰ	ɔu	52				
兜	t	au	54				
入	l/ts	iʔ	4	入聲，入黨。			
內	l	i/uoi	52/21				
全	ts	ỹ	24	白讀			
全	ts	yøŋ	24	文讀			
兩	n	ŋ	32	白讀，兩斤			
兩	n	iũ	32	白讀，斤兩			
兩	l	yøŋ	32	文讀			
八	p	ɛʔ	2	白讀			
八	p	aʔ	2	文讀，認識。			
公	k	aŋ	54	白讀			
公	k	ɒŋ	54	文讀			
六	l	aʔ	4	白讀			
六	l	yøʔ	4	文讀			
兰	l	aŋ	24				
关	k	uĩ	54	白讀			
关	k	uoŋ	54	文讀			
兴	h	iŋ	54	興旺			
兵	p	iŋ	54				
具	k	y	21				
典	t	ɛŋ	32				
兹	ts	o	54				
兼	k	ieŋ	54				
兽	ɬ	iu	52				
冀	k	i	52				
内	l	i/uoi	52/21				
冈	k	ɒŋ	54				
冊	tsʰ	a	21	白讀			
冊	tsʰ	ɛʔ	2	文讀			
册	tsʰ	a	21	白讀			
册	tsʰ	ɛʔ	2	文讀			
再	ts	ai	52				
冑	t	iu	52				
冗	l	aŋ	52	不密、間隔（原作[上宀下良]）			
写	ɬ	ia	32				
军	k	uoŋ	54				
农	n	ɒŋ	24				
冠	k	uoŋ	54	衣冠			
冤	0	yøŋ	54				
冥	m	a	24	白讀			
冥	m	ɛŋ	24	文讀			
冰	p	iŋ	54				
冶	0	ia	32				
冷	l	ɛŋ	32				
准	ts	uoŋ	32				
凊	tsʰ	iŋ	52	涼			
凋	t	ieu	54				
凌	l	iŋ	24				
凝	ŋ	ɛŋ	24	白讀，手~~：手很冰（原作嚴）			
凝	ŋ	iŋ	24	文讀			
几	k	i	32				
凡	h	aŋ	24				
凤	h	ɒŋ	21				
凯	kʰ	ai	32				
凰	h	ɒŋ	24				
凱	kʰ	ai	32				
凳	t	ɛŋ	52				
凶	h	yøŋ	54				
凸	tʰ	ɔu	32				
击	kʰ	iʔ	2				
函	h	aŋ	24				
凿	tsʰ	aʔ	4				
刀	t	o	54	白讀			
刀	t	ɒ	54	文讀			
刁	t	ieu	54				
刃	ts	iŋ	21				
分	p	uoŋ	54	白讀			
分	h	uoŋ	54	文讀			
切	tsʰ	ɛʔ	2				
刊	kʰ	aŋ	54				
刎	m	uoŋ	32				
刑	h	iŋ	24				
刘	l	au	24				
则	ts	ɛʔ	2				
刚	k	ɒŋ	54				
初	tsʰ	ø	54				
删	ɬ	aŋ	54				
判	pʰ	uã	52	白讀			
判	pʰ	uoŋ	52	文讀			
別	p	ɛʔ	2	區別			
刪	ɬ	aŋ	54				
刮	k	uoʔ	2				
刷	ɬ	uoʔ	2				
券	k	yøŋ	52				
刻	kʰ	ɛʔ	2				
刽	k	uoi	52				
剃	tʰ	i	52				
則	ts	ɛʔ	2				
削	ɬ	ia	21	白讀			
削	ɬ	yøʔ	2	文讀			
前	ɬ	ĩ	24	白讀			
前	ts	ɛŋ	24	文讀			
剎	ɬ	aʔ	2				
剐	0	ua	54				
剔	tʰ	ɛʔ	2				
剛	k	ɒŋ	54				
剝	p	ɒʔ	2				
剧	k	iʔ	4	戲劇			
剩	ɬ	iŋ	21				
剪	ts	ieŋ	32				
剮	0	ua	54				
割	k	ɛʔ	2				
剿	ts	ieu	24				
劃	0	uoʔ	4	白讀			
劃	h	ɛʔ	4	文讀			
劇	k	iʔ	4	戲劇			
劈	pʰ	ɛʔ	2	白讀			
劈	pʰ	iʔ	2	文讀			
劉	l	au	24				
劊	k	uoi	52				
劍	k	ieŋ	52				
劒	k	ieŋ	52				
劔	k	ieŋ	52				
劝	kʰ	uĩ	52	白讀			
劝	kʰ	yøŋ	52	文讀			
办	p	aŋ	21				
功	k	aŋ	54	白讀			
功	k	ɒŋ	54	文讀			
加	k	a	54				
务	p	u	21				
劣	l	ɛʔ	2				
动	t	aŋ	21	白讀			
动	t	ɒŋ	21	文讀			
助	ts	ø	21	擰人			
劫	k	ieʔ	2				
励	l	e	21				
劲	k	iŋ	52				
劳	l	ɒ	24				
势	ɬ	e	52				
勁	k	iŋ	52				
勃	p	ɒʔ/uoʔ	4				
勇	0	yøŋ	32				
勉	m	ɛŋ	32				
勋	h	uoŋ	54				
勒	l	ɛʔ	2				
務	p	u	21				
勛	h	uoŋ	54				
勞	l	ɒ	24				
募	p	ɔu	21				
勢	ɬ	e	52				
勤	kʰ	yŋ	24				
勳	h	uoŋ	54				
勵	l	e	21				
勸	kʰ	uĩ	52	白讀			
勸	kʰ	yøŋ	52	文讀			
勺	k/ɬ	ya/yøʔ	24/2	文讀，水勺（原作桸）。			
勻	0/ɬ	uoŋ	24				
包	p	au	54				
匏	p	u	24	南瓜（原作瓠）。			
化	h	ua	52				
北	p	ɒ	21	又			
北	p	aʔ	2				
匙	ɬ	i	24				
匠	ts	yøŋ	21				
匡	kʰ	ɒŋ	54				
匪	h	i	54				
匹	pʰ	iʔ	2				
区	kʰ	y	54				
匾	p	aŋ	32	白讀			
匾	p	ɛŋ	32	文讀			
區	kʰ	y	54				
十	ɬ	ɛʔ	4	白讀			
十	ɬ	ieʔ	4	又			
十	ɬ	iʔ	4	文讀			
升	ɬ	ã	32	白讀			
升	ɬ	iŋ	54	文讀			
午	k	ɔu	32				
半	p	uã	52	白讀			
半	p	uoŋ	52	文讀			
协	h	ieʔ	4				
卑	p	i	54				
卓	t	o	21	白讀			
卓	t	ɒʔ	2	文讀			
協	h	ieʔ	4				
卖	p	e	21	白讀			
卖	m	ai	21	文讀			
南	n	aŋ	24				
博	pʰ	ɒʔ	4	博士			
占	ts	ieŋ	54	占卜			
卢	l	ɔu	24				
卦	k	ua	52				
卯	p	au	32				
印	0	iŋ	52				
危	k	ui	24				
即	ts	iʔ	2				
卵	n	ỹ	21	白讀			
卵	l	ɛŋ	21	男陰，本字應為“膦”			
卵	l	uoŋ	32	文讀			
卸	ɬ	ia	52				
卻	kʰ	yøʔ	2				
卿	kʰ	iŋ	54				
厅	tʰ	iã	54				
历	l	ɛʔ	4				
厉	l	i/e	52/21				
压	0	ɛʔ	2	白讀			
压	0	aʔ	2	文讀			
厚	k	au	21	白讀			
厚	h	ieu	21	文讀			
原	ŋ	uĩ/yŋ	24				
厲	l	i/e	52/21				
县	h	ĩ/yøŋ	24	文讀，懸蚊帳，高。			
参	ɬ	ieŋ	54	人~			
參	ɬ	ieŋ	54	人~			
又	0	iu	21				
及	k	iʔ	4				
友	0	iu	32				
叔	ts	yøʔ	2	白讀，~伯			
叔	ɬ	yøʔ	2	文讀			
取	tsʰ	y	32				
受	ɬ	iu	21				
变	p	iŋ	52	白讀，~面：變臉			
变	p	ɛŋ	52	文讀			
叛	pʰ	uoŋ	21				
叟	ɬ	ieu	32				
叢	ts	aŋ	24	量詞。			
口	kʰ	au	32	戶口。			
句	k	au/ieu	54				
叩	kʰ	ɒ	52	白讀			
叩	kʰ	ieu	52	文讀			
叫	k	ieu	52				
叮	t	ɛŋ	52	咬。			
史	ɬ	o	32				
司	ɬ	i	54	白讀			
司	ɬ	o	54	文讀			
叼	t	ieu	54				
各	k	aʔ/ɒʔ	2	文讀，各人。			
合	h	ɒʔ/aʔ	4	合作，關合：關緊，合得來。			
吉	k	iʔ	2				
同	t	aŋ	24	白讀			
同	t	ɒŋ	24	文讀			
名	m	iã	24	白讀			
名	m	iŋ	24	文讀			
吏	l	i	52				
吓	h	ɛʔ	2				
君	k	uoŋ	54				
吝	l	iŋ	21				
吞	tʰ	uoŋ	54				
吟	k/ŋ	iŋ	24				
吠	p	ui	21	白讀			
吠	h	i	52	文讀			
否	h	ieu	32				
吧	p	a	21				
含	k	aŋ	24	白讀			
含	h	aŋ	24	文讀			
吸	kʰ	iʔ	2				
吹	tsʰ	uoi	52	單字			
吹	tsʰ	uoi	54	文讀，鼓~			
吻	m	uoŋ	32				
吾	k	ɔu	24				
呂	l	y	32				
呈	t	iã	24	白讀			
呈	t	iŋ	24	文讀			
告	k	o	52	白讀			
告	k	ɒ	52	文讀			
员	0	yøŋ	24				
周	ts	iu	54				
呪	ts	iu	52				
味	p	i	21				
呻	tsʰ	ɛŋ	54				
呼	h	ɔu	54	白讀，~雞。			
呼	h	u	54	文讀			
命	m	iã	21	白讀			
命	m	iŋ	21	文讀			
咍	h	ai	54				
咎	k	iu	52				
咛	n	ɛŋ	24				
咨	ts	o	54				
咸	h	aŋ	24				
哀	0	ai	54				
品	pʰ	iŋ	32				
哈	h	ɒ/a	54	單字讀，哈ya52：哈欠			
响	h	iũ	32				
响	h	yøŋ	32				
員	0	yøŋ	24				
哥	k	o	54	白讀			
哥	k	ɒ	54	文讀			
哭	kʰ	au	52	白讀			
哭	kʰ	ɒʔ	2	文讀			
哲	t	ɛʔ	2				
哺	p	ɔu	21				
唆	ɬ	o	54	白讀			
唆	ɬ	ɒ	54	文讀			
唐	t	ŋ	24	白讀，姓氏			
唐	t	ɒŋ	24	文讀			
售	ɬ	iu	24				
唱	tsʰ	iũ	52	白讀			
唱	tsʰ	yøŋ	52	文讀			
商	ɬ	yøŋ	54				
問	m	uoŋ	21				
啐	tʰ/tsʰ	ui	52/32	戲，單字讀。			
啓	kʰ	e	32				
啟	kʰ	e	32				
啡	h/p	i	54	咖啡，嗎啡。			
啬	ɬ	ɛʔ	2				
啰	l	o	24	啰唆。			
啼	tʰ	i/y	24	雞啼，吼啼啼：哭啼。			
喃	n	aŋ	24				
喉	0	au	24	白讀			
喉	h	ieu	24	文讀			
喊	h	aŋ	32				
喘	tsʰ	yøŋ	32				
喙	tsʰ	ui	52	嘴			
喜	h	i	32				
喧	ɬ	yøŋ	54				
喪	ɬ	ɒŋ	52	喪氣			
喫	tsʰ	iʔ	4				
單	t	uã	54	白讀			
單	t	aŋ	54	文讀			
喻	ts	y	21				
嗇	ɬ	ɛʔ	2				
嗜	ɬ	i	21				
嗣	ɬ	o	21				
嗤	tsʰ	i	32/54				
嘉	k	a	54				
嘗	ɬ	yøŋ	24				
嘱	ts	yøʔ	2				
嘹	l	ieu	24				
噓	h	y	54				
器	kʰ	i	52				
噩	k	ɒʔ	4				
嚀	n	ɛŋ	24				
嚇	h	ɛʔ	2				
嚼	ts	yøʔ	2				
囂	h	ieu	54				
囉	l	o	24	啰唆			
囑	ts	yøʔ	2				
四	ɬ	i	52	白讀			
四	ɬ	o	52	文讀			
回	h	uoi	24				
因	0	iŋ	54				
团	t	uoŋ	24				
囤	t	uoŋ	32				
困	kʰ	uoŋ	52				
固	k	ɔu	52				
国	k	ɒʔ	2				
图	t	ɔu	24				
圃	pʰ	ɔu	32				
圆	0	iŋ	24	白讀			
圆	0	yøŋ	24	文讀			
國	k	ɒʔ	2				
圍	0	ui	24				
園	h	uĩ	24	白讀			
園	0	yøŋ	24	文讀			
圖	t	ɔu	24				
團	t	uoŋ	24				
土	tʰ	ɔu	32				
在	ts	ai	21				
圭	k	e	54				
场	t	iũ	24	白讀			
场	t	yøŋ	24	文讀			
址	ts	i	32				
均	k	yŋ	54				
坊	h	ɒŋ	54				
坎	kʰ	aŋ	32				
坏	pʰ	uoi	54				
坐	ɬ	ø	21				
坐	ts	ɒʔ	2				
坑	kʰ	ã	54				
坚	k	ɛŋ	54				
坛	t	uã	24				
坞	0	ɔu	54				
坡	p	ɒ	54				
坤	kʰ	uoŋ	54				
坦	tʰ	aŋ	32				
坩	kʰ	ɒ̃	54	飯~：搪瓷制小缸			
坪	pʰ	ã	24	白讀			
坪	pʰ	iã	24	又白讀			
坪	pʰ	iŋ	24	文讀			
坯	pʰ	uoi	54				
坼	tʰ	ia	21				
坼	tsʰ	ɛʔ	2				
垂	ɬ	ui	24				
型	h	iŋ	24				
垢	k	au	32				
垢	k	ieu	52				
垦	kʰ	yŋ	32				
垻	p	a	52				
埃	0	ai	54				
埋	p/t	ai	24				
城	ɬ	iã	24				
域	0	yʔ	4				
執	ts	iʔ	2				
培	p	uoi	21				
基	k	i	54				
堂	t	ŋ	24	白讀			
堂	t	ɒŋ	24	文讀			
堅	k	ɛŋ	54				
堆	t	ui	54				
堡	p	au	32	白讀			
堡	p	ɒ	32	文讀			
堪	kʰ	aŋ	54				
堯	k	ieu	24				
報	p	o/ɒ	52				
場	t	iũ	24	白讀			
場	t	yøŋ	24	文讀			
塋	0	yŋ	24				
塍	tsʰ	ɛŋ	24	原作田			
塔	tʰ	ɒ	21				
塔	tʰ	aʔ	2				
塗	tʰ	ɔu	24	白讀，泥土			
塗	t	ɔu	24	文讀，糊塗			
塘	t	ŋ	24	白讀			
塘	t	ɒŋ	24	文讀			
塞	ɬ	ɛʔ	2				
塢	0	ɔu	54				
填	t	ɛŋ	24				
塵	t	iŋ	24				
塾	ɬ	yøʔ	4				
境	k	iŋ	32				
墓	m	ɔu	52				
墜	t	ui	21				
增	ts	ɛŋ	54				
墟	h	y	54				
墨	p	aʔ	4	白讀			
墨	p	ɛʔ	4	文讀			
墩	t	uoŋ	54				
墾	kʰ	yŋ	32				
壁	p	ia	21				
壁	p	iʔ	2				
壇	t	uã	24				
壑	h	ɒʔ	2				
壓	0	ɛʔ/aʔ	2				
壕	h	ɒ	24				
壘	l	ui	32				
壟	l	aŋ	24	田壟			
壠	l	aŋ	24	田壟			
壤	ts	yøŋ	32				
士	ɬ	o	21				
壮	ts	ŋ	52	白讀			
壮	ts	ɒŋ	52	文讀			
壯	ts	ŋ	52	白讀			
壯	ts	ɒŋ	52	文讀			
壶	h	ɔu	24				
壺	h	ɔu	24				
壻	ɬ	ai	52	白讀			
壻	ɬ	e	52	文讀			
处	tsʰ	y	32	處理			
备	p	i	21				
夕	ɬ	iʔ	2				
外	k	ua	21	白讀			
外	k	uoi	21	文讀			
夙	ɬ	yøʔ	2				
多	t	ɒ	54				
夜	0	ia	21				
大	t	ai	21				
太	tʰ	ai	52				
夭	0	ieu	54				
央	0	ŋ	54	白讀，中~			
央	0	yøŋ	54	文讀			
失	ɬ	iʔ	2				
头	tʰ	au	24	白讀			
头	tʰ	ieu	24	文讀			
夷	0	i	24				
夹	k	e	21	白讀			
夾	k	ieʔ	2	文讀			
奇	k	i	24				
奉	h	ɒŋ	21				
奋	h	uoŋ	52				
奎	k	e	54				
奏	ts	au	52	白讀			
奏	ts	ieu	52	文讀			
契	kʰ	e	52				
奔	pʰ	uoŋ	54				
奕	0	iʔ	4				
套	tʰ	o	52				
奠	t	ɛŋ	21				
奢	ɬ	ia	54				
奧	0	ɒ	52				
奮	h	uoŋ	52				
女	l/t	y	32	織女，婦女			
奴	n	ɔu	24	白讀			
奴	n	u	24	文讀			
好	h	ɒ/au/ɒ̃	32	好好先生，文讀，白讀			
如	ts	y	24				
妃	h	i	54				
妄	m	ɒŋ	21				
妇	p	u	21	白讀，新~			
妇	h	u	21	文讀，~女			
妓	k	i	21				
妖	0	ieu	54				
妙	p	ieu	21				
妥	tʰ	ɒ	32				
妨	h	ɒŋ	24				
妬	t	ɔu	52				
妹	m	ui	52				
妻	tsʰ	e	54				
妾	tsʰ	ieʔ	2				
姆	0	ŋ	32				
姊	ts	i	32	白讀			
姊	ts	o	32	文讀			
始	ɬ	i	32				
姍	ɬ	aŋ	54				
姐	ts	ia	32	小姐			
姓	ɬ	ã	52	白讀			
姓	ɬ	iŋ	52	文讀			
委	0	ui	32				
姜	k	iũ	54	白讀			
姜	k	yøŋ	54	文讀			
姢	k	yøŋ	54				
姨	0	i	24				
姪	t	iʔ	4				
姬	k	i	54				
姻	0	iŋ	54				
姿	ts	o	54				
娃	0	ua	54				
娇	k	ieu	54				
娑	ɬ	a	54				
娘	n	iũ	24				
娛	k	y	24				
娜	n	a	24	人名			
娟	k	yøŋ	54				
娩	m	ɛŋ	32				
婉	0	uoŋ	32				
婕	ts	ieʔ	4				
婚	h	uoŋ	54				
婢	p	i	21				
婦	p	u	21	白讀，新~			
婦	h	u	21	文讀，~女			
婪	l	aŋ	24				
婴	0	iŋ	54				
婵	ɬ	ɛŋ	24				
媒	p	uoi	24				
媾	k	ieu	52				
嫁	k	ɒ	52	白讀			
嫁	k	a	52	文讀			
嫂	ɬ	o	32	白讀			
嫂	ɬ	ɒ	32	文讀			
嫌	h	ieŋ	24				
嫩	n	uoŋ	32				
嬋	ɬ	ɛŋ	24				
嬌	k	ieu	54				
嬰	0	iŋ	54				
孀	ɬ	ɒŋ	54				
子	ts	i	32	白讀			
子	ts	o	32	文讀			
孔	kʰ	ɒŋ	32				
孕	0	iŋ	21				
字	ts	i	21	白讀			
字	ts	o	21	文讀			
存	ts	uoŋ	24				
孙	ɬ	uoŋ	54				
孚	h	u	54				
孜	ts	o	54				
孝	h	ɒ	52	白讀			
孝	h	au	52	文讀			
孟	m	ɛŋ	21				
季	k	ui	52	白讀			
季	k	i	52	文讀			
孤	k	ɔu	54				
学	o	o	24	白讀			
学	h	aʔ	4	文讀			
孩	h	ai	24				
孫	ɬ	uoŋ	54				
孰	ɬ	yøʔ	4				
孳	ts	o	54				
學	o	o	24	白讀			
學	h	aʔ	4	文讀			
孼	k	ieʔ/ɛʔ	4	單字讀，造孽。			
孽	k	ieʔ/ɛʔ	4	單字讀，造孽。			
宂	l	aŋ	52	不密、間隔（原作[上宀下良]）。			
宅	tʰ	a	24	白讀			
宅	ts	ɛʔ	4	文讀			
宇	0	y	32				
守	ts	iu	32	白讀			
守	ɬ	iu	32	文讀			
安	0	uã	54	白讀			
安	0	aŋ	54	文讀			
宋	ɬ	ɒŋ	52				
完	0	yøŋ	24				
宏	h	ɛŋ	24				
宏	h	ɒŋ	24	白讀			
宗	ts	ɒŋ	54	文讀			
官	k	uã	54	白讀			
官	k	uoŋ	54	文讀			
宙	t	iu	52				
定	t	iã	21	白讀			
定	t	ɛŋ	21	文讀，~定			
宛	0	uoŋ	32				
宝	p	ɒ	32				
宝	p	au	32				
实	ɬ	iʔ	4				
审	ɬ	iŋ	32				
客	kʰ	a	21	白讀			
客	kʰ	ɛʔ	2	文讀			
宣	ɬ	yøŋ	54				
室	ɬ	iʔ	2				
宦	h	uoŋ	21				
宪	h	yøŋ	52				
宮	k	yøŋ	54				
宰	ts	ai	32				
害	h	ai	21				
宵	ɬ	ieu	54				
家	k	ɒ	54	白讀			
家	k	e	54	又			
家	k	a	54	文讀			
容	0	yøŋ	24				
宽	kʰ	uã	54	白讀，慢			
宽	kʰ	uoŋ	54	文讀			
宾	p	iŋ	54				
宿	ɬ	yøʔ	2	住宿。			
寂	ts	iʔ	4				
密	p	ɛʔ/iʔ	4				
寇	kʰ	ieu	52				
富	p	u	52	白讀			
富	h	u	52	文讀			
寒	k	uã	24	白讀			
寒	h	aŋ	24	文讀			
寓	k	y	21				
寝	tsʰ	iŋ	32				
寞	p	ɒʔ	4				
察	tsʰ	aʔ	2				
寡	k	ua	32				
寢	tsʰ	iŋ	32				
實	ɬ	iʔ	4				
寧	n	ɛŋ	24				
寨	ts	ai	21				
審	ɬ	iŋ	32				
寫	ɬ	ia	32				
寬	kʰ	uã	54	白讀，慢			
寬	kʰ	uoŋ	54	文讀			
寮	l	ieu	24				
寵	tʰ	yøŋ	32				
寶	p	au/ɒ	32				
寸	tsʰ	uoŋ	52				
对	t	ui/uoi	52	絕對，單字讀。			
寺	ɬ	i	21				
寻	ɬ/tsʰ	uoŋ/iŋ	24	尋找，尋問。			
导	t	ɒ	21				
封	h	ɒŋ	54				
射	ɬ	ia	21				
将	ts	yøŋ	52	大將。			
將	ts	yøŋ	52	大將。			
專	ts	uoŋ	54				
尉	0	ui	52				
尊	ts	uoŋ	54				
尋	ɬ/tsʰ	uoŋ/iŋ	24	尋找，尋問。			
對	t	ui/uoi	52	絕對，單字讀。			
導	t	ɒ	21				
小	ɬ	ieu	32				
少	ɬ/ts	ieu	32	多少，白讀。			
尔	ts	i	32				
尖	ts	ieŋ	54				
尘	t	iŋ	24				
尚	ɬ	yøŋ	21	和尚。			
