字	音	注
□	hie[6]	□一=□地i7 tsi8 hie6 loi6 :這塊土地;塊；山、錢的量詞;三□錢saŋ1 hie6 tsieŋ2 :三塊錢;只有三□錢tsi3 iu3 saŋ1 hie6 tsieŋ2 :只有三塊錢
□	so[1]	□像so1 sioŋ5 :像。校：參考建甌su5 siɔŋ6
□	nio[6]	□䘆nio6 xyeŋ3 :蚯蚓
□	liaŋ[5]	□下來liaŋ5 ha5 le2 ;倒塌。校：參考建甌tiaŋ8 ；有人寫作“擲”
□	kʰaŋ[3]	□頭khaŋ3 heu2 :點頭;點（頭）
□	keŋ[1]	□頭keŋ1 heu2 :低頭;低（頭）
□	ɣɔ[2]	□頭ɣɔ2 heu2 :抬頭;抬頭
□	naiŋ[9]	□去naiŋ9 khɔ5 :還沒去;□是naiŋ9 si5 :不是;□是渠naiŋ9 si5 ɣy9 :不是他;否定詞，沒有;伓=□死aŋ5 naiŋ9 soi3 :还没死
□	naˀ[8]	□渠錢na8 ɣy9 tsieŋ2 :給他錢;□人na8 noiŋ2 :抓人;□牙齒na8 ŋa2 tshi3 :拔牙;給;捉拿
□	∅au[1]	□起來au1 khe5 le2 :凸起來;凸
□	lue[2]	□尿lue2 nio6 :拉尿;□屎lue2 si3 :拉屎;排洩
□	∅aiŋ[1]	□娘aiŋ1 nioŋ2 :女人;□娘囝aiŋ1 nioŋ2 kyeŋ3 :女孩;□娘囝子aiŋ1 nioŋ2 kyeŋ3 tsie3 :女孩
□	ko[7]	□你夥人ko7 noi9 xuo3 noiŋ2 ;與
□	lɔŋ[9]	□米lɔŋ9 moi5 :爲米去殼;用臼和杵去米殼。校：礱的又音？
□	naŋ[9]	□開目珠naŋ9 khye1 mo8 tsiu1 :睜開眼睛;睜
□	∅ioŋ[7]	□角ioŋ7 ko7 :這樣;□角做ioŋ7 ko7 tsa5 :這樣做
□	muŋ[9]	□間muŋ9 kaiŋ1 :房間
□	tsue[5]	□記tsue5 ki5 :忘記。校：待考
□	∅iaˀ[8]	□火ia8 khui3 :煽火;□手ia8 siu3 :揮手;搧
□	mɔ[7]	□喙=mɔ7 tshy5 :吻;吻
□	hiaŋ[1]	□紅□tseŋ6 oŋ9 hiaŋ1 :穿紅衣;衫
□	tseŋ[6]	□紅□tseŋ6 oŋ9 hiaŋ1 :穿紅衣;□孝服tseŋ6 xau5 xo8 :穿孝服;穿(衣服)
□	∅oŋ[3]	□好oŋ3 xau3 :好到那個程度;那樣。校：□o7 樣的合音
□	∅ioŋ[3]	□好ioŋ3 xau3 :這樣好;這樣。校：□i7 樣的合音
□	poi[7]	□卦poi7 kua5 :算卦
□	na[7]	□哥子𢫦na7 kɔ1 tsie3 ma8 :被哥哥打;□囝子去買na7 kyeŋ3 tsie3 khɔ5 mai3 :讓小孩去買;□渠錢na7 ɣy9 tsieŋ2 :給他錢;□下去na7 ha5 khɔ5 :凹下去;凹;給，被
□	pʰieŋ[3]	□擔phieŋ3 taŋ1 ;撣（灰塵）
□	∅o[7]	□邊o7 pieŋ1 :那邊;□裏=o7 toi3 :那裏;□絲子o7 soi7 tsie3 :那點;□絲子o7 soi7 tsie3 :那點兒;□隻o7 tsia7 :那個;那
□	∅i[7]	□邊i7 pieŋ1 :這邊;□裏=i7 toi3 :這裏;□時i7 si2 :這時;□絲子i7 soi7 tsie3 :這點;□一=□地i7 tsi8 hie6 loi6 :這塊土地;□隻i7 tsia7 :這個;是□裏=si5 i7 toi3 :在這裏;這
□	tiaˀ[8]	□□子tia8 ty5 tsie3 :蜘蛛
□	ty[5]	□□子tia8 ty5 tsie3 :蜘蛛
□	moˀ[8]	□□子mo8 ka7 tsie3 :壁虎
□	ka[7]	□□子mo8 ka7 tsie3 :壁虎;□蜢ka7 maŋ3 :蚱蜢
□	∅eu[3]	□□名eu3 so7 miaŋ2 :叫什么名字;□渠去做eu3 ɣy9 khɔ5 tsa5 :叫他去做;大□tue6 eu3 :大叫;叫
□	saŋ[1]	□□xue7 saŋ1 :劃拳
□	xue[7]	□□xue7 saŋ1 :劃拳
□	tye[6]	□□xo2 tye6 :豪豬。校：待考
□	xo[2]	□□xo2 tye6 :豪豬。校：待考
□	xaŋ[2]	□□xaŋ2 xui2 :蜻蜓。校：參考建甌khaŋ5 kho1
□	xui[2]	□□xaŋ2 xui2 :蜻蜓。校：參考建甌khaŋ5 kho1 ;□器xui2 khi5 :陶器
□	tsi[7]	□□tsi7 tsi7 :奶，乳房;□□頭tsi7 tsi7 heu2 :乳頭;月□娘娘ŋye8 tsi7 nioŋ2 nioŋ2 :月亮
□	po[2]	□□poi5 po2 :蝙蝠
□	poi[5]	□□poi5 po2 :蝙蝠
□	∅y[2]	□□ŋioŋ3 y2 :楓樹的種子。校：待考
□	ŋioŋ[3]	□□ŋioŋ3 y2 :楓樹的種子。校：待考;□子ŋioŋ3 tsie3 :楓樹。校：一般認爲本字就是楓
□	haŋ[5]	□□nuŋ6 haŋ5 :丟失了;動詞後表示完成;目珠瞎□mo8 tsiu1 xai7 haŋ5 :盲;目珠瞎□mo8 tsiu1 xai7 haŋ5 :眼睛瞎了;破□phoi5 haŋ5 :破了;走□tseu3 haŋ5 :跑了
□	nuŋ[6]	□□nuŋ6 haŋ5 :丟失了;□下來nuŋ6 ha5 le2 :掉下來;掉下，失落。校：參考建甌tɔŋ6 石陂dueiŋ6 福州touŋ6
□	ko[5]	□□ko5 lo5 :漱口;□□喙=ko5 lo5 tshy5 :漱口
□	lo[5]	□□ko5 lo5 :漱口;□□喙=ko5 lo5 tshy5 :漱口
□	∅ia[7]	□□ia7 ŋy2 :閃電
□	ŋy[2]	□□ia7 ŋy2 :閃電
□	∅a[7]	□□a7 nɔ7 :骯髒
□	nɔ[7]	□□a7 nɔ7 :骯髒
□	lai[6]	□□□ye7 lai6 xai3 :爲什麼;□時lai6 si2 :很久;多;一=倍□tsi8 wui5 lai6 :一倍多;值得很□錢loi8 te7 xaiŋ3 lai6 tsieŋ2 :值很多錢
□	∅ye[7]	□□□ye7 lai6 xai3 :爲什麼;□辦ye7 paiŋ6 :怎麼辦。校：ye7 如何的合音;□辦呢ye7 paiŋ6 ni0 :怎麼辦呢;□角ye7 ko7 :怎麼;□角做ye7 ko7 tsa5 :怎麼做;怎麼。校：如何的合音
□	mo[7]	□□□so7 mo7 xai3 :什麼東西;□□so7 mo7 :什麼;□□裏=so7 mo7 toi3 :哪裏;□□時候so7 mo7 si2 xeu6 :什麼時候;□□一=隻so7 mo7 tsi8 tsia7 :哪一個;□□隻月so7 mo7 tsia7 ŋye8 :哪個月
□	so[7]	□□□so7 mo7 xai3 :什麼東西;□□so7 mo7 :什麼;□□裏=so7 mo7 toi3 :哪裏;□□名eu3 so7 miaŋ2 :叫什么名字;□□時候so7 mo7 si2 xeu6 :什麼時候;□□一=隻so7 mo7 tsi8 tsia7 :哪一個;□□隻月so7 mo7 tsia7 ŋye8 :哪個月;□人so7 noiŋ2 :誰;□一=邊so7 tsi8 pieŋ1 :哪一邊;□隻月so7 tsia7 ŋye8 :那個月;哪個;下是□裏=ka6 si5 so7 toi3 :放在哪裏
□	xai[3]	□□□so7 mo7 xai3 :什麼東西;□□□ye7 lai6 xai3 :爲什麼;搬□woiŋ9 xai3 :搬東西;事;做□tsa5 xai3 :做事
□	loiŋ[5]	（粥）稀
□	∅ɔ[7]	（小孩）乖
啊	∅a[7]	啊∅a²⁴[7]𢫦啊嚏ma8 a7 tshi6 :打噴嚏
矮	∅ai[3]	矮∅ai³¹[3]
艾	ŋye[6]	艾ŋye⁴³[6]
愛	∅ui[5]	愛∅ui¹¹[5]
安	∅ueŋ[1]	安∅ueŋ⁵³[1]安慰ueŋ1 y7
庵	∅ɔŋ[1]	庵∅ɔŋ⁵³[1]
岸	ŋaiŋ[6]	岸ŋaiŋ⁴³[6]海岸xue3 ŋaiŋ6 ;靠岸khau5 ŋaiŋ6 ;上岸ioŋ5 ŋaiŋ6
暗	∅ɔŋ[5]	暗∅ɔŋ¹¹[5]暗邊ɔŋ5 pieŋ1 :傍晚;暗暝ɔŋ5 maŋ2 :晚上;今朝暗暝kiŋ1 tio1 ɔŋ5 maŋ2 :今天晚上;明朝暗暝maŋ2 tio1 ɔŋ5 maŋ2 :明天晚上;三十日暗暝saŋ1 si8 noi8 ɔŋ5 maŋ2 :除夕夜;一=工到暗tsi8 koŋ1 tau5 ɔŋ5 :一天到晚;昨暝暗暝laŋ9 maŋ9 ɔŋ5 maŋ2 :昨天晚上
襖	∅au[3]	襖∅au³¹[3]見 /mieŋ2 au3/棉襖;棉襖mieŋ2 au3
拗	∅au[3]	拗∅au³¹[3]
懊	∅au[3]	懊∅au³¹[3]懊惱au3 nau3 ;懊惱得□au3 nau3 te7 le3 :懊惱得很。校：得很te7 le3 可參考建甌tɛ7 tɛ3 廣州tɐk7 tsɐi6 黎川tɛʔ7 hɛʔ8
八	pai[7]	八pai²⁴[7]八成pai7 ɣiaŋ9
巴	wa[9]pa[1]	巴wa⁴³[9]下巴ha5 wa9 ■巴pa⁵³[1]結巴kie7 pa1
疤	pa[1]	疤pa⁵³[1]
拔	paiˀ[8]	拔pai⁴³ˀ[8]拔牙齒pai8 ŋa2 tshi3
把	pa[3]	把pa³¹[3]把舵pa3 lɔ9 ;量詞，如鎖;一=把鎖tsi8 pa3 so3
爸	pa[1]	爸pa⁵³[1]爸爸pa1 pa1 :面稱
耙	pa[6]pa[2]	耙pa⁴³[6]名詞■耙pa³³[2]耙龍船pa2 leŋ2 yeŋ9 :划龍舟;耙癢pa2 ioŋ5:抓癢;划船;名詞，動詞;抓癢
白	paˀ[8]	白pa⁴³ˀ[8]白菜pa8 the5 ;山東白sueŋ1 toŋ1 pa8 :白菜;顏色，[姓]
百	pa[7]	百pa²⁴[7]二百五noi6 pa7 ŋo5 :傻瓜，笨蛋;一=百tsi8 pa7
柏	pe[7]	柏pe²⁴[7]柏樹pe7 tshiu6
拜	pai[5]	拜pai¹¹[5]拜佛pai5 xui8 ;拜年pai5 nieŋ2 ;拜神pai5 siŋ2
敗	wai[6]	敗wai⁴³[6]失敗si7 wai6
稗	pʰai[6]	稗phai⁴³[6]
班	paiŋ[1]	班paiŋ⁵³[1]戲班子xi5 paiŋ1 tsie3
搬	woiŋ[9]	搬woiŋ⁴³[9]搬□woiŋ9 xai3 :搬東西;搬厝=woiŋ9 tshio5 :搬家
板	paiŋ[3]poiŋ[5]	板paiŋ³¹[3]棺材■板poiŋ¹¹[5]板塊poiŋ5 hie6 :木板(用來代替/paiŋ3 /“棺材”)
半	poiŋ[5]	半poiŋ¹¹[5]半暝poiŋ5 maŋ2 :半夜;一=半tsi8 poiŋ5 ;隻半tsia7 poiŋ5 :一個半
辦	paiŋ[6]	辦paiŋ⁴³[6]□辦ye7 paiŋ6 :怎麼辦。校：ye7 如何的合音;□辦呢ye7 paiŋ6 ni0 :怎麼辦呢
幫	pɔŋ[1]	幫pɔŋ⁵³[1]幫襯pɔŋ1 thaiŋ5 ;幫助pɔŋ1 lo6 ;群;一=幫鵝tsi8 pɔŋ1 ŋye2 :一群鵝
膀	pɔŋ[3]	膀pɔŋ³¹[3]手膀siu3 pɔŋ3 :手臂
包	pau[1]	包pau⁵³[1]包子pau1 tsie3 ;包糉pau1 tsoŋ5
雹	pʰoˀ[8]	雹pho⁴³ˀ[8]
薄	wɔˀ[8]	薄wɔ⁴³ˀ[8]
保	wau[3]	保wau³¹[3]保護wau3 xo6
飽	pau[3]	飽pau³¹[3]
豹	pau[5]	豹pau¹¹[5]
報	pau[5]	報pau¹¹[5]報仇pau5 siu2
杯	pui[1]	杯pui⁵³[1]杯子pui1 tsie3 :參見/eu1 tsie3 /甌子
北	pe[7]	北pe²⁴[7]北邊pe7 pieŋ1
背	pui[5]wui[5]	背pui¹¹[5]背脊骨pui5 tsia7 kui7 :脊骨;背書pui5 sy1 ;背誦;駝背lɔ9 pui5 ■背wui¹¹[5]背後wui5 xeu5
倍	wui[5]	倍wui¹¹[5]一=倍□tsi8 wui5 lai6 :一倍多
被	pʰui[5]	被phui¹¹[5]被面phui5 mieŋ6 ;被子;被子phui5 tsie3 ;遮被tsia1 phui5 :蓋被子;折被tsie7 phui5 :疊被子
備	woi[6]	備woi⁴³[6]預備y6 woi6
本	puŋ[3]	本puŋ³¹[3]本地人puŋ3 loi6 noiŋ2 ;日本noi8 puŋ3 ;一=本書tsi8 puŋ3 sy1
崩	waiŋ[9]	崩waiŋ⁴³[9](山的)崩塌、滑動;山崩下來了=sueŋ1 waiŋ9 ha5 le2 lo
鼻	pʰoi[6]	鼻phoi⁴³[6]鼻子，鼻涕，聞;鼻𣍐=通phoi6 mai5 hoŋ1 :鼻不通;鼻𣍐=通phoi6 mai5 hoŋ1 :鼻塞;流鼻lau2 phoi6 :流鼻涕
比	poi[3]	比poi³¹[3]比你高poi3 noi9 au9
疕	hoi[3]pʰoi[3]	疕hoi³¹[3]參見 /phoi3/疕■疕phoi³¹[3]參見 /hoi3/疕;生疕saŋ1 phoi3 :結痂
筆	poi[7]	筆poi²⁴[7]鉛筆yeŋ2 poi7 ;一=筆直i7 poi7 te8 :一直
閉	pe[5]	閉pe¹¹[5]閉喙=pe5 tshy5
婢	poi[5]	婢poi¹¹[5]婢子poi5 tsie3 :女僕
篦	pe[6]	篦pe⁴³[6]篦子pe6 tsie3
壁	pia[7]	壁pia²⁴[7]隔壁ka7 pia7
鞭	pieŋ[1]	鞭pieŋ⁵³[1]
邊	pieŋ[1]	邊pieŋ⁵³[1]□邊i7 pieŋ1 :這邊;□邊o7 pieŋ1 :那邊;□一=邊so7 tsi8 pieŋ1 :哪一邊;暗邊ɔŋ5 pieŋ1 :傍晚;北邊pe7 pieŋ1 ;邊舷=pieŋ1 xaiŋ2 :旁邊;東邊toŋ1 pieŋ1 ;海邊xue3 pieŋ1 ;裏=邊toi3 pieŋ1 :裏邊;南邊naŋ2 pieŋ1 ;上邊tsioŋ6 pieŋ1 :上面;外邊ŋye6 pieŋ1 ;西邊sai1 pieŋ1 ;右邊iu6 pieŋ1 ;左邊tsɔ3 pieŋ1
扁	pieŋ[3]	扁pieŋ³¹[3]扁食pieŋ3 si8 :餛飩
變	pieŋ[5]	變pieŋ¹¹[5]
別	pieˀ[8]	別pie⁴³ˀ[8]別人pie8 noiŋ2
冰	paiŋ[1]	冰paiŋ⁵³[1]
兵	poiŋ[1]	兵poiŋ⁵³[1]當兵tɔŋ1 poiŋ1
柄	paŋ[5]	柄paŋ¹¹[5]
餅	piaŋ[3]	餅piaŋ³¹[3]柿餅khi5 piaŋ3
病	paŋ[6]	病paŋ⁴³[6]病好了=paŋ6 xau3 lo;肺癆病poi5 lau2 paŋ6 :肺結核;覷=病tho7 paŋ6 :看病
波	pɔ[1]	波pɔ⁵³[1]波浪pɔ1 lɔŋ6
玻	po[1]	玻po⁵³[1]玻璃po1 loi2
剝	po[7]	剝po²⁴[7]剝皮po7 hui2
伯	pa[7]	伯pa²⁴[7]伯父pa7 xo6 ;廚官伯ty2 kueŋ1 pa7 :廚師
博	pɔ[7]	博pɔ²⁴[7]交換
擘	pa[7]	擘pa²⁴[7]擘喙=pa7 tshy5 :張開嘴;張開
蔔	peˀ[8]	蔔pe⁴³ˀ[8]蘿蔔lɔ2 pe8
哺	pio[6]	哺pio⁴³[6]咀嚼
補	wio[3]pio[3]	補wio³¹[3]補皮鞋wio3 phui2 ai9 ;補襪wio3 mue8 ■補pio³¹[3]
布	pio[5]	布pio¹¹[5]織布tsi7 pio5
部	wo[6]	部wo⁴³[6]全部lyeŋ9 wo6
財	lue[9]	財lue⁴³[9]財主lue9 tsy3
裁	lue[2]lui[9]	裁lue³³[2]裁縫師傅lue2 xoŋ2 so1 xo5 ■裁lui⁴³[9]
菜	tʰe[5]	菜the¹¹[5]白菜pa8 the5 ;菜□the5 tshioŋ1 :蔬菜園的高架床。校：待考;菜種the5 tseŋ3 ;芥菜kue5 the5 ;韭菜xiu3 the5 ;買菜mai3 the5 ;芹菜ɣiŋ2 the5 ;青菜thaŋ1 the5 ;蕹菜oŋ5 the5 :空心菜;莧菜xaiŋ6 the5
蠶	tʰaŋ[2]	蠶thaŋ³³[2]
倉	tʰɔŋ[1]	倉thɔŋ⁵³[1]入倉noi8 thɔŋ1
草	tʰau[3]	草thau³¹[3]
層	laiŋ[9]	層laiŋ⁴³[9]量詞
茶	ta[2]	茶ta³³[2]茶館ta2 kueŋ3 ;茶壺ta2 xo2 ;茶甌ta2 eu1
鏟	tsʰyeŋ[3]	鏟tshyeŋ³¹[3]鏟子tshyeŋ3 tsie3
長	tioŋ[3]lɔŋ[9]	長tioŋ³¹[3]長老tioŋ3 lau3 :和尚。校：長讀音特殊■長lɔŋ⁴³[9]長工lɔŋ9 koŋ1
常	sioŋ[2]	常sioŋ³³[2]常常sioŋ2 sioŋ2
場	lioŋ[9]	場lioŋ⁴³[9]市場tshi6 lioŋ9 :新詞，參見xy1 墟=
腸	tɔŋ[2]	腸tɔŋ³³[2]
嚐	∅ioŋ[9]	嚐∅ioŋ⁴³[9]
廠	tʰɔŋ[3]	廠thɔŋ³¹[3]茅廠子mau2 thɔŋ3 tsie3 :茅棚
唱	tsʰioŋ[5]	唱tshioŋ¹¹[5]唱歌tshioŋ5 kɔ1 ;唱戲tshioŋ5 xi5
抄	tʰau[1]	抄thau⁵³[1]抄書thau1 sy1
朝	tio[1]	朝tio⁵³[1]後朝xeu5 tio1 :後天;今朝kiŋ1 tio1 :今天;今朝暗暝kiŋ1 tio1 ɔŋ5 maŋ2 :今天晚上;今朝天早kiŋ1 tio1 hieŋ1 lau3 :今天早上;明朝maŋ2 tio1 :明天;明朝暗暝maŋ2 tio1 ɔŋ5 maŋ2 :明天晚上;明朝再=來maŋ2 tio1 thai3 le3 ;食朝ie8 tio1 :喫早飯
吵	tʰau[3]	吵thau³¹[3]吵鬧thau3 nau6
炒	tʰau[3]	炒thau³¹[3]炒飯thau3 puŋ6 ;炒飯店thau3 puŋ6 taŋ5 :飯店
車	tsʰia[1]	車tshia⁵³[1]車輪tshia1 leŋ2
陳	toiŋ[2]	陳toiŋ³³[2][姓]
趁	hoiŋ[2]	趁hoiŋ³³[2]趁錢hoiŋ2 tsieŋ2 :賺錢;掙；賺
襯	tʰaiŋ[5]	襯thaiŋ¹¹[5]幫襯pɔŋ1 thaiŋ5
稱	tsʰiŋ[1]	稱tshiŋ⁵³[1]稱讚tshiŋ1 tsaiŋ5
撐	tʰaiŋ[5]	撐thaiŋ¹¹[5]撐船thaiŋ5 yeŋ9
成	siŋ[2]ɣiaŋ[9]	成siŋ³³[2]成功siŋ2 koŋ1 ■成ɣiaŋ⁴³[9]八成pai7 ɣiaŋ9
城	siŋ[5]	城siŋ¹¹[5]城裏=siŋ5 toi3 ;城裏=人siŋ5 toi3 noiŋ2 ;城牆siŋ5 tsioŋ2 ;去城裏=khɔ5 siŋ5 toi3
塍	tʰaiŋ[2]	塍thaiŋ³³[2]塍=埂thaiŋ2 kaŋ3 :田埂;犁塍=lai2 thaiŋ2 :犁田;蒔塍=tshi6 thaiŋ2 :插秧;水田
秤	tsʰiŋ[5]	秤tshiŋ¹¹[5]秤錘tshiŋ5 hy2
尺	tsʰio[7]	尺tshio²⁴[7]尺子，長度單位;曲尺khy7 tshio7
豉	tsʰi[6]	豉tshi⁴³[6]豆豉teu6 tshi6 ;見/teu6 tshi6 /豆豉
齒	tsʰi[3]	齒tshi³¹[3]□牙齒na8 ŋa2 tshi3 :拔牙;拔牙齒pai8 ŋa2 tshi3 ;刷牙齒sui7 ŋa2 tshi3 ;洗牙齒sai3 ŋa2 tshi3 ;牙齒ŋa2 tshi3
赤	tsʰia[7]	赤tshia²⁴[7]赤霞tshia7 xa2 ;𢫦赤肢ma8 tshia7 ki7 :打赤膊
充	tʰeŋ[1]	充theŋ⁵³[1]充軍theŋ1 keŋ1
蟲	hoŋ[2]	蟲hoŋ³³[2]蚊蟲moŋ3 hoŋ2
寵	heŋ[3]	寵heŋ³¹[3]寵容heŋ3 eŋ2 :縱容（小孩）
銃	tʰeŋ[5]	銃theŋ¹¹[5]𢫦銃ma8 theŋ5 :打槍
抽	hiu[1]	抽hiu⁵³[1]抽稅hiu1 sye5
仇	siu[2]	仇siu³³[2]報仇pau5 siu2
愁	leu[9]	愁leu⁴³[9]憂愁iu1 leu9
綢	tiu[2]	綢tiu³³[2]
臭	tʰeu[5]	臭theu¹¹[5]
出	tsʰy[7]	出tshy²⁴[7]出痘子tshy7 teu6 tsie3 ;出汗tshy7 ɣueŋ6 ;出家tshy7 ka1 ;出門tshy7 muŋ2 ;出喪tshy7 sɔŋ1 ;出世tshy7 sie5 ;出水痘tshy7 sy3 teu6 ;出主意tshy7 tsy3 i5 ;撈出來lau9 tshy7 le2 ;逐出去hy8 tshy7 khɔ5 :追出去
鋤	ly[2]	鋤ly³³[2]鋤頭ly2 heu2
廚	ty[2]	廚ty³³[2]廚官伯ty2 kueŋ1 pa7 :廚師
櫥	ty[2]	櫥ty³³[2]桌櫥tɔ7 ty2 :抽屜
楚	tʰo[3]	楚tho³¹[3]清楚thoiŋ1 tho3
畜	xy[7]	畜xy²⁴[7]家畜ka1 xy7
處	tsʰy[5]	處tshy¹¹[5]到處tau5 tshy5
穿	tsʰyeŋ[1]	穿tshyeŋ⁵³[1]穿針tshyeŋ1 tsiŋ1 ;打洞，洞;襪子有隻穿moi8 tsie3 iu3 tsia7 tshyeŋ1 :襪子上有個洞
船	∅yeŋ[9]	船∅yeŋ⁴³[9]耙龍船pa2 leŋ2 yeŋ9 :划龍舟;撐船thaiŋ5 yeŋ9 ;帆船phoŋ2 yeŋ9 ;龍船leŋ2 yeŋ9 ;上船ioŋ5 yeŋ9 ;拖船hue1 yeŋ9 ;下船ha5 yeŋ9
傳	lyeŋ[2]	傳lyeŋ³³[2]
窗	heŋ[1]	窗heŋ⁵³[1]窗門子heŋ1 muŋ2 tsie3 :窗戶
瘡	tʰɔŋ[1]	瘡thɔŋ⁵³[1]疥瘡kai5 thɔŋ1 ;生疥瘡saŋ1 kai5 thɔŋ1 :長疥瘡
牀	tʰɔŋ[2]	牀thɔŋ³³[2]鋪牀pho1 thɔŋ2 ;上牀ioŋ5 thɔŋ2
吹	tsʰye[1]	吹tshye⁵³[1]吹肉tshye1 ny8 :風乾肉;吹哨子tshye1 sau5 tsie3
錘	hy[2]	錘hy³³[2]秤錘tshiŋ5 hy2 ;錘子hy2 tsie3
春	tʰeŋ[1]	春theŋ⁵³[1]春天theŋ1 hieŋ1
餈	tsoi[2]	餈tsoi³³[2]糍粑
蔥	tʰoŋ[1]	蔥thoŋ⁵³[1]
聰	tʰoŋ[1]	聰thoŋ⁵³[1]聰明thoŋ1 moiŋ2
從	leŋ[2]	從leŋ³³[2]從前leŋ2 tshieŋ2
粗	tʰo[1]	粗tho⁵³[1]做粗人tsa5 tho1 noiŋ2 :農民
醋	tʰo[5]	醋tho¹¹[5]
催	tʰui[1]	催thui⁵³[1]
脆	tsʰye[5]	脆tshye¹¹[5]
村	tʰuŋ[1]	村thuŋ⁵³[1]鄉村xioŋ1 thuŋ1
寸	tʰuŋ[5]	寸thuŋ¹¹[5]
搓	tʰɔ[1]	搓thɔ⁵³[1]
厝	tsʰio[5]	厝tshio¹¹[5]搬厝=woiŋ9 tshio5 :搬家;厝=頂tshio5 taiŋ3 :屋頂;厝=裏=tshio5 toi3 :家裏;厝=簷tshio5 saŋ5 :屋簷;搭厝=ta7 tshio5 :建房;搭厝=ta7 tshio5 :建房子;房子，家;起厝=khi3 tshio5 :蓋房子;起厝=khi3 tshio5 :建房;去厝=khɔ5 tshio5 ;是厝=si5 tshio5 :在家
銼	tʰɔ[5]	銼thɔ¹¹[5]銼子thɔ5 tsie3 ;動詞
錯	tʰɔ[5]	錯thɔ¹¹[5]認錯noiŋ6 thɔ5
搭	ta[7]	搭ta²⁴[7]搭厝=ta7 tshio5 :建房;搭厝=ta7 tshio5 :建房子
答	ta[7]	答ta²⁴[7]答應ta7 iŋ5
打	ta[3]	打ta³¹[3]打算ta3 sueŋ5
