字目	读音	注释	声母(实际)	声母(原)	韵母	声调	声调（调类)						声调	国际惯例	声调
剃	tʰi5		tʰ	tʰ	i	21	5								
滯屜啻涕翅	tʰi5		tʰ	tʰ	i	21	5								
哩	li1		l	l	i	22	1								
黎璃厘狸離籬喱儷漓	li2		l	l	i	44	2								
麗	li2	高～：人参	l	l	i	44	2								
旅	li3	文，仅用于“～游”，该读音也说lu3	l	l	i	53	3								
履里理禮裡鯉俚屨澧李	li3		l	l	i	53	3								
莉荔利厲勵麗俐儷勱	li4		l	l	i	213	4								
例	li6		l	l	i	42	6								
離	li6	来得及。如：走解（oi4）～：跑得掉	l	l	i	42	6								
呢	ni1		n	n	i	22	1								
泥	ni2		n	n	i	44	2								
尼呢妮	ni2		n	n	i	44	2								
年	ni2		n	n	i	44	2								
女	ni3		n	n	i	53	3								
你彌儞弭	ni3		n	n	i	53	3								
染	ni3		n	n	i	53	3								
膩	ni4		n	n	i	213	4								
紫	tsi3		ts	ts	i	53	3								
只	tsi3		ts	ts	i	53	3								
姊	tsi3		ts	ts	i	53	3								
旨指止址趾芷	tsi3		ts	ts	i	53	3								
子	tsi3		ts	ts	i	53	3								
籽	tsi3		ts	ts	i	53	3								
舐	tsi4		ts	ts	i	213	4								
祭制至志際濟劑	tsi5		ts	ts	i	21	5								
妻棲凄癡弛	tsʰi1		tsʰ	tsʰ	i	22	1								
齊馳遲	tsʰi2		tsʰ	tsʰ	i	44	2								
恥侈	tsʰi3		tsʰ	tsʰ	i	53	3								
市	tsʰi4		tsʰ	tsʰ	i	213	4								
刺試	tsʰi5		tsʰ	tsʰ	i	21	5								
翅	tsʰi5	鱼～	tsʰ	tsʰ	i	21	5								
飼	tsʰi6		tsʰ	tsʰ	i	42	6								
兒	dzi2		dz	dz	i	44	2								
二	dzi4	文	dz	dz	i	213	4								
二	dzi6	用于排行：老～	dz	dz	i	42	6								
字	dzi6		dz	dz	i	42	6								
西	si1		s	s	i	22	1								
撕施尸屍詩	si1		s	s	i	22	1								
私	si1	家～（家具）	s	s	i	22	1								
司絲	si1		s	s	i	22	1								
匙	si2		s	s	i	44	2								
辭	si2		s	s	i	44	2								
時	si2		s	s	i	44	2								
矢始	si3		s	s	i	53	3								
死	si3		s	s	i	53	3								
是	si4		s	s	i	213	4								
視	si4		s	s	i	213	4								
世	si5		s	s	i	21	5								
四	si5		s	s	i	21	5								
肆勢	si5		s	s	i	21	5								
誓逝豉示	si6		s	s	i	42	6								
支枝	ki1		k	k	i	22	1								
奇肌几基箕姬机饑幾機乩叽岐	ki1		k	k	i	22	1								
棋旗	ki2		k	k	i	44	2								
指	ki3		k	k	i	53	3								
几	ki3		k	k	i	53	3								
己杞紀	ki3		k	k	i	53	3								
稽忌伎技妓	ki4		k	k	i	213	4								
記冀	ki5		k	k	i	21	5								
痣	ki5		k	k	i	21	5								
既繼	ki5		k	k	i	21	5								
忌	ki6	又音，意同kʰi6，用于“做～”一词	k	k	i	42	6								
己	ki6	ka1～：自己	k	k	i	42	6								
崎	kʰi1		kʰ	kʰ	i	22	1								
欺	kʰi1		kʰ	kʰ	i	22	1								
奇祈祁其期淇麒歧畸芪	kʰi2		kʰ	kʰ	i	44	2								
起	kʰi3		kʰ	kʰ	i	53	3								
啟	kʰi3		kʰ	kʰ	i	53	3								
齒	kʰi3		kʰ	kʰ	i	53	3								
器棄氣汽	kʰi5		kʰ	kʰ	i	21	5								
忌	kʰi6	做忌，一种纪念先祖的祭祀活动	kʰ	kʰ	i	42	6								
疑	gi2		g	g	i	44	2								
宜儀	ŋi2		ŋ	ŋ	i	44	2								
擬	ŋi3		ŋ	ŋ	i	53	3								
蟻	ŋi3	文	ŋ	ŋ	i	53	3								
毅義	ŋi4		ŋ	ŋ	i	213	4								
誼	ŋi5		ŋ	ŋ	i	21	5								
院硯	ŋi6		ŋ	ŋ	i	42	6								
兮稀希嘻禧熹熙攜犧	hi1		h	h	i	22	1								
喜	hi3		h	h	i	53	3								
係曳	hi4		h	h	i	213	4								
戲	hi5		h	h	i	21	5								
于	i1	终～			i	22	1								
伊依衣於	i1				i	22	1								
移姨夷	i2				i	44	2								
怡貽胰	i2				i	44	2								
易異	i4				i	213	4								
意	i5				i	21	5								
□	pa1	～脊（背部）	p	p	a	22	1								
巴芭笆爸疤吧	pa1		p	p	a	22	1								
□	pa1	一～面（一块面饼）	p	p	a	22	1								
爸	pa2	口语小称变调，面称父亲	p	p	a	44	2								
背	pa2	动词，背重物	p	p	a	44	2								
把	pa3		p	p	a	53	3								
飽	pa3		p	p	a	53	3								
罷	pa4		p	p	a	213	4								
霸豹壩	pa5		p	p	a	21	5								
泡	pʰa4		pʰ	pʰ	a	213	4								
爬	ba5	口	b	b	a	21	5								
龅	ba5	～牙	b	b	a	21	5								
媽	ma1	母亲	m	m	a	22	1								
馬	ma1	～虎（此处“虎”读hu1）	m	m	a	22	1								
嗎	ma1		m	m	a	22	1								
媽	ma2	口语小称变调，面称母亲	m	m	a	44	2								
媽	ma3	祖母	m	m	a	53	3								
馬	ma3	～上	m	m	a	53	3								
瑪螞	ma3		m	m	a	53	3								
□	ma5	～起（明天）	m	m	a	21	5								
焦	ta1	白：干燥	t	t	a	22	1								
灱	ta1		t	t	a	22	1								
禾	ta2		t	t	a	44	2								
打	ta3	～扰	t	t	a	53	3								
罩	ta5	白：maŋ53～（蚊帐）	t	t	a	21	5								
他	tʰa1		tʰ	tʰ	a	22	1								
拉	la1		l	l	a	22	1								
垃	la1	文，～kʰip7（垃圾，又音）	l	l	a	22	1								
朥	la2	猪油	l	l	a	44	2								
膋	la2	猪油	l	l	a	44	2								
哪	la2	又，～吒	l	l	a	44	2								
拉	la2	白，～屎	l	l	a	44	2								
若	na1	～是（如果）	n	n	a	22	1								
□	na1	语气词	n	n	a	22	1								
林	na2	乡名用字	n	n	a	44	2								
藍	na2	姓	n	n	a	44	2								
籃	na2		n	n	a	44	2								
哪	na3		n	n	a	53	3								
那	na3	～里，姓	n	n	a	53	3								
拿	na3		n	n	a	53	3								
欖	na3		n	n	a	53	3								
那	na5	～哥，一种多刺的鱼	n	n	a	21	5								
楂	tsa1		ts	ts	a	22	1								
查	tsa1	姓	ts	ts	a	22	1								
渣	tsa1		ts	ts	a	22	1								
嗟	tsa1	又	ts	ts	a	22	1								
吒	tsa1		ts	ts	a	22	1								
早	tsa3		ts	ts	a	53	3								
昔	tsa3	训	ts	ts	a	53	3								
榨炸乍	tsa5		ts	ts	a	21	5								
詐	tsa5	～骗，欺～	ts	ts	a	21	5								
□	tsa6	～～叫，被冷水冲过的寒意	ts	ts	a	42	6								
差	tsʰa1	～评，～绌（差距）	tsʰ	tsʰ	a	22	1								
柴	tsʰa2		tsʰ	tsʰ	a	44	2								
樵	tsʰa2		tsʰ	tsʰ	a	44	2								
炒	tsʰa3		tsʰ	tsʰ	a	53	3								
沙	sa1	音译，～茶	s	s	a	22	1								
抓	sa1	训	s	s	a	22	1								
傻	sa4		s	s	a	213	4								
啥	sa4		s	s	a	213	4								
灑	sa5	又	s	s	a	21	5								
家	ka1	训，家自	k	k	a	22	1								
咳	ka1	～嗽	k	k	a	22	1								
交	ka1	白：～留（掉落）；～丙坛村	k	k	a	22	1								
膠	ka1		k	k	a	22	1								
橄	ka1		k	k	a	22	1								
鉸	ka1		k	k	a	22	1								
囫	ka1	训。～囵，整个	k	k	a	22	1								
絞	ka3		k	k	a	53	3								
校	ka3	调整	k	k	a	53	3								
攪	ka3		k	k	a	53	3								
咬	ka4	叮咬；啃咬	k	k	a	213	4								
教	ka5		k	k	a	21	5								
滘窖校較	ka5		k	k	a	21	5								
尻骹	kʰa1		kʰ	kʰ	a	22	1								
巧卡	kʰa3		kʰ	kʰ	a	53	3								
敲	kʰa5		kʰ	kʰ	a	21	5								
扣	kʰa5	又，～掉	kʰ	kʰ	a	21	5								
愚	ŋa5	口语音，傻	ŋ	ŋ	a	21	5								
戇	ŋa5	训，蠢	ŋ	ŋ	a	21	5								
孝	ha5	白	h	h	a	21	5								
阿亞婭	a1				a	22	1								
鴉	a1	乌～			a	22	1								
啊	a1				a	22	1								
拗	a3	～断			a	53	3								
也	a1	白，～是			a	22	1								
名	mia2		m	m	ia	44	2								
命	mia6	白	m	m	ia	42	6								
爹	tia1		t	t	ia	22	1								
令	nia1	你的，指对方亲属	n	n	ia	22	1								
令	nia3	你的，指对方亲属，语气与nia22不同	n	n	ia	53	3								
領嶺	nia3		n	n	ia	53	3								
令	nia5	你的，指对方亲属，脏话用	n	n	ia	21	5								
嗟遮	tsia1		ts	ts	ia	22	1								
姐者	tsia3		ts	ts	ia	53	3								
借藉籍	tsia4		ts	ts	ia	213	4								
蔗	tsia5		ts	ts	ia	21	5								
謝	tsia6	姓	ts	ts	ia	42	6								
奢賒	tsʰia1		tsʰ	tsʰ	ia	22	1								
車	tsʰia1		tsʰ	tsʰ	ia	22	1								
笡	tsʰia5	文	tsʰ	tsʰ	ia	21	5								
惹	dzia3		dz	dz	ia	53	3								
斜	sia1	白，倾khang3～：将碗或盆的一端拿起，成一个角度	s	s	ia	22	1								
邪	sia2		s	s	ia	44	2								
斜	sia2	文，～纹，～视	s	s	ia	44	2								
社	sia2	西～（占陇的一个大乡）	s	s	ia	44	2								
佘	sia2		s	s	ia	44	2								
寫	sia3		s	s	ia	53	3								
社	sia4		s	s	ia	213	4								
卸	sia5		s	s	ia	21	5								
斜	sia5	崎kia4～：陡峭	s	s	ia	21	5								
舍	sia5		s	s	ia	21	5								
瀉	sia5		s	s	ia	21	5								
射	sia6		s	s	ia	42	6								
謝	sia6		s	s	ia	42	6								
加嘉佳迦伽	kia1		k	k	ia	22	1								
假	kia3	文，假如	k	k	ia	53	3								
賈	kia3		k	k	ia	53	3								
崎	kia4		k	k	ia	213	4								
寄	kia5		k	k	ia	21	5								
擎	kʰia2	白，手持	kʰ	kʰ	ia	44	2								
騎	kʰia2		kʰ	kʰ	ia	44	2								
企徛	kʰia4		kʰ	kʰ	ia	213	4								
雅	ŋia3		ŋ	ŋ	ia	53	3								
靴	hia1		h	h	ia	22	1								
霞	hia2		h	h	ia	44	2								
遐	hia2		h	h	ia	44	2								
瑕	hia2		h	h	ia	44	2								
蛾	hia4	白	h	h	ia	213	4								
下	hia4	文	h	h	ia	213	4								
瓦	hia4	白	h	h	ia	213	4								
蟻	hia4		h	h	ia	213	4								
丫	ia1				ia	22	1								
牙	ia2	文			ia	44	2								
蚜	ia2				ia	44	2								
耶椰訝爺	ia2				ia	44	2								
蜈	ia2				ia	44	2								
野冶	ia3				ia	53	3								
也	ia6				ia	42	6								
亦	ia6				ia	42	6								
滿	ɱua3		ɱ	m	ua	53	3								
簸播	pfua5		pf	p	ua	21	5								
婆	pfʰua2		pfʰ	pʰ	ua	44	2								
破	pfʰua5		pfʰ	pʰ	ua	21	5								
磨	bvua2		bv	b	ua	44	2								
麻	ɱua2		ɱ	m	ua	44	2								
瞞	ɱua2		ɱ	m	ua	44	2								
舵	tua4		t	t	ua	213	4								
戴	tua5	又	t	t	ua	21	5								
帶	tua5		t	t	ua	21	5								
大	tua6	大细	t	t	ua	42	6								
拖	tʰua1		tʰ	tʰ	ua	22	1								
籮	lua2		l	l	ua	44	2								
賴	lua6		l	l	ua	42	6								
挼	nua3	揉搓	n	n	ua	53	3								
涎	nua4	训	n	n	ua	213	4								
爛	nua6		n	n	ua	42	6								
抓	tsua1		ts	ts	ua	22	1								
蛇	tsua2		ts	ts	ua	44	2								
紙	tsua3		ts	ts	ua	53	3								
誓	tsua6		ts	ts	ua	42	6								
□	tsua6	次	ts	ts	ua	42	6								
笡	tsʰua3	歪	tsʰ	tsʰ	ua	53	3								
歪	tsʰua3	训	tsʰ	tsʰ	ua	53	3								
娶	tsʰua6	训	tsʰ	tsʰ	ua	42	6								
□	tsʰua6	带领	tsʰ	tsʰ	ua	42	6								
沙	sua1		s	s	ua	22	1								
砂	sua1		s	s	ua	22	1								
鯊	sua1		s	s	ua	22	1								
耍	sua3		s	s	ua	53	3								
徙	sua3	白	s	s	ua	53	3								
世	sua5		s	s	ua	21	5								
歌	kua1	白，潮汕～册	k	k	ua	22	1								
柯	kua1		k	k	ua	22	1								
呱	kua1		k	k	ua	22	1								
寡	kua3		k	k	ua	53	3								
果	kua3		k	k	ua	53	3								
幾	kua3	若干，可能是“几何”合音	k	k	ua	53	3								
剐	kua3		k	k	ua	53	3								
挂	kua5	含有	k	k	ua	21	5								
界	kua5	下～（下午）	k	k	ua	21	5								
跨誇挎	kʰua1		kʰ	kʰ	ua	22	1								
掛	kʰua5		kʰ	kʰ	ua	21	5								
外	gua6		g	g	ua	42	6								
花華嘩	hua1		h	h	ua	22	1								
和	hua2		h	h	ua	44	2								
劃	hua2	~算，计划的意思	h	h	ua	44	2								
樺	hua2		h	h	ua	44	2								
禍	hua4		h	h	ua	213	4								
娃瓦蛙蝸窪	ua1				ua	22	1								
我	ua3				ua	53	3								
倚	ua3				ua	53	3								
爬	pe2		p	p	e	44	2								
琶杷	pe2		p	p	e	44	2								
把	pe3		p	p	e	53	3								
父	pe4	训	p	p	e	213	4								
把	pe5		p	p	e	21	5								
帕	pʰe5		pʰ	pʰ	e	21	5								
馬	be3		b	b	e	53	3								
碼	be3		b	b	e	53	3								
夜	me2	训	m	m	e	44	2								
盲	me2	青～：瞎子	m	m	e	44	2								
暝	me2	夜	m	m	e	44	2								
猛	me3		m	m	e	53	3								
罵	me6		m	m	e	42	6								
茶	te2		t	t	e	44	2								
□	te5	过滤	t	t	e	21	5								
麗	le2	～丽菜	l	l	e	44	2								
㫰	ne2		n	n	e	44	2								
晾	ne2	白，～衣服	n	n	e	44	2								
凉	ne2	白，～ngang2（放凉）	n	n	e	44	2								
冷	ne3		n	n	e	53	3								
奶	ne4	训	n	n	e	213	4								
齋	tse1		ts	ts	e	22	1								
姐	tse3	训	ts	ts	e	53	3								
者	tse3	这	ts	ts	e	53	3								
姊	tse3	白，阿～	ts	ts	e	53	3								
這	tse3		ts	ts	e	53	3								
債	tse5		ts	ts	e	21	5								
寨	tse6		ts	ts	e	42	6								
叉	tsʰe1		tsʰ	tsʰ	e	22	1								
杈	tsʰe1		tsʰ	tsʰ	e	22	1								
差	tsʰe1	白，出～、参～（交错）	tsʰ	tsʰ	e	22	1								
齊	tsʰe2	白读，都：～有（都有）	tsʰ	tsʰ	e	44	2								
查	tsʰe2		tsʰ	tsʰ	e	44	2								
扯	tsʰe3		tsʰ	tsʰ	e	53	3								
廁	tsʰe5		tsʰ	tsʰ	e	21	5								
厠	tsʰe5		tsʰ	tsʰ	e	21	5								
紗	se1		s	s	e	22	1								
瀉	se5	摔。本字或为灑	s	s	e	21	5								
家	ke1		k	k	e	22	1								
加	ke1	白	k	k	e	22	1								
架	ke2	训，衫～（衣架）	k	k	e	44	2								
假	ke3	真～	k	k	e	53	3								
下	ke4	低	k	k	e	213	4								
假	ke5	年～	k	k	e	21	5								
架	ke5		k	k	e	21	5								
嫁駕價	ke5		k	k	e	21	5								
牙芽衙	ge2		g	g	e	44	2								
硬	ŋe4		ŋ	ŋ	e	213	4								
瘕	he1	～痀抽：哮喘	h	h	e	22	1								
蝦	he2		h	h	e	44	2								
下	he4	～种：播种	h	h	e	213	4								
夏	he6		h	h	e	42	6								
廈	he6		h	h	e	42	6								
啞	e3				e	53	3								
下	e4	方位			e	213	4								
華	e4	地名用音，～溪，村名，在流沙			e	213	4								
下	e6	量词			e	42	6								
菠	pfue1	白，～薐菜	pf	p	ue	22	1								
杯	pfue1		pf	p	ue	22	1								
飛	pfue1		pf	p	ue	22	1								
培賠	pfue2		pf	p	ue	44	2								
倍佩	pfue4		pf	p	ue	213	4								
貝	pfue4		pf	p	ue	213	4								
背	pfue5	文，～诵	pf	p	ue	21	5								
貝輩唄	pfue5		pf	p	ue	21	5								
胚	pfʰue1		pfʰ	pʰ	ue	22	1								
坯	pfʰue1		pfʰ	pʰ	ue	22	1								
培	pfʰue2	又	pfʰ	pʰ	ue	44	2								
陪裴	pfʰue2		pfʰ	pʰ	ue	44	2								
皮	pfʰue2		pfʰ	pʰ	ue	44	2								
被	pfʰue4		pfʰ	pʰ	ue	213	4								
配	pfʰue5		pfʰ	pʰ	ue	21	5								
杮	pfʰue5		pfʰ	pʰ	ue	21	5								
□	pfʰue6	□to5～（口袋）	pfʰ	pʰ	ue	42	6								
梅	bvue2		bv	b	ue	44	2								
媒	bvue2		bv	b	ue	44	2								
煤	bvue2		bv	b	ue	44	2								
莓	bvue2		bv	b	ue	44	2								
黴	bvue2		bv	b	ue	44	2								
枚	bvue2		bv	b	ue	44	2								
尾	bvue3		bv	b	ue	53	3								
娓	bvue3		bv	b	ue	53	3								
未	bvue6		bv	b	ue	42	6								
妹	ɱue2	女儿。可能是小称变调	ɱ	m	ue	44	2								
糜	ɱue2	稀饭，与“粥”略有不同	ɱ	m	ue	44	2								
每	ɱue3		ɱ	m	ue	53	3								
妹	ɱue4	～囝：小妹	ɱ	m	ue	213	4								
昧寐	ɱue4		ɱ	m	ue	213	4								
妹	ɱue6	妹妹	ɱ	m	ue	42	6								
兌	tue4		t	t	ue	213	4								
綴	tue5		t	t	ue	21	5								
頽	tʰue2		tʰ	tʰ	ue	44	2								
罪最贅	tsue4		ts	ts	ue	213	4								
吹	tsʰue1		tsʰ	tsʰ	ue	22	1								
炊	tsʰue1		tsʰ	tsʰ	ue	22	1								
棰	tsʰue2	木棍	tsʰ	tsʰ	ue	44	2								
髓	tsʰue3		tsʰ	tsʰ	ue	53	3								
揣	tsʰue6	训	tsʰ	tsʰ	ue	42	6								
覓	tsʰue6	训，寻找	tsʰ	tsʰ	ue	42	6								
挼	dzue2	用手指磨碎	dz	dz	ue	44	2								
芮	dzue4		dz	dz	ue	213	4								
銳	dzue4		dz	dz	ue	213	4								
衰	sue1		s	s	ue	22	1								
垂	sue2		s	s	ue	44	2								
□	sue3	～直（做事干净利落）	s	s	ue	53	3								
戍	sue5		s	s	ue	21	5								
歲稅帥	sue5		s	s	ue	21	5								
瓜	kue1		k	k	ue	22	1								
葵	kue2	～潭（地名，在惠来）	k	k	ue	44	2								
裹	kue3		k	k	ue	53	3								
粿	kue3		k	k	ue	53	3								
繪	kue5	又，东部音	k	k	ue	21	5								
會	kue5	～计	k	k	ue	21	5								
髻	kue5		k	k	ue	21	5								
過	kue5		k	k	ue	21	5								
卦	kue5		k	k	ue	21	5								
科	kʰue1		kʰ	kʰ	ue	22	1								
盔	kʰue1		kʰ	kʰ	ue	22	1								
恢魁	kʰue1		kʰ	kʰ	ue	22	1								
快	kʰue5	手快	kʰ	kʰ	ue	21	5								
課	kʰue5		kʰ	kʰ	ue	21	5								
恢	hue1	又	h	h	ue	22	1								
花	hue1		h	h	ue	22	1								
灰	hue1		h	h	ue	22	1								
和	hue2	~尚	h	h	ue	44	2								
回茴蛔徊	hue2		h	h	ue	44	2								
懷	hue2	白，开～	h	h	ue	44	2								
火	hue3		h	h	ue	53	3								
夥	hue3		h	h	ue	53	3								
匯會燴	hue4		h	h	ue	213	4								
化貨	hue5		h	h	ue	21	5								
悔晦	hue5		h	h	ue	21	5								
歲	hue5	白读，年龄称..（数字）～；～声，年纪的意思	h	h	ue	21	5								
誨	hue5		h	h	ue	21	5								
鍋萵	ue1				ue	22	1								
衛	ue4				ue	213	4								
尉慰穢	ue5				ue	21	5								
畫話	ue6				ue	42	6								
波菠玻坡	po1		p	p	o	22	1								
薄	po2	～荷	p	p	o	44	2								
婆	po2		p	p	o	44	2								
保寶	po3		p	p	o	53	3								
報	po5		p	p	o	21	5								
菩	pʰo2		pʰ	pʰ	o	44	2								
頗叵	pʰo3		pʰ	pʰ	o	53	3								
抱	pʰo4		pʰ	pʰ	o	213	4								
無	bo2		b	b	o	44	2								
母拇	bo3		b	b	o	53	3								
帽	bo6		b	b	o	42	6								
魔摩模	mo2		m	m	o	44	2								
毛	mo2		m	m	o	44	2								
暮墓慕募幕	mo4		m	m	o	213	4								
望	mo6		m	m	o	42	6								
多	to1		t	t	o	22	1								
都	to1	又	t	t	o	22	1								
桃	to2	杨～	t	t	o	44	2								
逃	to2		t	t	o	44	2								
朵躲	to3		t	t	o	53	3								
短	to3		t	t	o	53	3								
在	to4		t	t	o	213	4								
佇	to4	训“在”	t	t	o	213	4								
墮	to4		t	t	o	213	4								
倒	to5		t	t	o	21	5								
戴	to5	姓	t	t	o	21	5								
代	to6	白，年～，一～侬	t	t	o	42	6								
袋	to6		t	t	o	42	6								
胎	tʰo1		tʰ	tʰ	o	22	1								
推	tʰo1	相~：推辞	tʰ	tʰ	o	22	1								
桃	tʰo2		tʰ	tʰ	o	44	2								
萄馱	tʰo2		tʰ	tʰ	o	44	2								
迌	tʰo2	方言俗字，tʰik7-～:玩耍	tʰ	tʰ	o	44	2								
妥	tʰo3		tʰ	tʰ	o	53	3								
橢	tʰo3		tʰ	tʰ	o	53	3								
討	tʰo3		tʰ	tʰ	o	53	3								
退	tʰo5		tʰ	tʰ	o	21	5								
囉	lo1		l	l	o	22	1								
□	lo2	流～囝（整天在外游手好闲的人）	l	l	o	44	2								
螺	lo2		l	l	o	44	2								
牢	lo2		l	l	o	44	2								
羅鑼蘿邏	lo2		l	l	o	44	2								
裸	lo3		l	l	o	53	3								
惱	lo3		l	l	o	53	3								
娜	no2		n	n	o	44	2								
兩	no4		n	n	o	213	4								
努怒	no5		n	n	o	21	5								
糟	tso1	白，鏖o1～：脏	ts	ts	o	22	1								
槽	tso2		ts	ts	o	44	2								
左佐阻	tso3		ts	ts	o	53	3								
棗	tso3		ts	ts	o	53	3								
坐	tso4		ts	ts	o	213	4								
助	tso4		ts	ts	o	213	4								
做	tso5		ts	ts	o	21	5								
怎	tsa5	训	ts	ts	a	21	5								
座	tso6		ts	ts	o	42	6								
初	tsʰo1		tsʰ	tsʰ	o	22	1								
腥	tsʰo1		tsʰ	tsʰ	o	22	1								
臊	tsʰo1		tsʰ	tsʰ	o	22	1								
挫矬	tsʰo2		tsʰ	tsʰ	o	44	2								
鋤	tsʰo2		tsʰ	tsʰ	o	44	2								
楚礎	tsʰo3		tsʰ	tsʰ	o	53	3								
草	tsʰo3	白	tsʰ	tsʰ	o	53	3								
錯	tsʰo5		tsʰ	tsʰ	o	21	5								
錯	tsʰoʔ7	眉~~，形容愁眉苦脸的样子	tsʰ	tsʰ	oʔ	32	7								
糙	tsʰo5		tsʰ	tsʰ	o	21	5								
□	tsʰo6	盛放物品	tsʰ	tsʰ	o	42	6								
搓娑唆梭莎蔬疏	so1		s	s	o	22	1								
蓑	so1	文	s	s	o	22	1								
傻	so2		s	s	o	44	2								
所鎖嗩瑣	so3		s	s	o	53	3								
嫂	so3		s	s	o	53	3								
素	so5	白，~素，味道：无味无素，形容菜没味道	s	s	o	21	5								
歌哥	ko1		k	k	o	22	1								
篙糕膏	ko1		k	k	o	22	1								
竿	ko1	训	k	k	o	22	1								
哥	ko2	面称，小称变调	k	k	o	44	2								
擱	ko2	扔	k	k	o	44	2								
稿	ko3		k	k	o	53	3								
個	ko5		k	k	o	21	5								
塊	ko5		k	k	o	21	5								
柯	kʰo1		kʰ	kʰ	o	22	1								
炣	kʰo1	将饭，菜，肉烩熟	kʰ	kʰ	o	22	1								
戈	kʰo1		kʰ	kʰ	o	22	1								
撾	kʰo1	老～，国名	kʰ	kʰ	o	22	1								
棵苛	kʰo1		kʰ	kʰ	o	22	1								
可顆	kʰo3		kʰ	kʰ	o	53	3								
洘	kʰo3	浅	kʰ	kʰ	o	53	3								
鵝	go2		g	g	o	44	2								
餓	go6		g	g	o	42	6								
俄娥梧愚寓	ŋo2		ŋ	ŋ	o	44	2								
悟遇	ŋo4		ŋ	ŋ	o	213	4								
蒿	ho1		h	h	o	22	1								
呵	ho1		h	h	o	22	1								
河何	ho2		h	h	o	44	2								
好	ho3		h	h	o	53	3								
荷	ho5	薄～	h	h	o	21	5								
耗	ho5		h	h	o	21	5								
賀	ho6		h	h	o	42	6								
號	ho6		h	h	o	42	6								
窩渦婀媧	o1				o	22	1								
鏖	o1	白，～糟tso1：脏			o	22	1								
荷	o2	白			o	44	2								
□	o2	扔			o	44	2								
荷	ho4		h	h	o	213	4								
臥	o4				o	213	4								
標	pio1	～旗	p	p	io	22	1								
錶	pio1		p	p	io	22	1								
表	pio3	～哥，～弟	p	p	io	53	3								
漂	pio5		p	p	io	21	5								
薸	pʰio2		pʰ	pʰ	io	44	2								
萍	pʰio2	训	pʰ	pʰ	io	44	2								
票	pʰio5		pʰ	pʰ	io	21	5								
描瞄	bio2		b	b	io	44	2								
廟	bio6		b	b	io	42	6								
潮	tio2		t	t	io	44	2								
□	tio6	颤抖：凝ngang2到青～，冷得全身发抖	t	t	io	42	6								
挑	tʰio1	～风起涌（形容挑起事端）	tʰ	tʰ	io	22	1								
糶	tʰio5		tʰ	tʰ	io	21	5								
撈	lio2		l	l	io	44	2								
量梁糧孃	nio2		n	n	io	44	2								
娘	nio2	白，月～	n	n	io	44	2								
兩	nio3		n	n	io	53	3								
讓	nio6		n	n	io	42	6								
蕉椒招	tsio1		ts	ts	io	22	1								
少	tsio3		ts	ts	io	53	3								
照	tsio5		ts	ts	io	21	5								
笑	tsʰio5		tsʰ	tsʰ	io	21	5								
唱	tsʰio5	白，～曲	tsʰ	tsʰ	io	21	5								
曜	tsʰio6	白，照亮	tsʰ	tsʰ	io	42	6								
橈	dzio2		dz	dz	io	44	2								
尿	dzio6		dz	dz	io	42	6								
相	sio1	白，～信	s	s	io	22	1								
燒	sio1		s	s	io	22	1								
小	sio3		s	s	io	53	3								
茄	kio2		k	k	io	44	2								
