"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"
"62"	"玻"	"玻"	"po阴平"	""	""	""
"63"	"婆"	"婆"	"pʰua阳平"	"白"	""	""
"64"	"婆"	"婆"	"po阳平"	"文"	""	""
"65"	"魔"	"魔"	"mo阳平"	""	""	""
"66"	"磨"	"磨"	"bua阳平"	"白"	""	""
"67"	"磨"	"磨"	"mua阳平"	"白"	""	""
"68"	"磨"	"磨"	"bo去声"	"文"	""	""
"69"	"磨"	"磨"	"mo阳平"	"文"	""	""
"70"	"摩"	"摩"	"bua阳平"	"白"	""	""
"71"	"摩"	"摩"	"mo阳平"	"文"	""	""
"72"	"朵"	"朵"	"to阴上"	""	""	""
"73"	"躲"	"躲"	"to阴上"	""	""	""
"74"	"剁"	"剁"	"to阴上"	"文"	""	""
"75"	"妥"	"妥"	"tʰua阴上"	"白"	""	""
"76"	"妥"	"妥"	"tʰo阴上"	"文"	""	""
"77"	"唾"	"唾"	"tʰua去声"	"白"	""	""
"78"	"唾"	"唾"	"tʰo去声"	"文"	""	""
"79"	"惰"	"惰"	"tuã阳上"	""	""	""
"80"	"墮"	"堕"	"tua阳上"	""	""	""
"81"	"囉"	"啰"	"lo阴平"	""	""	""
"82"	"糯"	"糯"	"no去声"	"文"	""	""
"83"	"糯"	"糯"	"tsuk阳入"	"训"	""	""
"84"	"騾"	"骡"	"lo阳平"	""	""	""
"85"	"螺"	"螺"	"lo阳平"	""	""	""
"86"	"腡"	"脶"	"lo阳平"	""	""	""
"87"	"裸"	"裸"	"lua阴上"	"白"	""	""
"88"	"裸"	"裸"	"lo阴上"	"文"	""	""
"89"	"摞"	"摞"	"lo阳平"	""	""	""
"90"	"銼"	"锉"	"tsʰo去声"	"文"	""	""
"91"	"銼"	"锉"	"tsʰok阳入"	"文"	""	""
"92"	"矬"	"矬"	"tsʰo阳平"	"文"	""	""
"93"	"矬"	"矬"	"tso阴平"	""	""	""
"94"	"坐"	"坐"	"tso阳上"	""	""	""
"95"	"座"	"座"	"tso去声"	""	""	""
"96"	"蓑"	"蓑"	"sui阴平"	"文"	""	""
"97"	"蓑"	"蓑"	"so阴平"	"文"	""	""
"98"	"梭"	"梭"	"so阴平"	""	""	""
"99"	"唆"	"唆"	"so阴平"	""	""	""
"100"	"鎖"	"锁"	"so阴上"	""	""	""
"101"	"瑣"	"琐"	"so阴上"	""	""	""
"102"	"鍋"	"锅"	"ue阴平"	"白"	""	""
"103"	"鍋"	"锅"	"ko阴平"	"文"	""	""
"104"	"過"	"过"	"kue去声"	""	""	""
"105"	"戈"	"戈"	"kʰo阴平"	"文"	""	""
"106"	"戈"	"戈"	"kue阴平"	"白"	""	""
"107"	"果"	"果"	"kue阴上"	"白"	""	""
"108"	"果"	"果"	"kua阴上"	"文"	""	""
"109"	"裹"	"裹"	"kue阴上"	""	""	""
"110"	"科"	"科"	"kʰue阴平"	""	""	""
"111"	"棵"	"棵"	"kʰo阴上"	""	""	""
"112"	"窠"	"窠"	"kʰue阴平"	"白"	""	""
"113"	"窠"	"窠"	"kʰo阴平"	"文"	""	""
"114"	"顆"	"颗"	"kʰue阴上"	"白"	""	""
"115"	"顆"	"颗"	"kʰo阴上"	"文"	""	""
"116"	"課"	"课"	"kʰue去声"	""	""	""
"117"	"訛"	"讹"	"ue阳平"	""	""	""
"118"	"臥"	"卧"	"o去声"	"文"	""	""
"119"	"臥"	"卧"	"ŋoʔ阳入"	"又"	""	""
"120"	"火"	"火"	"hue阴上"	""	""	""
"121"	"夥"	"伙"	"hue阴上"	""	""	""
"122"	"貨"	"货"	"hue去声"	""	""	""
"123"	"禾"	"禾"	"hua阳平"	"白"	""	""
"124"	"禾"	"禾"	"ho阳平"	"文"	""	""
"125"	"和"	"和"	"hua阳平"	"文"	""	""
"126"	"和"	"和"	"hue阳平"	"白"	""	""
"127"	"禍"	"祸"	"hua阳上"	""	""	""
"128"	"倭"	"倭"	"o阴平"	""	""	""
"129"	"窩"	"窝"	"o阴平"	""	""	""
"130"	"涴"	"涴"	"u去声"	""	""	""
"131"	"瘸"	"瘸"	"kʰue阳平"	""	""	""
"132"	"靴"	"靴"	"hia阴平"	""	""	""
"133"	"巴"	"巴"	"pa阴平"	""	""	""
"134"	"疤"	"疤"	"pa阴平"	""	""	""
"135"	"芭"	"芭"	"pa阴平"	""	""	""
"136"	"把"	"把"	"pa阴平"	"文"	""	""
"137"	"把"	"把"	"pe阴平"	"白"	""	""
"138"	"爸"	"爸"	"pa阴平"	"俗"	""	""
"139"	"爸"	"爸"	"pe阳上"	"白"	""	""
"140"	"欛"	"欛"	"pa去声"	""	""	""
"141"	"壩"	"坝"	"pa去声"	""	""	""
"142"	"垻"	"坝"	"pa去声"	""	""	""
"143"	"霸"	"霸"	"pa去声"	""	""	""
"144"	"怕"	"怕"	"pʰã去声"	""	""	""
"145"	"琶"	"琶"	"pe阳平"	"白"	""	""
"146"	"琶"	"琶"	"pʰa阳平"	"文"	""	""
"147"	"爬"	"爬"	"pe阳平"	"白"	""	""
"148"	"爬"	"爬"	"ba阳平"	"白"	""	""
"149"	"爬"	"爬"	"peʔ阴入"	"替"	""	""
"150"	"麻"	"麻"	"mua阳平"	"白"	""	""
"151"	"麻"	"麻"	"ba阳平"	"文"	""	""
"152"	"麻"	"麻"	"ma阳平"	"文"	""	""
"153"	"蟆"	"蟆"	"ma阳平"	""	""	""
"154"	"媽"	"妈"	"ma阴上"	"祖母"	""	""
"155"	"媽"	"妈"	"ma阴平"	"母亲"	""	""
"156"	"媽"	"妈"	"ma阳平"	"母亲"	""	""
"157"	"馬"	"马"	"be阴上"	"白"	""	""
"158"	"馬"	"马"	"ma阴上"	"文"	""	""
"159"	"碼"	"码"	"be阴上"	"白"	""	""
"160"	"碼"	"码"	"ma阴上"	"文"	""	""
"161"	"碼"	"码"	"bue阴上"	"又"	""	""
"162"	"罵"	"骂"	"me去声"	""	""	""
"163"	"拿"	"拿"	"na阴上"	""	""	""
"164"	"詫"	"诧"	"tʰe去声"	""	""	""
"165"	"茶"	"茶"	"te阳平"	""	""	""
"166"	"搽"	"搽"	"te阳平"	"白"	""	""
"167"	"搽"	"搽"	"tsʰa阳平"	"文"	""	""
"168"	"查"	"查"	"tsʰe阳平"	""	""	""
"169"	"查"	"查"	"tsa阴平"	"姓氏音"	""	""
"170"	"渣"	"渣"	"tsa阴平"	""	""	""
"171"	"詐"	"诈"	"tsa去声"	""	""	""
"172"	"榨"	"榨"	"tsa去声"	""	""	""
"173"	"炸"	"炸"	"tsa去声"	""	""	""
"174"	"叉"	"叉"	"tsʰe阴平"	"白"	""	""
"175"	"叉"	"叉"	"tsʰa阴平"	"文"	""	""
"176"	"杈"	"杈"	"tsʰe阴平"	""	""	""
"177"	"差"	"差"	"tsʰe阴平"	"白"	""	""
"178"	"差"	"差"	"tsʰa阴平"	"文"	""	""
"179"	"差"	"差"	"tsʰi阴平"	"文"	""	""
"180"	"差"	"差"	"tsʰai阴平"	"文"	""	""
"181"	"岔"	"岔"	"tsʰe阴平"	"白"	""	""
"182"	"岔"	"岔"	"tsʰa阴平"	"文"	""	""
"183"	"汊"	"汊"	"tsʰa去声"	""	""	""
"184"	"乍"	"乍"	"tsa去声"	""	""	""
"185"	"沙"	"沙"	"sua阴平"	"白"	""	""
"186"	"沙"	"沙"	"sa阴平"	"文"	""	""
"187"	"紗"	"纱"	"se阴平"	"白"	""	""
"188"	"紗"	"纱"	"sa阴平"	"文"	""	""
"189"	"灑"	"洒"	"sa去声"	""	""	""
"190"	"灑"	"洒"	"sai去声"	""	""	""
"191"	"嘉"	"嘉"	"kia阴平"	""	""	""
"192"	"家"	"家"	"ke阴平"	"白"	""	""
"193"	"家"	"家"	"ka阴平"	"家己"	""	""
"194"	"家"	"家"	"kia阴平"	"文"	""	""
"195"	"傢"	"家"	"ke阴平"	"白"	""	""
"196"	"傢"	"家"	"kia阴平"	"文"	""	""
"197"	"加"	"加"	"ke阴平"	"白"	""	""
"198"	"加"	"加"	"kia阴平"	"文"	""	""
"199"	"假"	"假"	"ke阴上"	"白"	""	""
"200"	"假"	"假"	"ke去声"	"白"	""	""
"201"	"假"	"假"	"kia阴上"	"文"	""	""
"202"	"賈"	"贾"	"ku阴上"	"文"	""	""
"203"	"賈"	"贾"	"kia阴上"	"文"	""	""
"204"	"稼"	"稼"	"ke去声"	"白"	""	""
"205"	"稼"	"稼"	"kia去声"	"文"	""	""
"206"	"價"	"价"	"ke去声"	"白"	""	""
"207"	"價"	"价"	"kia去声"	"文"	""	""
"208"	"架"	"架"	"ke去声"	"白"	""	""
"209"	"架"	"架"	"kia去声"	"文"	""	""
"210"	"駕"	"驾"	"ke去声"	"白"	""	""
"211"	"駕"	"驾"	"kia去声"	"文"	""	""
"212"	"嫁"	"嫁"	"ke去声"	"白"	""	""
"213"	"嫁"	"嫁"	"kia去声"	"文"	""	""
"214"	"牙"	"牙"	"ge阳平"	"白"	""	""
"215"	"牙"	"牙"	"gia阳平"	"文"	""	""
"216"	"芽"	"芽"	"ge阳平"	""	""	""
"217"	"衙"	"衙"	"ge阳平"	"白"	""	""
"218"	"衙"	"衙"	"ŋia阳平"	"文"	""	""
"219"	"雅"	"雅"	"ŋia阴上"	""	""	""
"220"	"訝"	"讶"	"ŋa去声"	"文"	""	""
"221"	"訝"	"讶"	"ŋia去声"	"文"	""	""
"222"	"迓"	"迓"	"ŋia去声"	""	""	""
"223"	"蝦"	"虾"	"he阳平"	""	""	""
"224"	"嚇"	"吓"	"heʔ阴入"	"白"	""	""
"225"	"嚇"	"吓"	"hek阴入"	"文"	""	""
"226"	"霞"	"霞"	"hia阳平"	""	""	""
"227"	"遐"	"遐"	"hia阳平"	""	""	""
"228"	"瑕"	"瑕"	"hia阳平"	""	""	""
"229"	"下"	"下"	"hia阳上"	"文"	""	""
"230"	"下"	"下"	"e阳上"	"方位"	""	""
"231"	"下"	"下"	"e去声"	"一下"	""	""
"232"	"下"	"下"	"ke阳上"	"高低"	""	""
"233"	"下"	"下"	"he阳上"	""	""	""
"234"	"夏"	"夏"	"he去声"	""	""	""
"235"	"廈"	"厦"	"e阳上"	"厦门"	""	""
"236"	"廈"	"厦"	"he去声"	"大厦"	""	""
"237"	"暇"	"暇"	"hia去声"	""	""	""
"238"	"丫"	"丫"	"a阴平"	""	""	""
"239"	"鴉"	"鸦"	"a阴平"	"乌鸦"	""	""
"240"	"鴉"	"鸦"	"aʔ阴入"	"鸦片"	""	""
"241"	"啞"	"哑"	"e阴上"	"白"	""	""
"242"	"啞"	"哑"	"ia阴上"	"文"	""	""
"243"	"亞"	"亚"	"a去声"	""	""	""
"244"	"亞"	"亚"	"a阴平"	"又"	""	""
"245"	"嗟"	"嗟"	"tsia阴平"	""	""	""
"246"	"姐"	"姐"	"tsia阴上"	""	""	""
"247"	"姐"	"姐"	"tse阴上"	""	""	""
"248"	"借"	"借"	"tsioʔ阴入"	""	""	""
"249"	"借"	"借"	"tsia阳上"	"文"	""	""
"250"	"借"	"借"	"tsek阴入"	"文"	""	""
"251"	"且"	"且"	"tsʰiã阴上"	""	""	""
"252"	"藉"	"藉"	"tsia阳上"	""	""	""
"253"	"藉"	"藉"	"tsiak阳入"	""	""	""
"254"	"藉"	"藉"	"tsek阳入"	"文"	""	""
"255"	"褯"	"褯"	"tsia阳上"	""	""	""
"256"	"些"	"些"	"se阴平"	""	""	""
"257"	"些"	"些"	"sẽ阴平"	""	""	""
"258"	"寫"	"写"	"sia阴上"	""	""	""
"259"	"瀉"	"泻"	"sia去声"	""	""	""
"260"	"卸"	"卸"	"sia去声"	""	""	""
"261"	"邪"	"邪"	"sia阳平"	""	""	""
"262"	"邪"	"邪"	"ia阳平"	""	""	""
"263"	"斜"	"斜"	"sia阴平"	""	""	""
"264"	"斜"	"斜"	"sia阳平"	""	""	""
"265"	"謝"	"谢"	"sia去声"	"文"	""	""
"266"	"謝"	"谢"	"tsia去声"	"姓氏音"	""	""
"267"	"爹"	"爹"	"tia阴平"	""	""	""
"268"	"遮"	"遮"	"tsia阴平"	""	""	""
"269"	"者"	"者"	"tsia阴上"	"白"	""	""
"270"	"者"	"者"	"tse阴上"	"文"	""	""
"271"	"蔗"	"蔗"	"tsia去声"	""	""	""
"272"	"車"	"车"	"tsʰia阴平"	"文"	""	""
"273"	"車"	"车"	"ku阴平"	"文"	""	""
"274"	"扯"	"扯"	"tsʰe阴上"	""	""	""
"275"	"蛇"	"蛇"	"tsua阳平"	""	""	""
"276"	"射"	"射"	"sia去声"	""	""	""
"277"	"射"	"射"	"iaʔ阴入"	""	""	""
"278"	"射"	"射"	"ia去声"	""	""	""
"279"	"奢"	"奢"	"sia阴平"	""	""	""
"280"	"賒"	"赊"	"tsʰia阴平"	""	""	""
"281"	"捨"	"舍"	"sia阴上"	""	""	""
"282"	"赦"	"赦"	"sia去声"	""	""	""
"283"	"舍"	"舍"	"sia去声"	""	""	""
"284"	"社"	"社"	"sia阳上"	""	""	""
"285"	"惹"	"惹"	"dzia阴上"	""	""	""
"286"	"耶"	"耶"	"ia阳平"	""	""	""
"287"	"椰"	"椰"	"ia阳平"	""	""	""
"288"	"爺"	"爷"	"ia阳平"	""	""	""
"289"	"冶"	"冶"	"ia阴上"	""	""	""
"290"	"也"	"也"	"ia去声"	"文"	""	""
"291"	"也"	"也"	"lia去声"	""	""	""
"292"	"野"	"野"	"ia阴上"	""	""	""
"293"	"夜"	"夜"	"ia去声"	""	""	""
"294"	"夜"	"夜"	"me阳平"	"训"	""	""
"295"	"傻"	"傻"	"sa阳上"	""	""	""
"296"	"傻"	"傻"	"so阳平"	""	""	""
"297"	"耍"	"耍"	"sua阴上"	""	""	""
"298"	"瓜"	"瓜"	"kue阴平"	"白"	""	""
"299"	"瓜"	"瓜"	"kua阴平"	"文"	""	""
"300"	"蝸"	"蜗"	"ua阴平"	"白"	""	""
"301"	"蝸"	"蜗"	"ko阴平"	"文"	""	""
"302"	"寡"	"寡"	"kua阴上"	""	""	""
"303"	"剮"	"剐"	"kua阴上"	""	""	""
"304"	"咵"	"咵"	"kʰua阴平"	""	""	""
"305"	"垮"	"垮"	"kʰua阴平"	""	""	""
"306"	"跨"	"跨"	"kʰua阴平"	""	""	""
"307"	"娃"	"娃"	"ua阴平"	""	""	""
"308"	"瓦"	"瓦"	"hia阳上"	"白"	""	""
"309"	"瓦"	"瓦"	"ua阴上"	"文"	""	""
"310"	"花"	"花"	"hue阴平"	"白"	""	""
"311"	"花"	"花"	"hua阴平"	"文"	""	""
"312"	"化"	"化"	"hue去声"	"白"	""	""
"313"	"化"	"化"	"hua去声"	"文"	""	""
"314"	"華"	"华"	"hua阴平"	"文"	""	""
"315"	"華"	"华"	"hua阳平"	"文"	""	""
"316"	"華"	"华"	"hue阴平"	"白"	""	""
"317"	"華"	"华"	"e阳上"	"白"	""	""
"318"	"蛙"	"蛙"	"ua阴平"	""	""	""
"319"	"洼"	"洼"	"ua阴平"	""	""	""
"320"	"補"	"补"	"pou阴上"	""	""	""
"321"	"譜"	"谱"	"pʰou阴上"	""	""	""
"322"	"布"	"布"	"pou去声"	"白"	""	""
"323"	"布"	"布"	"pu去声"	"文"	""	""
"324"	"佈"	"布"	"pou去声"	"白"	""	""
"325"	"佈"	"布"	"pu去声"	"文"	""	""
"326"	"鋪"	"铺"	"pʰou阴平"	""	""	""
"327"	"鋪"	"铺"	"pʰou去声"	""	""	""
"328"	"普"	"普"	"pʰou阴上"	""	""	""
"329"	"浦"	"浦"	"pʰou阴上"	""	""	""
"330"	"怖"	"怖"	"pou去声"	"白"	""	""
"331"	"怖"	"怖"	"pu去声"	"文"	""	""
"332"	"菩"	"菩"	"pu阳平"	""	""	""
"333"	"菩"	"菩"	"pʰu阳平"	""	""	""
"334"	"蒲"	"蒲"	"pʰu阳平"	""	""	""
"335"	"脯"	"脯"	"pou阴上"	""	""	""
"336"	"部"	"部"	"pou阳上"	""	""	""
"337"	"簿"	"簿"	"pʰou阳上"	""	""	""
"338"	"步"	"步"	"pou去声"	""	""	""
"339"	"捕"	"捕"	"pou去声"	"白"	""	""
"340"	"捕"	"捕"	"pu阳上"	"文"	""	""
"341"	"埠"	"埠"	"pou阴平"	"俗"	""	""
"342"	"模"	"模"	"bou阳平"	"白"	""	""
"343"	"模"	"模"	"mo阳平"	"文"	""	""
"344"	"暮"	"暮"	"mo阳上"	"白"	""	""
"345"	"暮"	"暮"	"mu去声"	"文"	""	""
"346"	"墓"	"墓"	"mo阳上"	"白"	""	""
"347"	"墓"	"墓"	"mu阳上"	"文"	""	""
"348"	"募"	"募"	"mo阳上"	""	""	""
"349"	"募"	"募"	"mu去声"	"文"	""	""
"350"	"慕"	"慕"	"mo阳上"	"白"	""	""
"351"	"慕"	"慕"	"mu去声"	"文"	""	""
"352"	"都"	"都"	"tou阴平"	""	""	""
"353"	"都"	"都"	"to阴平"	""	""	""
"354"	"堵"	"堵"	"tu阴上"	""	""	""
"355"	"賭"	"赌"	"tu阴上"	""	""	""
"356"	"肚"	"肚"	"tou阴上"	""	""	""
"357"	"肚"	"肚"	"tou阳上"	""	""	""
"358"	"妒"	"妒"	"tou去声"	"白"	""	""
"359"	"妒"	"妒"	"tu去声"	"文"	""	""
"360"	"蠹"	"蠹"	"tu去声"	""	""	""
"361"	"土"	"土"	"tou阳上"	"白"	""	""
"362"	"土"	"土"	"tʰou阴上"	"白"	""	""
"363"	"土"	"土"	"tʰu阴上"	"文"	""	""
"364"	"吐"	"吐"	"tʰou去声"	""	""	""
"365"	"兔"	"兔"	"tʰou去声"	""	""	""
"366"	"途"	"途"	"tʰu阳平"	""	""	""
"367"	"鈽"	"钸"	"pu阴平"	""	""	""
"368"	"屠"	"屠"	"tou阳平"	"白"	""	""
"369"	"屠"	"屠"	"tʰu阳平"	"文"	""	""
"370"	"圖"	"图"	"tou阳平"	"白"	""	""
"371"	"圖"	"图"	"tʰu阳平"	"文"	""	""
"372"	"徒"	"徒"	"tʰu阳平"	""	""	""
"373"	"杜"	"杜"	"tou阳上"	"白"	""	""
"374"	"杜"	"杜"	"tu阴上"	"文"	""	""
"375"	"度"	"度"	"tou去声"	""	""	""
"376"	"度"	"度"	"tak阳入"	""	""	""
"377"	"渡"	"渡"	"tou去声"	""	""	""
"378"	"鍍"	"镀"	"tou去声"	""	""	""
"379"	"奴"	"奴"	"nou阳平"	"白"	""	""
"380"	"奴"	"奴"	"nu阳平"	"文"	""	""
"381"	"努"	"努"	"no阴上"	"白"	""	""
"382"	"努"	"努"	"no去声"	"又"	""	""
"383"	"努"	"努"	"nu阴上"	"文"	""	""
"384"	"怒"	"怒"	"no去声"	"白"	""	""
"385"	"怒"	"怒"	"nu去声"	"文"	""	""
"386"	"盧"	"卢"	"lou阳平"	"白"	""	""
"387"	"盧"	"卢"	"lu阳平"	"文"	""	""
"388"	"爐"	"炉"	"lou阳平"	""	""	""
"389"	"鹵"	"卤"	"lou阴上"	""	""	""
"390"	"鹵"	"卤"	"lou阳上"	""	""	""
"391"	"魯"	"鲁"	"lu阴上"	""	""	""
"392"	"櫓"	"橹"	"lou阴上"	"白"	""	""
"393"	"櫓"	"橹"	"lu阴上"	"文"	""	""
"394"	"虜"	"虏"	"lu阴上"	""	""	""
"395"	"露"	"露"	"lou去声"	""	""	""
"396"	"路"	"路"	"lou去声"	""	""	""
"397"	"賂"	"赂"	"lu去声"	""	""	""
"398"	"租"	"租"	"tsou阴平"	"白"	""	""
"399"	"租"	"租"	"tsu阴平"	"文"	""	""
"400"	"祖"	"祖"	"tsou阴上"	""	""	""
"401"	"組"	"组"	"tsu阴平"	""	""	""
"402"	"粗"	"粗"	"tsʰou阴平"	""	""	""
"403"	"醋"	"醋"	"tsʰou去声"	""	""	""
"404"	"錯"	"错"	"tsʰo去声"	"白"	""	""
"405"	"錯"	"错"	"tsʰoʔ阴入"	"白"	""	""
"406"	"錯"	"错"	"tsʰak阴入"	"文"	""	""
"407"	"措"	"措"	"tsʰo去声"	"白"	""	""
"408"	"措"	"措"	"tsʰu去声"	"文"	""	""
"409"	"蘇"	"苏"	"sou阴平"	""	""	""
"410"	"酥"	"酥"	"sou阴平"	""	""	""
"411"	"素"	"素"	"so去声"	"白"	""	""
"412"	"素"	"素"	"su去声"	"文"	""	""
"413"	"塑"	"塑"	"sok阴入"	"俗"	""	""
"414"	"塑"	"塑"	"suak阴入"	"俗"	""	""
"415"	"塑"	"塑"	"su去声"	"文"	""	""
"416"	"訴"	"诉"	"su去声"	""	""	""
"417"	"嗉"	"嗉"	"su去声"	""	""	""
"418"	"辜"	"辜"	"kou阴平"	"白"	""	""
"419"	"辜"	"辜"	"ku阴平"	"文"	""	""
"420"	"孤"	"孤"	"kou阴平"	""	""	""
"421"	"箍"	"箍"	"kʰou阴平"	""	""	""
"422"	"姑"	"姑"	"kou阴平"	""	""	""
"423"	"估"	"估"	"kou阴上"	""	""	""
"424"	"古"	"古"	"kou阴上"	"白"	""	""
"425"	"古"	"古"	"ku阴上"	"文"	""	""
"426"	"股"	"股"	"kou阴上"	"白"	""	""
"427"	"股"	"股"	"ku阴上"	"文"	""	""
"428"	"鼓"	"鼓"	"kou阴上"	"白"	""	""
"429"	"鼓"	"鼓"	"ku阴上"	"文"	""	""
"430"	"蠱"	"蛊"	"kou阴上"	"白"	""	""
"431"	"蠱"	"蛊"	"ku阴上"	"文"	""	""
"432"	"故"	"故"	"ku去声"	""	""	""
"433"	"顧"	"顾"	"kou去声"	"白"	""	""
"434"	"顧"	"顾"	"ku去声"	"文"	""	""
"435"	"固"	"固"	"ku去声"	""	""	""
"436"	"雇"	"雇"	"kou去声"	""	""	""
"437"	"枯"	"枯"	"kʰou阴平"	"白"	""	""
"438"	"枯"	"枯"	"kou阴平"	"又"	""	""
"439"	"枯"	"枯"	"kʰu阴平"	"文"	""	""
"440"	"苦"	"苦"	"kʰou阴上"	""	""	""
"441"	"庫"	"库"	"kʰou去声"	""	""	""
"442"	"褲"	"裤"	"kʰou去声"	""	""	""
"443"	"梧"	"梧"	"ŋo阳平"	"白"	""	""
"444"	"梧"	"梧"	"ŋu阳平"	"文"	""	""
"445"	"吾"	"吾"	"ŋo阳平"	"白"	""	""
"446"	"吾"	"吾"	"ŋu阳平"	"文"	""	""
"447"	"吳"	"吴"	"gou阳平"	""	""	""
"448"	"五"	"五"	"ŋou阴上"	""	""	""
"449"	"五"	"五"	"ŋou阳上"	""	""	""
"450"	"午"	"午"	"ŋou阴上"	"白"	""	""
"451"	"午"	"午"	"ŋu阴上"	"文"	""	""
"452"	"伍"	"伍"	"ŋou阴上"	""	""	""
"453"	"伍"	"伍"	"ŋou阳上"	""	""	""
"454"	"悟"	"悟"	"ŋou去声"	"白"	""	""
"455"	"悟"	"悟"	"ŋu去声"	"文"	""	""
"456"	"誤"	"误"	"gou去声"	""	""	""
"457"	"呼"	"呼"	"kʰou阴平"	"白"	""	""
"458"	"呼"	"呼"	"ho阴平"	"白"	""	""
"459"	"呼"	"呼"	"hou阴平"	"白"	""	""
"460"	"呼"	"呼"	"hu阴平"	"文"	""	""
"461"	"虎"	"虎"	"hoũ阴上"	"白"	""	""
"462"	"虎"	"虎"	"hou阴上"	"白"	""	""
"463"	"虎"	"虎"	"hu阴平"	""	""	""
"464"	"滸"	"浒"	"hu阴上"	"文"	""	""
"465"	"戽"	"戽"	"hou去声"	""	""	""
"466"	"乎"	"乎"	"hu阴平"	""	""	""
"467"	"壺"	"壶"	"hu阳平"	""	""	""
"468"	"瓠"	"瓠"	"pu阳平"	"俗"	""	""
"469"	"瓠"	"瓠"	"hu阳上"	"文"	""	""
"470"	"胡"	"胡"	"ou阳平"	"姓氏音"	""	""
"471"	"胡"	"胡"	"hou阳平"	"白"	""	""
"472"	"胡"	"胡"	"hu阳平"	"文"	""	""
"473"	"狐"	"狐"	"hou阳平"	"白"	""	""
"474"	"狐"	"狐"	"hu阳平"	"文"	""	""
"475"	"湖"	"湖"	"ou阳平"	"白"	""	""
"476"	"湖"	"湖"	"hu阳平"	"文"	""	""
"477"	"鈑"	"钣"	"paĩ阴上"	"白"	""	""
