單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	備註
產		c	aan	2		c	an	3		ʦʰ	an	35	
剷		c	aan	2		c	an	3		ʦʰ	an	35	
殘		t	aan	4		t	an	2		tʰ	an	22	
插		c	aap	7B		c	ap	7		ʦʰ	ap	23	
刷		c	aat	9		c	at	9		ʦʰ	at	21	
察		c	aat	7B		c	at	7		ʦʰ	at	23	
刷		c	aat	7B		c	at	7		ʦʰ	at	23	
獺		c	aat	7B		c	at	7		ʦʰ	at	23	
擦		c	aat	7B		c	at	7		ʦʰ	at	23	
抄		c	aau	1		c	au	1		ʦʰ	au	23	
吵		c	aau	2		c	au	3		ʦʰ	au	35	
抄		c	aau	2		c	au	3		ʦʰ	au	35	
鈔		c	aau	2		c	au	3		ʦʰ	au	35	
炒		c	aau	2		c	au	3		ʦʰ	au	35	
巢		c	aau	4		c	au	2		ʦʰ	au	22	
妻		t	oi	1		t	oi	1		tʰ	ɔi	23	
萋		t	oi	1		t	oi	1		tʰ	ɔi	23	
淒		t	oi	1		t	oi	1		tʰ	ɔi	23	
悽		t	oi	1		t	oi	1		tʰ	ɔi	23	
砌		t	oi	1		t	oi	1		tʰ	ɔi	23	
切		t	oi	1		t	oi	1		tʰ	ɔi	23	一切
棲		t	oi	1		t	oi	1		tʰ	ɔi	23	
沏		t	oi	1		t	oi	1		tʰ	ɔi	23	
齊		t	oi	4		t	oi	2		tʰ	ɔi	22	整齊
隋		t	oi	4		t	oi	2		tʰ	ɔi	22	
隨		t	oi	4		t	oi	2		tʰ	ɔi	22	
賊		t	aak	9		t	ak	9		tʰ	ak	21	
吒		c	aak	7A		c	ak	6		ʦʰ	ak	35	叱吒
柵		c	aak	7B		c	ak	7		ʦʰ	ak	23	木柵
測		c	aak	7B		c	ak	7		ʦʰ	ak	23	
惻		c	aak	7B		c	ak	7		ʦʰ	ak	23	
坼		c	aak	7B		c	ak	7		ʦʰ	ak	23	
冊		c	aak	7B		c	ak	7		ʦʰ	ak	23	
策		c	aak	7B		c	ak	7		ʦʰ	ak	23	
賊		t	aak	7B		t	ak	7		tʰ	ak	23	
拆		c	aak	7B		c	ak	7		ʦʰ	ak	23	
侵		t	am	1		t	aem	1		tʰ	ɐm	23	
參		c	am	1		c	aem	1		ʦʰ	ɐm	23	參差
寢		t	am	2		t	aem	3		tʰ	ɐm	35	
尋		t	am	4		t	aem	2		tʰ	ɐm	22	
沉		c	am	4		c	aem	2		ʦʰ	ɐm	22	
親		t	an	1		t	aen	1		tʰ	ɐn	23	
村		t	an	1		t	aen	1		tʰ	ɐn	23	
春		c	an	1		c	aen	1		ʦʰ	ɐn	23	
鶉		c	an	1		c	aen	1		ʦʰ	ɐn	23	鵪鶉
瞋		c	an	1		c	aen	1		ʦʰ	ɐn	23	
趁		c	an	1		c	aen	1		ʦʰ	ɐn	23	
襯		c	an	1		c	aen	1		ʦʰ	ɐn	23	
蠢		c	an	2		c	aen	3		ʦʰ	ɐn	35	
疹		c	an	2		c	aen	3		ʦʰ	ɐn	35	
診		c	an	2		c	aen	3		ʦʰ	ɐn	35	
旬		t	an	4		t	aen	2		tʰ	ɐn	22	
巡		t	an	4		t	aen	2		tʰ	ɐn	22	
循		t	an	4		t	aen	2		tʰ	ɐn	22	
秦		t	an	4		t	aen	2		tʰ	ɐn	22	
村		t	an	5		t	aen	5		tʰ	ɐn	21	
陳		c	an	4		c	aen	2		ʦʰ	ɐn	22	
塵		c	an	4		c	aen	2		ʦʰ	ɐn	22	
瞠		c	aang	1		c	ang	1		ʦʰ	aŋ	23	
鐺		c	aang	1		c	ang	1		ʦʰ	aŋ	23	瓦鐺
撐		c	aang	1		c	ang	1		ʦʰ	aŋ	23	
鎗		c	aang	1		c	ang	1		ʦʰ	aŋ	23	
鋥		c	aang	1		c	ang	1		ʦʰ	aŋ	23	
牚		c	aang	1		c	ang	1		ʦʰ	aŋ	23	
鐺		c	aang	4		c	ang	2		ʦʰ	aŋ	22	
橙		c	aang	4		c	ang	2		ʦʰ	aŋ	22	
曾		t	aang	4		t	ang	2		tʰ	aŋ	22	曾經
層		t	aang	4		t	ang	2		tʰ	aŋ	22	
緝		t	ap	7A		t	aep	6		tʰ	ɐp	35	
輯		t	ap	7A		t	aep	6		tʰ	ɐp	35	
七		t	at	7A		t	aet	6		tʰ	ɐt	35	
柒		t	at	7A		t	aet	6		tʰ	ɐt	35	
漆		t	at	7A		t	aet	6		tʰ	ɐt	35	
猝		t	at	7A		t	aet	6		tʰ	ɐt	35	
出		c	at	7A		c	aet	6		ʦʰ	ɐt	35	
齣		c	at	7A		c	aet	6		ʦʰ	ɐt	35	
秋		t	au	1		t	aeu	1		tʰ	ɐu	23	
鰍		t	au	1		t	aeu	1		tʰ	ɐu	23	
湊		t	ou	1		t	ou	1		tʰ	ou	23	
糗		c	au	1		c	aeu	1		ʦʰ	ɐu	23	
抽		c	au	1		c	aeu	1		ʦʰ	ɐu	23	
臭		c	au	1		c	aeu	1		ʦʰ	ɐu	23	
嗅		c	au	1		c	aeu	1		ʦʰ	ɐu	23	
丑		c	au	2		c	aeu	3		ʦʰ	ɐu	35	
醜		c	au	2		c	aeu	3		ʦʰ	ɐu	35	
囚		t	au	4		t	aeu	2		tʰ	ɐu	22	
稠		c	au	4		c	aeu	2		ʦʰ	ɐu	22	
疇		c	au	4		c	aeu	2		ʦʰ	ɐu	22	
籌		c	au	4		c	aeu	2		ʦʰ	ɐu	22	
躊		c	au	4		c	aeu	2		ʦʰ	ɐu	22	
惆		c	au	4		c	aeu	2		ʦʰ	ɐu	22	
酬		c	au	4		c	aeu	2		ʦʰ	ɐu	22	
綢		c	au	4		c	aeu	2		ʦʰ	ɐu	22	
車		c	iaa	1		c	ia	1		ʦʰ	ia	23	汽車
奢		c	iaa	1		c	ia	1		ʦʰ	ia	23	
且		t	iaa	2		t	ia	3		tʰ	ia	35	
扯		c	iaa	2		c	ia	3		ʦʰ	ia	35	
邪		t	iaa	4		t	ia	2		tʰ	ia	22	
斜		c	iaa	4		c	ia	2		ʦʰ	ia	22	
糍		t	ei	4		t	ei	2		tʰ	ei	22	丸糍、團糍
似		s	i	1		s	i	1		s	i	23	
刺		t	i	1		t	i	1		tʰ	i	23	
賜		t	i	1		t	i	1		tʰ	i	23	
次		t	i	1		t	i	1		tʰ	i	23	
姒		t	i	1		t	i	1		tʰ	i	23	
痴		c	i	1		c	i	1		ʦʰ	i	23	
嗤		c	i	1		c	i	1		ʦʰ	i	23	
熾		c	i	1		c	i	1		ʦʰ	i	23	
恃		c	i	1		c	i	1		ʦʰ	i	23	
幟		c	i	1		c	i	1		ʦʰ	i	23	
廁		c	i	1		c	i	1		ʦʰ	i	23	
翅		c	i	1		c	i	1		ʦʰ	i	23	
差		c	i	1		c	i	1		ʦʰ	i	23	參差
儲		c	i	1		c	i	1		ʦʰ	i	23	
佇		c	i	1		c	i	1		ʦʰ	i	23	
杼		c	i	1		c	i	1		ʦʰ	i	23	
貯		c	i	1		c	i	1		ʦʰ	i	23	
處		c	i	1		c	i	1		ʦʰ	i	23	
杵		c	i	1		c	i	1		ʦʰ	i	23	
柱		c	i	1		c	i	1		ʦʰ	i	23	
雌		t	i	2		t	i	3		tʰ	i	35	
此		t	i	2		t	i	3		tʰ	i	35	
恥		c	i	2		c	i	3		ʦʰ	i	35	
齒		c	i	2		c	i	3		ʦʰ	i	35	
始		c	i	2		c	i	3		ʦʰ	i	35	
侈		c	i	2		c	i	3		ʦʰ	i	35	
疵		t	i	2		t	i	3		tʰ	i	35	
矢		c	i	2		c	i	3		ʦʰ	i	35	
扯		c	i	2		c	i	3		ʦʰ	i	35	
祠		s	i	4		s	i	2		s	i	22	
詞		s	i	4		s	i	2		s	i	22	
辭		s	i	4		s	i	2		s	i	22	
柿		s	i	5		s	i	5		s	i	21	
雌		t	i	4		t	i	2		tʰ	i	22	
臍		t	i	4		t	i	2		tʰ	i	22	
持		c	i	4		c	i	2		ʦʰ	i	22	
慈		t	i	4		t	i	2		tʰ	i	22	
弛		c	i	4		c	i	2		ʦʰ	i	22	
池		c	i	4		c	i	2		ʦʰ	i	22	
馳		c	i	4		c	i	2		ʦʰ	i	22	
茨		t	i	4		t	i	2		tʰ	i	22	
瓷		t	i	4		t	i	2		tʰ	i	22	
遲		c	i	4		c	i	2		ʦʰ	i	22	
躇		c	i	4		c	i	2		ʦʰ	i	22	
署		c	i	5		c	i	5		ʦʰ	i	21	
廚		c	i	4		c	i	2		ʦʰ	i	22	
磁		c	i	4		c	i	2		ʦʰ	i	22	
櫥		c	i	5		c	i	5		ʦʰ	i	21	
茲		c	i	4		c	i	2		ʦʰ	i	22	龜茲，國名
匙		c	i	4		c	i	2		ʦʰ	i	22	茶匙，湯匙，一本作“瓷”
赤		c	iaak	7A		c	iak	6		ʦʰ	iak	35	又音
尺		c	iaak	7B		c	iak	7		ʦʰ	iak	23	
赤		c	iaak	7B		c	iak	7		ʦʰ	iak	23	
惜		t	iaak	7B		t	iak	7		tʰ	iak	23	疼愛，白讀
青		t	iaang	1		t	iang	1		tʰ	iaŋ	23	青色，白讀
清		t	iaang	1		t	iang	1		tʰ	iaŋ	23	水清，白讀
請		t	iaang	2		t	iang	3		tʰ	iaŋ	35	白讀
情		t	iaang	4		t	iang	2		tʰ	iaŋ	22	情願，白讀
晴		t	iaang	4		t	iang	2		tʰ	iaŋ	22	晴水，白讀，天放晴
醒		t	iaang	2		t	iang	3		tʰ	iaŋ	35	瞓醒，白讀
戚		t	ik	7A		t	ik	6		tʰ	ɪk	35	
赤		c	ik	7A		c	ik	6		ʦʰ	ɪk	35	赤小豆
斥		c	ik	7A		c	ik	6		ʦʰ	ɪk	35	
敕		c	ik	7A		c	ik	6		ʦʰ	ɪk	35	
叱		c	ik	7A		c	ik	6		ʦʰ	ɪk	35	叱石，地名
籤		t	iaam	1		t	iam	1		tʰ	iam	23	
塹		t	iaam	1		t	iam	1		tʰ	iam	23	
纖		t	iaam	1		t	iam	1		tʰ	iam	23	
簽		t	iaam	1		t	iam	1		tʰ	iam	23	
籤		t	iaam	5		t	iam	5		tʰ	iam	21	牙籤，變調
簽		t	iaam	5		t	iam	5		tʰ	iam	21	牙簽，變調
諂		c	iaam	2		c	iam	3		ʦʰ	iam	35	
潛		t	iaam	4		t	iam	2		tʰ	iam	22	
千		t	in	1		t	in	1		tʰ	in	23	
仟		t	in	1		t	in	1		tʰ	in	23	
阡		t	in	1		t	in	1		tʰ	in	23	
遷		t	in	1		t	in	1		tʰ	in	23	
村		t	an	1		t	aen	1		tʰ	ɐn	23	
寸		t	an	1		t	aen	1		tʰ	ɐn	23	
川		c	waan	1		c	uan	1		ʦʰ	uan	23	
穿		c	waan	1		c	uan	1		ʦʰ	uan	23	
踐		t	in	1		t	in	1		tʰ	in	23	
串		c	in	1		c	in	1		ʦʰ	in	23	
竄		t	waan	2		t	uan	3		tʰ	uan	35	
淺		t	in	2		t	in	3		tʰ	in	35	
忖		t	an	2		t	aen	3		tʰ	ɐn	35	
舛		c	waan	2		c	uan	3		ʦʰ	uan	35	
喘		c	waan	2		c	uan	3		ʦʰ	uan	35	
湍		c	waan	2		c	uan	3		ʦʰ	uan	35	
揣		c	in	2		c	in	3		ʦʰ	in	35	
痊		t	in	4		t	in	2		tʰ	in	22	
詮		t	in	4		t	in	2		tʰ	in	22	
銓		t	in	4		t	in	2		tʰ	in	22	
拴		t	in	4		t	in	2		tʰ	in	22	
全		t	in	4		t	in	2		tʰ	in	22	
泉		t	in	4		t	in	2		tʰ	in	22	
傳		c	waan	4		c	uan	2		ʦʰ	uan	22	傳播
前		t	in	4		t	in	2		tʰ	in	22	
錢		t	in	4		t	in	2		tʰ	in	22	
纏		c	in	4		c	in	2		ʦʰ	in	22	
存		t	an	4		t	aen	2		tʰ	ɐn	22	
青		t	ing	1		t	ing	1		tʰ	ɪŋ	23	
蜻		t	ing	1		t	ing	1		tʰ	ɪŋ	23	
清		t	ing	1		t	ing	1		tʰ	ɪŋ	23	
稱		c	ing	1		c	ing	1		ʦʰ	ɪŋ	23	稱呼
秤		c	ing	1		c	ing	1		ʦʰ	ɪŋ	23	地秤
請		t	ing	2		t	ing	3		tʰ	ɪŋ	35	
逞		c	ing	2		c	ing	3		ʦʰ	ɪŋ	35	
騁		c	ing	2		c	ing	3		ʦʰ	ɪŋ	35	
拯		c	ing	2		c	ing	3		ʦʰ	ɪŋ	35	
情		t	ing	4		t	ing	2		tʰ	ɪŋ	22	
晴		t	ing	4		t	ing	2		tʰ	ɪŋ	22	
呈		c	ing	4		c	ing	2		ʦʰ	ɪŋ	22	
程		c	ing	4		c	ing	2		ʦʰ	ɪŋ	22	
懲		c	ing	4		c	ing	2		ʦʰ	ɪŋ	22	
秤		c	ing	5		c	ing	5		ʦʰ	ɪŋ	21	
澄		c	ing	4		c	ing	2		ʦʰ	ɪŋ	22	
埕		c	ing	4		c	ing	2		ʦʰ	ɪŋ	22	
綽		c	iaak	7B		c	iak	7		ʦʰ	iak	23	
桌		c	iaak	7A		c	iak	6		ʦʰ	iak	35	拜桌
桌		c	iaak	7B		c	iak	7		ʦʰ	iak	23	
卓		c	iaak	7B		c	iak	7		ʦʰ	iak	23	
槍		t	iaang	1		t	iang	1		tʰ	iaŋ	23	
鏘		t	iaang	1		t	iang	1		tʰ	iaŋ	23	
搶		t	iaang	1		t	iang	1		tʰ	iaŋ	23	
悵		c	iaang	1		c	iang	1		ʦʰ	iaŋ	23	
暢		c	iaang	1		c	iang	1		ʦʰ	iaŋ	23	
昌		c	iaang	1		c	iang	1		ʦʰ	iaŋ	23	
菖		c	iaang	1		c	iang	1		ʦʰ	iaŋ	23	
猖		c	iaang	1		c	iang	1		ʦʰ	iaŋ	23	
倡		c	iaang	1		c	iang	1		ʦʰ	iaŋ	23	
唱		c	iaang	1		c	iang	1		ʦʰ	iaŋ	23	
