正體	簡體	聲母	韻母	聲調	詞例	声母音标	韵母音标	調值	拼音	
輩	辈	b	ei	5		p	əi	44	bei5	
奔	奔	b	en	1	奔騰	p	əŋ	21	ben1	
栟	栟	b	en	1		p	əŋ	21	ben1	
畚	畚	b	en	1	用畚箕搬運東西	p	əŋ	21	ben1	
本	本	b	en	3		p	əŋ	31	ben3	
苯	苯	b	en	3		p	əŋ	31	ben3	
奔	奔	b	en	5	奔頭	p	əŋ	44	ben5	
屄	屄	b	i	1		p	ɨᶨ	21	bi1	
匕	匕	b	i	3		p	ɨᶨ	31	bi3	
比	比	b	i	3		p	ɨᶨ	31	bi3	
彼	彼	b	i	3		p	ɨᶨ	31	bi3	
秕	秕	b	i	3		p	ɨᶨ	31	bi3	
鄙	鄙	b	i	3		p	ɨᶨ	31	bi3	
閉	闭	b	i	5		p	ɨᶨ	44	bi5	
斃	毙	b	i	5		p	ɨᶨ	44	bi5	
痹	痹	b	i	5		p	ɨᶨ	44	bi5	
蔽	蔽	b	i	5		p	ɨᶨ	44	bi5	
臂	臂	b	i	5		p	ɨᶨ	44	bi5	
泌	泌	b	i	5		p	ɨᶨ	44	bi5	
秘	秘	b	i	5		p	ɨᶨ	44	bi5	
逼	逼	b	ieh	7		p	iəʔ	4	bieh7	
筆	笔	b	ieh	7		p	iəʔ	4	bieh7	
必	必	b	ieh	7		p	iəʔ	4	bieh7	
畢	毕	b	ieh	7		p	iəʔ	4	bieh7	
嗶	哔	b	ieh	7		p	iəʔ	4	bieh7	
鉍	铋	b	ieh	7		p	iəʔ	4	bieh7	
潷	滗	b	ieh	7		p	iəʔ	4	bieh7	
碧	碧	b	ieh	7		p	iəʔ	4	bieh7	
壁	壁	b	ieh	7		p	iəʔ	4	bieh7	
璧	璧	b	ieh	7		p	iəʔ	4	bieh7	
賓	宾	b	ien	1		p	iəŋ	21	bien1	
彬	彬	b	ien	1		p	iəŋ	21	bien1	
斌	斌	b	ien	1		p	iəŋ	21	bien1	
濱	滨	b	ien	1		p	iəŋ	21	bien1	
繽	缤	b	ien	1		p	iəŋ	21	bien1	
檳	槟	b	ien	1		p	iəŋ	21	bien1	
瀕	濒	b	ien	1		p	iəŋ	21	bien1	
冰	冰	b	ien	1		p	iəŋ	21	bien1	
兵	兵	b	ien	1		p	iəŋ	21	bien1	
蠙	𧏖	b	ien	1	蠙山（掘港别称）	p	iəŋ	21	bien1	
丙	丙	b	ien	3		p	iəŋ	31	bien3	
秉	秉	b	ien	3		p	iəŋ	31	bien3	
餅	饼	b	ien	3		p	iəŋ	31	bien3	
炳	炳	b	ien	3		p	iəŋ	31	bien3	
稟	禀	b	ien	3		p	iəŋ	31	bien3	
擯	摈	b	ien	5		p	iəŋ	44	bien5	
殯	殡	b	ien	5		p	iəŋ	44	bien5	
鬢	鬓	b	ien	5		p	iəŋ	44	bien5	
柄	柄	b	ien	5		p	iəŋ	44	bien5	
併	并	b	ien	5	合併	p	iəŋ	44	bien5	
摒	摒	b	ien	5		p	iəŋ	44	bien5	
屏	屏	b	ien	5	屏氣	p	iəŋ	44	bien5	
憋	憋	b	ih	7		p	iʔ	4	bih7	
鱉	鳖	b	ih	7		p	iʔ	4	bih7	
別	别	b	ih	7	別針	p	iʔ	4	bih7	
蹩	蹩	b	ih	7		p	iʔ	4	bih7	
癟	瘪	b	ih	7		p	iʔ	4	bih7	
邊	边	b	in	1		p	ĩ	21	bin1	
編	编	b	in	1		p	ĩ	21	bin1	
煸	煸	b	in	1		p	ĩ	21	bin1	
蝙	蝙	b	in	1		p	ĩ	21	bin1	
鯿	鳊	b	in	1		p	ĩ	21	bin1	
鞭	鞭	b	in	1		p	ĩ	21	bin1	
貶	贬	b	in	3		p	ĩ	31	bin3	
扁	扁	b	in	3		p	ĩ	31	bin3	
匾	匾	b	in	3		p	ĩ	31	bin3	
變	变	b	in	5		p	ĩ	44	bin5	
遍	遍	b	in	5		p	ĩ	44	bin5	
標	标	b	io	1		p	iɔ	21	bio1	
彪	彪	b	io	1		p	iɔ	21	bio1	
䁃	䁃	b	io	1	看	p	iɔ	21	bio1	
滮	滮	b	io	1	喷水	p	iɔ	21	bio1	
膘	膘	b	io	1		p	iɔ	21	bio1	
鏢	镖	b	io	1		p	iɔ	21	bio1	
䁭	䁭	b	io	1	看	p	iɔ	21	bio1	
表	表	b	io	3	表示	p	iɔ	31	bio3	
錶	表	b	io	3	手錶	p	iɔ	31	bio3	
婊	婊	b	io	3		p	iɔ	31	bio3	
裱	裱	b	io	3		p	iɔ	31	bio3	
嫑	嫑	b	io	5		p	iɔ	44	bio5	
包	包	b	o	1		p	ɔ	21	bo1	
苞	苞	b	o	1		p	ɔ	21	bo1	
孢	孢	b	o	1		p	ɔ	21	bo1	
胞	胞	b	o	1		p	ɔ	21	bo1	
煲	煲	b	o	1		p	ɔ	21	bo1	
褒	褒	b	o	1		p	ɔ	21	bo1	
飽	饱	b	o	3		p	ɔ	31	bo3	
寶	宝	b	o	3		p	ɔ	31	bo3	
保	保	b	o	3		p	ɔ	31	bo3	
鴇	鸨	b	o	3		p	ɔ	31	bo3	
葆	葆	b	o	3		p	ɔ	31	bo3	
堡	堡	b	o	3		p	ɔ	31	bo3	
褓	褓	b	o	3		p	ɔ	31	bo3	
報	报	b	o	5		p	ɔ	44	bo5	
趵	趵	b	o	5		p	ɔ	44	bo5	
豹	豹	b	o	5		p	ɔ	44	bo5	
暴	暴	b	o	5		p	ɔ	44	bo5	
爆	爆	b	o	5		p	ɔ	44	bo5	
百	百	b	oh	7		p	ɔʔ	4	boh7	
佰	佰	b	oh	7		p	ɔʔ	4	boh7	
柏	柏	b	oh	7		p	ɔʔ	4	boh7	
北	北	b	oh	7		p	ɔʔ	4	boh7	
伯	伯	b	oh	7		p	ɔʔ	4	boh7	
卜	卜	b	oh	7	占卜，卜卦	p	ɔʔ	4	boh7	
崩	崩	b	on	1		p	ɔŋ	21	bon1	
繃	绷	b	on	1		p	ɔŋ	21	bon1	
迸	迸	b	on	5		p	ɔŋ	44	bon5	
蹦	蹦	b	on	5		p	ɔŋ	44	bon5	
波	波	b	u	1		p	ʊ	21	bu1	
玻	玻	b	u	1		p	ʊ	21	bu1	
菠	菠	b	u	1		p	ʊ	21	bu1	
播	播	b	u	1		p	ʊ	21	bu1	
跛	跛	b	u	3		p	ʊ	31	bu3	
簸	簸	b	u	3	顛簸	p	ʊ	31	bu3	
簸	簸	b	u	5	簸箕	p	ʊ	44	bu5	
撥	拨	b	uh	7		p	ʊʔ	4	buh7	
缽	钵	b	uh	7		p	ʊʔ	4	buh7	
搬	搬	b	un	1		p	ʊ̃	21	bun1	
半	半	b	un	5		p	ʊ̃	44	bun5	
補	补	b	v	3		p	ʋ	31	bv3	
布	布	b	v	5	布料	p	ʋ	44	bv5	
佈	布	b	v	5	發佈	p	ʋ	44	bv5	
怖	怖	b	v	5		p	ʋ	44	bv5	
猜	猜	c	ae	1		tsʰ	ɛ	21	cae1	
才	才	c	ae	2	才能	tsʰ	ɛ	24	cae2	
纔	才	c	ae	2		tsʰ	ɛ	24	cae2	
材	材	c	ae	2		tsʰ	ɛ	24	cae2	
財	财	c	ae	2		tsʰ	ɛ	24	cae2	
裁	裁	c	ae	2		tsʰ	ɛ	24	cae2	
采	采	c	ae	3	神采	tsʰ	ɛ	31	cae3	
採	采	c	ae	3	採摘	tsʰ	ɛ	31	cae3	
彩	彩	c	ae	3		tsʰ	ɛ	31	cae3	
睬	睬	c	ae	3		tsʰ	ɛ	31	cae3	
踩	踩	c	ae	3		tsʰ	ɛ	31	cae3	
䜺	䜺	c	ae	3		tsʰ	ɛ	31	cae3	
菜	菜	c	ae	5		tsʰ	ɛ	44	cae5	
蔡	蔡	c	ae	5		tsʰ	ɛ	44	cae5	
在	在	c	ae	6		tsʰ	ɛ	33	cae6	
載	载	c	ae	6	名詞，裝載的貨物	tsʰ	ɛ	33	cae6	
擦	擦	c	aeh	7		tsʰ	iaʔ	4	caeh7	
雜	杂	c	aeh	8		tsʰ	iaʔ	3	caeh8	
參	参	c	aen	1	參加	tsʰ	ɛ̃	21	caen1	
餐	餐	c	aen	1		tsʰ	ɛ̃	21	caen1	
殘	残	c	aen	2		tsʰ	ɛ̃	24	caen2	
慚	惭	c	aen	2		tsʰ	ɛ̃	24	caen2	
慘	惨	c	aen	3		tsʰ	ɛ̃	31	caen3	
饊	馓	c	aen	3		tsʰ	ɛ̃	31	caen3	
燦	灿	c	aen	5		tsʰ	ɛ̃	44	caen5	
刬	刬	c	aen	5	刬是（都是）	tsʰ	ɛ̃	44	caen5	
暫	暂	c	aen	6		tsʰ	ɛ̃	33	caen6	
綻	绽	c	aen	6		tsʰ	ɛ̃	33	caen6	
鑿	凿	c	ah	8		tsʰ	aʔ	3	cah8	
倉	仓	c	an	1		tsʰ	ã	21	can1	
蒼	苍	c	an	1		tsʰ	ã	21	can1	
滄	沧	c	an	1		tsʰ	ã	21	can1	
艙	舱	c	an	1		tsʰ	ã	21	can1	
藏	藏	c	an	2	隱藏	tsʰ	ã	24	can2	
藏	藏	c	an	6	寶藏	tsʰ	ã	33	can6	
臟	脏	c	an	6	五臟廟	tsʰ	ã	33	can6	
冊	册	c	eh	7		tsʰ	əʔ	4	ceh7	
廁	厕	c	eh	7		tsʰ	əʔ	4	ceh7	
側	侧	c	eh	7	側面	tsʰ	əʔ	4	ceh7	
測	测	c	eh	7		tsʰ	əʔ	4	ceh7	
惻	恻	c	eh	7		tsʰ	əʔ	4	ceh7	
策	策	c	eh	7		tsʰ	əʔ	4	ceh7	
擇	择	c	eh	8	選擇	tsʰ	əʔ	3	ceh8	
澤	泽	c	eh	8		tsʰ	əʔ	3	ceh8	
賊	贼	c	eh	8		tsʰ	əʔ	3	ceh8	
噌	噌	c	en	1		tsʰ	əŋ	21	cen1	
層	层	c	en	2		tsʰ	əŋ	24	cen2	
曾	曾	c	en	2	曾經	tsʰ	əŋ	24	cen2	
蹭	蹭	c	en	5		tsʰ	əŋ	44	cen5	
贈	赠	c	en	6		tsʰ	əŋ	33	cen6	
湊	凑	c	eu	5		tsʰ	ɤɯ	44	ceu5	
輳	辏	c	eu	5		tsʰ	ɤɯ	44	ceu5	
叉	叉	ch	a	1		tʂʰ	a	21	cha1	
杈	杈	ch	a	1		tʂʰ	a	21	cha1	
差	差	ch	a	1	差錯	tʂʰ	a	21	cha1	
車	车	ch	a	1	汽車	tʂʰ	a	21	cha1	
蛼	蛼	ch	a	1		tʂʰ	a	21	cha1	
茬	茬	ch	a	2		tʂʰ	a	24	cha2	
茶	茶	ch	a	2		tʂʰ	a	24	cha2	
查	查	ch	a	2	查詢	tʂʰ	a	24	cha2	
搽	搽	ch	a	2		tʂʰ	a	24	cha2	
扯	扯	ch	a	3		tʂʰ	a	31	cha3	
撦	扯	ch	a	3		tʂʰ	a	31	cha3	
岔	岔	ch	a	5		tʂʰ	a	44	cha5	
詫	诧	ch	a	5		tʂʰ	a	44	cha5	
差	差	ch	ae	1	出差	tʂʰ	ɛ	21	chae1	
釵	钗	ch	ae	1		tʂʰ	ɛ	21	chae1	
豺	豺	ch	ae	2		tʂʰ	ɛ	24	chae2	
蠆	虿	ch	ae	5		tʂʰ	ɛ	44	chae5	
𠏾	𠏾	ch	ae	6	大小便	tʂʰ	ɛ	33	chae6	
插	插	ch	aeh	7		tʂʰ	iaʔ	4	chaeh7	
察	察	ch	aeh	7		tʂʰ	iaʔ	4	chaeh7	
閘	闸	ch	aeh	8		tʂʰ	iaʔ	3	chaeh8	
鍘	铡	ch	aeh	8		tʂʰ	iaʔ	3	chaeh8	
煠	炸	ch	aeh	8	油煠	tʂʰ	iaʔ	3	chaeh8	
摻	掺	ch	aen	1		tʂʰ	ɛ̃	21	chaen1	
攙	搀	ch	aen	1		tʂʰ	ɛ̃	21	chaen1	
讒	谗	ch	aen	2		tʂʰ	ɛ̃	24	chaen2	
饞	馋	ch	aen	2		tʂʰ	ɛ̃	24	chaen2	
孱	孱	ch	aen	2		tʂʰ	ɛ̃	24	chaen2	
潺	潺	ch	aen	2		tʂʰ	ɛ̃	24	chaen2	
巉	巉	ch	aen	2		tʂʰ	ɛ̃	24	chaen2	
產	产	ch	aen	3		tʂʰ	ɛ̃	31	chaen3	
剷	铲	ch	aen	3		tʂʰ	ɛ̃	31	chaen3	
鏟	铲	ch	aen	3		tʂʰ	ɛ̃	31	chaen3	
懺	忏	ch	aen	5		tʂʰ	ɛ̃	44	chaen5	
棧	栈	ch	aen	6		tʂʰ	ɛ̃	33	chaen6	
湛	湛	ch	aen	6		tʂʰ	ɛ̃	33	chaen6	
焯	焯	ch	ah	7		tʂʰ	aʔ	4	chah7	
綽	绰	ch	ah	7		tʂʰ	aʔ	4	chah7	
㪕	㪕	ch	ah	7		tʂʰ	aʔ	4	chah7	
着	着	ch	ah	8	着火，睡着，附着，着陆	tʂʰ	aʔ	3	chah8	
昨	昨	ch	ah	8	昨兒	tʂʰ	aʔ	3	chah8	
昌	昌	ch	an	1		tʂʰ	ã	21	chan1	
猖	猖	ch	an	1		tʂʰ	ã	21	chan1	
娼	娼	ch	an	1		tʂʰ	ã	21	chan1	
鯧	鲳	ch	an	1		tʂʰ	ã	21	chan1	
腸	肠	ch	an	2		tʂʰ	ã	24	chan2	
常	常	ch	an	2		tʂʰ	ã	24	chan2	
嫦	嫦	ch	an	2		tʂʰ	ã	24	chan2	
場	场	ch	an	2		tʂʰ	ã	24	chan2	
長	长	ch	an	2	長度	tʂʰ	ã	24	chan2	
廠	厂	ch	an	3		tʂʰ	ã	31	chan3	
昶	昶	ch	an	3		tʂʰ	ã	31	chan3	
敞	敞	ch	an	3		tʂʰ	ã	31	chan3	
暢	畅	ch	an	5		tʂʰ	ã	44	chan5	
倡	倡	ch	an	5		tʂʰ	ã	44	chan5	
唱	唱	ch	an	5		tʂʰ	ã	44	chan5	
丈	丈	ch	an	6		tʂʰ	ã	33	chan6	
仗	仗	ch	an	6	儀仗隊	tʂʰ	ã	33	chan6	
杖	杖	ch	an	6		tʂʰ	ã	33	chan6	
拆	拆	ch	eh	7		tʂʰ	əʔ	4	cheh7	
尺	尺	ch	eh	7		tʂʰ	əʔ	4	cheh7	
呎	呎	ch	eh	7		tʂʰ	əʔ	4	cheh7	
叱	叱	ch	eh	7		tʂʰ	əʔ	4	cheh7	
斥	斥	ch	eh	7		tʂʰ	əʔ	4	cheh7	
赤	赤	ch	eh	7		tʂʰ	əʔ	4	cheh7	
翟	翟	ch	eh	8		tʂʰ	əʔ	3	cheh8	
擇	择	ch	eh	8	擇菜	tʂʰ	əʔ	3	cheh8	
宅	宅	ch	eh	8		tʂʰ	əʔ	3	cheh8	
蟄	蛰	ch	eh	8		tʂʰ	əʔ	3	cheh8	
直	直	ch	eh	8		tʂʰ	əʔ	3	cheh8	
值	值	ch	eh	8		tʂʰ	əʔ	3	cheh8	
植	植	ch	eh	8		tʂʰ	əʔ	3	cheh8	
殖	殖	ch	eh	8	殖民	tʂʰ	əʔ	3	cheh8	
秩	秩	ch	eh	8		tʂʰ	əʔ	3	cheh8	
參	参	ch	en	1	參差	tʂʰ	əŋ	21	chen1	
稱	称	ch	en	1	稱呼	tʂʰ	əŋ	21	chen1	
蟶	蛏	ch	en	1		tʂʰ	əŋ	21	chen1	
撐	撑	ch	en	1		tʂʰ	əŋ	21	chen1	
臣	臣	ch	en	2		tʂʰ	əŋ	24	chen2	
塵	尘	ch	en	2		tʂʰ	əŋ	24	chen2	
辰	辰	ch	en	2		tʂʰ	əŋ	24	chen2	
沉	沉	ch	en	2		tʂʰ	əŋ	24	chen2	
忱	忱	ch	en	2		tʂʰ	əŋ	24	chen2	
陳	陈	ch	en	2		tʂʰ	əŋ	24	chen2	
晨	晨	ch	en	2		tʂʰ	əŋ	24	chen2	
成	成	ch	en	2		tʂʰ	əŋ	24	chen2	
丞	丞	ch	en	2		tʂʰ	əŋ	24	chen2	
呈	呈	ch	en	2		tʂʰ	əŋ	24	chen2	
誠	诚	ch	en	2		tʂʰ	əŋ	24	chen2	
承	承	ch	en	2		tʂʰ	əŋ	24	chen2	
城	城	ch	en	2		tʂʰ	əŋ	24	chen2	
乘	乘	ch	en	2		tʂʰ	əŋ	24	chen2	
程	程	ch	en	2		tʂʰ	əŋ	24	chen2	
懲	惩	ch	en	2		tʂʰ	əŋ	24	chen2	
絾	絾	ch	en	2	絾被	tʂʰ	əŋ	24	chen2	
澄	澄	ch	en	2	澄清	tʂʰ	əŋ	24	chen2	
橙	橙	ch	en	2		tʂʰ	əŋ	24	chen2	
蹲	蹲	ch	en	2		tʂʰ	əŋ	24	chen2	
朆	朆	ch	en	2		tʂʰ	əŋ	24	chen2	
逞	逞	ch	en	3		tʂʰ	əŋ	31	chen3	
騁	骋	ch	en	3		tʂʰ	əŋ	31	chen3	
襯	衬	ch	en	5		tʂʰ	əŋ	44	chen5	
趁	趁	ch	en	5		tʂʰ	əŋ	44	chen5	
稱	称	ch	en	5	稱心	tʂʰ	əŋ	44	chen5	
秤	秤	ch	en	5		tʂʰ	əŋ	44	chen5	
剩	剩	ch	en	5		tʂʰ	əŋ	44	chen5	
凈	净	ch	en	6	冷	tʂʰ	əŋ	33	chen6	
陣	阵	ch	en	6		tʂʰ	əŋ	33	chen6	
鄭	郑	ch	en	6		tʂʰ	əŋ	33	chen6	
抽	抽	ch	eu	1		tʂʰ	ɤɯ	21	cheu1	
抽	抽	ch	eu	2		tʂʰ	ɤɯ	24	cheu2	
仇	仇	ch	eu	2	仇恨	tʂʰ	ɤɯ	24	cheu2	
綢	绸	ch	eu	2		tʂʰ	ɤɯ	24	cheu2	
疇	畴	ch	eu	2		tʂʰ	ɤɯ	24	cheu2	
酬	酬	ch	eu	2		tʂʰ	ɤɯ	24	cheu2	
稠	稠	ch	eu	2		tʂʰ	ɤɯ	24	cheu2	
愁	愁	ch	eu	2		tʂʰ	ɤɯ	24	cheu2	
籌	筹	ch	eu	2		tʂʰ	ɤɯ	24	cheu2	
丑	丑	ch	eu	3	丑角	tʂʰ	ɤɯ	31	cheu3	
醜	丑	ch	eu	3	醜惡，醜陋	tʂʰ	ɤɯ	31	cheu3	
臭	臭	ch	eu	5	臭味	tʂʰ	ɤɯ	44	cheu5	
宙	宙	ch	eu	6		tʂʰ	ɤɯ	33	cheu6	
驟	骤	ch	eu	6		tʂʰ	ɤɯ	33	cheu6	
徹	彻	ch	ih	7		tɕʰ	iʔ	4	chih7	
撤	撤	ch	ih	7		tɕʰ	iʔ	4	chih7	
涉	涉	ch	ih	8		tɕʰ	iʔ	3	chih8	
侄	侄	ch	ih	8		tʂʰ	ɯʔ	3	chih8	
嬋	婵	ch	in	2		tɕʰ	ĩ	24	chin2	
禪	禅	ch	in	2	禪宗	tɕʰ	ĩ	24	chin2	
纏	缠	ch	in	2	纏繞	tɕʰ	ĩ	24	chin2	
蟬	蝉	ch	in	2		tɕʰ	ĩ	24	chin2	
瀍	瀍	ch	in	2		tɕʰ	ĩ	24	chin2	
蟾	蟾	ch	in	2		tɕʰ	ĩ	24	chin2	
闡	阐	ch	in	3		tɕʰ	ĩ	31	chin3	
纏	缠	ch	in	6	纏事	tɕʰ	ĩ	33	chin6	
抄	抄	ch	o	1		tʂʰ	ɔ	21	cho1	
鈔	钞	ch	o	1		tʂʰ	ɔ	21	cho1	
超	超	ch	o	1		tʂʰ	ɔ	21	cho1	
巢	巢	ch	o	2		tʂʰ	ɔ	24	cho2	
朝	朝	ch	o	2	朝代	tʂʰ	ɔ	24	cho2	
嘲	嘲	ch	o	2		tʂʰ	ɔ	24	cho2	
潮	潮	ch	o	2		tʂʰ	ɔ	24	cho2	
吵	吵	ch	o	3		tʂʰ	ɔ	31	cho3	
炒	炒	ch	o	3		tʂʰ	ɔ	31	cho3	
耖	耖	ch	o	5		tʂʰ	ɔ	44	cho5	
召	召	ch	o	6	召喚	tʂʰ	ɔ	33	cho6	
兆	兆	ch	o	6		tʂʰ	ɔ	33	cho6	
趙	赵	ch	o	6		tʂʰ	ɔ	33	cho6	
肇	肇	ch	o	6		tʂʰ	ɔ	33	cho6	
畜	畜	ch	oh	7	畜牲	tʂʰ	ɔʔ	4	choh7	
搐	搐	ch	oh	7		tʂʰ	ɔʔ	4	choh7	
觸	触	ch	oh	7		tʂʰ	ɔʔ	4	choh7	
妯	妯	ch	oh	8		tʂʰ	ɔʔ	3	choh8	
軸	轴	ch	oh	8		tʂʰ	ɔʔ	3	choh8	
逐	逐	ch	oh	8		tʂʰ	ɔʔ	3	choh8	
舳	舳	ch	oh	8		tʂʰ	ɔʔ	3	choh8	
啄	啄	ch	oh	8	啄木鳥	tʂʰ	ɔʔ	3	choh8	
沖	冲	ch	on	1	沖洗	tʂʰ	ɔŋ	21	chon1	
衝	冲	ch	on	1	衝擊	tʂʰ	ɔŋ	21	chon1	
充	充	ch	on	1		tʂʰ	ɔŋ	21	chon1	
蟲	虫	ch	on	2	害蟲	tʂʰ	ɔŋ	24	chon2	
崇	崇	ch	on	2	崇拜	tʂʰ	ɔŋ	24	chon2	
重	重	ch	on	2	重新	tʂʰ	ɔŋ	24	chon2	
寵	宠	ch	on	3		tʂʰ	ɔŋ	31	chon3	
衝	冲	ch	on	5	說話衝	tʂʰ	ɔŋ	44	chon5	
𣑁	𣑁	ch	on	5	桌𣑁	tʂʰ	ɔŋ	44	chon5	
𥅻	𥅻	ch	on	5	瞌𥅻	tʂʰ	ɔŋ	44	chon5	
仲	仲	ch	on	6		tʂʰ	ɔŋ	33	chon6	
重	重	ch	on	6	重要	tʂʰ	ɔŋ	33	chon6	
蚩	蚩	ch	r	1		tsʰ	ɿ	21	chr1	
眵	眵	ch	r	1		tsʰ	ɿ	21	chr1	
痴	痴	ch	r	1		tsʰ	ɿ	21	chr1	
癡	痴	ch	r	1		tsʰ	ɿ	21	chr1	
魑	魑	ch	r	1		tsʰ	ɿ	21	chr1	
䟳	䟳	ch	r	1	滑動	tsʰ	ɿ	21	chr1	
池	池	ch	r	2		tsʰ	ɿ	24	chr2	
弛	弛	ch	r	2		tsʰ	ɿ	24	chr2	
馳	驰	ch	r	2		tsʰ	ɿ	24	chr2	
遲	迟	ch	r	2		tsʰ	ɿ	24	chr2	
持	持	ch	r	2		tsʰ	ɿ	24	chr2	
漦	漦	ch	r	2		tsʰ	ɿ	24	chr2	
踟	踟	ch	r	2		tsʰ	ɿ	24	chr2	
匙	匙	ch	r	2		tsʰ	ɿ	24	chr2	
㓾	㓾	ch	r	2		tsʰ	ɿ	24	chr2	
齒	齿	ch	r	3		tsʰ	ɿ	31	chr3	
侈	侈	ch	r	3		tsʰ	ɿ	31	chr3	
恥	耻	ch	r	3		tsʰ	ɿ	31	chr3	
滯	滞	ch	r	5		tsʰ	ɿ	44	chr5	
蒔	莳	ch	r	6	蒔秧	tsʰ	ɿ	33	chr6	
士	士	ch	r	6		tsʰ	ɿ	33	chr6	
示	示	ch	r	6	示眾	tsʰ	ɿ	33	chr6	
仕	仕	ch	r	6		tsʰ	ɿ	33	chr6	
柿	柿	ch	r	6	柿子	tsʰ	ɿ	33	chr6	
治	治	ch	r	6		tsʰ	ɿ	33	chr6	
痔	痔	ch	r	6		tsʰ	ɿ	33	chr6	
雉	雉	ch	r	6		tsʰ	ɿ	33	chr6	
稚	稚	ch	r	6		tsʰ	ɿ	33	chr6	
踹	踹	ch	uae	5		tʂʰ	uɛ	44	chuae5	
戳	戳	ch	uah	7		tʂʰ	uaʔ	4	chuah7	
齪	龊	ch	uah	7		tʂʰ	uaʔ	4	chuah7	
㪬	㪬	ch	uah	8		tʂʰ	uaʔ	3	chuah8	
濁	浊	ch	uah	8		tʂʰ	uaʔ	3	chuah8	
鐲	镯	ch	uah	8		tʂʰ	uaʔ	3	chuah8	
瘡	疮	ch	uan	1		tʂʰ	uã	21	chuan1	
窗	窗	ch	uan	1		tʂʰ	uã	21	chuan1	
