汉字	拼音	IPA	注释	编号	符号	调值	名称		说明：本字表使用Sawroeg，以武鸣壮语为主，收集了壮语（包含方言）的汉字音，不区分层次。				
凱													
愷													
慨													
呆													
礙	ngaih	ŋaːi33											
海	haij	haːi55											
孩	haiz	haːi31											
骸	haiz	haːi31											
亥	haih	haːi33											
哀	ai	aːi24											
埃													
唉	ai	aːi24											
唉													
愛	ngaiq	ŋaːi35											
貝	boiq	poːi35											
沛													
帶	daiq	taːi35											
泰	daiq	taːi35											
太	daiq	taːi35											
大	daih	taːi33											
奈	naih	naːi33											
賴	laiq	laːi35	姓										
賴	laih	laːi33											
癩													
蔡													
鑔	ca	ɕaː24											
鑔	cax	ɕaː42											
蓋	gaiq	kaːi35											
丐													
丐													
艾	ngaih	ŋaːi33											
害	haih	haːi33											
藹													
靄													
拜	baiq	paːi35											
排	baiz	paːi31											
埋	maiz	maːi31											
齋	cai	ɕaːi24											
豺													
皆													
偕	caez	ɕai31											
稭													
街	gai	kaːi24											
階	gaih	kaːi33											
戒	gaiq	kaːi35											
芥													
尬													
界	gyaiq	kʲaːi35											
介													
疥													
届	gaiq	kaːi35											
揩													
楷													
諧	haiz	haːi31											
駭													
械	haih	haːi33											
挨	ai	aːi24											
挨	ngaiz	ŋaːi31											
擺	baij	paːi55											
派	baiq	paːi35											
派	baij	paːi55											
派	bai	paːi24											
牌	baiz	paːi31											
罷	bah	paː33											
罷	baq	paː35											
稗													
買													
賣													
奶	naiq	naːi35	祖母										
奶	naih	naːi33	祖母										
債	caiq	ɕaːi35											
釵													
差	cai	ɕaːi24											
柴	caiz	ɕaːi31											
篩	sae	θai											
曬	saiq	θaːi35											
佳													
街	gai	kaːi24											
解	gaij	kaːi55											
解	gyaij	kʲaːi55											
解	gej	keː55											
涯	ngaiz	ŋaːi31											
崖	ngaiz	ŋaːi31											
鞋	haiz	haːi31											
蟹	haix	haːi42											
懈	haih	haːi33											
矮	aij	aːi55											
隘													
敗	baih	paːi33											
邁													
寨	ceh	ɕeː33											
蔽	baeq	pai35											
斃	baeh	pai33											
敝													
幣	baeh	pai33											
弊													
厲	leix	lei42											
厲	leih	lei33											
勵	li	liː24											
例	laeh	lai33											
祭	caeq	ɕai35											
際													
穄													
滯													
制	ci	ɕiː24											
製													
勢	seiq	θei35											
勢	seq	θeː35											
世	seiq	θei35											
世	siq	θiː35	现世										
誓	saeh	θai33											
逝	saeh	θai33											
藝	ngaeh	ŋai33											
囈													
刈													
閉	baeq	pai35											
箅													
批	bae	pai24											
陛													
迷	maez	mai31											
米	meij	mei55											
謎													
堤	daez	tai31											
低													
底	daej	tai55											
抵	daej	tai55											
渧													
帝	daeq	tai35											
梯	dae	tai24											
體	daej	tai55											
替	daeq	tai35											
涕													
剃	daeq	tai35											
提	daez	tai31											
題	daez	tai31											
蹄	daez	tai31											
啼	daej	tai55											
弟													
第	daih	taːi33											
遞													
泥	naez	nai31											
犁													
黎	liz	liː31											
禮	laex	lai42											
禮	lij	liː55											
麗													
麗													
隸													
擠													
濟													
妻	cae	ɕai24											
凄													
砌	caeq	ɕai35											
齊	caez	ɕai31											
臍													
薺													
薺													
西	sae	θai24											
棲													
犀	sae	θai24											
洗	saej	θai55											
細	saeq	θai35											
婿	saeq	θai35											
雞	gae	kai24											
雞	gaeq	kai35											
稽	gae	kai24											
稽	gei	kei24											
計	geiq	kei35											
計	gi	kiː24											
繼													
繋	haeh	hai33											
溪	hae	hai24											
啟	haej	hai55											
契	heiq	hei35											
契	geiq	kei35											
倪													
詣	ngaeh	ŋai33											
兮													
奚													
系	haeh	hai33											
繫	haeh	hai33											
係													
縊													
瞖													
杯	boi	poːi24											
背	boiq	poːi35											
輩	boiq	poːi35											
背	boih	poːi33											
坯													
胚													
配	boiq	poːi35											
培	boiz	poːi31											
陪	boiz	poːi31											
賠	boiz	poːi31											
倍	boix	poːi42											
佩	boiq	poːi35											
媒	moiz	moːi31											
枚													
玫	meiz	mei31											
姆	mux	muː42											
姆	muq	muː35											
梅	moiz	moːi31											
每	moix	moːi42											
昧													
妹													
堆	doi	toːi24											
對	doiq	toːi35											
推	doi	toːi24											
腿	doij	toːi55											
退	doiq	toːi35											
頽	duix	tuːi42											
頽	duiq	tuːi35											
隊	doih	toːi33											
餒													
内	nei	nei24											
雷	loiz	loːi31											
雷	leiz	lei31	姓										
儡													
催	coi	ɕoːi24											
催	cui	ɕuːi24											
催	ci	ɕiː24											
崔													
罪	coih	ɕoːi33											
碎	soiq	θoːi35											
碎	sui	θuːi24											
瑰	gveiq	kʷei35											
盔													
魁													
詼													
詼													
恢	hoi	hoːi24											
恢	hoiz	hoːi31											
傀													
塊	gaiq	kaːi35											
桅	ngoiz	ŋoːi31											
灰	hoi	hoːi24											
悔	hoij	hoːi55											
賄	hoih	hoːi33											
晦													
回	hoiz	hoːi31											
匯	hoih	hoːi33											
潰													
煨													
兑	doiq	toːi35											
最	ceiq	ɕei35											
劊													
會	hoih	hoːi33											
外	vaih	βaːi33											
會	gvai	kʷaːi24											
繪	hoih	hoːi33											
繪	veh	βeː33											
乖	gvai	kʷaːi24											
怪	gvaiq	kʷaːi35											
蒯													
淮													
懷	vaiz	βaːi31											
槐	vaiz	βaːi31											
壞	vaih	βaːi33											
拐	gvaij	kʷaːi55											
掛	gvaq	kʷaː35											
卦	gvaq	kʷaː35											
歪	vai	βaːi24											
畫	veh	βeː33											
畫	vah	βaː33											
畫	va	βaː24											
蛙	va	βaː24											
快	gvaiq	kʷaːi35											
快	vaiq	βaːi35											
筷													
話	vah	βaː33											
脆	coiq	ɕoːi35											
歲	suiq	θuːi35											
彗													
綴													
贅													
税	suiq	θuːi35											
税	siq	θiː35											
説													
鱖													
衛	veih	βei33											
鋭													
廢	feiq	fei35											
肺													
吠													
穢	viq	βiː35											
圭													
閨													
桂	gviq	kʷiː35											
桂	gveiq	kʷei35											
奎													
携	hiz	hiː31											
慧	vaeh	βai33											
惠	vaeh	βai33											
卑													
碑	bei	pei24											
裨													
彼	beij	pei55											
俾													
臂	beiq	pei35											
披	bae	pai24											
譬													
皮	beiz	pei31											
皮	biz	piː31											
疲	beiz	pei31											
脾	beiz	pei31											
被	beih	pei33											
被	beix	pei42											
婢	baeh	pai33											
避	beih	pei33											
糜													
彌													
靡													
籬	leiz	lei31											
離	liz	liː31											
璃	liz	liː31											
荔	laeh	lai33											
紫	cij	ɕiː55											
紫	sij	θiː55	紫苏										
雌													
此	cij	ɕiː55											
刺	ciq	ɕiː35											
疵													
斯	si	θiː24											
撕	si	θiː24											
厮													
璽													
徙													
賜													
知													
智													
池	ceiz	ɕei31											
馳	ceiz	ɕei31											
篩	sae	θai24											
支	ci	ɕiː24											
枝	ci	ɕiː24											
枝	cei	ɕei24	荔枝										
肢													
只	cij	ɕiː55											
紙	ceij	ɕei55											
侈													
施	sei	θei24											
豕													
啻													
翅	ceiq	ɕei35											
匙	ceiz	ɕei31											
匙	seiz	θei31	锁匙										
是	seih	θei33											
是	sawh	θaɯ33											
是	cwh	ɕɯː33											
是	cih	ɕiː33	是非										
氏	sih	θiː33											
豉	seih	θei33											
豉	saeh	θai33											
兒													
爾													
羈													
寄	geiq	kei35											
企	heij	hei55											
奇	geiz	kei31											
騎	geiz	kei31											
騎	gwih	kɯːi33											
岐													
技													
妓													
宜	ngeiz	ŋei31											
儀	ngeiz	ŋei31											
儀	yiz	jiː31	地动仪										
蟻	ngeix	ŋei42											
義	ngeih	ŋei33											
義	eiq	ei35											
義	iq	iː35	情义										
議	ngeih	ŋei33											
議	ngeix	ŋei42											
誼	ngeih	ŋei33											
誼	iq	iː35	情谊										
犧	hei	hei24											
戲	heiq	hei35											
椅	eij	ei55											
椅	ij	iː55											
移	heiz	hei31											
易	heih	hei33											
悲	bei	pei24											
鄙	beij	pei55											
比	beij	pei55											
庇													
痹													
泌	beij	pei55											
秘													
轡													
丕													
屁													
琵	biz	piː31											
牝													
備	bwh	pɯː33											
備	bi	piː24											
鼻	beiz	pei31											
篦	baeh	pai33											
眉	meiz	mei31											
楣													
霉	moiz	moːi31											
美	meij	mei55											
媚													
寐													
地	deih	tei33											
地	di	tiː24	地主										
尼	naez	nai31											
呢	niz	niː31	呢绒										
呢	ne	neː24											
呢	nex	neː42											
呢	ni	niː24											
呢	nij	niː55											
膩													
梨	leiz	lei31											
履													
利	leih	lei33											
利	leix	lei42	利市										
利	lih	liː33											
利	li	liː24											
痢	leih	lei33											
莉	laeh	lai33											
咨													
資													
姿													
姊													
次	ceiq	ɕei35											
瓷													
糍	ceiz	ɕei31											
自	swh	θɯː33											
私	sei	θei24											
死	seij	θei55											
四	seiq	θei35											
肆	seiq	θei35											
致	caeq	ɕai35											
遲	ceiz	ɕei31											
雉													
稚													
師	sae	θai24											
獅	sae	θai24											
獅	ca	ɕaː24											
獅	cai	ɕaːi24											
脂													
脂													
指	ceij	ɕei55											
指	cij	ɕiː55											
旨													
至	ceiq	ɕei35											
鴟													
示	seih	θei33											
尸	sei	θei24											
鈰													
矢													
屎													
嗜													
視	seih	θei33											
視	si	θiː24											
二	ngeih	ŋei33											
貳	ngeih	ŋei33											
肌													
飢													
几	geij	kei55											
冀													
器	heiq	hei35											
棄	heiq	hei35											
祈													
鰭	geiz	kei31											
耆													
伊	i	iː24											
懿													
懿													
夷	heiz	hei31											
彝	heiz	hei31											
姨	heiz	hei31											
肄	heih	hei33											
你	nih	niː33											
厘	leiz	lei31											
李	leix	lei42											
理	leix	lei42											
里	leix	lei42											
裏													
鯉	leix	lei42											
吏													
兹													
滋													
子	ceih	ɕei33											
子	cij	ɕiː55											
梓													
磁	ceiz	ɕei31											
慈	ceiz	ɕei31											
字	cih	ɕiː33											
字	swj	θɯː55											
司	sei	θei24											
絲	sei	θei24											
思	sei	θei24											
伺													
辭	ceiz	ɕei31											
詞	ceiz	ɕei31											
祠	ceiz	ɕei31											
巳	ceih	ɕei33											
祀													
似	ceix	ɕei42											
寺	caeh	ɕai33											
嗣													
飼	caeh	ɕai33											
置	ceiq	ɕei35											
置	caeq	ɕai35	布置										
痴													
耻	ceij	ɕei55											
持	ceiz	ɕei31											
持	ciz	ɕiː31	维持										
峙													
痔													
治	ceih	ɕei33											
治	cih	ɕiː33											
輜													
廁	ceiq	ɕei35											
俟													
士	saeh	θai33											
士	swq	θɯː35											
事	saeh	θai33											
史	seij	θei55											
使	sawj	θaɯ55											
駛	seij	θei55											
芝													
之													
址													
止	cij	ɕiː55											
趾													
志	ceiq	ɕei35											
志	ci	ɕiː24											
誌	ceiq	ɕei35											
痣													
嗤													
齒	ceij	ɕei55											
詩	sei	θei24											
始	seij	θei55											
始	cij	ɕiː55											
試	sawq	θaɯ35											
時	seiz	θei31											
時	sawz	θaɯ31											
鰣													
市	seix	θei42											
市	seih	θei33	利市										
市	six	θiː42											
市	si	θiː24											
恃													
侍	saeh	θai33											
而													
耳	wj	ɯː55											
耳													
餌													
基													
姬													
己	geij	kei55											
紀	geij	kei55	年纪										
紀	gij	kiː55	党纪										
紀	geiq	kei35	纪念										
記	geiq	kei35											
欺	hei	hei24											
起	heij	hei55											
杞	gij	kiː55											
棋	geiz	kei31											
其	geiz	kei31											
其	giz	kiː31											
麒	geiz	kei31											
旗	geiz	kei31											
期	geiz	kei31											
忌	geih	kei33											
疑	ngeiz	ŋei31											
擬	ngeix	ŋei42											
嘻													
嬉	hei	hei24											
禧													
熙	hei	hei24											
喜	heij	hei55											
醫	yw	jɯː24											
醫	ei	ei24											
意	eiq	ei35											
矣	hix	hiː42											
怡													
貽													
已	ngeix	ŋei42											
以	ngeix	ŋei42											
異	heih	hei33											
機	gei	kei24											
鉿													
譏	gae	kai24											
饑													
幾	geij	kei55											
既	giq	kiː35											
豈	heij	hei55											
氣	heiq	hei35											
汽	heiq	hei35											
祈													
沂	ngeiz	ŋei31											
毅	ngaeh	ŋai33											
希	hei	hei24											
稀	hei	hei24											
依	i	iː24											
依	ei	ei24											
衣	i	iː24											
累	leij	lei55											
嘴	cij	ɕiː55											
髓													
髓													
隨	cuiz	ɕuːi31											
隨	seiz	θei31	随便										
揣													
吹	ci	ɕiː24											
吹	coi	ɕoːi24											
炊	ci	ɕiː24											
垂	cuiz	ɕuːi31											
睡	sih	θiː33											
瑞													
蕊													
規	gvi	kʷiː24											
規	gvei	kʷei24	规矩										
詭	gveij	kʷei55											
虧	vei	βei24											
虧	vi	βiː24											
窺													
跪	gvih	kʷiː33											
危	ngaez	ŋai31											
危	vaih	βaːi33											
偽	ngaeh	ŋai33											
麾													
麾													
毁	vaej	βai55											
毁	vaih	βaːi33											
委	vij	βiː55											
委	veij	βei55											
喂	viq	βiː35											
為	viz	βiː31											
為	vih	βiː33											
壘													
類	loih	loːi33											
淚													
醉													
醉													
翠	coiq	ɕoːi35											
悴													
綏													
雖	sui	θuːi24											
粹													
遂													
隧													
穗	suih	θuːi33											
追													
槌	cuiz	ɕuːi31											
錘	cuiz	ɕuːi31											
錘	diz	tiː31											
墜	duiq	tuːi35											
衰	sui	θuːi24											
摔													
帥													
率	suiq	θuːi35											
錐	cui	ɕuːi24											
水	sij	θiː55											
誰	siz	θiː31											
龜	gvi	kʷiː24											
軌	gveij	kʷei55											
癸	gveiq	kʷei35											
晷													
愧													
愧													
季	geiq	kei35											
葵													
逵													
夔													
揆													
櫃	gvih	kʷiː33											
帷													
位	vih	βiː33											
維	viz	βiː31											
維	veiz	βei31	维持										
惟													
遺	haez	hai31											
唯	viz	βiː31											
