id	ini	fn	pt	单字	IPA	注释	
52	n	o	53	糯	no53	糯米	
53	l	o	41	螺	lo41	田螺	
54	l	o	41	腡	lo41	手指纹	
55	l	o	33	囉	lo33	啰嗦	
56	tsʰ	o	25	銼	tsʰo25	锉刀	
57	tsʰ	o	21	坐	tsʰo21	请坐	
58	ts	o	53	座	tso53	座位	
59	ɬ	o	21	蓑	ɬo21	蓑衣	
60	ɬ	o	33	梭	ɬo33	织布梭	
61	ɬ	o	33	唆	ɬo33	唆使	
62	ɬ	o	21	鎖	ɬo21	门锁	
63	ɬ	o	21	瑣	ɬo21	琐碎	
64	w	o	33	鍋	wo33	砂锅；锅铲	
65	kʰ	o	33	戈	kʰo33	大动干戈	
66	k	o	21	果	ko21	水果	
67	k	o	21	裹	ko21	包裹	
68	k	o	25	過	ko25	过去	
69	f	o	33	科	fo33	文科	
70	k	o	21	棵	ko21	一棵	
71	k	o	21	顆	ko21	颗粒	
72	f	o	25	課	fo25	上课	
73	ŋ	o	41	訛	ŋo41	讹诈	
74	ŋ	o	53	臥	ŋo53	卧室	
75	f	o	21	火	fo21	火车	
76	f	o	21	伙	fo21	伙食	
77	f	o	21	夥	fo21	伙计，合伙	
78	f	o	25	貨	fo25	货物	
79	w	o	41	和	wo41	和气	
80	w	o	41	禾	wo41	禾苗	
81	w	o	53	禍	wo53	祸害	
82	w	o	41	和	wo41	和诗，唱和	
83	w	o	33	倭	wo33	倭寇	
84	w	o	33	窩	wo33	鸟窝	
85	w	o	33	萵	wo33	莴笋	
86	h	ɛ	33	靴	hɛ33	靴子	
87	p	a	33	巴	pa33	巴掌	
88	p	a	33	芭	pa33	芭蕉	
89	p	a	33	疤	pa33	伤疤	
90	p	a	21	把	pa21	把柄	
91	p	a	25	霸	pa25	霸王	
92	p	a	21	把	pa21	把握、一把	
93	p	a	25	壩	pa25	堤坝	
94	p	a	25	爸	pa25	爸爸	
95	pʰ	a	25	怕	pʰa25	害怕	
96	pʰ	a	41	爬	pʰa41	爬树	
97	pʰ	a	41	琶	pʰa41	琵琶	
98	pʰ	a	41	杷	pʰa41	枇杷	
99	pʰ	a	41	耙	pʰa41	犁耙	
100	m	a	41	麻	ma41	麻袋	
101	m	a	41	痲	ma41	麻疹	
102	m	au	33	蟆	mau33	蛤蟆	
103	m	a	25	媽	ma25	妈妈	
104	m	a	21	馬	ma21	骑马	
105	m	a	21	碼	ma21	码头	
106	m	a	53	罵	ma53	骂人	
107	n	a	41	拿	na41	拿手；推拿	
108	tsʰ	a	41	茶	tsʰa41	茶叶	
109	tsʰ	a	41	搽	tsʰa41	搽药	
110	ts	a	33	楂	tsa33	山楂	
111	ts	a	33	渣	tsa33	药渣	
112	ts	a	25	詐	tsa25	诈骗	
113	ts	a	25	榨	tsa25	榨油	
114	ts	a	25	炸	tsa25	炸弹	
115	tsʰ	a	33	叉	tsʰa33	叉腰	
116	tsʰ	a	33	杈	tsʰa33	枝杈	
117	tsʰ	a	33	差	tsʰa33	差别	
118	tsʰ	a	33	岔	tsʰa33	三岔路口	
119	tsʰ	a	41	查	tsʰa41	调查	
120	s	a	33	沙	sa33	沙漠	
121	s	a	33	紗	sa33	纱布	
122	s	a	33	砂	sa33	朱砂；砂纸	
123	s	a	33	痧	sa33	刮痧；斑痧	
124	s	a	21	灑	sa21	洒水	
125	k	a	33	家	ka33	成家，老家	
126	k	a	33	加	ka33	加工	
127	k	a	33	痂	ka33	结痂	
128	k	a	33	嘉	ka33	嘉宾	
129	k	a	33	傢	ka33	家具	
130	k	a	21	假	ka21	真假	
131	k	a	21	賈	ka21	姓，贾宝玉	
132	k	a	21	假	ka21	放假	
133	k	a	25	架	ka25	衣架	
134	k	a	25	駕	ka25	驾驶	
135	k	a	25	嫁	ka25	出嫁	
136	k	a	25	價	ka25	价钱	
137	ŋ	a	41	牙	ŋa41	牙齿	
138	ŋ	a	41	芽	ŋa41	豆芽	
139	ŋ	a	41	衙	ŋa41	衙门	
140	ŋ	a	41	蚜	ŋa41	蚜虫（生在豆类、棉花、稻等幼苗上）	
141	ŋ	a	21	雅	ŋa21	典雅	
142	h	a	33	蝦	ha33	虾蟆（蛤蟆）	
143	h	a	33	□	ha33	虾腰	
144	h	a	21	嚇	ha21	恐吓	
145	h	a	41	霞	ha41	朝霞	
147	h	a	33	蝦	ha33	鱼虾	
148	h	a	53	下	ha53	下降	
149	h	a	53	夏	ha53	春夏	
150	h	a	53	厦	ha53	高楼大厦，商厦	
151	h	a	53	下	ha53	下面	
152	h	a	53	夏	ha53	姓夏	
154		a	33	鴉	a33	乌鸦	
155		a	33	丫	a33	丫头	
156		a	33	椏	a33	桠杈	
157		a	21	啞	a21	哑巴	
158		a	25	亞	a25	亚洲	
159	ts	ɛ	21	姐	tsɛ21	姐姐	
160	ts	ɛ	25	借	tsɛ25	借钱	
161	tsʰ	ɛ	21	且	tsʰɛ21	而且	
162	ts	ek	041	藉	tsek41	藉故，藉口	
163	kʰ	ɛ	33	些	kʰɛ33	一些	
164	ɬ	ɛ	21	寫	ɬɛ21	写字	
165	ɬ	ɛ	25	瀉	ɬɛ25	腹泻	
166	ɬ	ɛ	25	卸	ɬɛ25	卸货	
167	kʰ	ɛ	41	邪	ʦʰɛ41	邪气	1
168	kʰ	ɛ	41	斜	ʦʰɛ41	斜线	1
169	ts	ɛ	53	謝	tsɛ53	谢谢；姓	
170	t	ɛ	33	爹	tɛ33	爹娘	
171	ts	ɛ	33	遮	tsɛ33	遮挡	
172	ts	ɛ	21	者	tsɛ21	记者	
173	ts	ɛ	25	蔗	tsɛ25	甘蔗	
174	tsʰ	ɛ	33	車	tsʰɛ33	火车	
175	tsʰ	ɛ	21	扯	tsʰɛ21	拉扯	
176	s	ɛ	41	蛇	sɛ41	毒蛇	
177	s	ɛ	53	射	sɛ53	发射	
178	s	ɛ	53	麝	sɛ53	麝香	
179	tsʰ	ɛ	33	奢	tsʰɛ33	奢侈	
180	s	ɛ	33	賒	sɛ33	赊帐	
181	s	ɛ	21	捨	sɛ21	舍得，舍弃	
182	s	ɛ	25	赦	sɛ25	赦免	
183	s	ɛ	25	舍	sɛ25	宿舍	
185	s	ɛ	21	社	sɛ21	公社	
186	j	ɛ	21	惹	jɛ21	招惹	
187	j	ɛ	41	耶	jɛ41	耶酥	
188	j	ɛ	41	爺	jɛ41	爷爷	
189	j	ɛ	41	椰	jɛ41	椰子	
190	j	ɛ	21	也	jɛ21	也是	
191	j	ɛ	21	野	jɛ21	野兔	
192	j	ɛ	53	夜	jɛ53	夜晚	
193	s	o	41	傻	so41	傻瓜	
194	s	a	21	耍	sa21	玩耍	
195	k	a	33	瓜	ka33	西瓜	
196	w	o	33	蝸	wo33	蜗牛	
197	k	a	21	寡	ka21	寡妇	
198	k	a	21	剮	ka21	千刀万剐	
199	kʰ	a	33	誇	kʰa33	夸奖；夸张	
200	kʰ	a	33	垮	kʰa33	垮台	
201	kʰ	a	33	跨	kʰa33	跨度	
202	ŋ	a	21	瓦	ŋa21	瓦片	
203	f	a	33	花	fa33	开花	
204	f	a	25	化	fa25	变化	
205	w	a	41	華	wa41	华山	
206	w	ak	041	劃	wɐk41	划船	
207	w	a	41	華	wa41	中华	
208	w	a	33	蛙	wa33	青蛙	
209	w	a	33	窪	wa33	低洼	
210	p	ou	21	補	pou21	补衣服	
211	pʰ	ou	21	譜	pʰou21	族谱	
212	p	ou	25	布	pou25	布匹，一块布	
213	p	ou	25	佈	pou25	布置；公布	
214	pʰ	ou	33	鋪	pʰou33	铺设	
215	pʰ	ou	21	普	pʰou21	普通	
216	pʰ	ou	21	浦	pʰou21	浦江	
217	pʰ	ou	25	鋪	pʰou25	店铺	
218	p	ou	25	怖	pou25	恐怖	
219	pʰ	ou	41	蒲	pʰou41	蒲团	
220	pʰ	o	41	菩	pʰo41	菩萨	
221	pʰ	ou	41	脯	pʰou41	胸脯	
222	pʰ	ou	41	葡	pʰou41	葡萄	
223	p	ou	53	部	pou53	部队	
224	p	ou	53	簿	pou53	帐簿	
225	p	ou	53	步	pou53	跑步	
226	p	ou	53	捕	pou53	捕捉；捕快	
227	f	ɐu	53	埠	fɐu53	埠头	
228	m	ou	41	模	mou41	模范	
229	m	ou	41	模	mou41	模型	
230	m	o	41	摹	mo41	摹仿	
231	m	ou	53	墓	mou53	坟墓	
232	m	ou	53	暮	mou53	日暮	
233	m	ou	53	慕	mou53	羡慕	
234	m	ou	53	募	mou53	募捐	
235	t	ou	33	都	tou33	都是	
236	t	ou	33	都	tou33	首都	
238	t	ou	21	賭	tou21	赌博	
239	tʰ	ou	21	肚	tʰou21	猪肚（胃），鱼肚	
240	t	ou	25	妒	tou25	妒忌	
241	tʰ	ou	21	土	tʰou21	土地	
242	tʰ	ou	25	吐	tʰou25	呕吐	
243	tʰ	ou	25	吐	tʰou25	吐痰	
244	tʰ	ou	25	兔	tʰou25	兔子	
245	tʰ	ou	41	徒	tʰou41	徒弟	
246	tʰ	ou	41	屠	tʰou41	屠杀	
247	tʰ	ou	41	途	tʰou41	前途	
248	tʰ	ou	41	塗	tʰou41	泥涂，涂改	
249	tʰ	ou	41	圖	tʰou41	地图	
250	t	ou	53	杜	tou53	杜仲；姓	
251	tʰ	ou	21	肚	tʰou21	肚子，肚脐	
252	t	ou	53	度	tou53	忖度，度长	
253	t	ou	53	渡	tou53	偷渡	
254	t	ou	53	鍍	tou53	电镀	
255	n	ou	41	奴	nou41	奴隶	
256	n	ou	21	努	nou21	努力	
257	n	ou	53	怒	nou53	发怒	
258	l	ou	41	盧	lou41	姓卢	
259	l	ou	41	爐	lou41	炉子	
260	l	ou	41	蘆	lou41	芦苇	
261	l	ou	21	魯	lou21	鲁迅	
262	l	ou	21	櫓	lou21	摇船的工具	
263	l	ou	21	虜	lou21	俘虏	
264	l	ou	21	滷	lou21	卤水	
265	l	ou	53	路	lou53	马路	
266	l	ou	21	賂	lou21	贿赂	
267	l	ou	53	露	lou53	露水	
268	l	ou	53	鷺	lou53	白鹭	
269	ts	ou	33	租	tsou33	房租	
270	ts	ou	21	祖	tsou21	祖国	
271	ts	ou	21	組	tsou21	组长	
272	ts	ou	25	做	tsou25	做饭	
273	tsʰ	ou	33	粗	tsʰou33	粗心	
274	tsʰ	ou	25	醋	tsʰou25	吃醋	
275	tsʰ	ou	25	措	tsʰou25	措施	
276	tsʰ	o	25	錯	tsʰo25	错误	
277	ɬ	ou	33	蘇	ɬou33	苏州	
278	ɬ	ou	33	酥	ɬou33	酥油，酥饼	
279	ɬ	ou	25	素	ɬou25	吃素；朴素	
280	ɬ	ou	25	訴	ɬou25	告诉	
281	ɬ	ou	25	塑	ɬou25	塑像	
282	k	u	33	姑	ku33	姑娘	
283	k	u	33	孤	ku33	孤独	
284	kʰ	u	33	箍	kʰu33	紧箍咒	
285	k	u	33	辜	ku33	无辜，辜负	
286	k	u	21	古	ku21	古代	
287	k	u	21	估	ku21	估计	
288	k	u	21	牯	ku21	牛牯	
289	k	u	21	股	ku21	股票	
290	k	u	21	鼓	ku21	鼓励	
291	k	u	21	蠱	ku21	蛊惑；整蛊	
292	k	u	25	故	ku25	故事	
293	k	u	25	固	ku25	固定	
294	k	u	25	雇	ku25	雇主	
295	k	u	25	顧	ku25	照顾	
296	f	u	33	枯	fu33	枯萎	
297	f	u	21	苦	fu21	吃苦	
298	f	u	25	庫	fu25	水库	
299	f	u	25	褲	fu25	裤子	
300	w	u	41	吴	wu41	姓	
301		oŋ	41	蜈	oŋ41	蜈蚣	
302		oŋ	41	梧	oŋ41	梧桐	
303		oŋ	21	五	oŋ21	第五	
304		oŋ	21	伍	oŋ21	队伍	
305		oŋ	21	午	oŋ21	中午	
306		oŋ	53	誤	oŋ53	错误	
307		oŋ	53	悟	oŋ53	孙悟空	
308	f	u	33	呼	fu33	呼吸	
309	f	u	21	虎	fu21	老虎	
310	f	o	21	滸	fo21	水浒传	
311	f	u	25	戽	fu25	戽水	
312	w	u	41	胡	wu41	二胡；姓	
313	w	u	41	湖	wu41	太湖	
314	w	u	41	狐	wu41	狐狸	
315	w	u	41	壺	wu41	水壶	
316	f	u	41	乎	fu41	在乎	
317	w	u	41	鬍	wu41	胡须	
318	w	u	41	葫	wu41	葫芦	
319	w	u	41	糊	wu41	糊涂	
320	w	u	41	蝴	wu41	蝴蝶	
321	w	u	53	户	wu53	户口	
322	w	u	53	滬	wu53	上海简称	
323	w	u	53	互	wu53	互相	
324	w	u	53	護	wu53	保护	
325	w	u	33	烏	wu33	乌鸦	
326	w	u	33	污	wu33	污染	
327	w	u	33	塢	wu33	船坞	
328	w	u	25	惡	wu25	可恶	
329	n	ei	21	女	nei21	女儿	
330	l	ou	41	廬	lou41	庐山	
331	l	ou	41	驢	lou41	毛驴	
332	l	ui	21	吕	lui21	姓	
333	l	ei	21	旅	lei21	旅游	
334	l	ei	53	慮	lei53	考虑	
335	l	ei	53	濾	lei53	过滤	
336	tsʰ	ei	33	蛆	tsʰei33	蛆虫	
337	ɬ	ei	25	絮	ɬei25	棉絮	
338	tsʰ	ei	41	徐	tsʰei41	姓	
339	ts	ei	53	序	tsei53	秩序	
340	ts	ei	53	叙	tsei53	叙述	
341	ɬ	ui	21	緒	ɬui21	情绪；光绪	
342	ts	i	33	豬	tsi33	猪肉	
343	ts	i	25	著	tsi25	著名	
344	tsʰ	i	41	除	tsʰi41	除法	
345	tsʰ	i	21	儲	tsʰi21	储蓄	
346	tsʰ	i	21	苧	tsʰi21	苎麻	
348	ts	o	21	阻	tso21	阻力	
349	tsʰ	o	33	初	tsʰo33	初中	
350	tsʰ	o	21	楚	tsʰo21	清楚	
351	tsʰ	o	21	礎	tsʰo21	基础	
352	tsʰ	o	41	鋤	tsʰo41	锄头	
353	ts	o	53	助	tso53	帮助	
354	s	o	33	梳	so33	梳头	
355	s	o	33	疏	so33	疏远	
356	s	o	33	蔬	so33	蔬菜	
357	s	o	21	所	so21	所以	
358	s	o	33	疏	so33	注疏	
359	ts	i	33	諸	tsi33	诸葛亮	
360	ts	i	21	煮	tsi21	煮饭	
361	tsʰ	i	21	處	tsʰi21	处理	
362	tsʰ	i	25	處	tsʰi25	处所	
363	s	i	33	書	si33	书本	
364	s	i	33	舒	si33	舒服	
365	s	i	21	暑	si21	暑假	
366	s	i	21	鼠	si21	老鼠	
368	s	ɛ	25	恕	sɛ25	饶恕	
369	s	ui	53	墅	sui53	别墅	
370	s	i	21	署	si21	署名；专署	
371	s	i	41	薯	si41	番薯	
372	#$0235	i	41	如	ȵi41	如果	
373	k	ei	33	居	kei33	居民	
374	k	ei	33	車	kei33	车马炮	
375	k	ei	21	舉	kei21	举报	
376	kʰ	ei	25	據	kʰei25	收据	
377	k	ei	25	鋸	kei25	电锯	
378	h	ei	33	墟	hei33	废墟	
379	h	ei	25	去	hei25	来去	
380	kʰ	ei	41	渠	kʰei41	水渠	
381	kʰ	ei	41	佢	kʰei41	他；她；它	
382	k	ei	53	巨	kei53	巨大	
383	kʰ	ei	21	拒	kʰei21	拒绝	
384	kʰ	ei	21	距	kʰei21	距离	
385	#$0235	i	41	魚	ȵi41	金鱼	
386	#$0235	i	41	漁	ȵi41	渔业；渔场	
387	j	i	21	語	ji21	语文	
388	j	i	53	御	ji53	御用	
389	j	i	53	禦	ji53	驾御，防御	
390	h	ei	33	虚	hei33	虚心	
391	h	ei	33	嘘	hei33	吹嘘	
392	h	ei	21	許	hei21	许多	
393	j	i	33	於	ji33	在于	
394	j	i	33	淤	ji33	淤泥	
395	j	i	41	余	ji41	姓	
396	j	i	41	餘	ji41	多余	
397	j	i	21	與	ji21	给与；参与	
398	j	i	53	譽	ji53	荣誉	
399	j	i	53	預	ji53	预备	
400	j	i	53	豫	ji53	犹豫	
401	f	u	33	夫	fu33	夫妻	
402	f	u	33	膚	fu33	皮肤	
403	f	u	21	府	fu21	广府	
404	f	u	21	腑	fu21	五脏六腑	
405	f	u	21	俯	fu21	俯视	
406	pʰ	ou	21	甫	pʰou21	杜甫	
407	pʰ	ou	41	脯	pʰou41	杏脯	
408	f	u	21	斧	fu21	斧头	
409	f	u	25	付	fu25	应付	
410	f	u	25	賦	fu25	天赋	
411	f	u	53	傅	fu53	姓	
412	f	u	25	咐	fu25	吩咐	
413	f	u	33	敷	fu33	敷药	
414	f	u	33	俘	fu33	俘虏	
415	p	ou	53	孵	pou53	孵小鸡	
416	f	u	33	麩	fu33	麦麸	
417	f	u	33	撫	fu33	抚养	
418	f	u	53	赴	fu53	奔赴；赴汤蹈火	
419	f	u	41	符	fu41	符合	
420	f	u	41	扶	fu41	扶手	
421	f	u	41	芙	fu41	芙蓉	
422	f	u	53	父	fu53	父亲	
423	f	u	53	腐	fu53	豆腐	
424	f	u	53	輔	fu53	辅助	
425	f	u	25	附	fu25	附近	
426	m	ou	41	無	mou41	没有；无中生有	
427	m	ou	41	巫	mou41	巫婆	
428	m	ou	41	誣	mou41	诬告	
429	m	ou	21	武	mou21	武力	
430	m	ou	21	舞	mou21	跳舞	
431	m	ui	21	侮	mui21	侮辱	
432	m	ou	21	鵡	mou21	鹦鹉	
433	m	ou	53	務	mou53	任务	
434	m	ou	53	霧	mou53	大雾	
435	l	ui	21	屢	lui21	屡教不改	
436	kʰ	ei	33	趨	kʰei33	趋势	
437	tsʰ	ei	21	取	tsʰei21	取得	
438	tsʰ	ei	21	娶	tsʰei21	嫁娶	
439	tsʰ	ei	25	趣	tsʰei25	兴趣	
440	ts	ei	53	聚	tsei53	聚会	
441	ɬ	ei	33	須	ɬei33	必须	
442	ɬ	ou	33	鬚	ɬou33	胡须	
443	ɬ	ei	33	需	ɬei33	需要	
444	ts	ou	53	續	tsou53	继续	
445	ts	i	33	誅	tsi33	天诛地灭	
446	ts	i	33	蛛	tsi33	蜘蛛	
447	ts	i	33	株	tsi33	守株待兔	
448	ts	i	25	駐	tsi25	驻扎	
449	ts	i	25	註	tsi25	注释	
450	tsʰ	i	41	厨	tsʰi41	厨房	
451	ts	i	21	柱	tsi21	柱子	
452	ts	i	53	住	tsi53	住宿	
454	s	ou	21	數	sou21	数星星	
455	s	ou	25	數	sou25	数学	
456	ts	i	33	朱	tsi33	姓	
457	ts	i	33	硃	tsi33	朱砂	
458	ts	i	33	珠	tsi33	珍珠	
459	ts	i	21	主	tsi21	主人	
460	ts	i	25	注	tsi25	注意	
461	ts	i	25	蛀	tsi25	虫蛀	
462	ts	i	25	鑄	tsi25	铸铁	
463	kʰ	ei	33	樞	kʰei33	枢纽	
464	s	i	33	輸	si33	输赢	
465	s	i	33	輸	si33	运输	
466	s	i	41	殊	si41	特殊	
467	s	i	53	豎	si53	横竖	
468	s	i	53	樹	si53	树木	
469	j	i	41	儒	ji41	儒家	
470	j	ui	21	乳	jui21	乳房	
471	k	ei	33	拘	kei33	拘留	
472	kʰ	ei	33	俱	kʰei33	俱乐部	
473	k	ei	21	矩	kei21	规矩	
474	k	ei	25	句	kei25	句子	
475	kʰ	ei	33	區	kʰei33	地区	
477	k	ei	53	具	kei53	具体；家具	
478	k	ei	53	懼	kei53	恐惧	
479	j	i	41	愚	ji41	愚蠢	
480	j	i	41	娱	ji41	娱乐	
481	j	i	53	遇	ji53	遇见	
482	j	i	21	寓	ji21	寓言	
483	j	i	33	迂	ji33	迂回	
484	j	i	33	于	ji33	姓	
485	j	i	21	雨	ji21	下雨	
486	j	i	21	宇	ji21	宇宙	
487	j	i	21	禹	ji21	大禹	
488	j	i	21	羽	ji21	羽毛	
489	w	u	53	芋	wu53	芋头	
490	j	i	41	愉	ji41	愉快	
491	j	i	41	愈	ji41	愈加；病愈	
492	j	i	53	喻	ji53	比喻	
493	j	i	53	裕	ji53	富裕	
494	ŋ	oi	41	獃	ŋoi41	发呆	
495	t	ai	25	戴	tai25	戴帽	
496	tʰ	oi	33	胎	tʰoi33	双胞胎	
497	tʰ	ai	25	態	tʰai25	态度	
498	tʰ	ai	25	貸	tʰai25	贷款	
499	tʰ	oi	41	臺	tʰoi41	台湾	
500	tʰ	oi	41	苔	tʰoi41	青苔	
501	tʰ	oi	41	抬	tʰoi41	担抬，两个人抬	
502	t	oi	53	待	toi53	等待	
503	t	oi	53	怠	toi53	怠慢	
504	t	oi	53	代	toi53	代表	
505	t	oi	53	袋	toi53	口袋	
506	n	ai	21	乃	nai21	人名用字	
507	n	oi	53	耐	noi53	耐心	
508	l	oi	41	來	loi41	过来	
509	ts	oi	33	災	tsoi33	水灾	
510	ts	oi	33	栽	tsoi33	栽种	
511	ts	oi	21	宰	tsoi21	宰相	
512	ts	oi	25	載	tsoi25	满载	
513	ts	oi	25	再	tsoi25	再来	
514	ts	oi	25	載	tsoi25	年载	
515	tsʰ	ai	33	猜	tsʰai33	猜谜	
516	tsʰ	ai	21	踩	tsʰai21	踩死	
517	tsʰ	oi	21	彩	tsʰoi21	彩色	
518	tsʰ	oi	21	採	tsʰoi21	采摘；采集	
519	tsʰ	oi	21	睬	tsʰoi21	理睬	
520	tsʰ	oi	25	菜	tsʰoi25	青菜	
521	tsʰ	oi	41	才	tsʰoi41	天才；才气	
522	tsʰ	oi	41	材	tsʰoi41	材料	
523	tsʰ	oi	41	財	tsʰoi41	发财	
524	tsʰ	oi	41	裁	tsʰoi41	裁缝	
525	tsʰ	oi	41	纔	tsʰoi41	刚才	
526	ts	oi	53	在	tsoi53	现在	
527	ts	oi	25	載	tsoi25	载重	
528	ɬ	oi	33	腮	ɬoi33	腮红	
529	ɬ	oi	33	鰓	ɬoi33	鱼鳃	
530	tsʰ	oi	25	賽	tsʰoi25	比赛	
531	k	oi	33	該	koi33	应该	
532	k	oi	21	改	koi21	修改	
533	kʰ	oi	25	概	kʰoi25	大概	
534	kʰ	oi	25	溉	kʰoi25	灌溉	
535	h	oi	33	開	hoi33	开门	
536	h	oi	21	凱	hoi21	凯旋	
537	kʰ	oi	25	慨	kʰoi25	感慨	
538	kʰ	at	024	咳	kʰat24	咳嗽	
539	ŋ	oi	53	礙	ŋoi53	妨碍	
540	h	oi	21	海	hoi21	大海	
541	h	ai	41	孩	hai41	孩子	
542	h	oi	53	亥	hoi53	辛亥革命	
543		oi	33	哀	oi33	悲哀	
544		ai	33	埃	ai33	尘埃	
545		oi	25	愛	oi25	喜爱	
546	p	ui	25	貝	pui25	宝贝	
547	pʰ	ui	25	沛	pʰui25	充沛	
548	t	ai	25	帶	tai25	鞋带	
549	tʰ	ai	25	太	tʰai25	太阳	
550	tʰ	ai	25	泰	tʰai25	泰山	
551	t	ai	53	大	tai53	大小	
552	n	oi	53	奈	noi53	无奈	
553	l	ai	53	賴	lai53	无赖	
554	l	ai	25	癩	lai25	癞头	
555	tsʰ	oi	25	蔡	tsʰoi25	姓	
556	k	oi	25	蓋	koi25	盖子	
557	kʰ	oi	25	丐	kʰoi25	乞丐	
558	ŋ	ai	53	艾	ŋai53	艾草	
559	h	oi	53	害	hoi53	害人	
560		oi	21	藹	oi21	和蔼	
561	p	ai	25	拜	pai25	礼拜；拜佛	
562	pʰ	ai	41	排	pʰai41	排队	
563	m	ai	41	埋	mai41	埋葬	
564	ts	ai	33	齋	tsai33	吃斋	
565	tsʰ	oi	41	豺	tsʰoi41	豺狼	
566	k	ai	33	皆	kai33	皆大欢喜	
567	k	ai	33	階	kai33	台阶	
568	k	ai	25	介	kai25	介绍	
569	k	ai	25	界	kai25	世界	
570	k	ai	25	芥	kai25	芥菜	
571	k	ai	25	尬	kai25	尴尬	
572	k	ai	25	疥	kai25	疥疮	
573	k	ai	25	届	kai25	应届	
574	k	ai	25	戒	kai25	戒指	
575	h	ai	33	揩	hai33	揩油	
576	k	ai	33	楷	kai33	楷书	
577	h	ai	41	諧	hai41	和谐	
578	h	ai	41	駭	hai41	惊骇	
579	h	ai	53	械	hai53	机械	
580		ai	33	挨	ai33	挨近	
581	p	ai	21	擺	pai21	摇摆	
582	pʰ	ai	25	派	pʰai25	派出所	
583	pʰ	ai	41	牌	pʰai41	牌坊	
584	pʰ	ai	41	箄	pʰai41	竹排	
585	p	a	53	罷	pa53	罢工	
586	p	ai	53	稗	pai53	稗子	
587	m	ai	21	買	mai21	买进	
588	m	ai	53	賣	mai53	卖掉	
589	n	ai	21	奶	nai21	奶奶	
590	ts	ai	25	債	tsai25	还债	
591	tsʰ	a	33	釵	tsʰa33	宝钗；钗子	
592	tsʰ	ai	33	差	tsʰai33	出差	
593	tsʰ	ai	41	柴	tsʰai41	火柴	
594	s	ei	33	篩	sei33	米筛	
595	s	a	21	灑	sa21	洒水	
596	s	ai	25	曬	sai25	晒谷	
597	k	ai	33	佳	kai33	佳节	
598	k	ai	33	街	kai33	大街	
599	k	ai	21	解	kai21	讲解	
600	h	ai	53	懈	hai53	松懈	
601	ŋ	ai	41	涯	ŋai41	天涯	
602	ŋ	ai	41	崖	ŋai41	悬崖	
603	ŋ	ai	41	捱	ŋai41	捱苦，捱打	
604	h	ai	41	鞋	hai41	布鞋	
605	k	ai	21	解	kai21	理解（知道，懂了）	
606	h	ai	21	蟹	hai21	螃蟹	
607		ɐi	21	矮	ɐi21	高矮	
608	p	ai	53	敗	pai53	失败	
609	m	ai	53	邁	mai53	迈步	
610	ts	ai	53	寨	tsai53	山寨	
611	p	ɐi	53	蔽	pɐi53	隐蔽	
612	p	ɐi	53	弊	pɐi53	作弊	
613	p	ɐi	53	幣	pɐi53	人民币	
614	p	ɐi	53	斃	pɐi53	枪毙	
615	l	ɐi	53	例	lɐi53	例子	
616	l	ɐi	53	厲	lɐi53	厉害	
617	l	ɐi	53	勵	lɐi53	鼓励	
