單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
迸		b	ing	6		b	ing	4		p	ɪŋ	32		p	eɪŋ	32	
乒		b	ing	1		b	ing	1		p	ɪŋ	23		p	eɪŋ	23	
癟		b	it	8		b	it	8		p	it	32		p	it	32	
彆		b	it	7B		b	it	7		p	it	23		p	it	23	
別		b	it	8		b	it	8		p	it	32		p	it	32	
必		b	it	7A		b	it	6		p	it	45		p	it	45	
包		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
苞		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
胞		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
爆		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
飽		b	iu	2		b	iu	3		p	iu	45		p	iw	45	
鮑		b	iu	2		b	iu	3		p	iu	45		p	iw	45	鮑魚
鮑		b	iu	6		b	iu	4		p	iu	32		p	iw	32	鮑魚之肆
孢		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
標		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
飆		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
鑣		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
表		b	iu	2		b	iu	3		p	iu	45		p	iw	45	
彪		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
錶		b	iu	1		b	iu	1		p	iu	23		p	iw	23	
錶		b	iu	2		b	iu	3		p	iu	45		p	iw	45	
波		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
播		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
簸		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
玻		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
坡		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
菠		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
菠		b	o	2		b	o	3		p	ɔ	45		p	ɔ	45	
搏		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
博		b	ok	7A		b	ok	6		p	ɔk	45		p	ɔk	45	
駁		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
雹		b	ok	8		b	ok	8		p	ɔk	32		p	ɔk	32	
卜		b	ok	7A		b	ok	6		p	ɔk	45		p	ɔk	45	
博		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
薄		b	ok	8		b	ok	8		p	ɔk	32		p	ɔk	32	
箔		b	ok	8		b	ok	8		p	ɔk	32		p	ɔk	32	
礴		b	ok	8		b	ok	8		p	ɔk	32		p	ɔk	32	
泊		b	ok	8		b	ok	8		p	ɔk	32		p	ɔk	32	
膊		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
縛		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
魄		b	ok	8		b	ok	8		p	ɔk	32		p	ɔk	32	旁魄
傍		b	ong	6		b	ong	4		p	ɔŋ	32		p	ɔŋ	32	依山傍水
榜		b	ong	2		b	ong	3		p	ɔŋ	45		p	ɔŋ	45	
邦		b	ong	1		b	ong	1		p	ɔŋ	23		p	ɔŋ	23	
幫		b	ong	1		b	ong	1		p	ɔŋ	23		p	ɔŋ	23	
傍		b	ong	6		b	ong	4		p	ɔŋ	32		p	ɔŋ	32	傍晚
綁		b	ong	2		b	ong	3		p	ɔŋ	45		p	ɔŋ	45	
膀		b	ong	2		b	ong	3		p	ɔŋ	45		p	ɔŋ	45	肩膀
磅		b	ong	6		b	ong	4		p	ɔŋ	32		p	ɔŋ	32	一磅
布		b	ou	1		b	ou	1		p	ou	23		p	ou	23	
佈		b	ou	1		b	ou	1		p	ou	23		p	ou	23	
補		b	ou	2		b	ou	3		p	ou	45		p	ou	45	
捕		b	ou	6		b	ou	4		p	ou	32		p	ou	32	
哺		b	ou	6		b	ou	4		p	ou	32		p	ou	32	
步		b	ou	6		b	ou	4		p	ou	32		p	ou	32	
部		b	ou	6		b	ou	4		p	ou	32		p	ou	32	
簿		b	ou	6		b	ou	4		p	ou	32		p	ou	32	
怖		b	ou	1		b	ou	1		p	ou	23		p	ou	23	
埔		b	ou	1		b	ou	1		p	ou	23		p	ou	23	
埠		b	ou	6		b	ou	4		p	ou	32		p	ou	32	埠頭
貝		b	ui	1		b	ui	1		p	ui	23		p	uj	23	
狽		b	ui	1		b	ui	1		p	ui	23		p	uj	23	
杯		b	ui	1		b	ui	1		p	ui	23		p	uj	23	
盃		b	ui	1		b	ui	1		p	ui	23		p	uj	23	
背		b	ui	1		b	ui	1		p	ui	23		p	uj	23	背後
輩		b	ui	1		b	ui	1		p	ui	23		p	uj	23	
悖		b	ui	1		b	ui	1		p	ui	23		p	uj	23	
背		b	ui	6		b	ui	4		p	ui	32		p	uj	32	背書
悖		b	ui	6		b	ui	4		p	ui	32		p	uj	32	
焙		b	ui	6		b	ui	4		p	ui	32		p	uj	32	
蹼		b	uk	8		b	uk	8		p	ʊk	32		p	oʊk	32	
卜		b	uk	7A		b	uk	6		p	ʊk	45		p	oʊk	45	
暴		b	uk	8		b	uk	8		p	ʊk	32		p	oʊk	32	一暴十寒
僕		b	uk	8		b	uk	8		p	ʊk	32		p	oʊk	32	
瀑		b	uk	8		b	uk	8		p	ʊk	32		p	oʊk	32	
曝		b	uk	8		b	uk	8		p	ʊk	32		p	oʊk	32	
仆		b	uk	8		b	uk	8		p	ʊk	32		p	oʊk	32	
般		b	un	1		b	un	1		p	un	23		p	un	23	
半		b	un	1		b	un	1		p	un	23		p	un	23	
絆		b	un	6		b	un	4		p	un	32		p	un	32	
叛		b	un	6		b	un	4		p	un	32		p	un	32	
畔		b	un	6		b	un	4		p	un	32		p	un	32	
伴		b	un	6		b	un	4		p	un	32		p	un	32	
拌		b	un	6		b	un	4		p	un	32		p	un	32	
胖		b	un	6		b	un	4		p	un	32		p	un	32	肥胖
本		b	un	2		b	un	3		p	un	45		p	un	45	
畚		b	un	2		b	un	3		p	un	45		p	un	45	
搬		b	un	1		b	un	1		p	un	23		p	un	23	
肨		b	un	6		b	un	4		p	un	32		p	un	32	
撥		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
勃		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
脖		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
渤		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
缽		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
砵		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
鉢		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
缽		b	ut	8		b	ut	8		p	ut	32		p	ut	32	
茶		c	aa	4		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	
詫		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
奼		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
差		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	差別
查		c	aa	4		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	檢查
槎		c	aa	4		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	
叉		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
岔		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
差		c	aai	1		c	ai	1		ʦʰ	ai	23		ʦʰ	ᴀj	23	出差
柴		c	aai	4		c	ai	2		ʦʰ	ai	22		ʦʰ	ᴀj	22	
猜		c	aai	2		c	ai	3		ʦʰ	ai	45		ʦʰ	ᴀj	45	
踩		c	aai	2		c	ai	3		ʦʰ	ai	45		ʦʰ	ᴀj	45	
攙		c	aam	1		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	參加
饞		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
摻		c	aam	1		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
杉		c	aam	1		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
參		c	aam	1		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
慘		c	aam	2		c	am	3		ʦʰ	am	45		ʦʰ	ᴀm	45	
蠶		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
慚		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
巉		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
鏟		c	aan	2		c	an	3		ʦʰ	an	45		ʦʰ	ᴀn	45	
產		c	aan	2		c	an	3		ʦʰ	an	45		ʦʰ	ᴀn	45	
餐		c	aan	1		c	an	1		ʦʰ	an	23		ʦʰ	ᴀn	23	
璨		c	aan	1		c	an	1		ʦʰ	an	23		ʦʰ	ᴀn	23	
燦		c	aan	1		c	an	1		ʦʰ	an	23		ʦʰ	ᴀn	23	
殘		c	aan	4		c	an	2		ʦʰ	an	22		ʦʰ	ᴀn	22	
剷		c	aan	2		c	an	3		ʦʰ	an	45		ʦʰ	ᴀn	45	
傳		c	aan	4		c	an	2		ʦʰ	an	22		ʦʰ	ᴀn	22	
插		c	aap	7B		c	ap	7		ʦʰ	ap	23		ʦʰ	ᴀp	23	
察		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
刷		c	aat	9		c	at	9		ʦʰ	at	21		ʦʰ	ᴀt	21	
刷		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
獺		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
擦		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
吵		c	aau	2		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
抄		c	aau	2		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
抄		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
鈔		c	aau	2		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
炒		c	aau	2		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
巢		c	aau	4		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
躁		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
澡		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
槽		c	aau	4		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
操		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
糙		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
草		c	aau	2		c	au	3		ʦʰ	au	45		ʦʰ	ᴀw	45	
噪		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
燥		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
曹		c	aau	4		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
嘈		c	aau	4		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
柵		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	木柵
測		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
惻		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
坼		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
冊		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
策		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
賊		c	ak	9		c	aek	9		ʦʰ	ɐk	21		ʦʰ	ɐk	21	
賊		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
拆		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
吒		c	ak	7A		c	aek	6		ʦʰ	ɐk	45		ʦʰ	ɐk	45	叱吒
侵		c	am	1		c	aem	1		ʦʰ	ɐm	23		ʦʰ	ɐm	23	
寢		c	am	2		c	aem	3		ʦʰ	ɐm	45		ʦʰ	ɐm	45	
尋		c	am	4		c	aem	2		ʦʰ	ɐm	22		ʦʰ	ɐm	22	
沉		c	am	4		c	aem	2		ʦʰ	ɐm	22		ʦʰ	ɐm	22	
參		c	am	1		c	aem	1		ʦʰ	ɐm	23		ʦʰ	ɐm	23	參差
旬		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
巡		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
循		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
春		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
蠢		c	an	2		c	aen	3		ʦʰ	ɐn	45		ʦʰ	ɐn	45	
鶉		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	鵪鶉
親		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
疹		c	an	2		c	aen	3		ʦʰ	ɐn	45		ʦʰ	ɐn	45	
診		c	an	2		c	aen	3		ʦʰ	ɐn	45		ʦʰ	ɐn	45	
瞋		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
秦		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
趁		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
陳		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
塵		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
襯		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
村		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
村		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
寸		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
忖		c	an	2		c	aen	3		ʦʰ	ɐn	45		ʦʰ	ɐn	45	
存		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
瞠		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
鐺		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	瓦鐺
鐺		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	
橙		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	
曾		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	曾經
層		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	
撐		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
鎗		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
鋥		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
牚		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
緝		c	ap	7A		c	aep	6		ʦʰ	ɐp	45		ʦʰ	ɐp	45	
輯		c	ap	7A		c	aep	6		ʦʰ	ɐp	45		ʦʰ	ɐp	45	
出		c	at	7A		c	aet	6		ʦʰ	ɐt	45		ʦʰ	ɐt	45	
七		c	at	7A		c	aet	6		ʦʰ	ɐt	45		ʦʰ	ɐt	45	
柒		c	at	7A		c	aet	6		ʦʰ	ɐt	45		ʦʰ	ɐt	45	
漆		c	at	7A		c	aet	6		ʦʰ	ɐt	45		ʦʰ	ɐt	45	
猝		c	at	7A		c	aet	6		ʦʰ	ɐt	45		ʦʰ	ɐt	45	
齣		c	at	7A		c	aet	6		ʦʰ	ɐt	45		ʦʰ	ɐt	45	
糗		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
秋		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
鰍		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
囚		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
嗅		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
妻		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	
萋		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	
淒		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	
悽		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	
砌		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	
切		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	一切
棲		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	
齊		c	ei	4		c	ei	2		ʦʰ	ei	22		ʦʰ	ei	22	整齊
沏		c	ei	1		c	ei	1		ʦʰ	ei	23		ʦʰ	ei	23	
隋		c	ei	4		c	ei	2		ʦʰ	ei	22		ʦʰ	ei	22	
隨		c	ei	4		c	ei	2		ʦʰ	ei	22		ʦʰ	ei	22	
尺		c	ek	7B		c	ek	7		ʦʰ	ɛk	23		ʦʰ	ɛk	23	
赤		c	ek	7B		c	ek	7		ʦʰ	ɛk	23		ʦʰ	ɛk	23	
青		c	eng	1		c	eng	1		ʦʰ	ɛŋ	23		ʦʰ	ɛŋ	23	
請		c	eng	2		c	eng	3		ʦʰ	ɛŋ	45		ʦʰ	ɛŋ	45	
晴		c	eng	4		c	eng	2		ʦʰ	ɛŋ	22		ʦʰ	ɛŋ	22	
臍		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
雌		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
