字目	读音	注释	声母	韵母	声调	(声母)	(声母序)	(韵母序)	(调序)	最后一个同音字?1为是	同音字汇(连字音beta!)	声韵组合	最后一个同音异调?1为是	同音字汇(同音异调!)	同音字汇连声韵
比	=D12&E12&F12		p	i	53	=IF(D12=0,"〇",D12)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B12=B13,0,1)	=IF(B12=B11,L11&IF(C12=0,A12,A12&"{"&C12&"}"),IF(C12=0,A12,A12&"{"&C12&"}"))	=D12&E12	=IF(M12=M13,0,1)	=IF(N11=0,IF(K11=0,IF(B12=B11,O11&IF(C12=0,A12,A12&"{"&C12&"}"),"["&J12&"]"&IF(C12=0,A12,A12&"{"&C12&"}")),O11&"["&J12&"]"&IF(C12=0,A12,A12&"{"&C12&"}")),"["&J12&"]"&IF(C12=0,A12,A12&"{"&C12&"}"))	=M12&O12
畀	=D13&E13&F13		p	i	53	=IF(D13=0,"〇",D13)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B13=B14,0,1)	=IF(B13=B12,L12&IF(C13=0,A13,A13&"{"&C13&"}"),IF(C13=0,A13,A13&"{"&C13&"}"))	=D13&E13	=IF(M13=M14,0,1)	=IF(N12=0,IF(K12=0,IF(B13=B12,O12&IF(C13=0,A13,A13&"{"&C13&"}"),"["&J13&"]"&IF(C13=0,A13,A13&"{"&C13&"}")),O12&"["&J13&"]"&IF(C13=0,A13,A13&"{"&C13&"}")),"["&J13&"]"&IF(C13=0,A13,A13&"{"&C13&"}"))	=M13&O13
被	=D14&E14&F14		p	i	13	=IF(D14=0,"〇",D14)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B14=B15,0,1)	=IF(B14=B13,L13&IF(C14=0,A14,A14&"{"&C14&"}"),IF(C14=0,A14,A14&"{"&C14&"}"))	=D14&E14	=IF(M14=M15,0,1)	=IF(N13=0,IF(K13=0,IF(B14=B13,O13&IF(C14=0,A14,A14&"{"&C14&"}"),"["&J14&"]"&IF(C14=0,A14,A14&"{"&C14&"}")),O13&"["&J14&"]"&IF(C14=0,A14,A14&"{"&C14&"}")),"["&J14&"]"&IF(C14=0,A14,A14&"{"&C14&"}"))	=M14&O14
幣	=D15&E15&F15		p	i	13	=IF(D15=0,"〇",D15)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B15=B16,0,1)	=IF(B15=B14,L14&IF(C15=0,A15,A15&"{"&C15&"}"),IF(C15=0,A15,A15&"{"&C15&"}"))	=D15&E15	=IF(M15=M16,0,1)	=IF(N14=0,IF(K14=0,IF(B15=B14,O14&IF(C15=0,A15,A15&"{"&C15&"}"),"["&J15&"]"&IF(C15=0,A15,A15&"{"&C15&"}")),O14&"["&J15&"]"&IF(C15=0,A15,A15&"{"&C15&"}")),"["&J15&"]"&IF(C15=0,A15,A15&"{"&C15&"}"))	=M15&O15
備	=D16&E16&F16		p	i	13	=IF(D16=0,"〇",D16)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B16=B17,0,1)	=IF(B16=B15,L15&IF(C16=0,A16,A16&"{"&C16&"}"),IF(C16=0,A16,A16&"{"&C16&"}"))	=D16&E16	=IF(M16=M17,0,1)	=IF(N15=0,IF(K15=0,IF(B16=B15,O15&IF(C16=0,A16,A16&"{"&C16&"}"),"["&J16&"]"&IF(C16=0,A16,A16&"{"&C16&"}")),O15&"["&J16&"]"&IF(C16=0,A16,A16&"{"&C16&"}")),"["&J16&"]"&IF(C16=0,A16,A16&"{"&C16&"}"))	=M16&O16
憊	=D17&E17&F17		p	i	13	=IF(D17=0,"〇",D17)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B17=B18,0,1)	=IF(B17=B16,L16&IF(C17=0,A17,A17&"{"&C17&"}"),IF(C17=0,A17,A17&"{"&C17&"}"))	=D17&E17	=IF(M17=M18,0,1)	=IF(N16=0,IF(K16=0,IF(B17=B16,O16&IF(C17=0,A17,A17&"{"&C17&"}"),"["&J17&"]"&IF(C17=0,A17,A17&"{"&C17&"}")),O16&"["&J17&"]"&IF(C17=0,A17,A17&"{"&C17&"}")),"["&J17&"]"&IF(C17=0,A17,A17&"{"&C17&"}"))	=M17&O17
婢	=D18&E18&F18		p	i	13	=IF(D18=0,"〇",D18)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B18=B19,0,1)	=IF(B18=B17,L17&IF(C18=0,A18,A18&"{"&C18&"}"),IF(C18=0,A18,A18&"{"&C18&"}"))	=D18&E18	=IF(M18=M19,0,1)	=IF(N17=0,IF(K17=0,IF(B18=B17,O17&IF(C18=0,A18,A18&"{"&C18&"}"),"["&J18&"]"&IF(C18=0,A18,A18&"{"&C18&"}")),O17&"["&J18&"]"&IF(C18=0,A18,A18&"{"&C18&"}")),"["&J18&"]"&IF(C18=0,A18,A18&"{"&C18&"}"))	=M18&O18
背	=D19&E19&F19	提重物	p	i	21	=IF(D19=0,"〇",D19)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B19=B20,0,1)	=IF(B19=B18,L18&IF(C19=0,A19,A19&"{"&C19&"}"),IF(C19=0,A19,A19&"{"&C19&"}"))	=D19&E19	=IF(M19=M20,0,1)	=IF(N18=0,IF(K18=0,IF(B19=B18,O18&IF(C19=0,A19,A19&"{"&C19&"}"),"["&J19&"]"&IF(C19=0,A19,A19&"{"&C19&"}")),O18&"["&J19&"]"&IF(C19=0,A19,A19&"{"&C19&"}")),"["&J19&"]"&IF(C19=0,A19,A19&"{"&C19&"}"))	=M19&O19
臂	=D20&E20&F20		p	i	21	=IF(D20=0,"〇",D20)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B20=B21,0,1)	=IF(B20=B19,L19&IF(C20=0,A20,A20&"{"&C20&"}"),IF(C20=0,A20,A20&"{"&C20&"}"))	=D20&E20	=IF(M20=M21,0,1)	=IF(N19=0,IF(K19=0,IF(B20=B19,O19&IF(C20=0,A20,A20&"{"&C20&"}"),"["&J20&"]"&IF(C20=0,A20,A20&"{"&C20&"}")),O19&"["&J20&"]"&IF(C20=0,A20,A20&"{"&C20&"}")),"["&J20&"]"&IF(C20=0,A20,A20&"{"&C20&"}"))	=M20&O20
秘	=D21&E21&F21		p	i	21	=IF(D21=0,"〇",D21)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B21=B22,0,1)	=IF(B21=B20,L20&IF(C21=0,A21,A21&"{"&C21&"}"),IF(C21=0,A21,A21&"{"&C21&"}"))	=D21&E21	=IF(M21=M22,0,1)	=IF(N20=0,IF(K20=0,IF(B21=B20,O20&IF(C21=0,A21,A21&"{"&C21&"}"),"["&J21&"]"&IF(C21=0,A21,A21&"{"&C21&"}")),O20&"["&J21&"]"&IF(C21=0,A21,A21&"{"&C21&"}")),"["&J21&"]"&IF(C21=0,A21,A21&"{"&C21&"}"))	=M21&O21
泌	=D22&E22&F22		p	i	21	=IF(D22=0,"〇",D22)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B22=B23,0,1)	=IF(B22=B21,L21&IF(C22=0,A22,A22&"{"&C22&"}"),IF(C22=0,A22,A22&"{"&C22&"}"))	=D22&E22	=IF(M22=M23,0,1)	=IF(N21=0,IF(K21=0,IF(B22=B21,O21&IF(C22=0,A22,A22&"{"&C22&"}"),"["&J22&"]"&IF(C22=0,A22,A22&"{"&C22&"}")),O21&"["&J22&"]"&IF(C22=0,A22,A22&"{"&C22&"}")),"["&J22&"]"&IF(C22=0,A22,A22&"{"&C22&"}"))	=M22&O22
庇	=D23&E23&F23		p	i	21	=IF(D23=0,"〇",D23)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B23=B24,0,1)	=IF(B23=B22,L22&IF(C23=0,A23,A23&"{"&C23&"}"),IF(C23=0,A23,A23&"{"&C23&"}"))	=D23&E23	=IF(M23=M24,0,1)	=IF(N22=0,IF(K22=0,IF(B23=B22,O22&IF(C23=0,A23,A23&"{"&C23&"}"),"["&J23&"]"&IF(C23=0,A23,A23&"{"&C23&"}")),O22&"["&J23&"]"&IF(C23=0,A23,A23&"{"&C23&"}")),"["&J23&"]"&IF(C23=0,A23,A23&"{"&C23&"}"))	=M23&O23
痹	=D24&E24&F24		p	i	21	=IF(D24=0,"〇",D24)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B24=B25,0,1)	=IF(B24=B23,L23&IF(C24=0,A24,A24&"{"&C24&"}"),IF(C24=0,A24,A24&"{"&C24&"}"))	=D24&E24	=IF(M24=M25,0,1)	=IF(N23=0,IF(K23=0,IF(B24=B23,O23&IF(C24=0,A24,A24&"{"&C24&"}"),"["&J24&"]"&IF(C24=0,A24,A24&"{"&C24&"}")),O23&"["&J24&"]"&IF(C24=0,A24,A24&"{"&C24&"}")),"["&J24&"]"&IF(C24=0,A24,A24&"{"&C24&"}"))	=M24&O24
蔽	=D25&E25&F25		p	i	21	=IF(D25=0,"〇",D25)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B25=B26,0,1)	=IF(B25=B24,L24&IF(C25=0,A25,A25&"{"&C25&"}"),IF(C25=0,A25,A25&"{"&C25&"}"))	=D25&E25	=IF(M25=M26,0,1)	=IF(N24=0,IF(K24=0,IF(B25=B24,O24&IF(C25=0,A25,A25&"{"&C25&"}"),"["&J25&"]"&IF(C25=0,A25,A25&"{"&C25&"}")),O24&"["&J25&"]"&IF(C25=0,A25,A25&"{"&C25&"}")),"["&J25&"]"&IF(C25=0,A25,A25&"{"&C25&"}"))	=M25&O25
費	=D26&E26&F26	白，姓	p	i	21	=IF(D26=0,"〇",D26)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B26=B27,0,1)	=IF(B26=B25,L25&IF(C26=0,A26,A26&"{"&C26&"}"),IF(C26=0,A26,A26&"{"&C26&"}"))	=D26&E26	=IF(M26=M27,0,1)	=IF(N25=0,IF(K25=0,IF(B26=B25,O25&IF(C26=0,A26,A26&"{"&C26&"}"),"["&J26&"]"&IF(C26=0,A26,A26&"{"&C26&"}")),O25&"["&J26&"]"&IF(C26=0,A26,A26&"{"&C26&"}")),"["&J26&"]"&IF(C26=0,A26,A26&"{"&C26&"}"))	=M26&O26
仳	=D27&E27&F27		p	i	21	=IF(D27=0,"〇",D27)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B27=B28,0,1)	=IF(B27=B26,L26&IF(C27=0,A27,A27&"{"&C27&"}"),IF(C27=0,A27,A27&"{"&C27&"}"))	=D27&E27	=IF(M27=M28,0,1)	=IF(N26=0,IF(K26=0,IF(B27=B26,O26&IF(C27=0,A27,A27&"{"&C27&"}"),"["&J27&"]"&IF(C27=0,A27,A27&"{"&C27&"}")),O26&"["&J27&"]"&IF(C27=0,A27,A27&"{"&C27&"}")),"["&J27&"]"&IF(C27=0,A27,A27&"{"&C27&"}"))	=M27&O27
匕	=D28&E28&F28		p	i	21	=IF(D28=0,"〇",D28)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B28=B29,0,1)	=IF(B28=B27,L27&IF(C28=0,A28,A28&"{"&C28&"}"),IF(C28=0,A28,A28&"{"&C28&"}"))	=D28&E28	=IF(M28=M29,0,1)	=IF(N27=0,IF(K27=0,IF(B28=B27,O27&IF(C28=0,A28,A28&"{"&C28&"}"),"["&J28&"]"&IF(C28=0,A28,A28&"{"&C28&"}")),O27&"["&J28&"]"&IF(C28=0,A28,A28&"{"&C28&"}")),"["&J28&"]"&IF(C28=0,A28,A28&"{"&C28&"}"))	=M28&O28
閉	=D29&E29&F29	～塞	p	i	21	=IF(D29=0,"〇",D29)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B29=B30,0,1)	=IF(B29=B28,L28&IF(C29=0,A29,A29&"{"&C29&"}"),IF(C29=0,A29,A29&"{"&C29&"}"))	=D29&E29	=IF(M29=M30,0,1)	=IF(N28=0,IF(K28=0,IF(B29=B28,O28&IF(C29=0,A29,A29&"{"&C29&"}"),"["&J29&"]"&IF(C29=0,A29,A29&"{"&C29&"}")),O28&"["&J29&"]"&IF(C29=0,A29,A29&"{"&C29&"}")),"["&J29&"]"&IF(C29=0,A29,A29&"{"&C29&"}"))	=M29&O29
弊	=D30&E30&F30		p	i	311	=IF(D30=0,"〇",D30)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B30=B31,0,1)	=IF(B30=B29,L29&IF(C30=0,A30,A30&"{"&C30&"}"),IF(C30=0,A30,A30&"{"&C30&"}"))	=D30&E30	=IF(M30=M31,0,1)	=IF(N29=0,IF(K29=0,IF(B30=B29,O29&IF(C30=0,A30,A30&"{"&C30&"}"),"["&J30&"]"&IF(C30=0,A30,A30&"{"&C30&"}")),O29&"["&J30&"]"&IF(C30=0,A30,A30&"{"&C30&"}")),"["&J30&"]"&IF(C30=0,A30,A30&"{"&C30&"}"))	=M30&O30
避	=D31&E31&F31		p	i	311	=IF(D31=0,"〇",D31)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B31=B32,0,1)	=IF(B31=B30,L30&IF(C31=0,A31,A31&"{"&C31&"}"),IF(C31=0,A31,A31&"{"&C31&"}"))	=D31&E31	=IF(M31=M32,0,1)	=IF(N30=0,IF(K30=0,IF(B31=B30,O30&IF(C31=0,A31,A31&"{"&C31&"}"),"["&J31&"]"&IF(C31=0,A31,A31&"{"&C31&"}")),O30&"["&J31&"]"&IF(C31=0,A31,A31&"{"&C31&"}")),"["&J31&"]"&IF(C31=0,A31,A31&"{"&C31&"}"))	=M31&O31
斃	=D32&E32&F32		p	i	311	=IF(D32=0,"〇",D32)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B32=B33,0,1)	=IF(B32=B31,L31&IF(C32=0,A32,A32&"{"&C32&"}"),IF(C32=0,A32,A32&"{"&C32&"}"))	=D32&E32	=IF(M32=M33,0,1)	=IF(N31=0,IF(K31=0,IF(B32=B31,O31&IF(C32=0,A32,A32&"{"&C32&"}"),"["&J32&"]"&IF(C32=0,A32,A32&"{"&C32&"}")),O31&"["&J32&"]"&IF(C32=0,A32,A32&"{"&C32&"}")),"["&J32&"]"&IF(C32=0,A32,A32&"{"&C32&"}"))	=M32&O32
披	=D33&E33&F33		pʰ	i	22	=IF(D33=0,"〇",D33)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B33=B34,0,1)	=IF(B33=B32,L32&IF(C33=0,A33,A33&"{"&C33&"}"),IF(C33=0,A33,A33&"{"&C33&"}"))	=D33&E33	=IF(M33=M34,0,1)	=IF(N32=0,IF(K32=0,IF(B33=B32,O32&IF(C33=0,A33,A33&"{"&C33&"}"),"["&J33&"]"&IF(C33=0,A33,A33&"{"&C33&"}")),O32&"["&J33&"]"&IF(C33=0,A33,A33&"{"&C33&"}")),"["&J33&"]"&IF(C33=0,A33,A33&"{"&C33&"}"))	=M33&O33
丕	=D34&E34&F34		pʰ	i	22	=IF(D34=0,"〇",D34)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B34=B35,0,1)	=IF(B34=B33,L33&IF(C34=0,A34,A34&"{"&C34&"}"),IF(C34=0,A34,A34&"{"&C34&"}"))	=D34&E34	=IF(M34=M35,0,1)	=IF(N33=0,IF(K33=0,IF(B34=B33,O33&IF(C34=0,A34,A34&"{"&C34&"}"),"["&J34&"]"&IF(C34=0,A34,A34&"{"&C34&"}")),O33&"["&J34&"]"&IF(C34=0,A34,A34&"{"&C34&"}")),"["&J34&"]"&IF(C34=0,A34,A34&"{"&C34&"}"))	=M34&O34
皮	=D35&E35&F35		pʰ	i	44	=IF(D35=0,"〇",D35)	=VLOOKUP(G:G,声韵排序表!A:B,2,FALSE)	=VLOOKUP(E:E,声韵排序表!D:E,2,FALSE)	=VLOOKUP(F:F,声韵排序表!G:H,2,FALSE)	=IF(B35=B36,0,1)	=IF(B35=B34,L34&IF(C35=0,A35,A35&"{"&C35&"}"),IF(C35=0,A35,A35&"{"&C35&"}"))	=D35&E35	=IF(M35=M36,0,1)	=IF(N34=0,IF(K34=0,IF(B35=B34,O34&IF(C35=0,A35,A35&"{"&C35&"}"),"["&J35&"]"&IF(C35=0,A35,A35&"{"&C35&"}")),O34&"["&J35&"]"&IF(C35=0,A35,A35&"{"&C35&"}")),"["&J35&"]"&IF(C35=0,A35,A35&"{"&C35&"}"))	=M35&O35
