單字	粵拼	聲母_定	韻母_定	聲調_定	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
並		b	ing	6		b	ing	4		p	ɪŋ	31		p	ɛeŋ	31	
兵		b	ing	1		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
柄		b	ing	2		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
丙		b	ing	2		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
秉		b	ing	2		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
炳		b	ing	2		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
摒		b	ing	2		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	
屏		b	ing	2		b	ing	3		p	ɪŋ	35		p	ɛeŋ	35	屏除
并		b	ing	6		b	ing	4		p	ɪŋ	31		p	ɛeŋ	31	
冰		b	ing	1		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
迸		b	ing	6		b	ing	4		p	ɪŋ	31		p	ɛeŋ	31	
乒		b	ing	1		b	ing	1		p	ɪŋ	23		p	ɛeŋ	23	
癟		b	it	8		b	it	8		p	it	31		p	it	31	
彆		b	it	7B		b	it	7		p	it	23		p	it	23	
別		b	it	8		b	it	8		p	it	31		p	it	31	
必		b	it	7A		b	it	6		p	it	35		p	it	35	
波		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
播		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
簸		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
玻		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
坡		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
菠		b	o	1		b	o	1		p	ɔ	23		p	ɔ	23	
菠		b	o	2		b	o	3		p	ɔ	35		p	ɔ	35	
閉		b	oi	1		b	oi	1		p	ɔi	23		p	ɔj	23	
陛		b	oi	1		b	oi	1		p	ɔi	23		p	ɔj	23	
蔽		b	oi	1		b	oi	1		p	ɔi	23		p	ɔj	23	
敝		b	oi	6		b	oi	4		p	ɔi	31		p	ɔj	31	
弊		b	oi	6		b	oi	4		p	ɔi	31		p	ɔj	31	
幣		b	oi	6		b	oi	4		p	ɔi	31		p	ɔj	31	
斃		b	oi	6		b	oi	4		p	ɔi	31		p	ɔj	31	跛腳
跛		b	oi	2		b	oi	3		p	ɔi	35		p	ɔj	35	
搏		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
博		b	ok	7A		b	ok	6		p	ɔk	35		p	ɔk	35	
駁		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
雹		b	ok	8		b	ok	8		p	ɔk	31		p	ɔk	31	
卜		b	ok	7A		b	ok	6		p	ɔk	35		p	ɔk	35	
博		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
薄		b	ok	8		b	ok	8		p	ɔk	31		p	ɔk	31	
箔		b	ok	8		b	ok	8		p	ɔk	31		p	ɔk	31	
礴		b	ok	8		b	ok	8		p	ɔk	31		p	ɔk	31	
泊		b	ok	8		b	ok	8		p	ɔk	31		p	ɔk	31	
膊		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
縛		b	ok	7B		b	ok	7		p	ɔk	23		p	ɔk	23	
魄		b	ok	8		b	ok	8		p	ɔk	31		p	ɔk	31	旁魄
傍		b	ong	6		b	ong	4		p	ɔŋ	31		p	ɔŋ	31	依山傍水
榜		b	ong	2		b	ong	3		p	ɔŋ	35		p	ɔŋ	35	
邦		b	ong	1		b	ong	1		p	ɔŋ	23		p	ɔŋ	23	
幫		b	ong	1		b	ong	1		p	ɔŋ	23		p	ɔŋ	23	
傍		b	ong	6		b	ong	4		p	ɔŋ	31		p	ɔŋ	31	傍晚
綁		b	ong	2		b	ong	3		p	ɔŋ	35		p	ɔŋ	35	
膀		b	ong	2		b	ong	3		p	ɔŋ	35		p	ɔŋ	35	肩膀
磅		b	ong	6		b	ong	4		p	ɔŋ	31		p	ɔŋ	31	一磅
埠		b	ou	6		b	ou	4		p	ou	31		p	ou	31	埠頭
貝		b	uaai	1		b	uai	1		p	uai	23		p	ʊᴀj	23	
狽		b	uaai	1		b	uai	1		p	uai	23		p	ʊᴀj	23	
杯		b	uaai	1		b	uai	1		p	uai	23		p	ʊᴀj	23	
盃		b	uaai	1		b	uai	1		p	uai	23		p	ʊᴀj	23	
背		b	uaai	1		b	uai	1		p	uai	23		p	ʊᴀj	23	背後
輩		b	uaai	1		b	uai	1		p	uai	23		p	ʊᴀj	23	
悖		b	uaai	1		b	uai	1		p	uai	23		p	ʊᴀj	23	
背		b	uaai	6		b	uai	4		p	uai	31		p	ʊᴀj	31	背書
悖		b	uaai	6		b	uai	4		p	uai	31		p	ʊᴀj	31	
般		b	uaan	1		b	uan	1		p	uan	23		p	ʊᴀn	23	
半		b	uaan	1		b	uan	1		p	uan	23		p	ʊᴀn	23	
絆		b	uaan	6		b	uan	4		p	uan	31		p	ʊᴀn	31	
叛		b	uaan	6		b	uan	4		p	uan	31		p	ʊᴀn	31	
畔		b	uaan	6		b	uan	4		p	uan	31		p	ʊᴀn	31	
伴		b	uaan	6		b	uan	4		p	uan	31		p	ʊᴀn	31	
拌		b	uaan	6		b	uan	4		p	uan	31		p	ʊᴀn	31	
胖		b	uaan	6		b	uan	4		p	uan	31		p	ʊᴀn	31	肥胖
本		b	uaan	2		b	uan	3		p	uan	35		p	ʊᴀn	35	
畚		b	uaan	2		b	uan	3		p	uan	35		p	ʊᴀn	35	
搬		b	uaan	1		b	uan	1		p	uan	23		p	ʊᴀn	23	
肨		b	uaan	6		b	uan	4		p	uan	31		p	ʊᴀn	31	
撥		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
勃		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
脖		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
渤		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
缽		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
砵		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
鉢		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
缽		b	uaat	8		b	uat	8		p	uat	31		p	ʊᴀt	31	
焙		b	ui	6		b	ui	4		p	ui	31		p	uj	31	
蹼		b	uk	8		b	uk	8		p	ʊk	31		p	ʊk	31	
卜		b	uk	7A		b	uk	6		p	ʊk	35		p	ʊk	35	
暴		b	uk	8		b	uk	8		p	ʊk	31		p	ʊk	31	一暴十寒
僕		b	uk	8		b	uk	8		p	ʊk	31		p	ʊk	31	
瀑		b	uk	8		b	uk	8		p	ʊk	31		p	ʊk	31	
曝		b	uk	8		b	uk	8		p	ʊk	31		p	ʊk	31	
仆		b	uk	8		b	uk	8		p	ʊk	31		p	ʊk	31	
布		b	uo	1		b	uo	1		p	uɔ	23		p	uɵ	23	
佈		b	uo	1		b	uo	1		p	uɔ	23		p	uɵ	23	
補		b	uo	2		b	uo	3		p	uɔ	35		p	uɵ	35	
捕		b	uo	6		b	uo	4		p	uɔ	31		p	uɵ	31	
哺		b	uo	6		b	uo	4		p	uɔ	31		p	uɵ	31	
步		b	uo	6		b	uo	4		p	uɔ	31		p	uɵ	31	
部		b	uo	6		b	uo	4		p	uɔ	31		p	uɵ	31	
簿		b	uo	6		b	uo	4		p	uɔ	31		p	uɵ	31	
怖		b	uo	1		b	uo	1		p	uɔ	23		p	uɵ	23	
埔		b	uo	1		b	uo	1		p	uɔ	23		p	uɵ	23	
茶		c	aa	4		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	
詫		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
奼		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
差		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	差別
查		c	aa	4		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	檢查
槎		c	aa	4		c	a	2		ʦʰ	a	22		ʦʰ	ᴀ	22	
叉		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
岔		c	aa	1		c	a	1		ʦʰ	a	23		ʦʰ	ᴀ	23	
差		c	aai	1		c	ai	1		ʦʰ	ai	23		ʦʰ	ᴀj	23	出差
柴		c	aai	4		c	ai	2		ʦʰ	ai	22		ʦʰ	ᴀj	22	
踩		c	aai	2		c	ai	3		ʦʰ	ai	35		ʦʰ	ᴀj	35	
攙		c	aam	1		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	參加
饞		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
摻		c	aam	1		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
杉		c	aam	1		c	am	1		ʦʰ	am	23		ʦʰ	ᴀm	23	
蠶		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
慚		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
巉		c	aam	4		c	am	2		ʦʰ	am	22		ʦʰ	ᴀm	22	
鏟		c	aan	2		c	an	3		ʦʰ	an	35		ʦʰ	ᴀn	35	
產		c	aan	2		c	an	3		ʦʰ	an	35		ʦʰ	ᴀn	35	
殘		c	aan	4		c	an	2		ʦʰ	an	22		ʦʰ	ᴀn	22	
剷		c	aan	2		c	an	3		ʦʰ	an	35		ʦʰ	ᴀn	35	
插		c	aap	7B		c	ap	7		ʦʰ	ap	23		ʦʰ	ᴀp	23	
察		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
刷		c	aat	9		c	at	9		ʦʰ	at	21		ʦʰ	ᴀt	21	
刷		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
獺		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
擦		c	aat	7B		c	at	7		ʦʰ	at	23		ʦʰ	ᴀt	23	
吵		c	aau	2		c	au	3		ʦʰ	au	35		ʦʰ	ᴀw	35	
抄		c	aau	2		c	au	3		ʦʰ	au	35		ʦʰ	ᴀw	35	
抄		c	aau	1		c	au	1		ʦʰ	au	23		ʦʰ	ᴀw	23	
鈔		c	aau	2		c	au	3		ʦʰ	au	35		ʦʰ	ᴀw	35	
炒		c	aau	2		c	au	3		ʦʰ	au	35		ʦʰ	ᴀw	35	
巢		c	aau	4		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
曹		c	aau	4		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
嘈		c	aau	4		c	au	2		ʦʰ	au	22		ʦʰ	ᴀw	22	
柵		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	木柵
測		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
惻		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
坼		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
冊		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
策		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
賊		c	ak	9		c	aek	9		ʦʰ	ɐk	21		ʦʰ	ɐk	21	
賊		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
拆		c	ak	7B		c	aek	7		ʦʰ	ɐk	23		ʦʰ	ɐk	23	
吒		c	ak	7A		c	aek	6		ʦʰ	ɐk	35		ʦʰ	ɐk	35	叱吒
尋		c	am	4		c	aem	2		ʦʰ	ɐm	22		ʦʰ	ɐm	22	
沉		c	am	4		c	aem	2		ʦʰ	ɐm	22		ʦʰ	ɐm	22	
參		c	am	1		c	aem	1		ʦʰ	ɐm	23		ʦʰ	ɐm	23	參差
旬		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
巡		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
循		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
春		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
蠢		c	an	2		c	aen	3		ʦʰ	ɐn	35		ʦʰ	ɐn	35	
鶉		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	鵪鶉
疹		c	an	2		c	aen	3		ʦʰ	ɐn	35		ʦʰ	ɐn	35	
診		c	an	2		c	aen	3		ʦʰ	ɐn	35		ʦʰ	ɐn	35	
瞋		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
秦		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
趁		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
陳		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
塵		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
襯		c	an	1		c	aen	1		ʦʰ	ɐn	23		ʦʰ	ɐn	23	
存		c	an	4		c	aen	2		ʦʰ	ɐn	22		ʦʰ	ɐn	22	
瞠		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
鐺		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	瓦鐺
鐺		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	
橙		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	
曾		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	曾經
層		c	ang	4		c	aeng	2		ʦʰ	ɐŋ	22		ʦʰ	ɐŋ	22	
撐		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
鎗		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
鋥		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
牚		c	ang	1		c	aeng	1		ʦʰ	ɐŋ	23		ʦʰ	ɐŋ	23	
輯		c	ap	7A		c	aep	6		ʦʰ	ɐp	35		ʦʰ	ɐp	35	
出		c	at	7A		c	aet	6		ʦʰ	ɐt	35		ʦʰ	ɐt	35	
齣		c	at	7A		c	aet	6		ʦʰ	ɐt	35		ʦʰ	ɐt	35	
糗		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
囚		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
丑		c	au	2		c	aeu	3		ʦʰ	ɐu	35		ʦʰ	ɐu	35	
醜		c	au	2		c	aeu	3		ʦʰ	ɐu	35		ʦʰ	ɐu	35	
稠		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
疇		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
籌		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
躊		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
抽		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
惆		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
臭		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
酬		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
綢		c	au	4		c	aeu	2		ʦʰ	ɐu	22		ʦʰ	ɐu	22	
嗅		c	au	1		c	aeu	1		ʦʰ	ɐu	23		ʦʰ	ɐu	23	
臍		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
持		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
姒		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
痴		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
恥		c	i	2		c	i	3		ʦʰ	i	35		ʦʰ	i	35	
嗤		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
熾		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
齒		c	i	2		c	i	3		ʦʰ	i	35		ʦʰ	i	35	
恃		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
幟		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
始		c	i	2		c	i	3		ʦʰ	i	35		ʦʰ	i	35	
慈		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
廁		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
侈		c	i	2		c	i	3		ʦʰ	i	35		ʦʰ	i	35	
翅		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
弛		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
疵		c	i	2		c	i	3		ʦʰ	i	35		ʦʰ	i	35	
池		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
馳		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
差		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	參差
矢		c	i	2		c	i	3		ʦʰ	i	35		ʦʰ	i	35	
茨		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
瓷		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
遲		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
儲		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
佇		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
杼		c	i	1		c	i	1		ʦʰ	i	23		ʦʰ	i	23	
躇		c	i	4		c	i	2		ʦʰ	i	22		ʦʰ	i	22	
