num	聲	呼	等	韻	調	組	攝	字	茶山茶山	茶山塘角(大部头)	茶山塘角(莞语探源)	長安	常平	大朗	道滘	東城	東坑	高埗	莞城	莞城字匯	莞城老男(語保)	莞城青男(語保)	橫瀝	洪梅	厚街	虎門	黃江	寮步	麻湧	南城	企石	橋頭	沙田	石碣	石龙1890原版	石龙1890粤拼版	石龍	石排	塘廈	萬江	望牛墩	謝崗	中堂		大嶺山	鳳崗	清溪	樟木頭
28	曉	合	三	微	平	影	止	輝	fuɔi³¹		fɔi1									fɔi²³																												
29	曉	開	三	微	平	影	止	希	hɐi³¹	hɐi³³	hɐi1	həi⁵⁵⁴	hɐi³²	hɐi³¹	hɐi²³	hɐi³³	hɐi³²	hɐi²³	hɐi23	hɐi²³	hɐi23	hɐi23	hɐi³²	hɐi²³	hɐi²³	həi²³|həi⁵⁵	hei³²	hɐi³¹	hei⁵⁵³	hɐi²³	hɐi³²	hei²²	hei⁵³	hɐi²²			hɐi³¹	hɐi³²	həi³²	hɐi²³	hɐi²³	hɐi²²	hɐi²³		si²³	hi²³	hi³⁴	hi³⁴
30	曉	合	三	微	平	影	止	徽	fuɔi⁵⁵		fɔi1									fɔi²³																												
31	曉	合	三	微	平	影	止	暉																																								
32	曉	開	三	微	平	影	止	稀	hɐi³¹		hɐi1									hɐi²³																												
33	曉	合	三	微	上	影	止	卉																																								
34	曉	合	三	微	去	影	止	諱	vɔi¹³		vɔi3									wɔi³⁴																												
35	曉	開	三	微	去	影	止	愾																																								
36	溪	開	三	微	上	見	止	豈	hɐi³⁵		hɐi2									hɐi³⁵																												
37	溪	開	三	微	去	見	止	氣	hɐi¹³	hɐi³⁴	hɐi3	həi⁴⁴³	hɐi³⁴	hɐi²³	hɐi⁴⁴	hɐi³⁴	hɐi²⁴	hɐi³⁴	hɐi443	hɐi⁴⁴³	hɐi44	hɐi44	hɐi²⁴	hɐi³⁴	hɐi³³	həi⁴⁴³	hei³⁴	hɐi²⁴	hei⁴⁴	hɐi⁴³	hɐi²³	hei³⁵	hei⁴³	hɐi²³			hɐi²³	hɐi²³	həi³⁴	hɐi³⁴	hɐi³⁴	hɐi³⁵	hɐi³⁴		si⁵¹	hi⁵¹	hi⁵²	hi⁵¹
38	群	開	三	微	平	見	止	崎			kʰɐi1									ʧʰəŋ³¹																												
39	群	開	三	微	平	見	止	祈	kʰɐi²¹		kɐi4									kʰɐi³¹																												
40	群	開	三	微	平	見	止	幾	kɐi³⁵|kɐi³⁵|kɐi³¹	kɐi³⁵		kəi³⁵	kɐi⁵⁵	kɐi⁵⁵	kɐi³⁵	kɐi³⁵	kɐi⁴⁵	kɐi³⁵	kɐi35	kɐi²³|kɐi³⁵|kɐi⁵⁵	khɐi35	kɐi35	kɐi⁵⁵	kɐi³⁵	kɐi³⁵	kəi³⁵	kei⁵⁵	kɐi³⁵	kei³⁵	kɐi³⁵	kɐi⁵⁵	kei⁵⁵	kei³⁵	kɐi³⁵			kɐi³⁵	kɐi³⁵	kəi⁵⁵	kɐi³⁵	kɐi³⁵	ki⁵⁵|kɐi⁵⁵	kɐi³⁵		ki⁴¹	ki³¹	ki³¹	ki⁴¹
41	滂	合	三	微	平	幫	止	妃	fɐi⁴³											fɐi²³																												
42	滂	合	三	微	平	幫	止	菲			fɐi1																																					
43	滂	合	三	微	上	幫	止	菲			fɐi1																																					
44	滂	合	三	微	上	幫	止	悱																																								
45	滂	合	三	微	上	幫	止	斐																																								
46	滂	合	三	微	平	幫	止	霏																																								
47	明	合	三	微	平	幫	止	微	mɐi²¹		mɐi4									mɐi³¹																												
48	明	合	三	微	上	幫	止	尾	mɐi¹³	mɐi³⁴	mɐi3	bəi³⁴	mɐi³⁴	mɐi²³	mɐi³⁴	bɐi³⁴	mɐi²⁴	mɐi³⁴	mui34	mɐi³⁴	mɐi34	mɐi34	bɐi³²|bɐi²⁴	bɐi³⁴	bɐi²³	məi³⁴	bei³⁴	mɐi²⁴	mei²³	mɐi³⁴	bɐi²³	mei²²	bei²³	mɐi²³	méí	mei	mɐi²³	bɐi²³	bəi³⁴	mɐi³⁴	bɐi³⁴	bɐi³⁴	mɐi³⁴		bui²³	mui²³	mui³⁴	bui³⁴
49	明	合	三	微	上	幫	止	娓																																								
50	明	合	三	微	去	幫	止	未	mɐi⁴³		mɐi6									mɐi⁴⁴³																												
51	明	合	三	微	去	幫	止	味	mɐi⁴³	mɐi⁴⁴	mɐi6	bəi³³²	mɐi³³	mɐi³³	mɐi⁴⁴	bɐi⁴⁴	mɐi⁴³	mɐi³³	mαi443	mɐi⁴⁴³	mɐi44	mɐi44	bɐi³³	bɐi⁴⁴³	bɐi³³	məi⁴⁴³	bei³³	mɐi⁴²	mei⁴¹	mɐi⁴³	bɐi⁴³	mei⁴⁴	bei⁴³	mɐi³³			mɐi⁴¹	bɐi⁴⁴	bəi³³	mɐi⁴⁴³	bɐi³³	bɐi⁴⁴	mɐi³²		bui⁵¹	mui³¹	mui³¹	bui⁴¹
52	見	合	三	微	平	見	止	歸	kuɔi³¹		kɔi1									kwɔi²³															kwoí	gwoi												
53	見	開	三	微	平	見	止	嘰			tʃi1																																					
54	見	開	三	微	平	見	止	饑	kɐi³¹	kɐi³³	kɐi1	kəi³⁴	kɐi³²	kɐi³¹	kɐi²³	kɐi³³	kɐi³²	kɐi²³	kɐi23	kɐi²³|kɐi²³	kɐi23	kɐi23	kɐi³²	kɐi²³	kɐi²³	kəi⁵⁵	kei³²	kɐi³¹	kei⁵⁵³	kɐi²³	kɐi³²	kei²²	kei⁵³	kɐi²²			kɐi³¹	kɐi³²	kəi³²	kɐi²³	kɐi²³	kɐi²²	kɐi²³		ki²³	ki²³	ki³⁴	ki³⁴
55	見	開	三	微	平	見	止	譏	kɐi³¹		kɐi1									kɐi²³																												
56	見	開	三	微	平	見	止	機	kɐi³¹		kɐi1									kɐi²³|tœŋ²³																												
57	見	開	三	微	平	見	止	磯												fɛŋ³¹																												
58	見	開	三	微	平	見	止	幾	kɐi³⁵|kɐi³⁵|kɐi³¹	kɐi³⁵		kəi³⁵	kɐi⁵⁵	kɐi⁵⁵	kɐi³⁵	kɐi³⁵	kɐi⁴⁵	kɐi³⁵	kɐi35	kɐi²³|kɐi³⁵|kɐi⁵⁵	khɐi35	kɐi35	kɐi⁵⁵	kɐi³⁵	kɐi³⁵	kəi³⁵	kei⁵⁵	kɐi³⁵	kei³⁵	kɐi³⁵	kɐi⁵⁵	kei⁵⁵	kei³⁵	kɐi³⁵			kɐi³⁵	kɐi³⁵	kəi⁵⁵	kɐi³⁵	kɐi³⁵	ki⁵⁵|kɐi⁵⁵	kɐi³⁵		ki⁴¹	ki³¹	ki³¹	ki⁴¹
59	見	合	三	微	上	見	止	鬼	kuɔi³⁵	koe³⁵	kɔi2	kwai³⁵	koe⁵⁵	koe⁵⁵	kwoe³⁵	kwɔi³⁵	kɔi⁴⁵	kwoe³⁵	kwɔi35	kwɔi³⁵	kuɔi35	kuɔi35	koe⁵⁵	kwoe³⁵	kwe³⁵	kwai³⁵	kwai⁵⁵	kwɔi³⁵	kwɐi³⁵	kwoe³⁵	koe⁵⁵	kei⁵⁵	kwɐi³⁵	kwoe³⁵			kwɔe³⁵	koe³⁵	kuai⁵⁵	kwɔe³⁵	kwoe³⁵	kɐi⁵⁵	kwɔi³⁵		kui⁴¹	kui³¹	kui³¹	kui⁴¹
60	見	開	三	微	去	見	止	溉	kʰui¹³		kʰui3									kʰwi³⁵																												
61	見	開	三	微	去	見	止	既			kɐi3									kɐi⁴⁴³																												
62	見	合	三	微	去	見	止	貴	kuɔi¹³	koe³⁴	kɔi3	kwai⁴⁴³	koe³⁴	koe²³	kwoe⁴⁴	kwɔi³⁴	kɔi²⁴	kwoe³⁴	kwɔi443	kwɔi⁴⁴³	kuɔi44	kuɔi44	koe²⁴	kwoe³⁴	kwe³³	kwai⁴⁴³	kwai³⁴	kwɔi²⁴	kwɐi⁴⁴	kwoe⁴³	koe²³	kei³⁵	kwɐi⁴³	kwoe²³			kwɔe²³	koe²³	kuai³⁴|kuai³³	kwɔe³⁴	kwoe³³	kɐi³⁵	kwɔi³⁴		kui⁵¹	kui⁵¹	kui⁵²	kui⁵¹
63	見	合	三	微	平	見	止	皈																																								
64	並	合	三	微	平	幫	止	肥	fɐi²¹	fɐi²¹	fɐi4	fəi²¹	fɐi²¹	fɐi²¹	fɐi²¹	fɐi²²	fɐi²¹	fɐi²¹	fɐi31	fɐi³¹	fɐi31	fɐi31	fɐi²¹	fɐi³¹	fɐi³¹	fəi²¹	fei²¹	fɐi²¹	ɸei²²¹	fɐi³¹	fɐi²¹	fei²¹	fei²¹	fɐi²¹			fɐi²¹	fɐi²¹	fəi²¹	fɐi²¹	fɐi²¹	fɐi²¹	fɐi²¹		pʰui²¹|fui²¹	pʰui²¹|fui²¹	pʰui²¹|fui²¹	pʰui²²|fui²²
65	並	合	三	微	去	幫	止	翡	fɐi³⁵											fɐi³⁵																												
66	並	合	三	微	去	幫	止	狒																																								
67	幫	合	三	微	平	幫	止	飛	fɐi³¹|fɐi³¹	fɐi³³		fəi³⁴	fɐi³²	fɐi³¹	fɐi²³	fɐi³³	fɐi³²	fɐi²³	fɐi23	fɐi²³	fɐi23	fɐi23	fɐi³²	fɐi²³	fɐi²³	fəi²³|fəi⁵⁵	fei³²	fɐi³¹	ɸei⁵⁵³	fɐi²³	fɐi³²	fei²²	fei⁵³	fɐi²²			fɐi³¹	fɐi³²|foe³²	fəi³²	fɐi²³	fɐi²³	fɐi²²	fɐi²³		fui²³	pui²³	pui³⁴|fui³⁴	pui³⁴|fui³⁴
68	幫	合	三	微	平	幫	止	非	fɐi³¹		fɐi1									fɐi²³															féí	fei												
69	幫	合	三	微	平	幫	止	扉																																								
70	幫	合	三	微	上	幫	止	匪	fɐi³⁵		fɐi3									fɐi³⁵																												
71	幫	合	三	微	去	幫	止	芾																																								
72	幫	合	三	微	去	幫	止	沸			fɐʔ7									fak⁵																												
73	幫	合	三	微	上	幫	止	榧																																								
74	幫	合		微	去	幫	止	痱	fuɔi⁴³																																							
75	幫	合	三	微	平	幫	止	緋																																								
76	幫	合	三	微	平	幫	止	誹			fɐi3																																					
77	莊	開	三	之	平	莊	止	輜																																								
78	莊	開	三	之	平	莊	止	甾																																								
79	莊	開	三	之	去	莊	止	事	sɐi⁴³|sɐi⁴³	ʃɐi⁴⁴	ʃɐi6	ʃəi³³²	ɬɐi³³	sɐi³³	ʃɐi⁴⁴	ʃɐi⁴⁴	ɬɐi⁴³	ʃɐi³³	ʃɐi443	ʃɐi⁴⁴³	ʃɐi44	ʃɐi44	ʃɐi³³	ʃɐi⁴⁴³	ʃɐi³³	ʃəi⁴⁴³	ʃei³³	ʃɐi⁴²	ʃei⁴¹	ʃɐi⁴³	ʃɐi⁴³	ʃei⁴⁴	ʃei⁴³	ʃɐi³³			ʃɐi⁴¹	ʃɐi⁴⁴	ʃəi³³	ʃɐi⁴⁴³	ʃɐi³³	ɬɐi⁴⁴	ʃɐi³²		su⁵¹	su³¹	su³¹	su⁵¹
80	知	開	三	之	去	知	止	置	tsi¹³		tʃi3									ʧi⁴⁴³																												
81	知	開	三	之	上	知	止	徵	tsɐŋ³¹																																							
82	章	開	三	之	平	章	止	芝	-⁵⁵|tsi³¹		tʃi1									ʧi²³																												
83	章	開	三	之	平	章	止	之	ʦi³¹		tʃi1									ʧi²³															chi	zhi												
84	章	開	三	之	上	章	止	止	tsi³⁵		tʃi2									ʧi³⁵																												
85	章	開	三	之	上	章	止	趾	tsi³⁵		tʃi2									ʧi³⁵																												
86	章	開	三	之	上	章	止	址	tsi³⁵		tʃi2									ʧi³⁵																												
87	章	開	三	之	去	章	止	織	ʦɐk0⁵⁴	ʧɐk⁵	tʃɐʔ7	ʧək⁵	ʦak⁵	ʦɐk⁵	ʧək⁵	ʧɐk⁵	ʧak⁵	ʧək⁵	ʧək5	ʧək⁵	ʧək5	ʧək5	ʧɐk⁵	ʧək⁵	ʧɐk⁵	ʧək⁵	ʧat⁵	ʧɐk⁵	ʧek⁵	ʧək⁵	ʧɐt⁵	ʧɐt⁵	ʧek⁵	ʧək⁵	chik	zhik	ʧək⁵	ʧɐt⁵	ʧək⁵	ʧək⁵	ʧək⁵	ʧək⁵	ʧək⁵		ʦit³	ʦit³	ʦit³	ʦit³
88	章	開	三	之	去	章	止	誌	tsi¹³																																							
89	章	開	三	之	去	章	止	識	sɐk0⁵⁴		ʃɐʔ7									ʃək⁵																												
90	章	開	三	之	去	章	止	志	tsi¹³		tʃi3									ʧi⁴⁴³																												
91	章	開	三	之	去	章	止	痣	tsi¹³											ʧi⁴⁴³																												
92	章	開	三	之	上	章	止	芷																																								
93	云	開	三	之	上	影	止	矣																																								
94	影	開	三	之	平	影	止	醫	ji³¹		ji1									ji²³																												
95	影	開	三	之	去	影	止	意	ji¹³	ji³⁴	ji3	ji⁴⁴³	zɿ³⁴	zɿ²³	ji⁴⁴	ji³⁴	ji⁴⁵	ji³⁴	ji443	ji⁴⁴³	ji44	ji44	ji²⁴	ji³⁴	ji³³	ji⁴⁴³	ji³⁴	ji²⁴	ji⁴⁴	ji⁴³	ji²³	ji³⁵	ji⁴³	ji²³	í꜄	i3	ji²³	ji²³	ji³⁴|ji³³	ji³⁴	ji³³	ji³⁵	ji³⁴		zi⁵¹	zi⁵¹	zi⁵²	zi⁵¹
96	以	開	三	之	平	以	止	怡	ji²¹																																							
97	以	開	三	之	平	以	止	台	tʰui²¹	tʰui²¹	tʰui4	tʰɔi²¹	tʰui²¹	tʰui²¹	tʰui²¹	tʰui²²	tʰui²¹	tʰui²¹	tʰo31	tʰɵ³¹	thɵ31	thɵ31	tʰui²¹	tʰui³¹	tʰui³¹	tʰøy²¹	tʰui²¹	tʰui²¹	tʰue²²¹	tʰɵ³¹	tʰui²¹	tʰoi²¹	tʰøy²¹	tʰui²¹			tʰui²¹	tʰui²¹	tʰui²¹	tʰui²¹	tʰui²¹	tʰøy²¹	tʰui²¹		tʰɔi²¹	tʰɔi²¹	tʰɔi²¹	tʰɔi²²
98	以	開	三	之	平	以	止	貽																																								
99	以	開	三	之	平	以	止	飴												ji³¹																												
100	以	開	三	之	平	以	止	頤																																								
101	以	開	三	之	上	以	止	已	ji¹³		ji3									ji³⁴|kɐi³⁵																												
102	以	開	三	之	上	以	止	以	ji¹³		ji3									ji³⁴																												
103	以	開	三	之	去	以	止	異	ji⁴³		ji6									ji⁴⁴³																												
104	以	開	三	之	平	以	止	姬																																								
105	以	開	三	之	去	以	止	食	sɐk0⁴³	ʃɐk³	ʃɐʔ9	ʃək³	sak²	sɐk³	ʃək³	ʃɐk³	ʃak³	ʃək³	ʃək3	ʃək³	ʃək3	ʃək3	ʃɐk³	ʃək³	ʃɛk³	ʃək³	ʃat³	ʃɐk³	ʃek³	ʃək³	ʃɐt²	ʃɐt³	fek³	ʃək²	shik	shik	ʃək³	ʃɐt³	ʃək³	ʃək³	ʃək³	ʃək³	ʃək³		sit⁵	sit⁵	sit⁵	sit⁵
106	疑	開	三	之	平	見	止	疑	ji²¹		ji4									ji³¹																												
107	疑	開	三	之	上	見	止	擬	ji¹³		ji6									ji³⁴																												
108	心	開	三	之	去	精	止	伺	si⁴³		ʃi6									ʃɐi⁴⁴³																												
109	心	開	三	之	平	精	止	思	sɐi¹³|sɐi³¹		ʃɐi1									ʃɐi²³|ʃɐi⁴⁴³																												
110	心	開	三	之	去	精	止	思	sɐi¹³|sɐi³¹		ʃɐi1									ʃɐi²³|ʃɐi⁴⁴³																												
111	心	開	三	之	平	精	止	絲	sɐi³¹	ʃɐi³³	ʃɐi1	ʃəi³⁴	ɬɐi³²	sɐi³¹	ʃɐi²³	ʃɐi³³	ɬɐi³²	ʃɐi²³	ʃɐi23	ʃɐi²³	ʃɐi23	ʃɐi23	ʃɐi³²	ʃɐi²³	ʃɐi²³	ʃəi²³|ʃi⁵⁵	ʃei³²	ʃɐi³¹	ʃei⁵⁵³	ʃɐi²³	ʃɐi³²	ʃei²²	ʃi⁵³	ʃɐi²²			ʃɐi³¹	ʃɐi³²	ʃəi³²	ʃɐi²³	ʃɐi²³	ɬɐi²²	ʃɐi²³		su²³	su²³	su³⁴	su³⁴
112	心	開	三	之	去	精	止	伺	si⁴³		ʃi6									ʃɐi⁴⁴³																												
113	心	開	三	之	平	精	止	司	sɐi³¹		ʃɐi1									ʃɐi²³																												
114	邪	開	三	之	平	精	止	詞	tsʰɐi²¹		tʃʰɐi4									ʧʰɐi³¹|pʰɐu³¹																												
115	邪	開	三	之	平	精	止	辭	tsʰɐi²¹		tʃʰɐi4									ʧʰɐi³¹																												
116	邪	開	三	之	平	精	止	祠	tsʰɐi²¹	ʧʰɐi²¹	tʃʰɐi4	ʧʰəi²¹	ʦʰɐi²¹	ʦʰɐi²¹	ʧʰɐi²¹	ʧʰɐi²²	ʧʰɐi²¹	ʧʰɐi²¹	ʧʰɐi31	ʧʰɐi³¹	ʧhɐi31	ʧhɐi31	ʧʰɐi²¹	ʧʰɐi³¹	ʧʰɐi³¹	ʧʰəi²¹|ʧʰi²¹	ʧʰei²¹	ʧʰɐi²¹	ʧʰei²²¹	ʧʰɐi³¹	ʧʰɐi²¹	ʧʰi²¹	ʧʰi²¹	ʧʰɐi²¹			ʧʰɐi²¹	ʧʰɐi²¹	ʧʰəi²¹	ʧʰɐi²¹	ʧʰɐi²¹	ʧʰei²¹	ʧʰɐi²¹		ʦʰu²¹	ʦʰu²¹	ʦʰu²¹	ʦʰu²²
117	邪	開	三	之	上	精	止	巳	tsɐi⁴³											ʧɐi⁴⁴³																												
118	邪	開	三	之	上	精	止	似	tsʰɐi¹³|tsʰɐi¹³		tʃʰɐi3									ʧʰɐi³⁴															tsaí;ts‘aí꜅;ts‘aí꜅	zai;cai6;cai6												
119	邪	開	三	之	上	精	止	祀	tsɐi⁴³																																							
120	邪	開	三	之	上	精	止	耜																																								
121	邪	開	三	之	上	精	止	姒																											tsaí	zai												
122	邪	開	三	之	去	精	止	嗣	tsɐi³⁵																																							
123	邪	開	三	之	去	精	止	寺	tsɐi⁴³	ʧɐi⁴⁴	tʃɐi6	ʧəi³³²	ʦɐi³³	ʦɐi³³	ʧɐi⁴⁴	ʧɐi⁴⁴	ʧɐi⁴³	ʧɐi³⁴	ʧɐi443	ʧɐi⁴⁴³	ʧɐi44	ʧɐi44	ʧɐi³³	ʧɐi⁴⁴³	ʧɐi³³	ʧəi⁴⁴³|ʧi⁴⁴³	ʃi³⁵	ʧɐi⁴²	ʧei⁴¹	ʧɐi⁴³	ʧɐi⁴³	ʧʰi³⁴	ʧei⁴³|ʧi⁴³	ʧɐi³³			ʧɐi⁴¹	ʧɐi⁴⁴	ʧai³³|ʧəi³³	ʧɐi⁴⁴³	ʧɐi³³	ʧʰei⁴⁴	ʧɐi³²		su⁵¹	su³¹	si⁵²	su⁴¹
124	邪	開	三	之	去	精	止	飼	tsɐi⁴³|tsɐi⁴³		tʃɐi1.									ʧɐi⁴⁴³																												
125	曉	開	三	之	平	影	止	熙	hɐi³¹		hɐi1									hɐi²³																												
126	曉	開	三	之	平	影	止	熹																																								
127	曉	開	三	之	平	影	止	嘻	hɐi³⁵																																							
128	曉	開	三	之	平	影	止	嬉	hɐi³⁵		hɐi1																																					
129	曉	開	三	之	平	影	止	禧																																								
130	曉	開	三	之	上	影	止	喜	hɐi³⁵	hɐi³⁵	hɐi2	həi³⁵	hɐi⁵⁵	hɐi⁵⁵	hɐi³⁵	hɐi³⁵	hɐi⁴⁵	hɐi³⁵	hɐi35	hɐi³⁵	hɐi35	hɐi35	hɐi⁵⁵	hɐi³⁵	hɐi³⁵	həi³⁵	hei⁵⁵	hɐi³⁵	hei³⁵	hɐi³⁵	hɐi⁵⁵	hei⁵⁵	hei³⁵	hɐi³⁵	héí	hei	hɐi³⁵	hɐi³⁵	həi⁵⁵	hɐi³⁵	hɐi³⁵	hɐi⁵⁵	hɐi³⁵		si⁴¹	hi³¹	hi³¹	hi⁴¹
131	溪	開	三	之	平	見	止	欺	hɐi³¹		hɐi1									hɐi²³																												
132	溪	開	三	之	上	見	止	杞	kɐi³⁵											kɐi³⁵																												
133	溪	開	三	之	上	見	止	起	hɐi³⁵		hɐi2									hɐi³⁵																												
134	溪	開	三	之	去	見	止	亟																											kik	gik												
135	書	開	三	之	平	章	止	詩	si⁵⁵		ʃi1									ʃi²³																												
136	書	開	三	之	去	章	止	試	si¹³|si¹³	ʃi³⁴	ʃi3	ʃi⁴⁴³|ʃi³³²	sɿ³⁴	sɿ²³	ʃi⁴⁴	ʃi⁴⁴|ʃi³⁴	ʃi²⁴	ʃi³³	ʃi443	ʃi⁴⁴³	ʃi44	ʃi44	ʃi²⁴	ʃi³⁴|ʃi⁴⁴³	ʃi³³	ʃi⁴⁴³|ʃi³⁴	ʃi³⁴	ʃi²⁴	ʃi⁴⁴	ʃi⁴³	ʃi²³	ʃi³⁵	ʃi²³|ʃi⁴³	ʃi²³	shí꜄	shi3	ʃi²³	ʃi²³	ʃi³⁴	ʃi³⁴	ʃi³⁴	ʃi³⁵	ʃi³⁴		si⁵¹	si⁵¹	si⁵²	si⁵¹
137	書	開	三	之	上	章	止	始	si³⁵		ʃi2									ʃi³⁵																												
138	書	開	三	之	去	章	止	幟			tʃʰi3																																					
139	書	開	三	之	去	章	止	弒																																								
140	生	開	三	之	上	莊	止	史	si³⁵		ʃi2									ʃi³⁵																												
141	生	開	三	之	上	莊	止	使	sɔi³⁵	ʃoe³⁵|ʃi³⁵	ʃi2;ʃi3	ʃai³⁵|ʃi³⁵	soe⁵⁵|sɿ⁵⁵	soe⁵⁵|sɿ⁵⁵	ʃoe³⁵|ʃi⁴⁴	ʃɔi³⁵|ʃi³⁵	ʃɔi⁴⁵|ʃi⁴⁵	ʃoe³⁵|ʃi³⁵	ʃɔi35 ʃi35	ʃi³⁵|ʃi³⁵|ʃɔi³⁵	ʃɔi35 ʃi35	ʃɔi35 ʃi35 ʃi44	ʃoe⁵⁵|ʃi⁵⁵	ʃoe³⁵|ʃi³⁵	ʃoe³⁵|ʃi³⁵	ʃai³⁵|ʃi³⁵	ʃui⁵⁵|ʃi⁵⁵	ʃɔi³⁵|fi³⁵	ʃɐi³⁵	ʃoe³⁵|ʃi³⁵|ʃi⁴³	ʃoe⁵⁵|ʃi⁵⁵	ʃei⁴⁴	ʃɐi³⁵|ʃi³⁵	ʃoe³⁵|ʃi³⁵			ʃɔe³⁵|ʃi³⁵	ʃoe³⁵|ʃi³⁵	ʃai⁵⁵	ʃɔe³⁵|ʃi³⁵	ʃoe³⁵|ʃi³⁵	ʃɐi⁵⁵|ʃi⁵⁵	ʃɔi³⁵|ʃi³⁵		su⁴¹	su³¹	su³¹	su⁴¹
