單字	國際音標	粵拼	備註
簧	ʋɔŋ22		
王	ʋɔŋ22		國王撲克牌「王」的叫法
往	ʋɔŋ21		
蜿	ʋɔn55		
宛	ʋɔn55		
惋	ʋɔn55		
婉	ʋɔn55		
碗	ʋɔn55		
腕	ʋɔn55		
彎	ʋɔn33		
灣	ʋɔn33		
幻	ʋɔn32		
患	ʋɔn32		
換	ʋɔn32		
豢	ʋɔn32		
還	ʋɔn22		
寰	ʋɔn22		
環	ʋɔn22		
鬟	ʋɔn22		
灣	ʋɔn22		地名有讀陽平，如南灣、牛灣。亦寫作『環』。
嬛	ʋɔn22		
嬛	ʋɔn22		
挽	ʋɔn21		
輓	ʋɔn21		
獲	ʋɔk32		
穫	ʋɔk32		
鑊	ʋɔk21		
竵（歪）	ʋɔi55		
穢	ʋɔi33		
煨	ʋɔi33		煨番薯
壞	ʋɔi32		
匯	ʋɔi32		
會	ʋɔi32		會計，會面
彙	ʋɔi32		
徊	ʋɔi22		
淮	ʋɔi22		
槐	ʋɔi22		
懷	ʋɔi22		
回	ʋɔi22		次
迴	ʋɔi22		
洄	ʋɔi22		
會	ʋɔi21		「能」的意思，「識會」即「知道」
鍋	ʋɔ33		vɔk11是否此字？
媧	ʋɔ33		
渦	ʋɔ33		漩渦
窩	ʋɔ33		
蝸	ʋɔ33		
禍	ʋɔ32		
禾	ʋɔ22		「禾台11」指「橢圓形兩頭尖的無餡粘米粉糍」，特產
和	ʋɔ22		和諧
擰	ʋɔ21		僅用於口語「vuo11頭」，指「飯桌」
	ʋɔ21		僅用於「vuo11朗床」，指矮身硬板床，可坐可躺
役	ʋɐt32		
疫	ʋɐt32		疫，民皆疾也。
域	ʋɐt32		
橫	ʋaŋ22		單用可指「胖」；另有「回」、「次」的意思，如「上一橫」、「下橫」
	ʋɐn55		副詞，形容光亮的程度，如「皓vaan55啊」指「非常光猛」
	ʋɐn33		口語「扔掉」
潁	ʋɐn32		
穎	ʋɐn32		
永	ʋɐn32		
泳	ʋɐn32		
詠	ʋɐn32		
	ʋɐn32		口語「扔掉」
榮	ʋɐn22		
嶸	ʋɐn22		
域	ʋak55		又讀
畫	ʋak32		動詞
劃	ʋak32		
或	ʋak32		
惑	ʋak32		
畫	ʋak21		筆畫
搲	ʋa55		「搲搲糊」指「混亂」、「臨時抱佛腳」
抓	ʋa55		不知道什麼字，先寫在這
蛙	ʋa33		
窪	ʋa33		
娃	ʋa33		
嘩	ʋa32		語氣助詞
畫	ʋa32		名詞多升變va325
話	ʋa32		多升變va325
華	ʋa22		中華
嘩	ʋa22		
樺	ʋa22		
卒	tut55		
絕	tut32		
	tut21		口語，指代方位，如「該(kuoi11)dut14」指「這裡」；或形容狀態，如「git32dut114」意思是「黏黏稠稠的」、「肥dut5啊」意思是「胖」
噸	tun55		
蹲	tun33		參考鄭鈞
晉	tun33		dun32，擰？
雋	tun33		
俊	tun33		
峻	tun33		
竣	tun33		
駿	tun33		
尊	tun33		
遵	tun33		
	tun32		口語「擰」
咀	tui55		
沮	tui55		
嘴	tui55		
最	tui33		
醉	tui33		
隊	tui32		
聚	tui32		
隨	tui32		「隨你」的又讀
序	tui32		
敘	tui32		
嶼	tui32		
罪	tui32		
猝	tuɔt33		參考鄭鈞
	tuɔn55		未知意思，僅在口語「該duon55」出現，意為「糟糕了」
鑽	tuɔn33		
	tuɔn33		用作名詞表示薄荷的刺激味；用作動詞表示前者味道刺激或牙齒受酸冷不適感刺激
仔	tuɔi55		豬仔
宰	tuɔi55		
載	tuɔi55		一年半載
災	tuɔi33		
哉	tuɔi33		
栽	tuɔi33		
載	tuɔi33		記載
再	tuɔi33		
在	tuɔi32		「在出」指「外邊」，「在入」指「裡邊」
左	tuɔ55		
佐	tuɔ33		參考斗山鄭鈞
坐	tuɔ32		文讀。
祚	tuɔ32		參考斗山鄭鈞
座	tuɔ32		
	tsut33		口語「點擊」
	tsut33		口語，觸點
准	tsun55		
準	tsun55		
津	tsun33		論zun32？
蓁	tsun33		
榛	tsun33		
臻	tsun33		
圳	tsun33		
肫	tsun33		
諄	tsun33		參考斗山鄭鈞
	tsun21		「溝」，如「水zun11」即「水溝」
追	tsui33		
椎	tsui33		
錐	tsui33		動詞。
惴	tsui32		參考鄭鈞
墜	tsui32		
綴	tsui32		
贅	tsui32		
	tsui32		「笨」、「蠢」
錐	tsui21		低變調，名詞。
黜	tsuɔt55		參考斗山鄭鈞
啜	tsuɔt55		
輟	tsuɔt55		
咄	tsuɔt55		
掇	tsuɔt55		
綴	tsuɔt55		點綴
拙	tsuɔt55		
茁	tsuɔt55		
轉	tsuɔn55		轉變、轉動有「物品轉手」的意思，多跟其他動詞後面
專	tsuɔn33		
磚	tsuɔn33		多升變調tsuɔn³25
傳	tsuɔn32		自傳，一般都升變
喙	tsuɔi21		白讀
	tsuɔi21		一個物體裡面突出的部分，如雞的喙、桌角
助	tsuɔ32		有「止」的意思，如「住聲」指「不要再哭了」；「定住」指「坐定定」或「乖巧」
阻	tsou55		
俎	tsou55		
啁	tsiu33		參考鄭鈞
舟	tsiu33		
州	tsiu33		
周	tsiu33		
洲	tsiu33		
週	tsiu33		
晝	tsiu33		
咒	tsiu32		
晝	tsiu21		晏晝
質	tsit55		物質
姪	tsit32		
窒	tsit32		
汁	tsip55		單獨用或連用指「乳頭」，突出的乳頭喚作「珠仔汁」、內陷的乳頭喚作「顯窟汁」
執	tsip55		
長	tsiŋ55		
掌	tsiŋ55		
章	tsiŋ33		
張	tsiŋ33		
彰	tsiŋ33		
漳	tsiŋ33		
璋	tsiŋ33		
樟	tsiŋ33		
蟑	tsiŋ33		
漲	tsiŋ33		
仗	tsiŋ33		打仗
帳	tsiŋ33		
脹	tsiŋ33		
障	tsiŋ33		
賬	tsiŋ33		
貞	tsiŋ33		
丈	tsiŋ32		
仗	tsiŋ32		仗義
杖	tsiŋ32		
碾	tsin55		
展	tsin55		
輾	tsin55		輾轉
振	tsin55		
賑	tsin55		
震	tsin55		
珍	tsin33		
真	tsin33		
甄	tsin33		
鎮	tsin33		
陣	tsin32		
陣	tsin21		「陣久」即「待會」；另見「一陣」、「一陣間」
枕	tsim55		枕頭
針	tsim33		
斟	tsim33		
朕	tsim32		參考鄭鈞
針	tsim21		打針、針筒、牙針（牙籤）
酌	tsik55		
著	tsik33		著衫
著	tsik32		著涼、著火
折	tsiɛt55		骨折
哲	tsiɛt55		
浙	tsiɛt55		
摺	tsiɛp33		
輒	tsiɛp33		參考斗山鄭鈞
摺	tsiɛp21		存摺
褶	tsiɛp21		褶皱
顫	tsiɛn33		
戰	tsiɛn33		
纏	tsiɛn32		又讀
沾	tsiɛm33		
粘	tsiɛm33		粘米
詹	tsiɛm33		
瞻	tsiɛm33		
占	tsiɛm33		占卜
占	tsiɛm33		占領
佔	tsiɛm33		
者	tsiɛ55		
遮	tsiɛ33		
這	tsiɛ33		
蔗	tsiɛ21		
	tsiɛ21		形容小部分水不規則流下的狀態，如「zie11 zie11流」指「小部分水嘩啦啦地流」
沼	tsiɐu55		
朝	tsiɐu33		朝夕
招	tsiɐu33		
昭	tsiɐu33		
召	tsiɐu33		召喚
照	tsiɐu33		
趙	tsiɐu32		廣州話「罷就」的「就」，台山話讀「ziau32」,先用此字代替
朝	tsiɐu21		朝早、早朝
正	tsiɐŋ33		好正
鄭	tsiɐŋ32		
隻	tsiɐk55		又讀，如「一隻蝦」可讀此音
隻	tsiɐk33		
衹	tsi55		同『只』、『止』
止	tsi55		
只	tsi55		
旨	tsi55		
址	tsi55		
祉	tsi55		
指	tsi55		
枳	tsi55		
咫	tsi55		
紙	tsi55		用作量詞表示「齣」、「張」，如「一紙戲」、「一紙相」；「紙牌」可專指「撲克牌」
趾	tsi55		
主	tsi55		
拄	tsi55		參考斗山鄭鈞
煮	tsi55		
識	tsi33		通『志』。參考斗山
之	tsi33		
支	tsi33		
芝	tsi33		
吱	tsi33		
枝	tsi33		
知	tsi33		文讀
肢	tsi33		
胝	tsi33		參考鄭鈞
脂	tsi33		
梔	tsi33		梔子，藥材。
蜘	tsi33		
至	tsi33		
志	tsi33		
致	tsi33		
智	tsi33		
痣	tsi33		
置	tsi33		
稚	tsi33		
誌	tsi33		
摯	tsi33		
質	tsi33		人質
緻	tsi33		
朱	tsi33		朱古力讀音為「zi33 gut7 laat7」
侏	tsi33		
茱	tsi33		
株	tsi33		
蛛	tsi33		
豬	tsi33		
諸	tsi33		
藷	tsi33		
著	tsi33		顯著
蛀	tsi33		
鑄	tsi33		
治	tsi32		單獨用可作量詞(訓讀)，盞，如「一治電」即「一盞燈」
痔	tsi32		
住	tsi32		用作量詞表示「條」，比如「一住粉絲」，不知道什麼字
炷	tsi32		一炷香，又讀
蛀	tsi32		口語，單獨用
珠	tsi21		珠海、珠江、珍珠
注	tsi21		
炷	tsi21		一炷香
註	tsi21		
駐	tsi21		
出	tsʰut55		「以出」指「非得...不可」、「始終」、「死活要」、「無論如何都」的意思
齣	tsʰut55		
揣	tsʰun55		
舛	tsʰun55		
喘	tsʰun55		
蠢	tsʰun55		
竄	tsʰun55		參考鄭鈞
忖	tsʰun55		參考鄭鈞
湍	tsʰun55		
川	tsʰun33		
穿	tsʰun33		
串	tsʰun33		
春	tsʰun33		
傳	tsʰun22		宣傳
	tsʰun21		僅用於口語「cun11古」，指「陰莖」
處	tsʰui55		處理相處
處	tsʰui33		「氣處」指「地方」
吹	tsʰui33		
炊	tsʰui33		
除	tsʰui22		
蜍	tsʰui22		
廚	tsʰui22		
躇	tsʰui22		
櫥	tsʰui22		
搥	tsʰui22		
槌	tsʰui22		
錘	tsʰui22		
鎚	tsʰui22		
杵	tsʰui21		
儲	tsʰui21		
處	tsʰui21		處長
佇	tsʰui21		
杼	tsʰui21		不聞機杼聲
柱	tsʰui21		
貯	tsʰui21		
	tsʰuɔi55		口語「撞」
楚	tsʰuɔ55		
礎	tsʰuɔ55		
初	tsʰuɔ33		
雛	tsʰuɔ33		
鋤	tsʰou22		單用讀tsʰuɔ¹¹⁵
丑	tsʰiu55		
醜	tsʰiu55		「醜氣114」意為「不友善」；「醜鬼」指「醜陋」
臭	tsʰiu55		「臭味」發 tsʰiu55 tʰui335
臭	tsʰiu33		
獸	tsʰiu33		
嗅	tsʰiu33		
惆	tsʰiu22		
酬	tsʰiu22		
稠	tsʰiu22		
綢	tsʰiu22		
疇	tsʰiu22		
籌	tsʰiu22		單獨讀tsʰiu115
躊	tsʰiu22		
	tsʰiu22		參考鄭鈞
暢	tsʰiŋ55		
昌	tsʰiŋ33		
菖	tsʰiŋ33		
猖	tsʰiŋ33		
倡	tsʰiŋ33		
倡	tsʰiŋ33		
唱	tsʰiŋ33		
悵	tsʰiŋ33		
長	tsʰiŋ22		「長時224」、「長世334」指「一向」；單獨用於親戚輩分稱呼時代表「老幺」，如「長婆」，即「最小的叔婆」
場	tsʰiŋ22		
腸	tsʰiŋ22		「臘腸」又叫「風腸」
丈	tsʰiŋ21		姑丈姨丈曰丈tsʰiɛŋ¹¹
闡	tsʰin55		參考鄭鈞
胗	tsʰin55		參考鄭鈞
疹	tsʰin55		
診	tsʰin55		
趁	tsʰin33		
襯	tsʰin33		
陳	tsʰin22		
塵	tsʰin22		
諂	tsʰim33		參考鄭鈞
沉	tsʰim22		
沈	tsʰim22		同『沉』。
綽	tsʰik55		
桌	tsʰik55		
灼	tsʰik55		習讀
卓	tsʰik55		
掣	tsʰiɛt55		參考鄭鈞
撤	tsʰiɛt55		
徹	tsʰiɛt55		
澈	tsʰiɛt55		
轍	tsʰiɛt55		
廛	tsʰiɛn22		參考斗山參考鄭鈞
纏	tsʰiɛn22		
扯	tsʰiɛ55		
且	tsʰiɛ55		
車	tsʰiɛ33		汽車單獨用有動詞「轉」的意思
奢	tsʰiɛ33		
車	tsʰiɛ21		「車車轉」意思是「氹氹轉」
超	tsʰiɐu33		
晁	tsʰiɐu22		
朝	tsʰiɐu22		朝廷
潮	tsʰiɐu22		
尺	tsʰiɐk33		一尺
赤	tsʰiɐk33		白讀赤溪、赤坎
尺	tsʰiɐk21		低變調。捲尺、尺寸
寵	tsʰəŋ55		
涌	tsʰəŋ55		又作『沖』，小河也。
冢	tsʰəŋ55		
塚	tsʰəŋ55		
充	tsʰəŋ33		
沖	tsʰəŋ33		
忡	tsʰəŋ33		
衝	tsʰəŋ33		
憧	tsʰəŋ33		
銃	tsʰəŋ33		參考斗山和鄭鈞
衷	tsʰəŋ33		
重	tsʰəŋ33		重量，「重um33啊」指「很重」
	tsʰəŋ33		參考鄭鈞，樅樹
蟲	tsʰəŋ22		
重	tsʰəŋ22		重新
沖	tsʰəŋ21		地名，沙沖
涌	tsʰəŋ21		又作『沖』，小河也。沙沖
	tsʰəm22		口語
	tsʰəm22		口語「跳」
怵	tsʰək55		
畜	tsʰək55		
觸	tsʰək55		
矗	tsʰək55		
束	tsʰək55		
蓄	tsʰək55		
	tsʰək33		奔波
恥	tsʰei55		
齒	tsʰei55		「齒」用作動詞時意思是「撕咬」
始	tsʰei55		
差	tsʰei33		參差
痴	tsʰei33		
螭	tsʰei33		
魑	tsʰei33		
黐	tsʰei33		粘也。
侈	tsʰei33		
翅	tsʰei33		
熾	tsʰei33		
嚏	tsʰei33		口語教訓小孩「口拆cei33」意思是「頂嘴」
幟	tsʰei33		
嚏	tsʰei32		
池	tsʰei22		
弛	tsʰei22		
持	tsʰei22		「能持」的意思是「老當益壯」，同「青倦」
馳	tsʰei22		
遲	tsʰei22		
察	tsʰɔt55		
擦	tsʰɔt33		
刷	tsʰɔt33		又讀。
獺	tsʰɔt33		
刷	tsʰɔt21		低變調，名詞，又讀。
敞	tsʰɔŋ55		
廠	tsʰɔŋ55		
闖	tsʰɔŋ55		
創	tsʰɔŋ55		
瘡	tsʰɔŋ33		文讀
床	tsʰɔŋ22		「下床」意思是「起床」，代指「上午」；「一下床」專代指「上午」
瘡	tsʰɔŋ21		白讀，低變調。
產	tsʰɔn55		「產」個來吃，意思是送一個給我吃
剷	tsʰɔn55		
鏟	tsʰɔn55		
	tsʰɔk33		搖晃液體的動作；「chok3口」即「漱口」
戳	tsʰɔk21		不確定，先參考斗山
	tsʰɔk21		口語，不知道什麼字
踩	tsʰɔi55		
竵（歪）	tsʰɔi55		
	tsʰɔi55		口語，「歪斜」，如「coi55轉」
猜	tsʰɔi33		「猜市」即「猜拳」
差	tsʰɔi33		出差
搋	tsʰɔi33		搓也，如搋麵粉。
柴	tsʰɔi21		
吵	tsʰau55		有本地詞曰：吵耳嘮造
炒	tsʰau55		
抄	tsʰau33		
鈔	tsʰau33		
	tsʰau33		翻找，不知道什麼字
巢	tsʰau22		
	tsʰau22		口語，不知道什麼字
巢	tsʰau21		姑且列為訓讀字，「入巢」指「入心」、「入耳」
嘲	tsʰau21		參考鄭鈞
斥	tsʰɐt55		
赤	tsʰɐt55		文讀赤裸、赤腳醫生
敕	tsʰɐt55		
坼	tsʰɐt33		參考鄭鈞
插	tsʰap33		
撐	tsʰaŋ33		
瞠	tsʰaŋ33		
罉	tsʰaŋ33		同『鐺』。指大型器皿，一般用於煲湯，多變調為「caang335」
鐺	tsʰaŋ33		瓦鐺
睜	tsʰaŋ33		
橙	tsʰaŋ22		表示水果單獨發tsʰaŋ²²5
撐	tsʰaŋ21		名詞，如摩托車的撐
逞	tsʰɐn55		
騁	tsʰɐn55		
拯	tsʰɐn55		又讀
稱	tsʰɐn33		單獨用可表示「東西懸吊在半空」，有口語詞「令稱稱」專形容此類
呈	tsʰɐn22		
埕	tsʰɐn22		
程	tsʰɐn22		
澄	tsʰɐn22		
懲	tsʰɐn22		
稱	tsʰɐn21		同秤
秤	tsʰɐn21		低變調，本調缺失
	tsʰam55		裝垃圾的東西，不知道什麼字
杉	tsʰam33		
饞	tsʰam22		
冊	tsʰak55		
策	tsʰak55		
測	tsʰak55		
惻	tsʰak55		
柵	tsʰak55		參考鄭鈞
	tsʰak55		點火的動作，多用於啟動打火機的動作
拆	tsʰak33		
抽	tsʰai33		
叉	tsʰa33		文讀
奼	tsʰa33		
岔	tsʰa33		
差	tsʰa33		差別
詫	tsʰa33		
茶	tsʰa22		
查	tsʰa22		檢查
槎	tsʰa22		
叉	tsʰa21		白讀
腫	tsəŋ55		
種	tsəŋ55		種子
踵	tsəŋ55		
舂	tsəŋ33		
中	tsəŋ33		中間「中間下114」指「中間」
中	tsəŋ33		中獎
忠	tsəŋ33		
終	tsəŋ33		
鍾	tsəŋ33		
螽	tsəŋ33		參考斗山
鐘	tsəŋ33		
種	tsəŋ33		種植
眾	tsəŋ33		
眾	tsəŋ33		
仲	tsəŋ32		
重	tsəŋ32		重要
	tsəŋ21		量詞，用在器皿，「一zung11飲料」即「一瓶飲料」或「一罐飲料」
粥	tsək55		
竹	tsək55		
竺	tsək55		
燭	tsək55		
囑	tsək55		
矚	tsək55		
祝	tsək55		
筑	tsək55		
築	tsək55		
軸	tsək32		
逐	tsək32		
軋	tsɔt33		
砸	tsɔt33		參考鄭鈞
扎	tsɔt33		
紮	tsɔt33		
札	tsɔt33		
扎	tsɔt32		低變調。量词
奘	tsɔŋ33		
庄	tsɔŋ33		
妝	tsɔŋ33		
莊	tsɔŋ33		
裝	tsɔŋ33		「裝山」指「下葬」；「裝便膛」指「準備就緒」
樁	tsɔŋ33		
壯	tsɔŋ33		
狀	tsɔŋ32		
撞	tsɔŋ32		
盞	tsɔn55		
棧	tsɔn32		
綻	tsɔn32		
撰	tsɔn32		
賺	tsɔn32		
	tsɔn32		超常用口語，僅用於「該（kuoi11）zon325」，意思等同「現在」,本音不明確
捉	tsɔk33		
浞	tsɔk33		參考鄭鈞
擢	tsɔk32		
濯	tsɔk32		
掣	tsɔi33		
齋	tsɔi33		
債	tsɔi33		
制	tsɔi33		有「遭受」的意思，如「制過」一般指「經歷過不愉快的經歷」
製	tsɔi33		
制	tsɔi32		僅單獨用，指「制止」，如兩個人打架，你幫手「制」
滯	tsɔi32		
制	tsɔi21		口語「麻制」，指「麻煩」
爪	tsau55		
找	tsau55		
肘	tsau55		
罩	tsau33		文讀，動詞
呪	tsau33		
宙	tsau32		
冑	tsau32		甲冑參考斗山鄭鈞
胄	tsau32		貴胄參考斗山鄭鈞
紂	tsau32		
驟	tsau32		「驟眼」即「轉眼」
罩	tsau21		白讀，名詞
嘖	tsɐt55		參考鄭鈞
織	tsɐt55		撲克牌「J」的叫法
職	tsɐt55		
炙	tsɐt55		
陟	tsɐt55		參考斗山鄭鈞
蟄	tsɐt32		
直	tsɐt32		
值	tsɐt32		
植	tsɐt32		
殖	tsɐt32		
擲	tsɐt32		
執	tsap55		撿也
閘	tsap32		
鍘	tsap32		有「切」、「斬」食材的意思
爭	tsaŋ55		單獨用指「頂嘴」，有詞「口爭爭」
爭	tsaŋ33		
掙	tsaŋ33		
掙	tsaŋ33		掙扎
崢	tsaŋ33		
猙	tsaŋ33		
箏	tsaŋ33		
諍	tsaŋ33		
拯	tsɐn55		
整	tsɐn55		有「做」、「使」、「用」等的意思
掁	tsɐn33		口語「掁眼」
偵	tsɐn33		
楨	tsɐn33		
禎	tsɐn33		
征	tsɐn33		
怔	tsɐn33		
蒸	tsɐn33		
癥	tsɐn33		
癥	tsɐn33		
正	tsɐn33		正月
正	tsɐn33		正午
政	tsɐn33		
證	tsɐn33		
徵	tsɐn33		徵求
徵	tsɐn33		
剩	tsɐn32		
賺	tsɐn32		又讀
眨	tsam55		
斬	tsam55		
嶄	tsam55		
湛	tsam33		
站	tsam32		口語指「耽誤」
側	tsak55		「側轉」指「歪了」
責	tsak55		
窄	tsak33		
矺	tsak33		參考斗山鄭鈞
磔	tsak33		參考斗山鄭鈞
擇	tsak32		
澤	tsak32		
摘	tsak32		
宅	tsak32		
磔	tsak32		參考斗山鄭鈞
頁	tsak21		白讀
矺	tsak21		參考斗山鄭鈞
皺	tsai55		形容「扯住」、「皺起」、「不自然」，如形容表情時，可表示「慫起臉」、「作苦瓜臉狀」
皺	tsai33		大江專用詞：樓laai22皺zaai33，指凌亂不整，不知道什麼字（樓），可能是褸
縐	tsai33		
鄒	tsai33		
寨	tsai32		
	tsai21		量詞，用語描述植物、利是、一串東西等，如「一zaai5利是」
渣	tsa55		高變調，瓦渣ŋa⁵⁵ tsa⁵⁵
查	tsa33		查姓
吒	tsa33		
揸	tsa33		揸，手持也。量詞，一堆
乍	tsa33		
炸	tsa33		
痄	tsa33		痄腮tsʰa³³ ɬuɔi¹¹
蚱	tsa33		
詐	tsa33		「詐gat7 doi114」意思是「裝模作樣」，不知道字
榨	tsa33		
抓	tsa33		
	tsa32		口語「滋」，一般形容屙尿「淋東西」的動作
渣	tsa21		低變調
都	tou55		白讀，副詞，皆也
祖	tou55		「祖蘇」即「紫蘇」
組	tou55		
租	tou33		
做	tou33		
	tou32		口語，形容端起器皿放下的動作；或形容事物望深處下墜
	tou32		口語，「dou32火」即「降火」
酒	tiu55		「酒米」指「痘痘」
召	tiu33		喊
就	tiu32		文讀
鷲	tiu32		
袖	tiu32		
疾	tip32		
嫉	tip32		
習	tip32		
蔣	tiŋ55		
槳	tiŋ55		
獎	tiŋ55		
將	tiŋ33		將來
將	tiŋ33		將領
漿	tiŋ33		
醬	tiŋ33		
菁	tiŋ33		
匠	tiŋ32		
象	tiŋ32		
像	tiŋ32		
橡	tiŋ32		
進	tin33		
儘	tin32		
盡	tin32		
怎	tim55		
浸	tim33		
爵	tik55		
嚼	tik55		
雀	tik55		禾雀、孔雀
斫	tik55		
啄	tik55		
琢	tik55		
雀	tik21		低變調。雀仔、雀竇
捷	tiɛp32		
睫	tiɛp32		
洽	tiɛp32		參考斗山鄭鈞
尖	tiɛm33		
漸	tiɛm32		
漸	tiɛm32		漸diam11漸diam114
暫	tiɛm32		習讀tsam³³
姐	tiɛ55		姐姊不同音。姊讀ti⁵⁵
借	tiɛ33		
榭	tiɛ32		
謝	tiɛ32		
剿	tiɐu55		
椒	tiɐu33		
焦	tiɐu33		
蕉	tiɐu33		文讀，芭蕉
礁	tiɐu33		
蕉	tiɐu21		單獨用指「下」、「次」，口語，「一蕉」指「一下」。不確定什麼字，先用此字訓讀
	tiɐu21		超常用口語「下」、「次」等，表達次數；或「整dieu11」指 「整親」
井	tiɐŋ55		
阱	tiɐŋ55		
精	tiɐŋ33		白讀
淨	tiɐŋ32		白讀
瘠	tiɐk33		
脊	tiɐk33		
席	tiɐk32		白讀，竹席
蓆	tiɐk32		白讀
脊	tiɐk21		低變調，背脊puoi³³ tiɛk¹
螆	ti55		小蟲
仔	ti55		仔細
子	ti55		「法子」的縮寫，如「有子」意思是「有辦法」
籽	ti55		
梓	ti55		
紫	ti55		
雌	ti33		
孜	ti33		
茲	ti33		
姿	ti33		
滋	ti33		
資	ti33		
諮	ti33		
就	ti32		白讀，副詞。
俟	ti32		參考鄭鈞
巳	ti32		
寺	ti32		單獨用多升變調Di325
祀	ti32		
耜	ti32		參考鄭鈞
嗣	ti32		
飼	ti32		
自	ti32		
字	ti32		可指鐘錶讀數
捽	tʰut33		
寸	tʰun33		用作動詞有「疊高東西」的意思，懷疑是「屯」
屯	tʰun33		疊加，不知道什麼字，見「寸」
存	tʰun22		
秦	tʰun22		
全	tʰun22		
泉	tʰun22		
痊	tʰun22		
詮	tʰun22		
屯	tʰun22		
豚	tʰun22		海豚huɔi⁵⁵ tʰun²²「豚鼠」即「田鼠」
旬	tʰun22		
巡	tʰun22		
循	tʰun22		
攢	tʰun22		攢盒
村	tʰun21		「去村」泛指「回外家」、「去拜年」
取	tʰui55		
娶	tʰui55		
崔	tʰui33		
催	tʰui33		
摧	tʰui33		
璀	tʰui33		
脆	tʰui33		
淬	tʰui33		參考鄭鈞
翠	tʰui33		
蛆	tʰui33		參考鄭鈞
趨	tʰui33		
趣	tʰui33		
推	tʰui33		
隨	tʰui22		
徐	tʰui22		
𡃴	tʰui22		口語，氣味
脆	tʰui21		「咯咯脆」
撮	tʰuɔt55		
𨳍	tʰuɔt32		陰莖，不知道什麼字
	tʰuɔn55		動詞，口語，「打瞌睡」
采	tʰuɔi55		
採	tʰuɔi55		
彩	tʰuɔi55		
睬	tʰuɔi55		
綵	tʰuɔi55		
菜	tʰuɔi33		菜花菜果紹菜讀本調tʰuɔi³³，紫菜莧菜蕹菜讀低變調tʰuɔi¹¹，白菜西洋菜瓜子菜豬菜讀升變調tʰuɔi³³⁵，單用讀本調tʰuɔi³³，菜苗曰菜tʰuɔi¹¹
蔡	tʰuɔi33		
才	tʰuɔi22		
材	tʰuɔi22		
財	tʰuɔi22		
裁	tʰuɔi22		
搓	tʰuɔ33		
磋	tʰuɔ33		
蹉	tʰuɔ33		
錯	tʰuɔ33		
唾	tʰuɔ21		
	tʰou55		僅用於撲克牌術語，單獨用指「兩啤」，或「tou55啤」，由英文two翻譯成廣州話再翻譯而來
粗	tʰou33		
醋	tʰou33		
挫	tʰou33		有疑問，待研究
措	tʰou33		
坐	tʰou33		白讀，僅作動詞。
揪	tʰiu33		
啾	tʰiu33		
峭	tʰiu33		
秋	tʰiu33		
鰍	tʰiu33		
囚	tʰiu22		
七	tʰit55		
柒	tʰit55		
