序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
16	本本			bun31 bun31		仍然、依舊。	例：佢長在分人罵，過了還係本本共樣，實在斯死無變。(（他總是被罵，事後還是依然故我，實在是死性不改。）)	還在		
17	本莊			bun31 zong33		本地。自己所屬的村落、居地範圍。	例：這條細路愛本莊人正知。(（這條小路要本地人才知道。）)	本鄉本地在地	外莊外鄉外地	
18	畚斗			bun53 deu31		用來盛裝垃圾的箕形器具。	例：去拿畚斗同這兜垃圾抔出去。(（去拿畚斗把這些垃圾裝出去。）)			
19	畚箕			bun53 gi33		用來裝垃圾、泥土的竹製器具。	例：這堆泥沙㧡撇歸十畚箕，到今還清毋淨。(（這堆泥沙挑走了將近十畚箕的量，到現在還清不乾淨。）)			
20	糞缸			bun53 gong33		糞坑。舊時稱解大便的處所，在農家常與豬圈相連。	例：頭擺个糞缸無弇微，一行偎斯臭都佇毋著。(（以前的糞坑沒有蓋好，一靠近就臭得受不了。）)	糞窖屎窟屎缸便所		
21	茶罐			ca113 guan53		茶壺。用以燒開水或泡茶的器具。	例：茶罐肚有菊花茶，遽遽去渟一杯來食。(（茶壺裡有菊花茶，快去倒一杯來喝。）)	茶炙茶壺		
22	茶箍			ca113 gu33		肥皂。早期的肥皂是用榨過茶油的茶子渣，加入碎稻草壓製成圓塊狀，故稱「茶箍」。今多用化學方法製作，但仍延用此名。	例：先用茶箍同手洗淨來，正來食飯。(（先用肥皂把手洗乾淨，再來吃飯。）)	番茶箍香茶箍		
23	茶油			ca113 rhiu113		苦茶油。由苦茶樹種子壓榨製成的油，可以食用，亦可製成護髮劑或治療燙傷的藥膏。	例：這兩子爺單淨食麵線攪茶油來過晝。(（這父子倆只吃麵線拌茶油度過中餐。）)			
24	茶青			ca113 ciang33		從茶樹採摘下來的生葉原料。	例：今年个茶青價數毋會㜮。(（今年的生茶葉價錢還不錯。）)	茶菜		
25	茶芯			ca113 sim33		茶樹的嫩葉。	例：摘茶愛摘茶芯，毋係脣項个老葉。(（採茶要摘茶芯，不是旁邊的老葉子。）)			
26	車錢			cha33 cien113		車資、交通費。搭車時依路程遠近、車種所應付的費用。	例：佢為著愛省車錢，逐日騎鐵馬上下班。(（他為了要節省交通費，每天騎自行車上下班。）)			
27	車頭			cha33 teu113		1.車子的前端。　2.車站。	例：這擺車禍，厥車頭分人撞都綿綿。(（這次車禍，他的車頭被撞得稀爛。）) 例：逐日放學，阿爸會來車頭載𠊎轉屋。(（每天下課，父親會來車站載我回家。）)	車站	車尾	
28	車針			cha33 zhim33		縫紉機使用的針。	例：車衫褲愛看好，毋好分車針車著。(（縫製衣服要小心，不要被車針車到。）)			
29	𥯥箕			cab21 gi33		用以盛裝稻穀、砂石等散物的器具。以竹編或鋁製，貌似畚箕，但體積較小且沒有把手。	例：收穀愛用𥯥箕來抔。(（收稻穀要用小型畚箕來盛裝。）)			
30	柿餅			cii53 biang31		將柿子晒乾或烘乾壓扁製成的食品。	例：北埔出產个杮餅當好食。(（北埔出產的柿餅很好吃。）)			
31	直腸直肚			chid54 chong113 chid54 du31		心直口快。形容人個性直爽坦白、無心機。	例：佢一旦都直腸直肚，成半下會跌罪著人。(（他一向心直口快，有時會得罪別人。）)	直白	翹翹嶇嶇	
32	陣寒陣熱			chin53 hon113 chin53 ngied54		忽冷忽熱。用於形容氣溫變化快或生病時身體的感覺。	例：這駁天時陣寒陣熱，大家愛著加幾領衫，正毋會寒著。(（這陣子天氣忽冷忽熱，大家要多穿幾件衣服，才不會感冒。）)			
33	陣頭			chin53 teu113		民俗節慶時，參加表演的業餘樂團或遊藝團體。如臺灣地區廟會時迎神行列中的南管﹑北管、宋江陣、車鼓弄等。	例：該個莊頭做鬧熱，請當多陣頭來迎。(（那個村莊大拜拜，請很多陣頭來遊行。）)			
34	槽頭肉			co113 teu113 ngiug21		位於豬下巴脖子處的肉，是豬吃飼料時常觸到飼料槽的地方，故名之。	例：莫嫌槽頭肉，罔食哪！(（不要嫌棄豬脖子肉，將就吃吧！）)	二囊肉磨篼肉		
35	坐尞			co33 liau53		坐下休息、閒聊。	例：下晝頭當多老人家會去公園坐尞。(（下午很多老人家會去公園閒坐聊天。）)			
36	草埔			co31 bu33　又讀co31 pu33		草地、長滿荒草的埔地。	例：該搭草埔無人知理，生草濘弄。(（那塊草地沒人整理，野草蔓生。）)	草坪		
37	著驚			chog54 giang33		嚇到、受驚嚇。	例：你仰脣行路無聲無說，害𠊎著驚一下。(（你怎麼走路無聲無息，害我嚇一跳。）)	嚇著		
38	著獎			chog54 ziong31　又讀do31 ziong31		中獎。持有的摸彩券、獎券或統一發票等與開獎號碼相同，而獲得獎品或獎金。	例：想愛著獎無恁該，獎券買來搞生趣斯好。(（想要中獎沒那麼容易，獎券買來玩玩有趣就好。）)			
39	著傷			chog54 shong33		受傷。	例：有哪著傷斯愛遽遽醫好來，正毋會變暗傷。(（有哪裡受傷就要趕緊醫好，才不會變內傷。）)	受傷傷著		
40	才調			coi113 tiau53		能耐、才幹。通常用於貶損或質疑的語境。	例：你兩儕係恁有才調，兩日斯做好來分𠊎看。(（你們倆真有這麼行的話，兩天就做好讓我看看。）)			
41	菜包			coi53 bau33		用米或麵粉製外皮，包裹蘿蔔絲等餡料，蒸熟以食用的食品。	例：這間店賣个菜包好食又便宜。(（這間店賣的菜包好吃又便宜。）)	豬籠粄		
42	菜刀			coi53 do33		廚房裡專門用來切菜、肉等食物的刀。	例：聽講金門个菜刀已有名，切看下有利無？(（聽說金門的菜刀頗有名氣，切看看鋒不鋒利？）)			
43	菜園			coi53 rhen113		種植蔬菜的園圃。	例：菜園種有兩廂菜，斯當有好食。(（菜園種上兩畦菜，就很夠吃了。）)	菜地		
44	長年菜		詞目分類索引/宗教民俗 詞目分類索引/飲食	chong113 ngien113 coi53		一種臺灣民間過年時吃的菜餚，象徵長壽。將芥菜洗淨切段，汆燙後以薑爆炒，並加入高湯燉煮而成。	例：過年愛用肥湯來炆長年菜食。(（過年要用高湯煮長年菜吃。）)	大菜		45-3-1-1-l.mp3
45	長衫			chong113 sam33		長單衣。多指男子穿的大褂。	例：頭擺人著長衫做事毋方便，有閒个人正會著。(（以前人穿大褂做事不方便，有閒暇的人才會穿。）)			
46	出菜			chud21 coi53		上菜。將做好的菜端到餐桌上。	例：出菜愛較遽兜，無會毋赴分人客食。(（上菜的速度要快一些，不然會趕不上給客人吃。）)			
47	出門			chud21 mun113		外出。	例：堵堵愛出門，斯聽著電話響。(（正要外出，就聽到電話響。）)			
48	出年假			chud21 ngien113 ga53		出年關。農曆正月初五後，為年假的結束。	例：出年假過後，大家都愛去上班咧。(（正月初五後，大家都要去上班了。）)		入年假	50-3-1-1-l.mp3
49	出山			chud21 san33		出殯。	例：厥爸過身，哪時愛出山？(（他的父親往生了，何時出殯？）)	還山		
50	出世			chud21 she53		出生、誕生。	例：阿哥个妹上個月正出世。(（哥哥的女兒上個月剛出生。）)		過身	
51	窗門			cung33 mun113		窗戶。	例：年下拚掃，窗門愛記得洗淨來。(（年前大掃除，窗戶要記得洗乾淨。）)	窗		
52	蔥頭			cung33 teu113		1.分蔥、紅蔥頭。多年生草本。原產亞洲西部。葉中空綠色，下部白色。繖形花序球形，花色白綠。鱗莖由多片鱗瓣群生，成熟後有紅色薄膜，供食用。　2.洋蔥。蔥科蔥屬，多年生草本。葉中空，似蔥而甚細。地下鱗莖呈扁球狀，紅紫色或白、褐等色，可以食用。	例：蔥頭𤐙香來煮大麵，好食都耐毋得。(（紅蔥頭爆香煮麵，好吃得不得了。）) 例：蔥頭炒卵，已甜已好食。(（洋蔥炒蛋，很甜很好吃。）)	玉蔥大頭蔥		
53	打拚			da31 biang53		努力工作。	例：想愛有出息，斯愛認真打拚。(（想要有成就，就要認真努力工作。）)	煞猛	推懶	
54	打幫			da31 bong33		1.幸虧、多虧。　2.受惠沾光。　3.依賴、託付。　4.拜託、請託。	例：打幫頭家有賺錢，逐個正有紅包好拿。(（多虧老闆有賺錢，大家才能領紅包。）) 例：好得公司恁賺錢，𫣆等正有好打幫。(（幸虧公司這麼賺錢，我們才能受惠。）) 例：降恁多倈，無半個好打幫。(（生這麼多兒子，沒有半個可以託付。）) 例：分人打幫，較贏打幫人。(（被人請託，勝過請託別人。）)	好得		
55	打卵見黃			da31 lon31 gien53 vong113		打破蛋就看到蛋黃。比喻迅速收到成效。	例：做事情哪有好一下斯打卵見黃，定著愛有耐心。(（做事情哪有一下就立竿見影，一定要有耐心。）)			
56	打早			da31 zo31		一大早、趁早、趕早。	例：打早無閒到這下，還吂食朝，斯晝咧。(（一大早忙到現在，還沒吃早餐，就中午了。）)			
57	搭碓			dab54 doi53		1.本義指舂米時杵與臼能夠密合，才能舂出白米。引申為意義、趣味。形容事物給人的觀感。　2.默契。	例：看電視無麼个搭碓，毋當去運動。(（看電視沒什麼意思，不如去運動。）) 例：𫣆兩儕講話恁無搭碓，不如莫講。(（我們兩人說話這麼沒有默契，不如不要講。）)	有意思生趣鬥搭落敲落鑿		
58	低言細語			de33 ngien113 se53 ngi33		輕聲細語。說話時聲音輕柔，語調和順。形容謙虛有禮的樣子。	例：對長輩講話愛低言細語。(（跟長輩說話要輕聲細語。）)		大聲大氣	
59	擔竿			dam53 gon33		扁擔。挑東西的工具，通常用竹、木製成，呈扁長形。	例：老輩人會用擔竿㧡菜去市場賣。(（老一輩的人會用扁擔挑菜去市場賣。）)			
60	擔頭			dam33 teu113		1.擔子。合稱扁擔和掛在其兩端的東西，亦單指所挑的東西。　2.負擔的責任。	例：擔頭恁重，㧡都腰骨都伸毋直。(（擔子這麼重，挑得腰都伸不直。）) 例：賺錢無罅使，生活个擔頭實在重。(（入不敷出，生活擔子實在重。）)			
61	單瞼目			dan33 ngiam33 mug21		單眼皮。	例：有兜單瞼目个人，會去手術變雙瞼。(（有些單眼皮的人，會去手術變雙眼皮。）)	單瞼		
62	訂簿記數			den33 pu33 gi53 sii53		記帳。在會計工作中依照一定的格式，記載有關於出納項目的技術。	例：訂簿記數愛清楚，免致詏數。(（記帳要清楚，才不會有爭議。）)	記數		
63	燈盞			den33 zan31		油燈。燃油的照明器具。	例：頭擺無電火，暗晡頭用燈盞點火。(（以前沒有電燈，晚上點油燈）)	油盞		
64	等路			den31 lu53		禮物。作客或回家時所帶的禮品。	例：人來斯好，還擐等路來，恁細義。(（人來就好，還帶禮物來，這麼客氣。）)	手信		
65	知重輕			di33 chung33 kiang33		懂得事情的輕重緩急。	例：這個細妹做事情已知重輕，倚恃得。(（這個女孩做事很懂得輕重緩急，可以信賴。）)			
66	知上知下			di33 shong53 di33 ha53		明辨倫理，懂得人情世故。	例：後生人愛知上知下，正會有人緣。(（年輕人要懂得上下應對的道理，人緣才會好。）)	知上下知分寸識上識下識上下		
67	知頭知尾			di33 teu113 di33 mui33		知道事情的原委。	例：你明明知頭知尾，做麼个毋講？(（你明明從頭到尾都知道詳情，為什麼不講？）)	頭尾都知知頭尾		
68	知死			di33 si31		知道事態嚴重，甚而感到害怕或後悔。	例：講毋會聽，等阿姆轉來你斯知死咧！(（講不聽，等媽媽回來你就慘了！）)	知差知慘		
69	恬靜			diam33 cin53		安靜無聲。	例：學生尞涼，歸學校當恬靜。(（學生放暑假，整個學校很安靜。）)	恬芍芍恬恬	吵鬧借借	
70	點穴			diam31 hied54		1.請堪輿師尋覓龍脈結穴之處。　2.點穴道。	例：一般人做風水，定著會請地理先生來點穴。(（一般人建造墳墓，一定會請堪輿師來尋求龍脈結穴之處。）) 例：小說中个武林高手會點穴。(小說中的武林高手懂得點穴。)	尋風水尋地理		
71	點香			diam31 hiong33		點燃香支。	例：阿奶逐日打早都會點香拜祖公。(（奶奶每天一早都會點香拜祖先。）)			
72	鳥翼			diau33 rhid54		鳥的翅膀。	例：該隻鳥飛毋起來，怕係鳥翼傷著咧。(（那隻鳥飛不起來，恐怕是翅膀受傷了。）)	翼胛		
73	鳥卵			diau33 lon31		鳥蛋。	例：該竇鳥卵孵會歸半個月，毋知有打觜吂？(（那窩鳥蛋已經孵了半個月，不知破殼了沒？）)			
74	鳥嫲			diau33 ma113		母鳥。	例：樹頂該竇鳥子啾啾滾，鳥嫲毋知飛哪去？(（樹上那窩小鳥啾啾叫，母鳥不知飛到哪裡去？）)			
75	鳥屎			diau33 shi31		鳥糞。	例：車停在樹下一日，搣都歸車鳥屎。(（車子停在樹下一天，弄得整車都是鳥糞。）)			
76	吊頸			diau53 giang31		上吊、自縊。	例：壓力恁大，逼都佢硬硬會去吊頸。(（壓力這麼大，逼得他險些就要去上吊。）)	䌈頸溜頸		
77	刀嫲			do33 ma113		柴刀。用以砍柴或砍竹子的大型刀具。	例：佢擎刀嫲愛去山項斫竹。(（他拿柴刀要到山上砍竹子。）)	破樵刀破竹刀		
78	倒貶			do53 bien31		倒反。	例：仰脣恁無頭神？連衫著倒貶都毋知！(（怎麼這麼沒有頭腦？連衣服穿反了都不知道！）)	貶面顛倒面反轉面裸面	正面	
79	倒汗水			do53 hon53 shui31		水氣凝結而成的水珠。	例：南風天，滿壁都係倒汗水，歸間屋溼溚溚。(（南風吹來時，牆壁上都是反潮的水珠，整個房子溼答答。）)			
80	當晝			dong33 zhiu53		中午、正午。	例：當晝日頭恁烈，毋好去外背搞。(（中午太陽這麼大，不可以去外面玩耍。）)	當晝頭透當晝		
81	當店			dong53 diam53		當鋪。收取貴重物品做為抵押，而出借現款給典當者的店鋪。	例：這時錶係當店買个流當品。(（這手錶是當鋪買的流當品。）)			
82	堵數			du113 sii53		抵帳。	例：佢做生理了淨淨，無錢好還，拿屋去堵數。(（他做生意賠光光，沒錢可還，拿房子去抵帳。）)	抵押		
83	堵堵好			du31 du31 ho31		剛剛好、恰恰好。	例：今晡日𫣆兩儕堵堵好有閒，共下來去踔街路好無？(（今天我們兩人剛剛好有空，一起去逛街好嗎？）)	堵好		
84	堵好			du31 ho31		剛好、恰巧。	例：𠊎堵好有閒，使得同你𢯭手。(（我剛好有空，可以幫你忙。）)	堵堵好	無堵好毋堵好	
85	對年			dui53 ngien113		人過世後滿一週年。	例：有兜人過身對年過斯合火咧。(（有些人過世滿週年就和祖先合併香爐祭拜了。）)			
86	對歲			dui53 se53		週歲。嬰兒出生滿一年。	例：有兜細人吂對歲，斯會學行咧。(（有些小孩子還沒週歲，就開始學走路了。）)			
87	冬節			dung33 zied21		冬至。二十四節氣之一。通常在國曆十二月二十二或二十三日。	例：阿奶講冬節生成愛食惜圓。(（祖母說冬至本來就要吃湯圓。）)	冬至		
88	冬禾			dung33 vo113		於冬季收割的稻子，即第二期的稻作。	例：冬禾割撇，斯好準備過年咧。(（二期稻收割後，就可以準備過年了。）)	尾冬禾二冬禾		
89	鸚哥			en33 go33		鸚鵡。鳥綱鸚鵡目。體長約三十公分，嘴大而短，上嘴鉤曲覆下嘴，舌肥厚，善學人語。羽毛有白、紅、黃、綠等色。棲於熱帶森林或巖洞樹穴中。	例：阿舅畜一隻鸚哥，會講話又會唱歌，實在已生趣。(（舅舅養一隻鸚鵡，會說話又會唱歌，真的很有趣。）)			
90	應嘴			en53 zhoi53		頂嘴。對上級或長輩爭辯。	例：世大人係有仰脣講，愛恬恬聽，毋好緊應嘴。(（長輩若是有指正的意見，要靜靜聽，不可以一直頂嘴。）)	堵嘴撐嘴應話堵堵撐撐應嘴應鼻五喉六撐		
91	花菜			fa33 coi53		花椰菜。十字花科蕓薹屬，二年生草本植物。為甘藍的變種，莖硬而肥大，葉寬大，基部鈍形，邊緣呈波狀，平滑無毛。其花部成肉質塊狀，可供食用。	例：聽講多食花菜較毋會生癌。(（聽說多吃花椰菜比較不會罹癌。）)			
92	花假			fa33 ga31		虛偽、虛假。	例：做人忒花假，斯無人會信你。(（為人太虛假，就沒有人會相信你。）)	花舌虛假膨風花花假假	篤實	
93	花喇必駁			特fa33 la33 bid54 bog54　又俗音fa33 la33 bid21 bog21		花色駁雜紛亂的樣子。	佢歸面畫去花喇必駁，無人認得出佢。 他滿臉畫得花花綠綠，沒有人認得出他來。	花囉必駁		
94	花舌			fa33 shed54		（貶）花言巧語。指人善於使用言詞，挑撥是非。	例：這個人恁花舌，講个話全全信毋得。(（這個人花言巧語，說的話完全不能相信。）)	花假耗漦		hk0000002664-2-3-1
95	法度			fab21 tu53		方法、辦法。	例：一下愛恁多錢，𠊎哪有法度？(（一下子要這多錢，我哪有辦法？）)	方法辦法		
96	發酵			fad21 gau53		酵母、酵母粉。酵母能使糖分解為酒精與二氧化碳，使米糰或麵糰發酵蓬鬆。	例：做發粄愛放發酵，恁泥正會發。(（製作發糕要放酵母，這樣才會發酵蓬鬆。）)	酵嫲發粉		
97	反症			fan31 zhin53		1.病症轉變。指發病或疼痛的癥狀、部位改變。　2.引申指改變主意。	例：佢朝晨發燒，下晝反症，嗄屙瀉巴咧。(（他早上發燒，下午病症轉變，就拉肚子了。）) 例：佢昨晡講好愛打契約，今晡反症，嗄毋打咧。(（他昨天說好要簽約，今天反悔，卻不簽了。）)			
98	飯包			pon53 bau33		便當、餐盒。	例：當晝無煮飯，買飯包來食好咧！(（中午沒煮飯，買便當來吃好了！）)	便當		hk0000002851-2-3-1
99	飯匙			pon53 shi113		盛飯用的餐具。	例：去拿飯匙來添飯。(（去拿飯匙來盛飯。）)			
100	飯匙骨			pon53 shi113 gud21		肩胛骨。人體背部上方外側的骨頭，左右各一，三角扁平形，形似飯匙，故得名。	例：阿伯昨晡日騎車跌倒，傷著飯匙骨。(（伯父昨天騎車跌倒，傷到肩胛骨。）)			
101	回南			fui113 nam113		颱風過後引進西南氣流的現象。	例：風搓回南咧，毋知還會落大雨無？(（颱風回南了，不知道還會下大雨嗎？）)			
102	費氣			fui53 ki53		1.麻煩、費事。指為了瑣碎的事勞神費心。　2.糟糕、事態嚴重。	例：衫褲買斯有咧，敢使恁費氣自家做？(（衣服買就有了，何必這麼麻煩自己做？）) 例：細病毋醫，拖到變大病斯費氣咧。(（小病不醫，拖成大病就糟了。）)	麻煩功夫	省事	
103	肺炎			hi53 rham113　又讀fui53 rham113　又讀pui53 rham113		肺部發炎的病症。會出現發燒、發冷、咳嗽、喀痰、胸疼及呼吸困難等症狀，常由細菌、病毒等引起。	例：寒著毋遽遽醫好來，等到變肺炎斯費氣咧。(（感冒不快點醫好，演變成肺炎就麻煩了。）)			
104	火車嫲			fo31 cha33 ma113		1.火車頭。列車最前方牽引的機械車。　2.（貶）老鴇。開設妓院，管理或控制妓女的女人。	例：頭擺个火車嫲係燒石炭个。(（從前的火車頭是燒煤炭的。）) 例：這間細妹間个火車嫲，手指甲真深。(（這間妓女戶的老鴇，抽成抽很兇。）)			hk0000000799-2-3-1
105	火囪			fo31 cung33		火籠。昔日用竹編製之手提火籠，內放陶製火盆，盆內放置木炭，點燃後可取暖。	例：頭擺个老人家一到寒天斯愛炙火囪。(（從前的老人家一到冬天就要用火籠取暖。）)			
106	伙房			fo31 fong113		宗族聚落。	例：土牛个劉屋伙房當有名。(（土牛的劉家聚落很有名。）)			
107	伙房屋			fo31 fong113 vug21		以家族為概念建造的合院式建築，如三合院、四合院等。	例：九二一大地動該下，東勢个伙房屋大勢轉會淨咧！(（九二一大地震時，東勢的伙房式建築差不多倒光了！）)			
108	火油			fo31 rhiu113		花生油。以烘過的花生米榨的油，可供食用或燃燈。	例：用火油炒菜當香、當好食。(（用花生油炒菜很香、很好吃。）)	地豆油		
109	火鉗			fo31 kiam113		夾煤或炭火時所用的鐵鉗子。	例：水滾咧，火毋使恁猛，遽遽用火鉗夾兜火炭出來。(（水開了，火不必這麼旺，快用火鉗夾些炭出來。）)			
110	火炭			fo31 tan53		木炭。是一種將木材密閉於窯中，用火燜薰而成的燃料。或在家中將灶中燒成通紅之柴夾入甕中加蓋冷卻而成。顏色黑、質地硬，也可用來過濾液體和氣體。	例：這下既經當少人用火炭烳茶咧。(（現在已經很少人用木炭燒茶了。）)			
111	歡喜			fan33 hi31		快樂、高興。	例：阿爹看著恁多子孫轉來同佢做生日，心肝肚已歡喜。(（爺爺看見這麼多子孫來幫他慶生，心裡很高興。）)	暢樂暢		
112	苦味			ku31 mui53		1.五味之一。似黃連、膽汁的味道。　2.稍有苦味的。	例：人講有苦味个東西，食了使得退火。(（據說有苦味的東西，吃了可以退火。）) 例：這東西食起來苦味苦味，吞毋落胲。(（這東西吃起來苦苦的，吞不下口。）)	苦篤苦苦		
113	褲腳			ku53 giog21		褲子的最下端部分。	例：這領新褲个褲腳忒長，愛拿去整。(（這條新褲子的褲腳太長，要拿去修改。）)			
114	褲頭			ku53 teu113		褲腰。褲子最上端，位於腰部，用來繫腰帶的部位。	例：褲頭个鈕㪐撇咧，愛安倒轉去。(（褲頭的鈕釦掉了，要縫回去。）)			
115	墳堂			pun113 tong113		墳墓的前庭。	例：墳堂先掃淨來，等下愛排牲儀祭祖。(（墳堂先掃乾淨，等會要擺放牲禮祭祖。）)			
116	紅粄			fung113 ban31		糯米蒸製而成的食品。外觀呈橢圓形，原料加紅色素，攪拌柔軟後以模具壓製花紋，多以龜形為主。餡多用豆沙、花生等。	例：屋家係有添新丁个人，正月半愛打紅粄去廟項敬神。(（家裡若有添新丁的人家，正月半要製作紅粄去廟裡祭拜神明。）)	紅龜粄		
117	紅菜			fung113 coi53		紅鳳菜。一種可食用的菊科植物。葉片正面為深綠色，背面為紫紅色，葉肉厚，水分多。	例：聽講紅菜煮卵酒，食了使得補血。(（聽說紅鳳菜煮蛋酒，吃了可以補血。）)			
118	風神			fung33 shin113		得意，神氣活現的樣子。	例：該個細孲略略同佢褒下，斯風神都耐毋得！(（那個小孩稍稍受到誇獎，就得意得不得了！）)			
119	風圍			fung33 vui113		防風林。	例：田脣種兜風圍，菜正毋會分風打熟。(（田邊種些防風林，菜才不會被風吹壞。）)	竹圍		
120	奉工			fung53 gung33		無酬勞替公家做事。	例：這擺做个事，無拿半點錢，總下奉工。(（這次的工作，沒拿半毛錢，全部無酬替公家做。）)			
121	奉待			fung53 tai53		侍奉。	例：做人子女愛好好奉待爺哀。(（為人子女要好好侍奉父母。）)	服侍		
122	加減		聲母索引/03 大埔/g/a/陰平(1/+/33)	ga33 gam31		或多或少。	落雨天人客少，有生理斯加減賺兜。 下雨天客人少，有生意就多少賺一點。	多少　加加減減　多多少少　幫幫𢯭𢯭		
123	家官			ga33 guan33		公公。丈夫的父親。	例：吾家官係小學先生，這下退休咧。(（我公公是小學老師，現在退休了。）)			
124	耕田人			gang33 tien113 ngin113		農人。	例：耕田人長年透天都無好閒。(（農人一年到頭都没得閒。）)	耕種人農民		
125	耕種人			gang33 zhung53 ngin113		農人。	例：耕種人長在愛看天食飯。(（農人常常要靠天吃飯。）)	耕田人農民		
126	交春			gau33 chun33		立春。國曆二月四日或五日，為春季的開始。	例：交春過後緊落雨，怕會落到清明哦。(（立春過後一直下雨，恐怕要下到清明吧。）)	立春		
127	交關			gau33 guan33		消費、惠顧。	例：該間雜貨店價數實在，當多人同佢交關。(（那家雜貨店價錢公道，很多人去消費。）)			
128	交運			gau33 rhun53		術數用語。指命運轉變。	例：算命仙同佢講，三十歲正會交運。(（命理師跟他說，三十歲才會轉運。）)	上運轉運		
129	交秋			gau33 ciu33		立秋。國曆八月七日或八日，為秋天的開始。	例：交秋過後，天時漸漸轉涼。(（立秋過後，天氣漸漸轉涼。）)	立秋		
130	焿粽			gi33 zung53		鹼粽。一種加入鹼油製成的粽子，呈金黃色，可蘸糖、蜂蜜或醬油食用。	例：吾姆見五月節同七月半都會䌈焿粽來敬神。(（我媽媽每逢端午節和中元節都會包鹼粽來拜拜。）)			
131	髻鬃			gi53 zung33		髮髻。在頭頂或腦後盤成各種形狀的髮式。	例：阿奶手腳當遽，兩下半髻鬃斯紮都靚靚咧。(（奶奶手腳非常俐落，一下子髮髻就盤得漂漂亮亮了。）)	髻		
