音标	调类	调值	辖字
kʰwaj	1	334	咼[實際音]魁[實際音]
tʰwaj	1	334	胎[實際音]
tswaj	1	334	哉[實際音]
pʰwaj	2	113	排[實際音]
bwaj	2	113	排[實際音]
βwaj	2	113	誰[實際音]
tʰwaj	2	113	臺[實際音]
dwaj	2	113	臺[實際音]
nwaj	2	113	來[實際音]
tsʰwaj	4	21	罪[實際音]
dzwaj	4	21	罪[實際音]
kwaj	5	55	怪[實際音]
kan	1	334	間甘[實際音]干
kʰan	1	334	慳看
ʔan	1	334	□[黑頁]𪑸[黑頁]安
xan	1	334	羴頇
pan	1	334	班[實際音]
pʰan	1	334	攀
ʔwan	1	334	灣[實際音]
ɸan	1	334	翻[實際音]飜蕃豩
tan	1	334	丹[實際音]單
tʰan	1	334	灘
tsan	1	334	簪[實際音]籛
tsʰan	1	334	□[實際音]𭆞[實際音]餐
san	1	334	三[實際音]□[月册]𦙽[月册]
t∫an	1	334	㣶
t∫ʰan	1	334	㺗
∫an	1	334	山
ŋan	2	113	顏豻
ɣan	2	113	閑寒
pʰan	2	113	瓣
ban	2	113	瓣
man	2	113	蠻
βan	2	113	還[實際音]煩湲
ɦwan	2	113	頑[實際音]樠
tʰan	2	113	壇
dan	2	113	壇
nan	2	113	難
tsan	2	113	趲
tsʰan	2	113	殘[實際音]
dzan	2	113	殘[實際音]
t∫ʰan	2	113	□[犭耳絲]𤣆[犭耳絲]虥
dʒan	2	113	□[犭耳絲]𤣆[犭耳絲]虥
ȵan	2	113	□[肉犬灬]𤌔[肉犬灬]
lan	2	113	斕蘭
kan	3	41	簡笴
kʰan	3	41	齦侃
ʔan	3	41	軋侒
xan	3	41	罕
pan	3	41	版
pʰan	3	41	盼
ʔwan	3	41	綰
ɸan	3	41	㽹反
tan	3	41	亶
tʰan	3	41	坦
san	3	41	散
t∫an	3	41	醆
t∫ʰan	3	41	㬄剗
∫an	3	41	產
ŋan	4	21	眼
ɣan	4	21	限旱
pʰan	4	21	版
ban	4	21	版
man	4	21	矕
βan	4	21	飯睆
ɦwan	4	21	晚
tʰan	4	21	但
dan	4	21	但
nan	4	21	攤
tsʰan	4	21	瓚
dzan	4	21	瓚
t∫ʰan	4	21	棧
dʒan	4	21	棧
ȵan	4	21	赧
lan	4	21	嬾
kan	5	55	諫旰
kʰan	5	55	侃
ʔan	5	55	晏按
xan	5	55	漢
pan	5	55	扮
pʰan	5	55	襻
ʔwan	5	55	綰
ɸan	5	55	嬎販
tan	5	55	旦
tʰan	5	55	炭
tsan	5	55	贊
tsʰan	5	55	粲
san	5	55	繖
t∫ʰan	5	55	㬄羼
∫an	5	55	訕
ŋan	6	11	雁岸
ɣan	6	11	骭翰
pʰan	6	11	瓣
ban	6	11	瓣
man	6	11	慢
βan	6	11	飯患
ɦwan	6	11	萬
tʰan	6	11	憚
dan	6	11	憚
nan	6	11	攤
tsʰan	6	11	㜺
dzan	6	11	㜺
t∫ʰan	6	11	袒[又作「䘺」「綻」]輚
dʒan	6	11	袒[又作「䘺」「綻」]輚
lan	6	11	爛
kwan	1	334	關
t∫wan	1	334	跧
∫wan	1	334	栓
kʰwan	2	113	䟒
gwan	2	113	䟒
ŋwan	2	113	頑
t∫ʰwan	2	113	□[犭匀]𤜼[犭匀]
dʒwan	2	113	□[犭匀]𤜼[犭匀]
lwan	2	113	□[九嬴]
t∫wan	3	41	蟤
t∫ʰwan	3	41	㦏
t∫ʰwan	4	21	撰
dʒwan	4	21	撰
kwan	5	55	慣
t∫wan	5	55	孨
t∫ʰwan	5	55	篡
∫wan	5	55	□[𥫗䡞]𨏉[𥫗䡞]
kʰwan	6	11	趯
gwan	6	11	趯
ŋwan	6	11	薍
t∫ʰwan	6	11	饌
dʒwan	6	11	饌
ȵwan	6	11	奻
kɒɰ	1	334	高
kʰɒɰ	1	334	尻
ʔɒɰ	1	334	熝
xɒɰ	1	334	蒿
pɒɰ	1	334	褒
pʰɒɰ	1	334	㯱
tɒɰ	1	334	刀
tʰɒɰ	1	334	饕
tsɒɰ	1	334	糟
tsʰɒɰ	1	334	操
sɒɰ	1	334	騷
t∫ɒɰ	1	334	昭[實際音]朝
t∫ʰɒɰ	1	334	超[實際音]怊
∫ɒɰ	1	334	燒[實際音]
ŋɒɰ	2	113	敖
ɣɒɰ	2	113	豪
pʰɒɰ	2	113	袍
bɒɰ	2	113	袍
mɒɰ	2	113	毛
tʰɒɰ	2	113	陶
dɒɰ	2	113	陶
nɒɰ	2	113	猱劳[實際音]
tsʰɒɰ	2	113	曹
dzɒɰ	2	113	曹
t∫ʰɒɰ	2	113	潮[實際音]鼂
dʒɒɰ	2	113	潮[實際音]鼂
ʒɒɰ	2	113	韶[實際音]
lɒɰ	2	113	勞[實際音]
ɹɒɰ	2	113	饒[實際音]
kɒɰ	3	41	暠稿[實際音]
kʰɒɰ	3	41	考
ʔɒɰ	3	41	襖
xɒɰ	3	41	好
pɒɰ	3	41	寶
pʰɒɰ	3	41	皫
tɒɰ	3	41	倒
tʰɒɰ	3	41	討
tsɒɰ	3	41	早
tsʰɒɰ	3	41	草
sɒɰ	3	41	㛮
t∫ɒɰ	3	41	沼[實際音]
t∫ʰɒɰ	3	41	巐□[來酋]
ŋɒɰ	4	21	□[艸午頁]𦽀[艸午頁]
ɣɒɰ	4	21	皓
pʰɒɰ	4	21	抱
bɒɰ	4	21	抱
mɒɰ	4	21	蓩
tʰɒɰ	4	21	道
dɒɰ	4	21	道
nɒɰ	4	21	懊
tsʰɒɰ	4	21	皁
dzɒɰ	4	21	皁
t∫ʰɒɰ	4	21	肇
dʒɒɰ	4	21	肇
lɒɰ	4	21	老
kɒɰ	5	55	誥
kʰɒɰ	5	55	鎬
ʔɒɰ	5	55	奧
xɒɰ	5	55	耗
pɒɰ	5	55	報
pʰɒɰ	5	55	犥
tɒɰ	5	55	到
tʰɒɰ	5	55	韜
tsɒɰ	5	55	竈
tsʰɒɰ	5	55	操
sɒɰ	5	55	喿
t∫ɒɰ	5	55	昭
t∫ʰɒɰ	5	55	超覞
kʰɒɰ	6	11	櫭
gɒɰ	6	11	櫭
ŋɒɰ	6	11	傲
ɣɒɰ	6	11	号
pʰɒɰ	6	11	暴
bɒɰ	6	11	暴
mɒɰ	6	11	□[忄冒]𢝌[忄冒]
tʰɒɰ	6	11	導
dɒɰ	6	11	導
nɒɰ	6	11	腝
tsʰɒɰ	6	11	漕
dzɒɰ	6	11	漕
t∫ʰɒɰ	6	11	召
dʒɒɰ	6	11	召
lɒɰ	6	11	嫪
kjɒɰ	1	334	驕
kʰjɒɰ	1	334	趫
ʔjɒɰ	1	334	妖
xjɒɰ	1	334	嚻
pjɒɰ	1	334	鑣
tjɒɰ	1	334	貂[實際音]
tʰjɒɰ	1	334	挑[實際音]
tsjɒɰ	1	334	焦[實際音]
sjɒɰ	1	334	蕭
kʰjɒɰ	2	113	喬
gjɒɰ	2	113	喬
ɣjɒɰ	2	113	爻[實際音]
ɦjɒɰ	2	113	遙
pʰjɒɰ	2	113	漉
bjɒɰ	2	113	漉
mjɒɰ	2	113	苗
tʰjɒɰ	2	113	迢[實際音]
djɒɰ	2	113	迢[實際音]
njɒɰ	2	113	嬈[實際音]
tsʰjɒɰ	2	113	樵[實際音]
dzjɒɰ	2	113	樵[實際音]
t∫ʰjɒɰ	2	113	潮[實際音]
dʒjɒɰ	2	113	潮[實際音]
ʒjɒɰ	2	113	韶
ljɒɰ	2	113	燎
ɹjɒɰ	2	113	饒
kjɒɰ	3	41	矯
kʰjɒɰ	3	41	槁
ʔjɒɰ	3	41	夭
pjɒɰ	3	41	表
pʰjɒɰ	3	41	麃
tsjɒɰ	3	41	勦[實際音]
sjɒɰ	3	41	小[實際音]
kʰjɒɰ	4	21	□[長喬]𨲭[長喬]
gjɒɰ	4	21	□[長喬]𨲭[長喬]
pʰjɒɰ	4	21	藨
bjɒɰ	4	21	藨
ʒjɒɰ	4	21	紹
ljɒɰ	4	21	繚
ɹjɒɰ	4	21	擾
kjɒɰ	5	55	驕
kʰjɒɰ	5	55	趫
pjɒɰ	5	55	裱
tjɒɰ	5	55	吊[實際音]
tʰjɒɰ	5	55	糶[實際音]
tsjɒɰ	5	55	醮
sjɒɰ	5	55	笑
kʰjɒɰ	6	11	嶠
gjɒɰ	6	11	嶠
ŋjɒɰ	6	11	□[虛亢]𧇠[虛亢]
mjɒɰ	6	11	廟
tʰjɒɰ	6	11	籊[實際音]
djɒɰ	6	11	籊[實際音]
njɒɰ	6	11	尿[實際音]
ʒjɒɰ	6	11	邵
ljɒɰ	6	11	尞
ɹjɒɰ	6	11	饒
kɒŋ	1	334	岡
kʰɒŋ	1	334	康
ʔɒŋ	1	334	鴦
xɒŋ	1	334	炕
pɒŋ	1	334	幫
pʰɒŋ	1	334	滂
ʔwɒŋ	1	334	汪[實際音]
ɸɒŋ	1	334	芳方荒
tɒŋ	1	334	當
tʰɒŋ	1	334	湯
tsɒŋ	1	334	臧
tsʰɒŋ	1	334	倉
sɒŋ	1	334	桑
t∫ɒŋ	1	334	張[實際音]章[實際音]
t∫ʰɒŋ	1	334	昌[實際音]
∫ɒŋ	1	334	商[實際音]
ŋɒŋ	2	113	卬
ɣɒŋ	2	113	航
pʰɒŋ	2	113	傍
bɒŋ	2	113	傍
mɒŋ	2	113	茫
βɒŋ	2	113	房黃
ɦwɒŋ	2	113	王亡
tʰɒŋ	2	113	堂
dɒŋ	2	113	堂
nɒŋ	2	113	唐
tsʰɒŋ	2	113	藏
dzɒŋ	2	113	藏
t∫ʰɒŋ	2	113	長[實際音]
dʒɒŋ	2	113	長[實際音]
ʒɒŋ	2	113	裳[實際音]
ȵɒŋ	2	113	娘[實際音]
lɒŋ	2	113	郎
ɹɒŋ	2	113	穰[實際音]
kɒŋ	3	41	䴚
kʰɒŋ	3	41	慷
ʔɒŋ	3	41	坱
xɒŋ	3	41	汻
pɒŋ	3	41	榜
pʰɒŋ	3	41	髈
ʔwɒŋ	3	41	徃[實際音]往[實際音]㳹忹
ɸɒŋ	3	41	髣眆慌怳
tɒŋ	3	41	黨
tʰɒŋ	3	41	矘
tsɒŋ	3	41	駔
tsʰɒŋ	3	41	蒼
sɒŋ	3	41	顙
t∫ɒŋ	3	41	長[實際音]
t∫ʰɒŋ	3	41	昶[實際音]
ŋɒŋ	4	21	駠
ɣɒŋ	4	21	沆
mɒŋ	4	21	莽
βɒŋ	4	21	晃
ɦwɒŋ	4	21	网往
tʰɒŋ	4	21	蕩
dɒŋ	4	21	蕩
nɒŋ	4	21	曩
tsʰɒŋ	4	21	奘
dzɒŋ	4	21	奘
t∫ʰɒŋ	4	21	丈[實際音]
dʒɒŋ	4	21	丈[實際音]
lɒŋ	4	21	朗
kɒŋ	5	55	鋼
kʰɒŋ	5	55	抗
ʔɒŋ	5	55	盎
pɒŋ	5	55	螃
pʰɒŋ	5	55	□[月放]𦜍[月放]
ʔwɒŋ	5	55	望汪
ɸɒŋ	5	55	訪放荒況
tɒŋ	5	55	讜
tʰɒŋ	5	55	儻
tsɒŋ	5	55	葬
tsʰɒŋ	5	55	䅮
sɒŋ	5	55	喪
t∫ɒŋ	5	55	帳[實際音]
t∫ʰɒŋ	5	55	悵[實際音]
ŋɒŋ	6	11	枊
ɣɒŋ	6	11	吭
pʰɒŋ	6	11	傍
bɒŋ	6	11	傍
mɒŋ	6	11	漭
βɒŋ	6	11	防攩
ɦwɒŋ	6	11	妄迋
tʰɒŋ	6	11	宕
dɒŋ	6	11	宕
nɒŋ	6	11	儾
tsʰɒŋ	6	11	藏
dzɒŋ	6	11	藏
t∫ʰɒŋ	6	11	仗[實際音]
dʒɒŋ	6	11	仗[實際音]
ȵɒŋ	6	11	釀
lɒŋ	6	11	浪
kwɒŋ	1	334	光□[忄㞷]𢚇[忄㞷]
kʰwɒŋ	1	334	䯑匡
twɒŋ	1	334	當
kʰwɒŋ	2	113	狂
gwɒŋ	2	113	狂
kwɒŋ	3	41	廣獷
kʰwɒŋ	3	41	懬恇
kʰwɒŋ	4	21	俇
gwɒŋ	4	21	俇
kwɒŋ	5	55	桄誑
kʰwɒŋ	5	55	曠□[月匡]𦚞[月匡]
kʰwɒŋ	6	11	狂
gwɒŋ	6	11	狂
βwɒŋ	6	11	防
ɦwwɒŋ	6	11	妄
kjɒŋ	1	334	薑
kʰjɒŋ	1	334	羌
ʔjɒŋ	1	334	央
xjɒŋ	1	334	香
tsjɒŋ	1	334	將
tsʰjɒŋ	1	334	瑲
sjɒŋ	1	334	襄
kʰjɒŋ	2	113	強
gjɒŋ	2	113	強
ŋjɒŋ	2	113	卬
ɦjɒŋ	2	113	陽
njɒŋ	2	113	良
tsʰjɒŋ	2	113	牆
dzjɒŋ	2	113	牆
zjɒŋ	2	113	詳
ljɒŋ	2	113	良
kjɒŋ	3	41	繦
kʰjɒŋ	3	41	□[石羌]𥓌[石羌]
ʔjɒŋ	3	41	鞅
xjɒŋ	3	41	響
tsjɒŋ	3	41	獎
tsʰjɒŋ	3	41	搶
sjɒŋ	3	41	想
kʰjɒŋ	4	21	勥
gjɒŋ	4	21	勥
ŋjɒŋ	4	21	仰
ɦjɒŋ	4	21	養
tsʰjɒŋ	4	21	䉃
dzjɒŋ	4	21	䉃
zjɒŋ	4	21	像
ljɒŋ	4	21	兩
kjɒŋ	5	55	疆
kʰjɒŋ	5	55	羌
ʔjɒŋ	5	55	怏
xjɒŋ	5	55	向
tsjɒŋ	5	55	醬
tsʰjɒŋ	5	55	蹡
sjɒŋ	5	55	相
kʰjɒŋ	6	11	弶
gjɒŋ	6	11	弶
ŋjɒŋ	6	11	□[車卬]𨋕[車卬]
ɦjɒŋ	6	11	漾
tsʰjɒŋ	6	11	匠
dzjɒŋ	6	11	匠
ljɒŋ	6	11	亮
t∫wjɒŋ	1	334	莊[實際音]
t∫ʰwjɒŋ	1	334	創
∫wjɒŋ	1	334	霜
t∫ʰwjɒŋ	2	113	牀
dʒwjɒŋ	2	113	牀
t∫wjɒŋ	3	41	□[忄壯]𢙳[忄壯]
t∫ʰwjɒŋ	3	41	磢
∫wjɒŋ	3	41	爽[實際音]
t∫wjɒŋ	5	55	壯
t∫ʰwjɒŋ	5	55	剏
∫wjɒŋ	5	55	霜
t∫ʰwjɒŋ	6	11	狀
dʒwjɒŋ	6	11	狀
kaʔ	7	4	□[薛鳥]𪈟[薛鳥]
kʰaʔ	7	4	□[竹木葛]𥴭[竹木葛]
ʔaʔ	7	4	軋
xaʔ	7	4	瞎
paʔ	7	4	捌
pʰaʔ	7	4	汃
ɸaʔ	7	4	㤄髪
taʔ	7	4	怛
tʰaʔ	7	4	闥
tsaʔ	7	4	䰖
tsʰaʔ	7	4	擦
saʔ	7	4	躠
t∫aʔ	7	4	𠹗札
t∫ʰaʔ	7	4	獺殺
∫aʔ	7	4	殺
ŋaʔ	8	5	䀨
ɣaʔ	8	5	黠
pʰaʔ	8	5	拔
baʔ	8	5	拔
maʔ	8	5	㑻
βaʔ	8	5	伐
ɦwaʔ	8	5	韈
tʰaʔ	8	5	達
daʔ	8	5	達
naʔ	8	5	捺
tsʰaʔ	8	5	巀
dzaʔ	8	5	巀
t∫ʰaʔ	8	5	噠𨰉
dʒaʔ	8	5	噠𨰉
ȵaʔ	8	5	痆
laʔ	8	5	剌
ɹaʔ	8	5	□[髟背]𩭿[髟背]
kwaʔ	7	4	劀刮[實際音]
kʰwaʔ	7	4	䯇
ʔwaʔ	7	4	婠
xwaʔ	7	4	聒
t∫waʔ	7	4	鵽
t∫ʰwaʔ	7	4	䫄茁
dʒwaʔ	7	4	䵵
∫waʔ	7	4	刷
ŋwaʔ	8	5	刖
ɣwaʔ	8	5	頢
ȵwaʔ	8	5	妠
xje	1	334	苛
tje	1	334	爹
tsje	1	334	嗟
tsʰje	1	334	□[石虘]𥕑[石虘]
sje	1	334	些
t∫je	1	334	遮[實際音]
t∫ʰje	1	334	車[實際音]
ɦje	2	113	耶
mje	2	113	□[口芋]𭇻[口芋]
nje	2	113	□[月吅里]𦡃[月吅里]
tsʰje	2	113	㚗
dzje	2	113	㚗
zje	2	113	衺
tsje	3	41	姐
tsʰje	3	41	且
sje	3	41	寫
ɦje	4	21	野
mje	4	21	乜
tje	4	21	哆
tsʰje	4	21	姐
dzje	4	21	姐
zje	4	21	灺
kʰje	5	55	㰤
tsje	5	55	唶
tsʰje	5	55	笡
sje	5	55	蝑
ɦje	6	11	夜
tsʰje	6	11	褯
dzje	6	11	褯
zje	6	11	謝
kjen	1	334	甄堅[實際音]
kʰjen	1	334	牽
ʔjen	1	334	煙
xjen	1	334	祆
pjen	1	334	鞭
pʰjen	1	334	篇
ʔwjen	1	334	淵[實際音]𡣬[娟]
ɸjen	1	334	萱[實際音]暄
tjen	1	334	顛
tʰjen	1	334	天
tsjen	1	334	箋
tsʰjen	1	334	千
sjen	1	334	仙
t∫jen	1	334	餰
t∫ʰjen	1	334	脠[實際音]
ȵjen	1	334	拈[實際音]
kʰjen	2	113	乾[實際音]
gjen	2	113	乾[實際音]
ɣjen	2	113	賢
ɦjen	2	113	延
pʰjen	2	113	便
bjen	2	113	便
mjen	2	113	眠
βjen	2	113	懸[實際音]
ɦwjen	2	113	員[實際音]
tʰjen	2	113	田
djen	2	113	田
njen	2	113	年連[實際音]
tsʰjen	2	113	前
dzjen	2	113	前
zjen	2	113	㳄
t∫ʰjen	2	113	纏[實際音]
dʒjen	2	113	纏[實際音]
ʒjen	2	113	蟬
ljen	2	113	蓮
ɹjen	2	113	然
kjen	3	41	繭
kʰjen	3	41	遣
ʔjen	3	41	蝘
xjen	3	41	顯
pjen	3	41	褊
pʰjen	3	41	萹
ʔwjen	3	41	遠[實際音]宛
ɸjen	3	41	□[目恆]
tjen	3	41	典
tʰjen	3	41	腆
tsjen	3	41	剪
tsʰjen	3	41	淺
sjen	3	41	獮
t∫jen	3	41	展[實際音]
ŋjen	4	21	□[齒欠]𮯀[齒欠]
ɣjen	4	21	峴
ɦjen	4	21	演
mjen	4	21	緬
ɦwjen	4	21	遠
tʰjen	4	21	殄
djen	4	21	殄
njen	4	21	撚
tsʰjen	4	21	踐
dzjen	4	21	踐
zjen	4	21	□[絲羨]𦆀[絲羨]
kjen	5	55	見
kʰjen	5	55	譴
ʔjen	5	55	宴
xjen	5	55	韅
pjen	5	55	徧
pʰjen	5	55	鶣
ʔwjen	5	55	怨[實際音]
ɸjen	5	55	楦
tjen	5	55	殿
tʰjen	5	55	瑱
tsjen	5	55	箭
tsʰjen	5	55	蒨
sjen	5	55	霰
t∫jen	5	55	戰[實際音]
ŋjen	6	11	硯
ɣjen	6	11	見
ɦjen	6	11	衍
pʰjen	6	11	便
bjen	6	11	便
mjen	6	11	麫
ɦwjen	6	11	瑗
tʰjen	6	11	電
djen	6	11	電
njen	6	11	睍
tsʰjen	6	11	賤
dzjen	6	11	賤
zjen	6	11	羨
ljen	6	11	練
kwjen	1	334	勬專[實際音]
kʰwjen	1	334	弮
tswjen	1	334	鐫
tsʰwjen	1	334	詮
swjen	1	334	宣
t∫wjen	1	334	□[九雚]𡰝[九雚]專
t∫ʰwjen	1	334	猭穿
kʰwjen	2	113	權
gwjen	2	113	權
ŋwjen	2	113	元
tsʰwjen	2	113	全
dzwjen	2	113	全
zwjen	2	113	旋
t∫ʰwjen	2	113	椽船
dʒwjen	2	113	椽船
ʒwjen	2	113	遄
lwjen	2	113	攣
ɹwjen	2	113	堧
kwjen	3	41	卷
kʰwjen	3	41	棬
twjen	3	41	典[實際音]
swjen	3	41	選
t∫wjen	3	41	轉剸
t∫ʰwjen	3	41	腞舛
kʰwjen	4	21	圈
gwjen	4	21	圈
ŋwjen	4	21	阮
t∫ʰwjen	4	21	篆
dʒwjen	4	21	篆
ʒwjen	4	21	膞
ȵwjen	4	21	䞂
lwjen	4	21	臠
ɹwjen	4	21	輭
kwjen	5	55	眷
kʰwjen	5	55	□[祟巴]𥛁[祟巴]
tswjen	5	55	恮
tsʰwjen	5	55	縓
t∫wjen	5	55	囀剸
t∫ʰwjen	5	55	猭釧
∫wjen	5	55	縳
kʰwjen	6	11	倦
gwjen	6	11	倦
ŋwjen	6	11	願
tsʰwjen	6	11	泉
dzwjen	6	11	泉
t∫ʰwjen	6	11	傳
dʒwjen	6	11	傳
ʒwjen	6	11	□[扌十日山]𢰁[扌十日山]
lwjen	6	11	戀
ɹwjen	6	11	□[田耎]𤲬[田耎]
keʔ	7	4	裓扢
kʰeʔ	7	4	刻
ʔeʔ	7	4	餩
xeʔ	7	4	黑
peʔ	7	4	北
pʰeʔ	7	4	覆
teʔ	7	4	德
tʰeʔ	7	4	忒
tseʔ	7	4	則
tsʰeʔ	7	4	墄
seʔ	7	4	塞
ŋeʔ	8	5	□[牙豈]𤘑[牙豈]
ɣeʔ	8	5	劾麧
pʰeʔ	8	5	菔
beʔ	8	5	菔
meʔ	8	5	墨
tʰeʔ	8	5	特
deʔ	8	5	特
neʔ	8	5	䘅
tsʰeʔ	8	5	賊
dzeʔ	8	5	賊
kjeʔ	7	4	結孑
kʰjeʔ	7	4	猰朅
ʔjeʔ	7	4	噎䋵
xjeʔ	7	4	娎□[大旨]𡘐[大旨]
pjeʔ	7	4	鷩䇷
pʰjeʔ	7	4	撆
tjeʔ	7	4	窒
tʰjeʔ	7	4	鐵
tsjeʔ	7	4	節
tsʰjeʔ	7	4	切
sjeʔ	7	4	屑
t∫jeʔ	7	4	哲折[實際音]晢
t∫ʰjeʔ	7	4	屮掣
∫jeʔ	7	4	設
kʰjeʔ	8	5	傑
gjeʔ	8	5	傑
ŋjeʔ	8	5	齧孽
ɣjeʔ	8	5	纈紇
ɦjeʔ	8	5	枻
pʰjeʔ	8	5	蹩別
bjeʔ	8	5	蹩別
mjeʔ	8	5	蔑
tʰjeʔ	8	5	姪
djeʔ	8	5	姪
njeʔ	8	5	涅
tsʰjeʔ	8	5	截
dzjeʔ	8	5	截
t∫ʰjeʔ	8	5	轍舌
dʒjeʔ	8	5	轍舌
ljeʔ	8	5	劣列
ɹjeʔ	8	5	熱
kwjeʔ	7	4	蹶
kʰwjeʔ	7	4	闕
ʔwjeʔ	7	4	噦
xwjeʔ	7	4	旻
t∫wjeʔ	7	4	鵽拙
t∫ʰwjeʔ	7	4	䫄歠
∫wjeʔ	7	4	說
kʰwjeʔ	8	5	□[叕豕]𧱝[叕豕]
gwjeʔ	8	5	□[叕豕]𧱝[叕豕]
ŋwjeʔ	8	5	月
ɦwjeʔ	8	5	越
ʒwjeʔ	8	5	啜
ȵwjeʔ	8	5	妠
lwjeʔ	8	5	劣
