字目	读音	注释	声母	声母(原)	韵母	声调	声调（调类)	(声母)
呢	ni22		n	n	i	22	1	n
泥	ni44		n	n	i	44	2	n
尼	ni44		n	n	i	44	2	n
呢	ni44		n	n	i	44	2	n
年	ni44		n	n	i	44	2	n
妮	ni44		n	n	i	44	2	n
女	ni53		n	n	i	53	3	n
你	ni53		n	n	i	53	3	n
染	ni53		n	n	i	53	3	n
彌	ni53		n	n	i	53	3	n
儞	ni53		n	n	i	53	3	n
弭	ni53		n	n	i	53	3	n
膩	ni213		n	n	i	213	4	n
紫	tsi53		ts	ts	i	53	3	ts
只	tsi53		ts	ts	i	53	3	ts
姊	tsi53		ts	ts	i	53	3	ts
旨	tsi53		ts	ts	i	53	3	ts
指	tsi53		ts	ts	i	53	3	ts
止	tsi53		ts	ts	i	53	3	ts
址	tsi53		ts	ts	i	53	3	ts
趾	tsi53		ts	ts	i	53	3	ts
子	tsi53		ts	ts	i	53	3	ts
籽	tsi53		ts	ts	i	53	3	ts
芷	tsi53		ts	ts	i	53	3	ts
舐	tsi213		ts	ts	i	213	4	ts
祭	tsi21		ts	ts	i	21	5	ts
制	tsi21		ts	ts	i	21	5	ts
至	tsi21		ts	ts	i	21	5	ts
志	tsi21		ts	ts	i	21	5	ts
際	tsi21		ts	ts	i	21	5	ts
濟	tsi21		ts	ts	i	21	5	ts
劑	tsi21		ts	ts	i	21	5	ts
妻	tsʰi22		tsʰ	tsʰ	i	22	1	tsʰ
棲	tsʰi22		tsʰ	tsʰ	i	22	1	tsʰ
凄	tsʰi22		tsʰ	tsʰ	i	22	1	tsʰ
癡	tsʰi22		tsʰ	tsʰ	i	22	1	tsʰ
弛	tsʰi44		tsʰ	tsʰ	i	44	2	tsʰ
齊	tsʰi44		tsʰ	tsʰ	i	44	2	tsʰ
馳	tsʰi44		tsʰ	tsʰ	i	44	2	tsʰ
遲	tsʰi44		tsʰ	tsʰ	i	44	2	tsʰ
恥	tsʰi53		tsʰ	tsʰ	i	53	3	tsʰ
侈	tsʰi53		tsʰ	tsʰ	i	53	3	tsʰ
市	tsʰi213		tsʰ	tsʰ	i	213	4	tsʰ
刺	tsʰi21		tsʰ	tsʰ	i	21	5	tsʰ
翅	tsʰi21	鱼～	tsʰ	tsʰ	i	21	5	tsʰ
試	tsʰi21		tsʰ	tsʰ	i	21	5	tsʰ
飼	tsʰi42		tsʰ	tsʰ	i	42	6	tsʰ
兒	dzi44		dz	dz	i	44	2	dz
二	dzi213	文	dz	dz	i	213	4	dz
贰	dzi213		dz	dz	i	213	4	dz
二	dzi42	用于排行：老～	dz	dz	i	42	6	dz
字	dzi42		dz	dz	i	42	6	dz
西	si22		s	s	i	22	1	s
撕	si22		s	s	i	22	1	s
施	si22		s	s	i	22	1	s
私	si22	家～（家具）	s	s	i	22	1	s
尸	si22		s	s	i	22	1	s
司	si22		s	s	i	22	1	s
屍	si22		s	s	i	22	1	s
絲	si22		s	s	i	22	1	s
詩	si22		s	s	i	22	1	s
俬	si22	民间常见的异体字，如：傢俬城	s	s	i	22	1	s
匙	si44		s	s	i	44	2	s
辭	si44		s	s	i	44	2	s
時	si44		s	s	i	44	2	s
矢	si53		s	s	i	53	3	s
始	si53		s	s	i	53	3	s
是	si213		s	s	i	213	4	s
視	si213		s	s	i	213	4	s
世	si21		s	s	i	21	5	s
死	si21		s	s	i	21	5	s
四	si21		s	s	i	21	5	s
肆	si21		s	s	i	21	5	s
勢	si21		s	s	i	21	5	s
誓	si42		s	s	i	42	6	s
逝	si42		s	s	i	42	6	s
豉	si42		s	s	i	42	6	s
示	si42		s	s	i	42	6	s
支	ki22		k	k	i	22	1	k
枝	ki22		k	k	i	22	1	k
奇	ki22		k	k	i	22	1	k
肌	ki22		k	k	i	22	1	k
几	ki22		k	k	i	22	1	k
基	ki22		k	k	i	22	1	k
箕	ki22		k	k	i	22	1	k
姬	ki22		k	k	i	22	1	k
机	ki22		k	k	i	22	1	k
饑	ki22		k	k	i	22	1	k
幾	ki22		k	k	i	22	1	k
機	ki22		k	k	i	22	1	k
乩	ki22		k	k	i	22	1	k
叽	ki22		k	k	i	22	1	k
吱	ki22		k	k	i	22	1	k
岐	ki22		k	k	i	22	1	k
嵇	ki22		k	k	i	22	1	k
讥	ki22		k	k	i	22	1	k
棋	ki44		k	k	i	44	2	k
旗	ki44		k	k	i	44	2	k
棊	ki44		k	k	i	44	2	k
指	ki53		k	k	i	53	3	k
几	ki53		k	k	i	53	3	k
己	ki53		k	k	i	53	3	k
杞	ki53		k	k	i	53	3	k
幾	ki53		k	k	i	53	3	k
紀	ki53		k	k	i	53	3	k
記	ki53		k	k	i	53	3	k
稽	ki213		k	k	i	213	4	k
忌	ki213		k	k	i	213	4	k
伎	ki213		k	k	i	213	4	k
技	ki213		k	k	i	213	4	k
妓	ki213		k	k	i	213	4	k
冀	ki21		k	k	i	21	5	k
痣	ki21		k	k	i	21	5	k
既	ki21	又	k	k	i	21	5	k
繼	ki21		k	k	i	21	5	k
忌	ki42	又音，意同kʰi6，用于“做～”一词	k	k	i	42	6	k
己	ki42	ka1～：自己	k	k	i	42	6	k
崎	kʰi22	文	kʰ	kʰ	i	22	1	kʰ
欺	kʰi22		kʰ	kʰ	i	22	1	kʰ
奚	kʰi44	姓	kʰ	kʰ	i	44	2	kʰ
奇	kʰi44		kʰ	kʰ	i	44	2	kʰ
祈	kʰi44		kʰ	kʰ	i	44	2	kʰ
祁	kʰi44		kʰ	kʰ	i	44	2	kʰ
其	kʰi44		kʰ	kʰ	i	44	2	kʰ
期	kʰi44		kʰ	kʰ	i	44	2	kʰ
丌	kʰi44		kʰ	kʰ	i	44	2	kʰ
亓	kʰi44		kʰ	kʰ	i	44	2	kʰ
俟	kʰi44		kʰ	kʰ	i	44	2	kʰ
岐	kʰi44		kʰ	kʰ	i	44	2	kʰ
淇	kʰi44		kʰ	kʰ	i	44	2	kʰ
麒	kʰi44		kʰ	kʰ	i	44	2	kʰ
歧	kʰi44		kʰ	kʰ	i	44	2	kʰ
畸	kʰi44		kʰ	kʰ	i	44	2	kʰ
芪	kʰi44		kʰ	kʰ	i	44	2	kʰ
起	kʰi53		kʰ	kʰ	i	53	3	kʰ
啟	kʰi53		kʰ	kʰ	i	53	3	kʰ
齒	kʰi53		kʰ	kʰ	i	53	3	kʰ
豈	kʰi53		kʰ	kʰ	i	53	3	kʰ
啓	kʰi53		kʰ	kʰ	i	53	3	kʰ
器	kʰi21		kʰ	kʰ	i	21	5	kʰ
棄	kʰi21		kʰ	kʰ	i	21	5	kʰ
氣	kʰi21		kʰ	kʰ	i	21	5	kʰ
亟	kʰi21	屡次	kʰ	kʰ	i	21	5	kʰ
汽	kʰi21		kʰ	kʰ	i	21	5	kʰ
忌	kʰi42	做忌，一种纪念先祖的祭祀活动	kʰ	kʰ	i	42	6	kʰ
疑	gi44		g	g	i	44	2	g
宜	ŋi44		ŋ	ŋ	i	44	2	ŋ
儀	ŋi44		ŋ	ŋ	i	44	2	ŋ
擬	ŋi53		ŋ	ŋ	i	53	3	ŋ
蟻	ŋi53	文	ŋ	ŋ	i	53	3	ŋ
毅	ŋi213		ŋ	ŋ	i	213	4	ŋ
義	ŋi213		ŋ	ŋ	i	213	4	ŋ
誼	ŋi21		ŋ	ŋ	i	21	5	ŋ
院	ŋi42		ŋ	ŋ	i	42	6	ŋ
硯	ŋi42		ŋ	ŋ	i	42	6	ŋ
兮	hi22		h	h	i	22	1	h
稀	hi22		h	h	i	22	1	h
希	hi22		h	h	i	22	1	h
嬉	hi22		h	h	i	22	1	h
嘻	hi22		h	h	i	22	1	h
禧	hi22		h	h	i	22	1	h
熹	hi22		h	h	i	22	1	h
熙	hi22		h	h	i	22	1	h
攜	hi22		h	h	i	22	1	h
犧	hi22		h	h	i	22	1	h
俙	hi22		h	h	i	22	1	h
烯	hi22		h	h	i	22	1	h
奚	hi44	文	h	h	i	44	2	h
喜	hi53		h	h	i	53	3	h
係	hi213		h	h	i	213	4	h
曳	hi213		h	h	i	213	4	h
戲	hi21		h	h	i	21	5	h
于	i22	终～			i	22	1	〇
伊	i22				i	22	1	〇
依	i22				i	22	1	〇
衣	i22				i	22	1	〇
於	i22				i	22	1	〇
移	i44				i	44	2	〇
姨	i44				i	44	2	〇
夷	i44				i	44	2	〇
怡	i44				i	44	2	〇
貽	i44				i	44	2	〇
胰	i44				i	44	2	〇
易	i213				i	213	4	〇
肄	i213				i	213	4	〇
異	i213				i	213	4	〇
懿	i21				i	21	5	〇
勩	i21				i	21	5	〇
意	i21				i	21	5	〇
矣	i42				i	42	6	〇
□	pa22	～脊（背部）	p	p	a	22	1	p
巴	pa22		p	p	a	22	1	p
芭	pa22		p	p	a	22	1	p
笆	pa22		p	p	a	22	1	p
爸	pa22		p	p	a	22	1	p
疤	pa22		p	p	a	22	1	p
□	pa22	一～面（一块面饼）	p	p	a	22	1	p
吧	pa22		p	p	a	22	1	p
爸	pa44	口	p	p	a	44	2	p
背	pa44	动词，背重物	p	p	a	44	2	p
把	pa53		p	p	a	53	3	p
飽	pa53		p	p	a	53	3	p
罷	pa213		p	p	a	213	4	p
霸	pa21		p	p	a	21	5	p
豹	pa21		p	p	a	21	5	p
壩	pa21		p	p	a	21	5	p
泡	pʰa213		pʰ	pʰ	a	213	4	pʰ
爬	ba21	口	b	b	a	21	5	b
龅	ba21	～牙	b	b	a	21	5	b
媽	ma22	母亲	m	m	a	22	1	m
馬	ma22	～虎（此处“虎”读hu1）	m	m	a	22	1	m
嗎	ma22		m	m	a	22	1	m
媽	ma44	口	m	m	a	44	2	m
媽	ma53	祖母	m	m	a	53	3	m
馬	ma53	～上	m	m	a	53	3	m
瑪	ma53		m	m	a	53	3	m
螞	ma53		m	m	a	53	3	m
□	ma21	～起（明天）	m	m	a	21	5	m
焦	ta22	白：干燥	t	t	a	22	1	t
灱	ta22		t	t	a	22	1	t
禾	ta44		t	t	a	44	2	t
打	ta53	～扰	t	t	a	53	3	t
罩	ta21	白：maŋ53～（蚊帐）	t	t	a	21	5	t
他	tʰa22		tʰ	tʰ	a	22	1	tʰ
拕	tʰa22		tʰ	tʰ	a	22	1	tʰ
它	tʰa22		tʰ	tʰ	a	22	1	tʰ
她	tʰa22		tʰ	tʰ	a	22	1	tʰ
拉	la22		l	l	a	22	1	l
垃	la22	文，～kʰip7（垃圾，又音）	l	l	a	22	1	l
啦	la22		l	l	a	22	1	l
朥	la44	猪油	l	l	a	44	2	l
膋	la44	猪油	l	l	a	44	2	l
哪	la44	又，～吒	l	l	a	44	2	l
拉	la44	白，～屎	l	l	a	44	2	l
若	na22	～是（如果）	n	n	a	22	1	n
嘛	na22		n	n	a	22	1	n
南	na44	～无	n	n	a	44	2	n
林	na44	乡名用字	n	n	a	44	2	n
藍	na44	姓	n	n	a	44	2	n
籃	na44		n	n	a	44	2	n
哪	na53		n	n	a	53	3	n
那	na53	～里，姓	n	n	a	53	3	n
拿	na53		n	n	a	53	3	n
欖	na53		n	n	a	53	3	n
那	na21	～哥，一种多刺的鱼	n	n	a	21	5	n
楂	tsa22		ts	ts	a	22	1	ts
查	tsa22	姓	ts	ts	a	22	1	ts
渣	tsa22		ts	ts	a	22	1	ts
嗟	tsa22	又	ts	ts	a	22	1	ts
吒	tsa22		ts	ts	a	22	1	ts
偺	tsa22		ts	ts	a	22	1	ts
早	tsa53		ts	ts	a	53	3	ts
昔	tsa53	训	ts	ts	a	53	3	ts
榨	tsa21		ts	ts	a	21	5	ts
炸	tsa21		ts	ts	a	21	5	ts
詐	tsa21	～骗，欺～	ts	ts	a	21	5	ts
乍	tsa21		ts	ts	a	21	5	ts
□	tsa42	～～叫，被冷水冲过的寒意	ts	ts	a	42	6	ts
差	tsʰa22	～评，～绌（差距）	tsʰ	tsʰ	a	22	1	tsʰ
柴	tsʰa44		tsʰ	tsʰ	a	44	2	tsʰ
樵	tsʰa44		tsʰ	tsʰ	a	44	2	tsʰ
炒	tsʰa53		tsʰ	tsʰ	a	53	3	tsʰ
仯	tsʰa21	惊悚	tsʰ	tsʰ	a	21	5	tsʰ
沙	sa22	～茶	s	s	a	22	1	s
抓	sa22	训	s	s	a	22	1	s
傻	sa213		s	s	a	213	4	s
啥	sa213		s	s	a	213	4	s
灑	sa21	又	s	s	a	21	5	s
家	ka22	训，家自	k	k	a	22	1	k
咳	ka22	～嗽	k	k	a	22	1	k
交	ka22	白：～留（掉落）；～丙坛村	k	k	a	22	1	k
膠	ka22		k	k	a	22	1	k
鉸	ka22		k	k	a	22	1	k
囫	ka22	训。～囵，整个	k	k	a	22	1	k
絞	ka53		k	k	a	53	3	k
攪	ka53		k	k	a	53	3	k
咬	ka213	叮咬；啃咬	k	k	a	213	4	k
教	ka21		k	k	a	21	5	k
滘	ka21		k	k	a	21	5	k
窖	ka21		k	k	a	21	5	k
校	ka21		k	k	a	21	5	k
較	ka21		k	k	a	21	5	k
尻	kʰa22		kʰ	kʰ	a	22	1	kʰ
骹	kʰa22		kʰ	kʰ	a	22	1	kʰ
巧	kʰa53		kʰ	kʰ	a	53	3	kʰ
卡	kʰa53		kʰ	kʰ	a	53	3	kʰ
敲	kʰa21		kʰ	kʰ	a	21	5	kʰ
扣	kʰa21	又，～掉	kʰ	kʰ	a	21	5	kʰ
愚	ŋa21	口语音，傻	ŋ	ŋ	a	21	5	ŋ
戇	ŋa21	训，蠢	ŋ	ŋ	a	21	5	ŋ
孝	ha21	白	h	h	a	21	5	h
阿	a22				a	22	1	〇
鴉	a22	乌～			a	22	1	〇
亞	a22				a	22	1	〇
吖	a22				a	22	1	〇
啊	a22				a	22	1	〇
婭	a22				a	22	1	〇
拗	a53	～断			a	53	3	〇
也	a22	白，～是			a	22	1	〇
名	mia44		m	m	ia	44	2	m
命	mia42	白	m	m	ia	42	6	m
爹	tia22		t	t	ia	22	1	t
令	nia22	你的，指对方亲属	n	n	ia	22	1	n
令	nia53	你的，指对方亲属，语气与nia22不同	n	n	ia	53	3	n
領	nia53		n	n	ia	53	3	n
嶺	nia53		n	n	ia	53	3	n
令	nia21	你的，指对方亲属，脏话用	n	n	ia	21	5	n
嗟	tsia22		ts	ts	ia	22	1	ts
遮	tsia22		ts	ts	ia	22	1	ts
姐	tsia53		ts	ts	ia	53	3	ts
者	tsia53		ts	ts	ia	53	3	ts
借	tsia213		ts	ts	ia	213	4	ts
藉	tsia213		ts	ts	ia	213	4	ts
籍	tsia213		ts	ts	ia	213	4	ts
蔗	tsia21		ts	ts	ia	21	5	ts
謝	tsia42	姓	ts	ts	ia	42	6	ts
奢	tsʰia22		tsʰ	tsʰ	ia	22	1	tsʰ
賒	tsʰia22		tsʰ	tsʰ	ia	22	1	tsʰ
車	tsʰia22		tsʰ	tsʰ	ia	22	1	tsʰ
笡	tsʰia21	文	tsʰ	tsʰ	ia	21	5	tsʰ
惹	dzia53		dz	dz	ia	53	3	dz
斜	sia22	白，倾khang3～：将碗或盆的一端拿起，成一个角度	s	s	ia	22	1	s
邪	sia44		s	s	ia	44	2	s
斜	sia44	文，～纹，～视	s	s	ia	44	2	s
社	sia44	西～（占陇的一个大乡）	s	s	ia	44	2	s
佘	sia44		s	s	ia	44	2	s
寫	sia53		s	s	ia	53	3	s
社	sia213		s	s	ia	213	4	s
卸	sia21		s	s	ia	21	5	s
斜	sia21	崎kia4～：陡峭	s	s	ia	21	5	s
舍	sia21		s	s	ia	21	5	s
瀉	sia21		s	s	ia	21	5	s
射	sia42		s	s	ia	42	6	s
謝	sia42		s	s	ia	42	6	s
加	kia22		k	k	ia	22	1	k
嘉	kia22		k	k	ia	22	1	k
佳	kia22		k	k	ia	22	1	k
迦	kia22		k	k	ia	22	1	k
伽	kia22		k	k	ia	22	1	k
假	kia53	文，假如	k	k	ia	53	3	k
賈	kia53		k	k	ia	53	3	k
崎	kia213		k	k	ia	213	4	k
寄	kia21		k	k	ia	21	5	k
擎	kʰia44	白，手持	kʰ	kʰ	ia	44	2	kʰ
騎	kʰia44		kʰ	kʰ	ia	44	2	kʰ
企	kʰia213		kʰ	kʰ	ia	213	4	kʰ
雅	ŋia53		ŋ	ŋ	ia	53	3	ŋ
靴	hia22		h	h	ia	22	1	h
霞	hia44		h	h	ia	44	2	h
遐	hia44		h	h	ia	44	2	h
瑕	hia44		h	h	ia	44	2	h
蛾	hia213	白	h	h	ia	213	4	h
下	hia213	文	h	h	ia	213	4	h
瓦	hia213	白	h	h	ia	213	4	h
蟻	hia213		h	h	ia	213	4	h
丫	ia22				ia	22	1	〇
牙	ia44	文			ia	44	2	〇
蚜	ia44				ia	44	2	〇
耶	ia44				ia	44	2	〇
椰	ia44				ia	44	2	〇
蜈	ia44				ia	44	2	〇
爺	ia44				ia	44	2	〇
訝	ia44				ia	44	2	〇
野	ia53				ia	53	3	〇
冶	ia53				ia	53	3	〇
也	ia42				ia	42	6	〇
亦	ia42				ia	42	6	〇
滿	ɱua53		ɱ	m	ua	53	3	m
簸	pfua21		pf	p	ua	21	5	p
播	pfua21		pf	p	ua	21	5	p
婆	pfʰua44		pfʰ	pʰ	ua	44	2	pʰ
破	pfʰua21		pfʰ	pʰ	ua	21	5	pʰ
磨	bvua44		bv	b	ua	44	2	b
麻	ɱua44		ɱ	m	ua	44	2	m
瞞	ɱua44		ɱ	m	ua	44	2	m
舵	tua213		t	t	ua	213	4	t
戴	tua21	又	t	t	ua	21	5	t
帶	tua21		t	t	ua	21	5	t
大	tua42	大细	t	t	ua	42	6	t
拖	tʰua22		tʰ	tʰ	ua	22	1	tʰ
籮	lua44		l	l	ua	44	2	l
賴	lua42		l	l	ua	42	6	l
挼	nua53	揉搓	n	n	ua	53	3	n
涎	nua213	训	n	n	ua	213	4	n
爛	nua42		n	n	ua	42	6	n
抓	tsua22		ts	ts	ua	22	1	ts
蛇	tsua44		ts	ts	ua	44	2	ts
紙	tsua53		ts	ts	ua	53	3	ts
誓	tsua42		ts	ts	ua	42	6	ts
□	tsua42	次	ts	ts	ua	42	6	ts
笡	tsʰua53	歪	tsʰ	tsʰ	ua	53	3	tsʰ
歪	tsʰua53	训	tsʰ	tsʰ	ua	53	3	tsʰ
娶	tsʰua42	训	tsʰ	tsʰ	ua	42	6	tsʰ
□	tsʰua42	带领	tsʰ	tsʰ	ua	42	6	tsʰ
沙	sua22		s	s	ua	22	1	s
砂	sua22		s	s	ua	22	1	s
鯊	sua22		s	s	ua	22	1	s
耍	sua53		s	s	ua	53	3	s
徙	sua53	白	s	s	ua	53	3	s
世	sua21		s	s	ua	21	5	s
歌	kua22	白，潮汕～册	k	k	ua	22	1	k
柯	kua22		k	k	ua	22	1	k
呱	kua22		k	k	ua	22	1	k
寡	kua53		k	k	ua	53	3	k
几	kua53		k	k	ua	53	3	k
幾	kua53		k	k	ua	53	3	k
剐	kua53		k	k	ua	53	3	k
戴	kua21	训	k	k	ua	21	5	k
挂	kua21	含有	k	k	ua	21	5	k
界	kua21	下～（下午）	k	k	ua	21	5	k
跨	kʰua22		kʰ	kʰ	ua	22	1	kʰ
誇	kʰua22		kʰ	kʰ	ua	22	1	kʰ
挎	kʰua22		kʰ	kʰ	ua	22	1	kʰ
垮	kʰua21		kʰ	kʰ	ua	21	5	kʰ
掛	kʰua21		kʰ	kʰ	ua	21	5	kʰ
外	gua42		g	g	ua	42	6	g
花	hua22		h	h	ua	22	1	h
華	hua22		h	h	ua	22	1	h
嘩	hua22		h	h	ua	22	1	h
和	hua44		h	h	ua	44	2	h
劃	hua44		h	h	ua	44	2	h
樺	hua44		h	h	ua	44	2	h
禍	hua213		h	h	ua	213	4	h
娃	ua22				ua	22	1	〇
瓦	ua22	文			ua	22	1	〇
蛙	ua22				ua	22	1	〇
蝸	ua22				ua	22	1	〇
窪	ua22				ua	22	1	〇
我	ua53				ua	53	3	〇
倚	ua53				ua	53	3	〇
爬	pe44		p	p	e	44	2	p
琶	pe44		p	p	e	44	2	p
杷	pe44		p	p	e	44	2	p
把	pe53		p	p	e	53	3	p
父	pe213	训	p	p	e	213	4	p
把	pe21		p	p	e	21	5	p
帕	pʰe21		pʰ	pʰ	e	21	5	pʰ
馬	be53		b	b	e	53	3	b
碼	be53		b	b	e	53	3	b
夜	me44	训	m	m	e	44	2	m
盲	me44	青～：瞎子	m	m	e	44	2	m
暝	me44	夜	m	m	e	44	2	m
猛	me53		m	m	e	53	3	m
罵	me42		m	m	e	42	6	m
茶	te44		t	t	e	44	2	t
□	te21	过滤	t	t	e	21	5	t
麗	le44	～丽菜	l	l	e	44	2	l
㫰	ne44		n	n	e	44	2	n
晾	ne44	白，～衣服	n	n	e	44	2	n
凉	ne44	白，～ngang2（放凉）	n	n	e	44	2	n
冷	ne53		n	n	e	53	3	n
奶	ne213	训	n	n	e	213	4	n
齋	tse22		ts	ts	e	22	1	ts
姐	tse53	训	ts	ts	e	53	3	ts
者	tse53	这	ts	ts	e	53	3	ts
姊	tse53	白，阿～	ts	ts	e	53	3	ts
這	tse53		ts	ts	e	53	3	ts
債	tse21		ts	ts	e	21	5	ts
寨	tse42		ts	ts	e	42	6	ts
叉	tsʰe22		tsʰ	tsʰ	e	22	1	tsʰ
杈	tsʰe22		tsʰ	tsʰ	e	22	1	tsʰ
差	tsʰe22	白，出～、参～（交错）	tsʰ	tsʰ	e	22	1	tsʰ
齊	tsʰe44	白读，都：～有（都有）	tsʰ	tsʰ	e	44	2	tsʰ
查	tsʰe44		tsʰ	tsʰ	e	44	2	tsʰ
扯	tsʰe53		tsʰ	tsʰ	e	53	3	tsʰ
廁	tsʰe21		tsʰ	tsʰ	e	21	5	tsʰ
厠	tsʰe21		tsʰ	tsʰ	e	21	5	tsʰ
紗	se22		s	s	e	22	1	s
瀉	se21	摔。本字或为灑	s	s	e	21	5	s
家	ke22		k	k	e	22	1	k
加	ke22	白	k	k	e	22	1	k
架	ke44	训，衫～（衣架）	k	k	e	44	2	k
假	ke53	真～	k	k	e	53	3	k
下	ke213	低	k	k	e	213	4	k
假	ke21	年～	k	k	e	21	5	k
架	ke21		k	k	e	21	5	k
嫁	ke21		k	k	e	21	5	k
駕	ke21		k	k	e	21	5	k
價	ke21		k	k	e	21	5	k
牙	ge44		g	g	e	44	2	g
芽	ge44		g	g	e	44	2	g
衙	ge44		g	g	e	44	2	g
