"参考资料"		"《枞阳方言研究》，整理于东乡日常。"	
	"치"	"tɕʰ "	"[1]蛆妻凄栖（文）溪（白）欺期{~盼}[2]徐（白）豉齐脐奇骑岐祁耆鳍其期{~期}棋旗祈随{白}[3]祈启企起杞取{白}娶{白}[5]去(白，做动词，～哪海)砌契器弃气汽泣趣{白}"
	"시"	"ɕ "	"[1]西蟋犀奚兮溪（文）髓{白}牺嬉嘻熙希稀虽{白}[3]禧洗喜[5]絮细胥婿系{~系}戏碎{白}遂{白}隧{白}岁{白}"
			
"#u "	"우"		
	"우"	"Ø "	"[1]乌坞巫诬戊[2]吴吾梧无[3]五午舞武侮鹉[5]毋捂误悟恶{深~痛绝}务雾"
	"뿌"	"p "	"[3]补捕（文)[5]布步怖名部簿埠（文）孵｛～小鸡｝"
	"부"	"pʰ "	"[1]铺{动词}[2]蒲菩[3]普脯浦谱捕（白）[5]铺{名词}曝埠（白）"
	"푸"	"f "	"[1]夫肤敷[2]俘符扶浮[3]甫府腐俯斧抚腑辅否[5]父付傅赋赴附妇负阜富副"
	"꾸"	"k "	"[1]姑辜孤[3]古估贾股鼓[5]故固顾雇"
	"구"	"kʰ "	"[1]枯箍[3]苦[5]裤库"
	"후"	"x "	"[1]乎呼[2]胡蝴湖狐壶[3]虎浒[5]户戽狐互"
			
"#y "	"유"		
	"유"	"Ø "	"[1]淤迂*{-出来，凸出来}[2]如鱼渔于余儒愚虞娱盂与榆逾愉庐驴[3]语雨宇羽乳吕旅铝屡[5]誉预豫御芋喻裕遇寓玉郁"
	"뉴"	"n "	"女(文，女人)"
	"뜌"	"t "	"[1]猪诸居车诛株朱蛛珠拘驹鞠[3]煮举主矩[5]距著箸据柱驻住注铸锯（文）句聚惧拒具剧"
	"듀"	"tʰ "	"[1]区趋驱*{伸进去孔洞}[2]除储渠褚厨雏殊徐（文）[3]处{~理}鼠[5]处{~长}趣{文}去｛文，过去｝"
	"슈"	"ɕ "	"[1]戌书舒须需枢输虚嘘墟[3]暑薯署黍蜀[5]墅绪庶恕竖树戍序叙"
			
"#a"	" 아"		
	"바"	"p "	"[1]巴芭疤琶[3]把[5]爸霸把刀把壩罢"
	"빠"	"pʰ "	"[2]爬[5]怕"
	"파"	"f "	"[1]花{蔷薇花}"
	"마"	"m "	"[1]妈[2]麻蟆｛文}[3]马码[5]骂"
	"따"	"t "	"[3]打[5]大"
	"다"	"tʰ "	"[1]他"
	"라"	"l "	"[1]拉[2]拿[3]喇哪{文}[5]娜"
	"짜"	"ts "	"[1]査渣*{量词，一大拇指加食指；动词，张开食指大拇指}[5]诈榨炸乍栅"
	"싸"	"tsʰ "	"[1]叉杈差踩（白）[2]茶搽查[5]诧岔汊"
	"사"	"s "	"[1]沙纱[2]斜（白）[3]傻[5]*{细小微粒撒到平面上，面包屑-到地高了}"
	"까"	"k "	"[1]家[5]架{白}"
	"가"	"kʰ "	"[1]*{抱着}[2]跨{白}蛤｛白，～蟆}[3]卡[5]胯{白}"
	"하"	"x "	"[1]哈*{-开，张开}[3]奤{差劲}[5]下"
	"아"	"ŋ "	"[1]丫[2]牙[3]哑"
			
			
"#aʔ"	" 알"		
	"빨"	"p "	"[7]八跋伯（白）拔（文）"
	"발"	"pʰ "	"拔（白）"
	"말"	"m "	"[7]抹"
	"팔"	"f "	"[7]发法乏伐筏罚"
	"딸"	"t "	"[7]答搭达"
	"달"	"tʰ "	"[7]踏塔塌榻獭"
	"랄"	"l "	"[7]捺腊蜡辣邋"
	"날"	"n "	"[7]纳"
	"짤"	"ts "	"[7]杂眨闸扎铡"
	"쌀"	"tsʰ "	"[7]擦插察"
	"살"	"s "	"[7]洒撒萨杀霎"
	"깔"	"k "	"[7]夹"
	"갈"	"kʰ "	"[7]掐"
	"할"	"x "	"[7]瞎"
	"알"	"ŋ "	"[7]轧鸭押压{动词，白}"
			
			
"#ɔ"	" 어"		
	"뻐"	"p "	"[1]包胞褒[3]保堡宝饱[5]报抱暴豹爆鲍雹"
	"버"	"pʰ "	"[1]抛[2]袍刨[3]跑[5]泡炮"
	"머"	"m "	"[1]猫蟆｛白，蛤蟆}[2]毛矛茅[3]卯[5]冒帽貌"
	"떠"	"t "	"[1]刀叨[3]倒{打~}岛祷导[5]到倒{~车}盗道稻"
	"더"	"tʰ "	"[1]滔涛掏[2]桃陶萄[3]讨[5]套"
	"러"	"l "	"[1]捞唠[2]劳牢铙挠[3]老[5]闹"
	"너"	"n "	"[1]孬[2]劳牢铙挠[3]脑恼[5]闹"
	"쩌"	"ts "	"[1]遭糟朝昭招沼[3]早枣澡蚤爪找[5]皂造{文}躁灶罩赵兆肇召照诏"
	"써"	"tsʰ "	"[1]抄超[2]曹槽巢朝潮[3]草吵炒[5]造{白，造反，制造}糙"
	"서"	"s "	"[1]骚臊烧捎梢稍[2]韶芍[3]嫂少{多~}[5]少{~年}绍扫{动词}邵"
	"녀/여"	"Ø/ni "	"[2]饶[3]绕{围~}扰[5]绕{~开}"
	"꺼"	"k "	"[1]高膏羔糕茭教交[3]搞搅稿架{打架}[5]告窖觉较"
	"거"	"kʰ "	"[1]敲[3]考烤[5]靠犒"
	"허"	"x "	"[1]蒿薅[2]豪毫[3]郝好（很好）[5]好（叶公好龙）号浩"
	"어"	"ŋ "	"[1]*{叫，呼唤}[2]熬敖[3]袄咬[5]懊傲奥拗"
			
			
"#ɪʔ "	"엗"		
	"뻳"	"p "	"[7]北百柏伯（文）白铂剥（白)卜(白）"
	"벧"	"pʰ "	"[7]迫拍魄"
	"멛"	"m "	"[7]陌墨默麦脉沫（白）"
	"뗃"	"t "	"[7]得德"
	"덷"	"tʰ "	"[7]特（文）"
	"렏"	"l "	"[7]肋勒"
	"쩯"	"ts "	"[7]贼则择泽窄摘责辄折哲浙"
	"쎋"	"tsʰ "	"[7]侧测恻拆坼策册厕澈撤"
	"섿"	"s "	"[7]瑟塞色摄涉舌（文）设涩（文）"
	"껟"	"k "	"[7]革格隔割"
	"겓"	"kʰ "	"[7]刻克客咳磕"
	"헫"	"x "	"[7]吓核｛核桃｝"
			
			
"#e "	"에"		
	"에"	"Ø "	"[1]些（白）[3]也（白）"
	"쩨"	"ts "	"[1]遮[3]者[5]蔗(文）"
	"세"	"s "	"[1]奢赊[2]蛇[3]舍[5]社射赦蔗（白读）"
	"게"	"k "	"[1]*｛拎着}[3]给{~你}"
			
"#ɛ "	"애"		
	"빼"	"p "	"[3]摆（文）[5]拜败稗"
	"배"	"pʰ "	"[2]排牌[3]摆（白)[5]派"
	"매"	"m "	"[2]埋[3]买*(用石头扔）[5]卖迈"
	"때"	"t "	"[1]呆[3]歹[5]待怠殆戴代袋贷带大{~夫}"
	"대"	"tʰ "	"[1]胎苔（白）[2]台苔（文）抬[5]太泰态"
	"래"	"l "	"[2]来[5]赖癞"
	"내"	"n "	"[3]乃奶[5]耐奈赖癞"
	"째"	"ts "	"[1]灾栽斋[2]宅[3]宰载[5]载{~载}再在债寨"
	"쌔"	"tsʰ "	"[1]猜钗差{~差}[2]才财材裁柴豺[3]彩睬采踩（文）[5]菜蔡"
	"새"	"s "	"[1]腮筛[5]赛晒栖（白，鸡~)"
	"깨"	"k "	"[1]该街秸阶{白}[3]改解{~手}[5]溉丐盖芥介{白}概戒{白}届{白}界{白}锯(白，～木头)"
	"개"	"kʰ "	"[1]开揩[3]凯楷[5]慨"
	"해"	"x "	"[2]孩鞋还[3]海蟹[5]害亥骇"
	"애"	"ŋ "	"[1]哀[2]挨埃[3]蔼霭[5]爱碍艾隘"
			
"#əʔ"	"윽"		"大部分aʔ韵均可"
	"쁙"	"p "	"[7]不拔（文）八"
	"븍"	"pʰ "	"[7]仆瀑扑"
	"믁"	"m "	"[7]木沐目牧穆牡"
	"픅"	"f "	"[7]复弗拂佛缚福蝠幅腹覆服伏"
	"뜩"	"t "	"[7]独读牍笃督毒特（白，特为，故意）"
	"득"	"tʰ "	"[7]突秃*（表示沸腾）"
	"륵"	"l "	"[7]鹿绿六陆录禄"
	"쯕"	"ts "	"[7]只汁侄质直值织职殖酯炙执卒足涩（白）"
	"쓱"	"tsʰ "	"[7]秩赤尺斥促插"
	"슥"	"s "	"[7]湿十拾实失室识饰食蚀适释石虱宿俗肃夙粟速续（白）舌（白）膝(白)"
	"윽"	"Ø "	"[7]日入"
	"끅"	"k "	"*{表示关联}*{-家，表示村庄促化}"
	"흑"	"x "	"[7]黑"
			
"#o "	"오"		
	"뽀"	"p "	"[1]玻波播簸[3]跛"
	"보"	"pʰ "	"[1]坡颇[2]婆[5]破剖"
	"모"	"m "	"[1]摸[2]模魔磨摩[3]母拇某亩[5]募墓暮慕磨茂贸幕"
	"또"	"t "	"[1]多[3]朵躲[5]舵剁惰堕"
	"도"	"tʰ "	"[1]拖[2]驼驮鸵[3]妥[5]唾"
	"로"	"l "	"[1]捋摞[2]罗挪罗锣骡螺[3]裸[5]糯懦"
	"쪼"	"ts "	"[1]着啄{白}[3]左佐[5]坐座做"
	"쏘"	"tsʰ "	"[1]搓[5]锉矬错措*{表示段}"
	"소"	"s "	"[1]娑蓑梭唆[3]锁所琐"
	"오"	"Ø "	"[2]儿而[3]尔耳饵惹[5]二贰"
	"꼬"	"k "	"[1]哥歌戈过{时间~了}锅[3]果裹[5]个过"
	"고"	"kʰ "	"[1]轲科窠苛颗[3]可[5]课"
	"호"	"x "	"[2]何河荷和禾[3]火伙[5]贺祸货"
	"오"	"ŋ "	"[1]额[2]讹蛾鹅俄[3]我[5]饿"
			
"#oʔ "	"옵"		
	"뽑"	"p "	"[7]脖勃帛钵（文）拨博薄剥（文)卜(文）驳"
	"봅"	"pʰ "	"[7]泼"
	"똡"	"m "	"[7]没末沫（文）莫膜寞"
	"똡"	"t "	"[7]夺铎"
	"돕"	"tʰ "	"[7]脱托"
	"롭"	"l "	"[7]落洛骆诺酪络乐(快乐)烙"
	"쫍"	"ts "	"[7]撮{一~毛}作昨"
	"솝"	"s "	"[7]索缩嗍"
	"옵,뇹"	"y/ny/Ø "	"[7]若弱"
	"꼽"	"k "	"[7]鸽割葛各阁胳角国郭"
	"곱"	"kʰ "	"[7]磕{文}渴壳乞（白，表示被动）括扩阔廓搉确{白}"
	"홉"	"x "	"[7]赫喝合盒壑鹤霍或惑获活豁学{白}"
	"옵"	"ŋ "	"[7]厄扼轭鄂恶凶恶"
			
"#ia "	"야"		
	"야"	"Ø "	"[1]鸦[2]芽衙[3]雅[5]讶亚*{撒娇}"
	"쟈"	"tɕ "	"[1]嘉加[3]假{文，假货}贾[5]驾嫁{文}假{文，放假}稼架{文}价{文}"
	"샤"	"ɕ "	"[1]虾{文}[2]霞瑕遐暇[5]下{文}夏"
			
			
"#iaʔ"	" 얄"		
	"얄"	"Ø "	"[7]押压（文)"
	"쟐"	"tɕ "	"[7]甲"
	"챨"	"tɕʰ "	"[7]洽恰"
	"샬"	"ɕ "	"[7]辖狭峡侠"
			
			
"#ua "	"와"		
	"와"	"Ø "	"[1]蛙哇[2]娃[3]瓦*{用勺子形状的挖}[5]洼*{伸手够}"
			
			
	"꽈"	"k "	"[1]瓜[3]寡[5]挂卦褂"
	"과"	"kʰ "	"[1]夸[3]垮[5]跨{文}胯{文}"
	"화"	"x "	"[1]花[2]华{中~}划{~船}[5]化华{姓氏}画话划{计~}"
			
"#ya "			
	"뜌아"	"t "	"[1]抓[3]爪"
	"슈아"	"ɕ "	"[3]耍"
			
			
"#uaʔ "	"왈"		
	"왈"	"Ø "	"[7]挖袜"
	"슈알"	"ɕ "	"[7]刷"
	"꽐"	"k "	"[7]刮"
	"활"	"x "	"[7]猾滑核{桃核}"
			
			
"#iɪ "	"예"		
	"예"	"Ø "	"[1]耶椰[2]爷[3]也冶野[5]夜"
	"뗴"	"t "	"[1]爹"
	"졔"	"tɕ "	"[1]嗟[3]姐[5]借"
	"쳬"	"tɕʰ "	"[2]茄[3]且[5]妾"
	"셰"	"ɕ "	"[1]些[2]邪斜(文）偕[3]写[5]谢卸泻泄血穴雪解{姓氏}懈"
		"m 몌"	"[3]*{弯曲折断}"
			
			
"#iɪʔ "	"옏"		
	"옏"	"Ø "	"[7]叶噎谒"
	"뼫"	"p "	"[7]别鳖憋"
	"볟"	"pʰ "	"[7]撇"
	"몓"	"m "	"[7]灭篾蔑"
	"뗻"	"t "	"[7]跌迭叠牒谍蝶（文）"
	"뎯"	"tʰ "	"[7]铁贴帖蝶（白）"
	"녣"	"n "	"[7]捏孽列烈裂劣业"
	"졛"	"tɕ "	"[7]劫接捷杰节截洁揭竭绝{白}"
	"쳳"	"tɕʰ "	"[7]切"
	"셷"	"ɕ "	"[7]胁薛亵歇"
			
			
"#uɪʔ "	"웯"		
	"웯"	"Ø"	"物（白）"
			
			
"#yɪ "	"유에"		
	"유에"	"Ø "	"[3]*{弯曲折断,吞下}"
	"듀에"	"tʰ "	"[2]瘸"
	"슈에"	"ɕ "	"[1]靴"
			
			
"#yɪʔ"	"유엗"		
	"유엗"	"Ø "	"[7]热(文）悦阅月越曰粤"
	"쥬엗"	"tɕ "	"[7]倔绝{文}厥掘决诀"
	"츄엗"	"tɕʰ "	"[7]缺（文)"
	"뜌엗"	"t"	"[7]倔绝{文}厥掘决诀"
	"듀엗"	"tʰ "	"[7]缺(文）"
	"규엗"	"kʰ "	"[7]缺(白）"
	"뉴엗"	"n"	"[7]热(白）"
			
			
"#iɛ "	"얘"		
	"얘"	"Ø "	"[2]癌崖*{肯定，约定俗成}"
	"쟤"	"tɕ "	"[1]阶{文}皆[3]械解{文}[5]界戒{文}阶{文}介{文}届"
	"섀"	"tɕʰ "	"[5]懈"
			
			
"#uɛ "	"왜"		
	"왜"	"Ø "	"[1]歪[3]崴[5]外"
	"꽤"	"k "	"[1]乖[3]拐[5]怪[7]"
	"괘"	"kʰ "	"[5]快块筷会{~计}"
	"홰"	"x "	"[1]*{摇晃}[2]怀槐淮[5]坏"
			
			
"#yɛ "	"유애"		
	"뜌애"	"t "	"[5]拽"
	"듀애"	"tʰ "	"[1]揣[5]踹"
	"슈애"	"ɕ "	"[1]衰摔[3]甩[5]帅率蟀"
			
			
"#iɔ "	"여"		
	"여"	"Ø "	"[1]幺妖邀腰要{~求}夭[2]尧摇谣姚肴[3]杳舀咬{文}[5]要耀"
	"뼈"	"p "	"[1]膘标彪瀌[3]表"
	"벼"	"pʰ "	"[1]飘漂{~浮}[2]瓢嫖[3]瞟[5]漂{~亮}票"
	"며"	"m "	"[1]瞄[2]苗描[3]藐渺秒[5]庙妙谬棉｛异读，棉花｝"
	"뗘"	"t "	"[1]刁貂雕[3]屌[5]吊钓掉调"
	"뎌"	"tʰ "	"[1]挑[2]条调{~调}[5]跳"
	"녀,려"	"n "	"[1]*{吸引，招}[2]聊辽撩燎寥*{风骚}[3]了[5]尿廖{姓氏}料"
	"져"	"tɕ "	"[1]浇焦椒骄娇交郊胶教{动词}[3]缴剿矫绞狡铰搅饺[5]叫教{~育}轿校{~对}较"
	"쳐"	"tɕʰ "	"[1]锹悄[2]樵瞧乔桥[3]巧[5]俏鞘"
	"셔"	"ɕ "	"[1]萧嚣消宵霄硝销肖淆[3]小晓[5]啸笑孝效校"
			
			
"#ioʔ "	"욥"		
	"욥"	"Ø "	"[7]岳约乐{~乐}药钥跃"
	"뇹,룝"	"n "	"[7]掠略疟虐"
	"죱"	"tɕ "	"[7]爵脚"
	"춉"	"tɕʰ "	"[7]雀鹊确{文}"
	"셥"	"ɕ "	"[7]学削屑"
			
			
"#uo"	"워"		
	"워"	"Ø "	"[1]屙窝倭[4]*{耐-，脏}"
			
			
"#uoʔ "	"웝"		
	"웝"	"Ø "	"[7]沃"
			
			
"#yoʔ "	"유업"		
	"뜌업"	"t "	"[7]桌卓啄{文}琢镯拙"
	"듀업"	"tʰ "	"[7]戳绰"
	"슈업"	"ɕ "	"[7]说*{吮吸}学"
			
			
"#iəʔ "	"익"		
	"익"	"Ø "	"[7]乙一逸抑弋翼亦译液压"
	"삑"	"p "	"[7]毕逼碧笔必壁璧辟滗鼻"
	"빅"	"pʰ "	"*{女生殖器}僻"
	"믹"	"m "	"[7]蜜密觅秘"
	"띡"	"t "	"[7]的{的士，出租车}滴嫡笛敌狄"
	"딕"	"tʰ "	"[7]踢剔"
	"닉"	"n "	"[7]逆立粒栗力历律率"
	"직"	"tɕ "	"[7]疾缉急级及集辑汲吉即鲫棘极积迹脊籍击激绩"
	"칙"	"tɕʰ "	"[7]七漆乞迄讫戚吃"
	"식"	"ɕ "	"[7]膝 (文) 息媳熄隙昔惜席夕锡析习雪（白，雪白）"
			
			
"#uəʔ "	"욱"		
	"욱"	"Ø "	"[7]勿屋挖物（文）"
	"꾹"	"k "	"[7]骨谷"
	"국"	"kʰ "	"[7]哭窟酷"
	"훅"	"x "	"[7]忽滑"
			
			
"#yəʔ "	"육"		
	"육"	"Ø "	"[7]欲浴狱育役域辱肉（白)"
	"뜍"	"t "	"[7]竹筑逐祝粥烛嘱橘局菊浊"
	"둑"	"tʰ "	"[7]曲出畜屈触"
	"슉"	"ɕ "	"[7]属述淑熟赎束旭蓄续(文）刷(白）"
			
			
"#ei "	"의"		
	"쁴"	"p "	"[1]杯悲背{动词}卑碑[5]辈背{后~}倍被备"
	"븨"	"pʰ "	"[1]胚[2]培陪赔[5]佩配譬辔"
	"믜"	"m "	"[1]薇{蔷薇花}[2]梅眉煤媒霉迷{白，迷信}谜（白，谜子，谜语）[3]每美米（白，送粥米）[5]昧妹"
	"픠"	"f "	"[1]非飞妃菲[2]肥[3]匪[5]费肺吠痱沸废"
	"띄"	"t "	"[1]堆（文）[5]对(文）队兑"
	"듸"	"tʰ "	"[1]推（文）[3]腿（文）[5]退{文}褪(文）"
	"릐"	"l "	"[2]雷（文）[3]馁儡垒[5]内泪累{文}"
	"늬"	"n "	"[5]内"
	"쯰"	"ts "	"[5]最罪{文}醉{文}"
	"씌"	"tsʰ "	"[1]崔催[5]翠粹悴脆"
	"싀"	"s "	"[1]绥虽(文）[2]隋随（文）[5]穗碎（文）岁（文）"
			
			
"#uei "	"위"		
	"위"	"Ø "	"[1]威巍煨微薇（文）*{蹲着}[2]违围帷维唯为{~难}危桅韦[3]纬伪尾伟委[5]喂未味畏慰胃谓魏位卫为"
	"뀌"	"k "	"[1]圭闺龟规归[3]诡轨鬼[5]瑰鳜桂(文）跪柜贵"
	"귀"	"kʰ "	"[1]盔魁亏窥[2]奎逵夔葵[5]溃愧"
	"휘"	"x "	"[1]灰诙恢麾挥辉徽[2]回[3]悔毁[5]贿汇晦会绘惠慧秽讳卉彗"
			
			
"#yei "	"유의"		
	"유의"	"Ø "	"[3]蕊[5]锐瑞"
	"뜌의"	"t "	"[1]追锥[5]缀赘坠"
	"듀의"	"tʰ "	"[1]吹炊[2]垂槌锤"
	"슈의"	"ɕ "	"[2]谁[3]水[5]税睡"
			
			
"#əu "	"오우"		
	"모우"	"m "	"[2]眸[3]冇{没有}"
	"또우"	"t "	"[1]都兜[3]斗{一~米}抖陡堵赌肚[5]度杜妒渡斗豆逗"
	"도우"	"tʰ "	"[1]偷[2]徒图途屠涂头投[3]土㪗盝[5]吐兔透"
	"쏘우"	"tsʰ "	"[3]楚丑[5]醋凑臭"
	"로우"	"l "	"[1]*{-眼，用手指挖洞}[2]卢炉奴[3]撸卤努[5]路怒"
	"소우"	"s "	"[1]苏酥梳疏蔬搜飕馊收[3]数{动词}叟手首守[5]塑朔素诉数{名词}漱嗽瘦受兽寿授售"
	"오우"	"Ø "	"[2]柔揉[5]肉"
	"꼬우"	"k "	"[1]勾沟钩[3]苟狗[5]垢够构购"
	"고우"	"kʰ "	"[1]抠[3]口[5]叩扣寇"
	"호우"	"x "	"[2]侯喉猴[3]吼[5]后候厚"
	"오우"	"ŋ "	"[1]欧讴区{姓氏}殴[3]藕偶呕[5]怄"
			
			
"#iəu"	"요우"		
	"요우"	"Ø "	"[1]忧优悠幽[2]尤邮由油犹游[3]有友酉莠[5]又右宥佑柚釉幼"
	"뚀우"	"t "	"[1]丢[5]*{传递，遗留}"
	"료우"	"l "	"[1]溜[2]流刘留榴硫牛[3]纽扭柳[5]馏"
	"죠우"	"tɕ "	"[1]揪鸠阄纠[3]灸酒九久韭[5]就究舅臼咎旧舅"
	"쵸우"	"tɕʰ "	"[1]秋丘[2]囚求球仇{姓氏}"
	"쇼우"	"ɕ "	"[1]修羞休[5]秀绣锈袖嗅"
			
			
"#ən "	"은"		
	"쁜"	"p "	"[1]奔崩畚[3]本[5]笨迸"
	"븐"	"pʰ "	"[1]喷{~洒}烹[2]盆朋彭澎棚篷蓬[3]捧[5]喷{~香}碰"
	"믄"	"m "	"[2]门萌盟明{~朝}蒙民（白，枞阳~歌）[3]猛懵[5]闷孟梦"
	"픈"	"f "	"[1]分芬纷风疯封峰蜂锋[2]坟焚冯逢缝{动词}[3]粉讽[5]愤忿粪奋份凤奉俸缝"
	"뜬"	"t "	"[1]敦墩登灯东冬*{冰-，冰块}[3]等董懂[5]盾顿邓凳（文）瞪钝遁饨动冻栋洞"
	"든"	"tʰ "	"[1]吞通[2]屯豚臀囤腾藤誊同铜桐筒童瞳[3]桶捅统[5]疼痛"
	"른"	"l "	"[2]论{~语}人(白2)仑伦轮沦能笼聋农脓浓隆龙[3]冷拢陇垄[5]楞论{议~}弄凳（白，板凳)嫩"
	"는"	"n "	"[2]人（白1）[3]*{表示什么}"
	"쯘"	"ts "	"[1]尊遵增憎曾{姓氏}争筝睁针斟珍榛臻真侦征蒸正{~月}宗棕鬃[3]枕诊疹子拯整总[5]赠朕振震阵镇证症郑正{~确}政纵粽"
	"쓴"	"tsʰ "	"[1]村撑琛称{~呼}聪匆葱囱[2]寸曾澄沉陈尘辰晨臣澄橙乘丞承盛{~饭}从丛[3]忖惩 *{讨人厌}[5]寸衬趁称{~心}秤"
	"슨"	"s "	"[1]孙僧生牲笙甥深申伸娠升声松嵩[2]神绳[3]损省{~城}沈审婶怂*{推}[5]渗甚葚肾慎胜剩圣盛{茂~}送宋诵颂讼"
	"은"	"Ø "	"[2]任{姓氏}壬仁仍人（文）[3]忍[5]任妊认刃"
	"끈"	"k "	"[1]今跟根更{五~}庚羹耕[3]哽耿[5]哽耿"
	"근"	"kʰ "	"[1]坑[3]垦恳肯啃"
	"흔"	"x "	"[1]亨[2]亨[3]痕狠[5]恨"
	"은,응"	"ŋ "	"[1]恩[2]银[5]硬"
			
			
"#in "	"인"		
	"인"	"Ø "	"[1]音阴荫因姻殷鹰莺鹦缨婴英应{~该}[2]吟淫银[文]寅蝇迎盈嬴营茔萤[3]饮引隐影颖尹[5]印应｛答应}映"
	"삔"	"p "	"[1]彬宾槟殡滨冰兵[3]丙秉饼柄禀[5]病并"
	"빈"	"pʰ "	"[1]拼[2]贫频凭平瓶屏[3]评品[5]聘"
	"민"	"m "	"[2]闽民{文}明{文}鸣名铭[3]冥悯敏泯皿[5]命"
	"띤"	"t "	"[1]丁钉{名词}[3]顶鼎[5]钉{动词}订定锭"
	"딘"	"tʰ "	"[1]汀厅[2]亭停廷蜓[3]挺艇[5]听"
	"닌,린"	"n "	"[1]拎[2]林淋临邻鳞磷陵凌菱灵铃伶零凝凛[3]岭领[5]赁吝令宁另佞"
	"진"	"tɕ "	"[1]金禁{不~}襟津巾斤筋兢茎京荆惊精晶旌睛经鲸[3]锦紧仅景警谨井颈[5]禁尽进晋近劲境敬竟镜竞净静径"
	"친"	"tɕʰ "	"[1]侵钦亲卿清青轻蜻顷倾[2]寻{白}琴禽擒秦勤芹擎晴情[3]请寝[5]庆磬"
	"신"	"ɕ "	"[1]心辛新薪欣兴{~旺}星腥馨先｛白}[2]行形刑型旬循巡[3]醒省{反~}[5]迅信讯兴{高~}杏幸性姓"
			
			
"#uən "	"운"		
	"운"	"Ø "	"[1]温瘟翁[2]文纹蚊闻[3]稳吻刎[5]问瓮"
	"꾼"	"k "	"[1]公工攻功弓躬宫恭[3]滚汞拱巩[5]棍供贡共"
	"군"	"kʰ "	"[1]昆坤空[3]捆孔恐[5]困控空{有~}"
	"훈"	"x "	"[1]昏婚轰荤烘[2]魂馄横宏混{~蛋}浑红洪鸿虹{文}[3]哄[5]混{~事}*{闻，嗅到}"
			
			
"#yən "	"윤"		
	"윤"	"Ø "	"[1]晕雍庸拥[2]匀云荣融容熔戎绒茸[3]陨永允冗甬涌勇[5]闰润熨韵运用晕(白，发~)"
	"뜐"	"t "	"[1]谆肫均钧君军菌中{~文}忠终钟盅[3]准迥窘塚肿种{~子}[5]俊郡中{~计}仲重{~量}种{~地}众"
	"듄"	"tʰ "	"[1]春椿充冲{~动}舂[2]唇醇群裙纯虫崇重{~新}琼穹[3]蠢宠[5]冲"
	"슌"	"ɕ "	"[1]熏薰勳兄胸凶[2]熊雄[5]逊顺训舜瞬"
			
			
"#ã "	"안"		
	"빤"	"p "	"[1]班颁扳[3]板版[5]扮瓣办"
	"반"	"pʰ "	"[1]攀[5]盼绊胖"
	"만"	"m "	"[2]蛮[5]慢漫(文)幔"
	"판"	"f "	"[1]番藩翻帆[2]凡烦繁[3]反[5]范犯泛梵贩饭放"
	"딴"	"t "	"[1]耽担丹单[3]胆[5]淡担挑担旦诞但弹{子~}惮蛋"
	"단"	"tʰ "	"[1]坍滩摊[2]潭{文}谭（文）谈痰檀坛弹{~琴}堂唐糖螳[3]毯坦倘躺[5]探炭叹烫趟"
	"란"	"l "	"[2]婪蓝兰拦栏然（文）[3]览揽榄缆懒冉（文）[5]滥烂"
	"난"	"n "	"[2]南（文）难{困~}[5]难{有~}"
	"짠"	"ts "	"[1]簪臧沾(文)瞻*{~肉，切肉}[3]盏斩展[5]赞暂绽占站蘸栈战颤"
