#漢字	音標	解釋#('ko_okm', '中世紀朝鮮語', '中世朝鮮', '#8B0000,#4D4D4D', None, None, '來源：<a href=https://github.com/nk2028/sino-korean-readings>韓國漢字音歷史層次研究</a>', None)
例	rjei	
侍	si	
侗	tʰoŋ	
依	ɨi	
侮	mo	
侯	hu	
侵	tsʰim	
侶	rje	
便	pʰjen	
便	pjen	
俊	tsjun	
俎	tso	
俘	pu	
俚	ri	
保	po	
俟	sə	
俠	hjep	
信	sin	
修	sju	
俯	pu	
俱	ku	
俺	am	
俾	pi	
倂	pjeŋ	
倉	tsʰaŋ	
倍	pəi	
倍	pʰai	
倏	sjuk	
倒	to	
候	hu	
倚	ɨi	
借	tsʰja	
倦	kwen	
倩	tsʰjen	
倫	rjun	
倭	wa	
倭	wai	
值	tʰi	
值	tʰik	
假	ka	
假	kja	
假	kjek	
偈	kei	
偉	ui	
偎	oi	
偏	pʰjen	
偐	an	
做	tsu	
停	tjeŋ	
偯	ɨi	
偲	sɨi	
側	tsʰɨk	
偶	u	
偷	tʰu	
傀	koi	
傅	pu	
傍	paŋ	
傑	ker	
傘	san	
備	pi	
催	tsʰoi	
傲	o	
傳	tjen	
債	tsʰai	
債	tsʰwai	
傷	sjaŋ	
傻	sa	
傾	kjeŋ	
僅	kɨn	
僇	rjuk	
僎	sjen	
像	sjaŋ	
僕	pok	
僚	rjo	
僦	tsʰjui	
僧	sɨŋ	
僨	pun	
僮	toŋ	
僴	han	
價	ka	
僻	pjek	
儀	ɨi	
儁	tsjun	
億	ek	
儈	hoi	
儉	kem	
儐	pin	
儒	zju	
儔	tju	
儕	tsjei	
儘	sin	
償	sjaŋ	
儡	roi	
優	u	
儲	tje	
儷	rjei	
儷	rje	
儺	na	
儻	taŋ	
儼	em	
兀	or	
允	jun	
元	wen	
兄	hjeŋ	
兄	sjeŋ	
充	tsʰjuŋ	
兆	tjo	
先	sjen	
光	kwaŋ	
克	kɨk	
免	mjen	
兒	zə	
兔	tʰo	
兕	si	
兜	to	
兢	kɨŋ	
入	zip	
內	nəi	
全	tsjen	
兩	rjaŋ	
八	pʰar	
公	koŋ	
六	rjuk	
兮	hjei	
兮	hje	
兵	pjeŋ	
其	ki	
具	ku	
典	tjen	
兼	kjem	
冀	kɨi	
冉	zjem	
册	tsʰəik	
再	tsəi	
冑	tju	
冒	mo	
冒	mɨk	
冓	ku	
冕	mjen	
冠	kwan	
冥	mjeŋ	
冬	toŋ	
冰	piŋ	
冶	ja	
冷	rəiŋ	
冸	pan	
凊	tsjeŋ	
凋	tjo	
凌	rɨŋ	
凍	toŋ	
凜	rɨm	
凝	ɨŋ	
几	kwei	
凡	pem	
凰	hwaŋ	
凳	tɨŋ	
出	tsʰju	
出	tsʰjur	
函	ham	
刀	to	
刃	zin	
刃	iŋ	
分	pun	
分	pʰun	
切	tsjei	
切	tsjer	
刈	jei	
刑	hjeŋ	
刖	wer	
列	rjer	
初	tsʰo	
判	pʰan	
別	pjer	
利	ri	
刮	kwar	
到	to	
制	tsjei	
刷	swar	
刷	swa	
刷	sja	
券	kwen	
刹	tsʰar	
刺	tsʰi	
刺	tsə	
刺	tsʰjek	
刻	hək	
剉	tsʰwa	
剉	tsʰwar	
削	sjak	
剋	kɨk	
剌	rar	
剌	ra	
前	tsjen	
剕	pi	
剖	pu	
剛	kaŋ	
剜	wan	
剞	kɨi	
剪	tsjen	
副	pu	
割	har	
創	tsʰaŋ	
剽	pʰjo	
劄	tsap	
劇	kɨk	
劉	rju	
劍	kem	
劓	ɨi	
劘	ma	
力	rɨk	
力	rjek	
功	koŋ	
加	ka	
劣	rjer	
助	tso	
努	no	
劫	kep	
劬	ku	
勃	pər	
勉	mjen	
勒	rɨk	
動	toŋ	
勘	kam	
務	mu	
勝	sɨŋ	
勞	ro	
勞	roi	
勢	sjei	
勢	sje	
勣	tsjek	
勤	kɨn	
勩	jei	
勳	hun	
勵	rje	
勸	kwen	
勺	tsjak	
勿	mɨr	
包	pʰo	
匏	pʰo	
匕	pi	
化	hwa	
北	pɨk	
匙	si	
匜	i	
匝	tsap	
匠	tsjaŋ	
匡	kwaŋ	
匣	kap	
匪	pi	
匱	kwei	
匳	rjem	
匵	tok	
匹	pʰir	
匹	pi	
匿	nik	
匿	rik	
十	sip	
十	si	
千	tsʰjen	
升	sɨŋ	
午	o	
卉	hwei	
半	pan	
卑	pi	
卒	tsor	
協	hjep	
南	nam	
南	na	
博	pak	
卜	pok	
卞	pjen	
占	tsjem	
卯	mjo	
印	in	
印	zin	
危	ui	
即	tsɨk	
卵	ran	
卷	kwen	
卸	sja	
卹	hjur	
卻	kak	
卼	ur	
卿	kjeŋ	
厄	əik	
厖	paŋ	
厚	hu	
厝	tso	
原	wen	
厫	o	
厭	jem	
厭	an	
厲	rje	
去	kje	
去	ke	
參	səm	
參	tsʰam	
又	u	
叉	tsʰar	
叉	tsʰa	
及	kɨp	
友	u	
反	pan	
反	pen	
叔	sjuk	
取	tsʰjui	
取	tsʰju	
受	sju	
叛	pʰan	
叛	pan	
叟	su	
叢	tsʰoŋ	
口	ku	
古	ko	
句	kui	
句	ku	
叩	ko	
叩	ku	
只	tsi	
叫	kjo	
召	sjo	
叭	par	
叭	pʰar	
可	ka	
台	tʰəi	
史	sə	
右	u	
司	sə	
吃	ker	
各	kak	
合	hap	
吉	kir	
同	toŋ	
名	mjeŋ	
后	hu	
吏	ri	
吐	tʰo	
向	hjaŋ	
吒	tʰa	
君	kun	
吝	rin	
吞	tʰən	
吟	ɨm	
吠	pʰjei	
否	pu	
含	ham	
吭	haŋ	
吮	jen	
吳	o	
吸	hɨp	
吹	tsʰjui	
吹	tsʰju	
吻	mɨn	
吼	hu	
吾	o	
呂	rje	
呈	tjeŋ	
告	ko	
告	kok	
周	tsju	
呪	tsjuk	
呪	tsʰjuk	
呪	tsju	
呪	tsʰju	
呰	tsə	
味	mi	
呵	ha	
呼	ho	
命	mjeŋ	
咂	tsap	
咆	pʰo	
和	hwa	
咎	ku	
咨	tsə	
咫	tsi	
咬	kjo	
咬	jo	
咱	tsa	
咱	tsam	
咳	həi	
咸	ham	
咽	jen	
咽	in	
咽	jer	
哀	əi	
品	pʰum	
哂	sin	
哉	tsəi	
哉	tsə	
員	wen	
哥	ka	
哮	hjo	
哲	tʰjer	
哺	po	
哺	pʰo	
哽	kəiŋ	
唄	pʰai	
唐	taŋ	
唐	tʰaŋ	
售	sju	
唯	ju	
唱	tsʰjaŋ	
唾	tʰa	
啄	tʰak	
商	sjaŋ	
問	mun	
啜	tʰjer	
啟	kjei	
啻	si	
啼	tjei	
善	sjen	
喉	hu	
喘	tsʰjen	
喙	hwei	
喚	hwan	
喜	hɨi	
喝	har	
喟	ui	
喧	hwan	
喧	hwen	
喪	saŋ	
喫	kik	
喬	kjo	
喭	en	
單	tan	
喻	ju	
嗅	hu	
嗇	səik	
嗉	so	
嗍	sak	
嗑	hap	
嗓	saŋ	
嗔	tsin	
嗚	o	
嗜	ki	
嗟	tsʰa	
嗣	sə	
嗤	tsʰi	
嗽	su	
嘆	tʰan	
嘔	ku	
嘖	tsʰəik	
嘗	sjaŋ	
嘯	sjo	
嘲	tjo	
嘴	tsʰjwei	
嘶	sɨi	
嘷	ho	
噉	tam	
噓	he	
噙	kɨm	
噦	hwai	
噦	er	
器	kɨi	
噪	tso	
噫	ai	
噫	hɨi	
噬	sje	
噱	kjak	
噴	pun	
嚏	tʰjei	
嚙	tsʰi	
嚚	ɨn	
嚥	jen	
嚨	roŋ	
嚮	hjaŋ	
嚴	em	
嚼	tsjak	
囂	ɨn	
囊	naŋ	
囚	sju	
四	sə	
囝	kjen	
回	hoi	
回	hui	
因	in	
因	zin	
囤	ton	
困	kon	
囱	tsʰoŋ	
囷	kjun	
囹	rjeŋ	
固	ko	
囿	ju	
圂	hon	
圃	po	
圃	pʰo	
圄	e	
圈	kwen	
圉	e	
圊	tsʰjeŋ	
國	kuk	
圍	ui	
園	wen	
圓	wen	
圖	to	
圖	tʰu	
團	tan	
團	ten	
團	twen	
土	tʰo	
在	tsəi	
圭	kju	
圮	pɨi	
地	ti	
圿	kar	
址	tsi	
均	kjun	
坊	paŋ	
坌	pun	
坍	tan	
坎	kam	
坐	tswa	
坐	tsa	
坑	kəiŋ	
坡	pʰa	
坤	kon	
坦	tan	
坩	kam	
坪	pʰjeŋ	
坫	tjem	
坯	pəi	
坳	jo	
坷	ka	
坼	tʰəik	
垂	sju	
型	hjeŋ	
垢	ku	
垣	wen	
垤	tir	
垽	ɨn	
埃	əi	
埃	ai	
埋	məi	
城	sjeŋ	
域	jek	
埠	pu	
執	tsip	
培	pəi	
基	kɨi	
堀	kur	
堂	taŋ	
堅	kjen	
堊	ak	
堋	pɨŋ	
堗	tor	
堛	pjek	
堝	kwa	
堠	hu	
堡	po	
堤	tjei	
堪	kam	
堯	jo	
堰	en	
場	tjaŋ	
場	rjaŋ	
塉	tsʰjek	
塊	koi	
塊	kʰwai	
塌	tʰap	
塑	so	
塒	si	
塔	tʰap	
塕	oŋ	
塗	to	
塘	taŋ	
塞	səi	
塞	sai	
塞	səik	
塵	tin	
塹	tsjem	
塾	sjuk	
墀	ti	
境	kjeŋ	
墅	sje	
墈	kam	
墓	mjo	
墜	tʰju	
增	tsɨŋ	
墨	mek	
墨	mɨk	
墩	ton	
墮	tʰa	
墳	pun	
墼	kjek	
壁	pjek	
壇	tan	
壑	hak	
壓	ap	
壕	ho	
壘	rju	
壙	kwaŋ	
壜	tam	
壝	ju	
壞	koi	
壞	hoi	
壤	zjaŋ	
壩	pʰai	
士	sə	
壬	zim	
壯	tsaŋ	
壹	ir	
壺	ho	
壻	sje	
壽	sju	
夏	ha	
夕	sjek	
外	oi	
多	ta	
夢	moŋ	
大	ta	
大	tai	
大	tʰai	
天	tʰjen	
太	tʰai	
夫	pu	
夫	u	
夭	jo	
失	sir	
夷	i	
夾	kja	
奇	kɨi	
奈	nai	
奏	tsu	
契	kjei	
奔	pun	
奕	hjek	
套	tʰo	
套	tʰu	
奚	həi	
奠	tjen	
奡	o	
奢	sja	
奧	o	
奪	tʰar	
奮	pun	
女	nje	
女	zje	
女	jei	
奴	no	
奸	kan	
好	ho	
妁	tsjak	
如	zje	
妃	pi	
妄	maŋ	
妊	zim	
妓	ki	
妖	jo	
妗	kɨm	
妙	mjo	
妣	pi	
妬	tʰu	
妯	tʰjuk	
妹	məi	
妻	tsʰje	
妾	tsʰjep	
姆	mo	
姊	tsə	
始	si	
姐	tsje	
姑	ko	
姒	sə	
姓	sjeŋ	
委	ui	
姜	kaŋ	
姥	ki	
姥	mo	
姦	kan	
姨	i	
姪	tir	
姬	hɨi	
姻	in	
姿	tsə	
威	ui	
娌	ri	
娑	sa	
娘	njaŋ	
娛	o	
娠	sin	
娣	tjei	
娩	mjen	
娩	man	
娵	tsʰjui	
娶	tsʰjui	
娼	tsʰjaŋ	
婁	ru	
婆	pʰa	
婆	pa	
婚	hon	
婦	pu	
婪	ram	
婬	ɨm	
媒	məi	
媚	mi	
媟	sjer	
媢	mo	
媤	sɨi	
媵	iŋ	
媼	o	
媼	on	
媽	ma	
嫁	ka	
嫂	su	
嫉	tsir	
嫌	hjem	
嫗	ku	
嫠	ri	
嫡	tjek	
嫩	nun	
嬈	jo	
嬉	hɨi	
嬌	kjo	
嬖	pʰjei	
嬙	tsjaŋ	
嬪	piŋ	
嬭	nai	
嬰	jeŋ	
嬰	əiŋ	
嬸	sim	
嬾	ran	
孀	saŋ	
孀	swaŋ	
孃	njaŋ	
子	tsə	
子	tsɨ	
孑	hjer	
孔	koŋ	
孕	iŋ	
字	tsə	
存	tson	
孝	hjo	
孟	məiŋ	
季	kjei	
孤	ko	
孥	no	
孩	həi	
孫	son	
孰	sjuk	
孱	tsan	
孳	tsə	
學	hək	
孺	zju	
孼	er	
孽	er	
孿	swan	
宅	tʰəik	
宅	təik	
宇	u	
守	sju	
安	an	
宋	soŋ	
完	wan	
宏	koiŋ	
宗	tsoŋ	
官	kwan	
宙	tju	
定	tjeŋ	
定	tsjeŋ	
宜	ɨi	
客	kəik	
宣	sjen	
室	sir	
宦	hwan	
宮	kuŋ	
宰	tsəi	
害	hai	
宴	jen	
宵	sjo	
家	ka	
家	kja	
宸	sin	
宿	sju	
宿	sjuk	
寂	tsjek	
寃	wen	
寄	kɨi	
寅	in	
密	mir	
密	mi	
寇	ku	
富	pu	
寐	məi	
寒	han	
寓	u	
寔	sik	
寗	njeŋ	
察	tsʰar	
寡	kwa	
寢	tsʰim	
寤	o	
寥	rjo	
實	sir	
寧	njeŋ	
寨	tsʰai	
審	sim	
寫	sja	
寬	kwan	
寮	rjo	
寰	hwan	
寶	po	
寸	tsʰon	
寺	si	
寺	sə	
射	sja	
射	ja	
射	sjek	
射	jek	
將	tsjaŋ	
專	tsjen	
尉	ui	
尊	tson	
尋	sim	
對	təi	
導	to	
小	sjo	
少	sjo	
尚	sjaŋ	
尤	u	
就	tsʰjui	
尸	si	
尹	jun	
尺	tsʰjek	
尻	ko	
尻	ku	
尼	ni	
尾	mi	
尿	njo	
屁	pʰi	
屄	pi	
居	ke	
屈	kur	
屋	ok	
屍	si	
屎	si	
屏	pjeŋ	
屐	kɨk	
展	tjen	
屠	to	
屢	ru	
屣	sjei	
屣	səi	
層	tsʰɨŋ	
履	ri	
屩	kjak	
屯	tun	
山	san	
岐	ki	
岑	tsəm	
岔	tsʰa	
岩	am	
岫	sju	
岸	an	
峒	toŋ	
峨	a	
峴	hjen	
島	to	
峻	tsjun	
崇	sjuŋ	
崔	tsʰoi	
崖	ai	
崖	a	
崗	kaŋ	
崛	kur	
嵌	kam	
嵐	nam	
嵩	sjuŋ	
嶂	tsjaŋ	
嶮	hem	
嶷	ek	
嶺	rjeŋ	
嶼	sje	
嶽	ak	
巍	oi	
巒	ran	
巔	tjen	
巖	am	
川	tsʰjen	
州	tju	
州	tsju	
巡	sjun	
巢	so	
工	koŋ	
左	tswa	
左	tsa	
巧	kjo	
巨	ke	
巫	mu	
差	tsʰa	
己	kɨi	
已	i	
巴	pa	
巵	tsi	
巵	tsʰi	
巷	haŋ	
巽	son	
巾	ken	
巾	kin	
巾	kɨn	
市	si	
布	po	
布	pʰo	
帆	pem	
希	hɨi	
帑	tʰaŋ	
帕	pʰa	
帖	tʰjep	
帘	rjem	
帘	rem	
帙	tir	
帛	pəik	
帝	tjei	
帥	sju	
帥	sor	
帨	sjei	
師	sə	
席	sjek	
帳	tjaŋ	
帵	wan	
帶	təi	
帶	tai	
帷	ju	
常	sjaŋ	
帽	mo	
帿	hu	
幀	tʰəiŋ	
幀	tjeŋ	
幃	ui	
幄	ak	
幅	pok	
幌	hwaŋ	
幔	man	
幕	mak	
幘	tsjek	
幡	pen	
幢	taŋ	
幬	to	
幮	tju	
干	kan	
平	pʰjeŋ	
年	njen	
并	pjeŋ	
幸	həiŋ	
幹	kan	
幻	hwan	
幼	ju	
幽	ju	
幾	kɨi	
床	saŋ	
庋	ki	
序	sje	
底	tjei	
底	ti	
底	tsi	
庖	pʰo	
店	tjem	
庚	kjeŋ	
府	pu	
庠	sjaŋ	
度	to	
度	tʰak	
座	tswa	
座	tsa	
庫	ko	
庭	tjeŋ	
庵	am	
庶	sje	
康	kaŋ	
庾	ju	
廁	tsʰi	
廁	tsʰə	
廁	tsʰɨk	
廂	sjaŋ	
廈	ha	
廉	rjem	
廊	raŋ	
廋	su	
廏	ku	
廚	tju	
廛	tjen	
廝	sɨi	
廝	sə	
廟	mjo	
廠	tsʰjaŋ	
廡	mu	
廢	pʰjei	
廣	kwaŋ	
廨	həi	
廩	rɨm	
廬	rje	
廳	tʰjeŋ	
廳	tjeŋ	
延	jen	
廷	tjeŋ	
廻	hoi	
弁	pjen	
弄	roŋ	
弈	hjek	
弊	pʰjei	
弋	ik	
式	sik	
弒	si	
弓	kuŋ	
弔	tjo	
引	in	
引	zin	
弗	pɨr	
弘	hoŋ	
弛	i	
弝	pʰa	
弟	tjei	
弦	hjen	
弧	ho	
弨	tʰjo	
弩	ro	
弭	mi	
弰	sjo	
弰	so	
弱	zjak	
張	tjaŋ	
強	kaŋ	
弼	pʰir	
彀	ku	
彄	ku	
彈	tʰan	
彊	kaŋ	
彌	mi	
彍	hwak	
彎	man	
彗	sju	
彘	tʰjei	
彙	hui	
彝	i	
形	hjeŋ	
彤	toŋ	
彥	en	
彩	tsʰəi	
彫	tjo	
彭	pʰəiŋ	
彰	tsjaŋ	
影	jeŋ	
彷	paŋ	
役	jek	
彼	pʰi	
往	waŋ	
征	tsjeŋ	
待	təi	
徇	sjun	
律	rjur	
後	hu	
徐	sje	
徑	kjeŋ	
徒	to	
得	tɨk	
徙	sə	
徛	kɨi	
御	e	
徧	pjen	
徧	pʰjen	
徨	hwaŋ	
復	pu	
復	pok	
循	sjun	
微	mi	
徵	tiŋ	
德	tek	
徹	tʰjer	
徼	jo	
徼	kjo	
心	sim	
必	pʰir	
忉	to	
忌	kɨi	
忍	zin	
忍	ziŋ	
忒	tʰɨk	
忖	tsʰon	
志	tsi	
忘	maŋ	
忙	maŋ	
忝	tʰjem	
忠	tʰjuŋ	
忤	o	
快	kʰwai	
忮	ki	
念	njem	
念	rjem	
忽	hor	
忿	pun	
怍	tsak	
怒	no	
怕	pʰa	
怖	pʰo	
怜	rjeŋ	
思	sə	
怠	tʰəi	
怡	i	
急	kɨp	
性	sjeŋ	
怨	wen	
怪	koi	
怯	kep	
恁	nim	
恂	tsjun	
恂	sjun	
恃	si	
恆	həŋ	
恕	sje	
恙	jaŋ	
恚	ju	
恚	ɨi	
恚	ei	
恢	hoi	
恣	tsə	
恤	hjur	
恥	tʰi	
恨	hən	
恩	ɨn	
恬	njem	
息	sik	
恰	hɨp	
悄	tsʰjo	
悅	jer	
悉	sir	
悋	rin	
悌	tjei	
悍	han	
悔	hoi	
悖	pəi	
悛	tsjen	
悟	o	
悠	ju	
患	hwan	
悲	pi	
悴	tsʰjwei	
悶	min	
悾	koŋ	
情	tsʰjeŋ	
惑	hok	
惕	tʰjek	
惜	sjek	
惟	ju	
惠	hjei	
惡	o	
惡	ak	
惰	tʰa	
惱	no	
惱	ro	
想	sjaŋ	
惴	tsʰjwei	
惶	hwaŋ	
惹	zja	
惺	sjeŋ	
惻	tsʰɨk	
愁	su	
愆	ken	
愈	ju	
愉	ju	
愍	min	
意	ɨi	
愕	ak	
愚	u	
愛	əi	
感	kam	
愧	koi	
愬	so	
愷	kai	
愽	pak	
愿	wen	
慄	rjur	
慆	to	
慇	ɨn	
慈	tsə	
慊	kjem	
態	tʰəi	
慍	on	
慎	sin	
慕	mo	
慘	tsʰam	
慚	tsʰam	
慝	tʰɨk	
慞	tsjaŋ	
慟	tʰoŋ	
慢	man	
慣	kwan	
慥	tso	
慧	hjei	
慨	kai	
慮	rje	
慰	ui	
慳	kan	
慳	han	
慶	kjeŋ	
慼	tsʰjek	
憂	u	
憊	pɨi	
憍	kjo	
憐	rjen	
憑	piŋ	
憔	tsʰjo	
憚	tʰan	
憤	pun	
憨	ham	
憫	min	
憮	mu	
憲	hen	
憲	hjen	
憶	ek	
憾	kam	
懃	kɨn	
懇	kən	
懈	həi	
應	ɨŋ	
懊	uk	
懜	moŋ	
懥	tʰi	
懦	na	
懷	hoi	
懸	hjen	
懺	tsʰam	
懼	ku	
懽	hwan	
懿	ɨi	
戀	rjen	
戅	taŋ	
戈	kwa	
戊	mu	
戍	sju	
戍	sjur	
戎	zjuŋ	
成	sjeŋ	
我	ai	
我	a	
戒	kjei	
或	hok	
戚	tsʰjek	
戟	kɨk	
戡	kam	
截	tsjer	
戮	rjuk	
戰	tsjen	
戲	ho	
戲	si	
戲	hɨi	
戴	təi	
戶	ho	
戽	ho	
戾	rje	
房	paŋ	
所	so	
扃	kjeŋ	
扅	i	
扆	ɨi	
扇	sjen	
扉	pi	
扊	jem	
手	sju	
才	tsəi	
才	tsə	
扑	pok	
打	tʰa	
托	tʰak	
扛	kaŋ	
扣	ko	
扭	nju	
扮	pan	
扶	pu	
批	pʰi	
承	sɨŋ	
技	ki	
抄	tsʰjo	
把	pʰa	
抑	ek	
抒	sje	
抓	tswa	
抓	kwa	
抔	pu	
投	tʰu	
抖	tu	
折	tsjer	
披	pʰi	
抱	pʰo	
抱	po	
抵	tjei	
抵	tje	
抹	mar	
押	ap	
拂	pɨr	
拄	tju	
担	tan	
拆	tʰak	
拇	mo	
拈	njem	
拈	rjem	
拈	tsjem	
拊	mu	
拍	pak	
拍	pəik	
拐	kwai	
拒	ke	
拔	par	
拖	tʰa	
拘	ku	
招	tʰjo	
拜	pai	
括	kwar	
拭	sik	
拯	tsɨŋ	
拳	kwen	
拶	tsʰar	
拷	ko	
拾	sɨp	
拿	na	
持	ti	
指	tsi	
按	an	
挑	tʰjo	
挨	ai	
挪	na	
振	tsin	
挱	sa	
挹	ɨp	
挽	man	
挾	hjep	
捂	o	
捉	tsʰak	
捏	nar	
捏	njer	
捔	kak	
捕	po	
捗	po	
捨	sja	
捶	tsʰjwei	
捶	tʰju	
捺	nar	
捻	njep	
捻	njem	
捼	na	
掀	hen	
掃	so	
授	sju	
掉	to	
掌	tsjaŋ	
掐	kjep	
排	pəi	
掖	əik	
掠	rjak	
採	tsʰəi	
探	tʰam	
掣	tʰjer	
接	tsjep	
掩	em	
措	tso	
掬	kuk	
揀	kan	
描	mjo	
提	tjei	
提	ri	
插	sap	
揖	ɨp	
揚	jaŋ	
換	hwan	
揜	em	
揝	tsam	
握	ak	
揣	tsʰjwei	
揩	kəi	
揩	həi	
揬	tor	
揭	kei	
揮	hui	
援	wen	
援	wan	
損	son	
搓	tsʰa	
搔	so	
搖	jo	
搘	tsi	
搢	tsin	
搣	mjer	
搦	nəik	
搪	taŋ	
搭	tʰap	
搲	wa	
搵	on	
搶	tsʰaŋ	
搽	tsʰa	
摖	tsjei	
摟	ru	
摧	tsʰoi	
摩	ma	
摳	ku	
摴	tje	
撅	kwer	
撈	ro	
撋	zjen	
撐	tʰəiŋ	
撓	jo	
撕	sɨi	
撚	njen	
撤	tʰjer	
撥	par	
撩	rjo	
撫	mu	
播	pʰa	
撮	tsʰoi	
撮	tsʰwar	
撰	tsʰan	
撰	sjen	
撻	tar	
撼	kam	
撼	ham	
撾	tswa	
撾	kwa	
撿	kem	
擂	roi	
擇	tʰəik	
擊	kjek	
操	tso	
擒	kɨm	
擔	tam	
擗	pjek	
據	ke	
擠	tsjei	
擡	təi	
擡	tʰəi	
擣	to	
擧	ke	
擬	ɨi	
擭	hwa	
擯	pin	
擯	piŋ	
擲	tʰjek	
擹	tʰan	
擻	su	
擾	zjo	
攀	pan	
攄	tʰe	
攎	ro	
攐	ken	
攘	zjaŋ	
攜	hju	
攝	sjep	
攤	tʰan	
攬	ram	
支	tsi	
攱	kwei	
收	sju	
攸	ju	
改	kəi	
攻	koŋ	
放	paŋ	
政	tsjeŋ	
故	ko	
效	hjo	
敍	sje	
敏	min	
救	ku	
敕	tʰik	
敖	o	
敗	pʰai	
敗	pʰa	
教	kjo	
敝	pʰjei	
散	swan	
散	san	
敦	ton	
敬	kjeŋ	
整	tsjeŋ	
敵	tjek	
敷	pu	
數	su	
數	sak	
斂	rjem	
文	mun	
斐	pi	
斑	pan	
斗	tu	
斛	kok	
斜	sje	
斝	ka	
斟	tsim	
斟	tsʰim	
斡	ar	
斤	kɨn	
斥	tsʰjek	
斧	pu	
斬	tsʰam	
斯	sə	
新	sin	
斷	tan	
方	paŋ	
於	o	
於	e	
施	si	
施	i	
斿	ju	
旃	tsjen	
旅	rje	
旋	sjen	
旌	tsjeŋ	
族	tsok	
旗	kɨi	
旛	pen	
既	hɨi	
既	kɨi	
日	zir	
旦	tan	
旦	tjo	
旨	tsi	
早	tso	
旬	sjun	
旰	han	
旱	han	
旻	min	
昂	aŋ	
昃	tsʰəik	
昆	kon	
昇	sɨŋ	
昉	paŋ	
昊	ho	
昌	tsʰjaŋ	
明	mjeŋ	
昏	hon	
易	i	
易	jek	
昔	sjek	
昕	hɨn	
星	sjeŋ	
映	jeŋ	
春	tsʰjun	
昧	məi	
昨	tsak	
昭	sjo	
是	si	
昱	uk	
昷	on	
晁	tjo	
時	si	
晉	tsin	
晌	sjaŋ	
晏	an	
晚	man	
晝	tju	
晡	pʰo	
晦	hoi	
晨	sin	
普	po	
景	kjeŋ	
晴	tsʰjeŋ	
晷	ku	
智	ti	
暄	hwen	
暇	ka	
暈	un	
暉	hui	
暐	ui	
暑	sje	
暖	nan	
暗	am	
暝	mjeŋ	
暪	man	
暫	tsam	
暮	mo	
暴	pʰo	
暾	ton	
曀	jei	
曄	njep	
曆	rjek	
曇	tam	
曉	hjo	
曏	hjaŋ	
曙	sje	
曜	jo	
曠	kwaŋ	
曩	naŋ	
曰	war	
曳	jei	
更	kəiŋ	
更	kjeŋ	
書	sje	
書	sju	
曹	tso	
曼	man	
曾	tsɨŋ	
替	tʰjei	
最	tsʰoi	
會	hoi	
月	wer	
有	ju	
朋	pɨŋ	
服	pok	
朓	tjo	
朔	sak	
朕	tim	
望	maŋ	
朝	tjo	
期	kɨi	
木	mok	
木	mu	
未	mi	
末	mar	
本	pon	
札	tsʰar	
朮	tʰjur	
朱	tsju	
朴	pak	
朵	tʰa	
机	kwei	
朽	hu	
杇	o	
杈	tsʰa	
杉	sam	
