"#符号说明：( )内是前字的繁体字或异体字；“=”表示读书音，口语中不用；加*的汉字表示[ʐ][dʐ]归属、阳上阳去归属缺乏直接资料，以区分这两者的苏州行政区划内的吴语为基准。"		
"#说明：对于《一百年前的苏州话》有而《乡音字类》中没有的字，因《一百年前的苏州话》记音不含声调，则其声调以今音为准。"		
"#调值"	"[1]阴平44 [2]阳平223 [3]阴上51 [4]阳上31 [5]阴去523 [6]阳去2312 [7]阴入4 [8]阳入23"	"备注"
"#tʂ"	"[1]朱珠硃{余~}株吱诛蛛邾铢洙茱诸猪潴之芝知蜘支枝肢卮禔栀祗脂榰 [3]只咫枳轵主拄{~拐}止沚祉趾芷址厎黹{~袜底}渚煮旨指嘴 [5]至贽挚鸷懥致(緻)轾㨖疐踬志(誌)痣帜注(註)疰蛀铸澍馵驻制(製)猘寘忮觯置著翥智炽饎熺晢"	"“黹”在《一百年前的苏州话》中记为[tʂʰʮ]"
"#tʂʰ"	"[1]吹蚩媸嗤枢姝櫖樗摴痴笞瓻絺郗褫摛螭彨鸱 [3]齿耻杵哆侈恀褚楮鼠癙黹 [5]处啻翅"	
"#ʂ"	"[1]书舒纻诗施尸(屍)鸤蓍输妤尿 [3]水抒矢黍暑豕始伃妤 [5]试弑势世贳庶恕戍"	
"#ʐ"	"[2]儒濡襦茹洳如袽鴽时埘鲥漦匙箷 [4]氏乳竖庤痔峙畤恃廌豸{虫~} [6]痓示谥树侍誓逝筮澨噬嗜视(眎)眂孺"	
"#ʐ (原dʐ)"	"[2]储躇除滁篨踟驰池篪趍殊殳蜍厨蹰㡡橱迟墀坻蚳持竾 [4]柱箸羜伫(竚、佇)纻宁苎贮 [6]治(乿)穉稚住滞彘"	
"#ɑ"		
"#tʂ"	"[1]揸{~一把}遮=楂=(樝=)柤=皻= [3]者=赭= [5]蔗=柘="	
"#tʂʰ"	"[1]扯{~篷} [3]扯"	
"#ʂ"	"[1]奢= [3]耍{~货店}舍=(捨=) [5]啥{为~体}赦=舍=厍="	
"#ʐ"	"[2]蛇= [6]社=射="	
"#ʐ (原dʐ)"	"[4]惹*{~动气}"	
"#oŋ"		
"#tʂ"	"[1]钟{做一日和尚撞一日~}锺{姓}妐终{有始有~}螽忠{~信}衷中{~央}盅{酒~} [3]踵肿冢(塚)尰 [5]众{民~}种{芒~}中{~奖}"	
"#tʂʰ"	"[1]充珫冲{~开水}(沖{~開水}、衝{~风，狂风、暴风})种{姓}忡憧罿舂樁穹{~窿山} [3]宠{得~} [5]铳𠑙{人倾扑未倒：~过去跌一交}"	"“舂”《一百年前的苏州话》记作[ʂoŋ]，《乡音字类》记作[tʂʰoŋ]。"
"#ʂ"	"[1]舂{~~烂}"	
"#ʐ"	"[4]冗(宂)氄"	
"#ʐ (原dʐ)"	"[2]虫爞重*{~叠} [6]仲重*{轻~}"	
"#ɑ̃"		
"#tʂ"	"[1]庄{姓}妆{~饰}(糚、粧)装樁{打~} [5]壮{强~}"	
"#tʂʰ"	"[1]窗(牕)疮 [5]创(刱、刅)闯"	
"#ʂ"	"[1]双艭愯泷霜{~降}骦孀"	
"#ʐ"	"[2]撞幢床{~铺} [6]状戆{刚直}"	
"#ã"		
"#tʂ"	"[1]章{文~}樟彰{~明较著}嫜璋獐(麞)张{姓}漳粻 [3]长{~辈}仉掌{手~}涨{水~船高} [5]障{~碍}瘴嶂帐涨幛账胀"	
"#tʂʰ"	"[1]昌猖{~獗}菖阊伥娼{~妓} [3]敞厂{工~}氅{鹤~} [5]畅怅唱倡{提~}昶(㫤)"	
"#ʂ"	"[1]觞伤殇商{~量} [3]赏{~罚}爽{人逢好事精神~}"	
"#ʐ"	"[2]穰禳瀼 [4]壤攘 [6]让尚上"	
"#ʐ (原dʐ)"	"[2]常裳尝鲿偿{~还}肠{肚~}场{商~}长苌嫦 [4]丈杖仗{仰~大力}"	
"#æ"		
"#tʂ"	"[1]昭招{~租}嘲{呕哑~哳}啁朝{今~} [5]照诏沼"	
"#tʂʰ"	"[1]超{高~}怊弨"	
"#ʂ"	"[1]烧 [3]少{多~}"	
"#ʐ"	"[2]韶饶荛娆 [4]扰{~乱}绕{缠~}(遶{围绕})娆 [6]召{~租}"	
"#ʐ (原dʐ)"	"[2]潮{~水}晁(鼂) [4]赵{姓} [6]兆{~头}垗绍{~兴}肇劭邵召"	
"#øʏ"		
"#tʂ"	"[1]周{姓}(週{一~})赒{~济}輖舟州洲诪辀盩 [3]肘帚{扫~}者 [5]昼{~夜}噣咮咒"	
"#tʂʰ"	"[1]抽瘳 [3]丑{小~}(醜{出~}) [5]咻臭{~乳腐}"	
"#ʂ"	"[1]收{~割}奢{~侈} [3]手首守 [5]兽{野~}狩"	
"#ʐ"	"[2]揉蹂糅肉= [4]社*{~会} [6]寿授绶射*"	
"#ʐ (原dʐ)"	"[2]俦畴躇筹{~码}绸{~缎}裯稠柔揉雠{~定}酬{~谢}犨(犫)惆= [4]受 [6]胄酎宙籀纣售{出~}"	
"#oʔ"		
"#tʂ"	"[7]柷祝{姓}粥竹{~筱}竺筑{建~}(築{建~})涿椓琢{雕~}诼啄卓桌{半~}嘱{~托}喌{~~，呼难声}倬斲菿烛瞩斸瘃捉穛篧浞"	
"#tʂʰ"	"[7]触{抵~}歜搐矗{~灯，旧时放在官署或官僚家庭大门两侧的一种成对的高脚灯笼}戳{打一个~子}龊畜{六~}搠{横~枪}束{一~柴}"	
"#ʂ"	"[7]束蹜缩朔{~望}箾嗍{嘴里~进去}槊(矟)叔{~~}菽俶"	
"#ʐ"	"[8]赎{~当头，如期用钱把送到典当铺去当的货物赎出来}属肉朒淑琡孰熟{生~}塾辱{羞~}蓐缛褥鄏溽沭"	
"#ʐ (原dʐ)"	"[8]蜀浊镯濯擢蠋躅逐{追~}舳轴="	
"#əʔ"		
"#tʂ"	"[7]质{~地}锧骘桎织职樴炙{~骨}蹠摭栉汁执詟慴折(摺{~子})褶{~裥}浙{~江}哲淛窒秷挃厔拙棁窋绌{支~}絷哳柮咄这{~个}"	
"#tʂʰ"	"[7]辙{覆~}澈{清~}彻撤硩辄{动~得咎}辍啜醊畷歠罬出{~~进进}(齣{算啥个一~})咄黜怵掣饬敕叱赤尺斥"	"“咄”《一百年前的苏州话》记作[tʂʰəʔ]，《乡音字类》归进[tʂəʔ]"
"#ʂ"	"[7]式{样~}轼拭识{~字}饰室失释{解~}适{~意}螫奭襫说设{建~}湿摄{~影}欇揲刷{板~}"	
"#ʐ"	"[8]十什{~货}拾日驲入{出~}舌寔埴实{老~}蚀{~本}食{火~，每日的饭食，熟食}热石硕袥鼫"	
"#ʐ (原dʐ)"	"[8]姪秩帙(袠)豒术{苍~}(術)秫述直{曲~}值{价~}植{种~}殖陟涉{干~}掷{抛~}踯湜蜇{海~}蛰{惊~}"	
"#ɑʔ"		
"#tʂ"	"[7]禚勺妁灼{豆~}彴斫酌{我搭倷斟~斟~阿有啥个好法子}斮着{~衣裳}汋"	
"#tʂʰ"	"[7]绰{~~有余}㲋㚟婼扱{~过去}"	
"#ʂ"	"[7]烁{闪闪~~}铄"	
"#ʐ"	"[8]若弱{~国}芍{~药}"	
"#ʐ (原dʐ)"	"[8]着*{碰~俚}(𤏸*{烧~哉})"	
