"繁体字"	"简体字"	"国际音标"	"吴语拼音"	"备注"	"调类"	"调值"					
"臥"	"卧"	"ŋɯ213"	"ngou6"		6	213		"ng"	"ou"	"ŋ"	"ɯ"
"火"	"火"	"hɯ44"	"hou3"		3	44		"h"	"ou"	"h"	"ɯ"
"貨"	"货"	"hɯ423"	"hou5"		5	423		"h"	"ou"	"h"	"ɯ"
"和"	"和"	"ɦɯ24"	"ghou2"		2	24		"gh"	"ou"	"ɦ"	"ɯ"
"禍"	"祸"	"ɦɯ31"	"ghou4"		4	31		"gh"	"ou"	"ɦ"	"ɯ"
"窠"	"窠"	"kʰɯ53"	"khou1"		1	53		"kh"	"ou"	"kʰ"	"ɯ"
"窩"	"窝"	"ɯ53"	"ou1"		1	53			"ou"		"ɯ"
"靴"	"靴"	"ɕio53"	"shio1"		1	53		"sh"	"io"	"ɕ"	"io"
"瘸"	"瘸"	"dʑio24"	"jio2"		2	24		"j"	"io"	"dʑ"	"io"
"巴"	"巴"	"pu53"	"pu1"	"【白读】嘴~；尾~；~城（江苏昆山地名）。"	1	53		"p"	"u"	"p"	"u"
"巴"	"巴"	"pɑ53"	"pa1"	"【文读】~西；~士。"	1	53		"p"	"a"	"p"	"ɑ"
"疤"	"疤"	"pu53"	"pu1"		1	53		"p"	"u"	"p"	"u"
"芭"	"芭"	"pu53"	"pu1"	"【白读】~蕉。"	1	53		"p"	"u"	"p"	"u"
"芭"	"芭"	"pɑ53"	"pa1"	"【文读】~蕾。"	1	53		"p"	"a"	"p"	"ɑ"
"吧"	"吧"	"bɑ"	"ba"	"外语bar的音译：酒~。"				"b"	"a"	"b"	"ɑ"
"把"	"把"	"pu44"	"pu3"		3	44		"p"	"u"	"p"	"u"
"把"	"把"	"pɑ44"	"pa3"	"【文读】（只在读书时用）"	3	44		"p"	"a"	"p"	"ɑ"
"霸"	"霸"	"pu423"	"pu5"		5	423		"p"	"u"	"p"	"u"
"怕"	"怕"	"pʰu423"	"phu5"		5	423		"ph"	"u"	"pʰ"	"u"
"爬"	"爬"	"bu24"	"bu2"		2	24		"b"	"u"	"b"	"u"
"杷"	"杷"	"bu24"	"bu2"		2	24		"b"	"u"	"b"	"u"
"媽"	"妈"	"mɑ53"	"ma1"		1	53		"m"	"a"	"m"	"ɑ"
"麻"	"麻"	"mu24"	"mu2"		2	24		"m"	"u"	"m"	"u"
"馬"	"马"	"mu31"	"mu4"	"【白读】"	4	31		"m"	"u"	"m"	"u"
"馬"	"马"	"mɑ31"	"ma4"	"【文读】"	4	31		"m"	"a"	"m"	"ɑ"
"馬"	"马"	"mɑ53"	"ma1"	"【文读】~虎。"	1	53		"m"	"a"	"m"	"ɑ"
"瑪"	"玛"	"mu31"	"mu4"	"【白读】~瑙。"	4	31		"m"	"u"	"m"	"u"
"瑪"	"玛"	"mɑ31"	"ma4"	"【文读】多用于外语音译的人名、地名。"	4	31		"m"	"a"	"m"	"ɑ"
"碼"	"码"	"mu31"	"mu4"		4	31		"m"	"u"	"m"	"u"
"罵"	"骂"	"mu213"	"mu6"		6	213		"m"	"u"	"m"	"u"
"拿"	"拿"	"nu24"	"nu2"	"【白读】"	2	24		"n"	"u"	"n"	"u"
"拿"	"拿"	"nɑ24"	"na2"	"【文读】加~大。"	2	24		"n"	"a"	"n"	"ɑ"
"茶"	"茶"	"dzu24"	"dzu2"		2	24		"dz"	"u"	"dz"	"u"
"渣"	"渣"	"tsu53"	"tsu1"		1	53		"ts"	"u"	"ts"	"u"
"詐"	"诈"	"tsu423"	"tsu5"		5	423		"ts"	"u"	"ts"	"u"
"炸"	"炸"	"tsu423"	"tsu5"	"爆~；~弹。"	5	423		"ts"	"u"	"ts"	"u"
"叉"	"叉"	"tsʰu53"	"tshu1"		1	53		"tsh"	"u"	"tsʰ"	"u"
"差"	"差"	"tsʰu53"	"tshu1"		1	53		"tsh"	"u"	"tsʰ"	"u"
"差"	"差"	"tsʰɿ53"	"tshy1"	"参~。"	1	53		"tsh"	"y"	"tsʰ"	"ɿ"
"岔"	"岔"	"tsʰu423"	"tshu5"		5	423		"tsh"	"u"	"tsʰ"	"u"
"查"	"查"	"dzu24"	"dzu2"		2	24		"dz"	"u"	"dz"	"u"
"沙"	"沙"	"su53"	"su1"		1	53		"s"	"u"	"s"	"u"
"紗"	"纱"	"su53"	"su1"		1	53		"s"	"u"	"s"	"u"
"灑"	"洒"	"sɑ44"	"sa3"		3	44		"s"	"a"	"s"	"ɑ"
"釃"	"酾"	"sɑ53"	"sa1"	"倒：~酒。"	1	53		"s"	"a"	"s"	"ɑ"
"釃"	"酾"	"sɿ53"	"sy1"		1	53		"s"	"y"	"s"	"ɿ"
"加"	"加"	"kɑ53"	"ka1"		1	53		"k"	"a"	"k"	"ɑ"
"嘉"	"嘉"	"kɑ53"	"ka1"	"【白读】~定（上海地名，北宋年号）；~兴，~善，永~（浙江地名）。"	1	53		"k"	"a"	"k"	"ɑ"
"嘉"	"嘉"	"tɕiɑ53"	"cia1"	"【文读】~奖；~庆（清朝年号）。"	1	53		"c"	"ia"	"tɕ"	"iɑ"
"家"	"家"	"kɑ53"	"ka1"	"【白读】一~人；大~；人~。"	1	53		"k"	"a"	"k"	"ɑ"
"家"	"家"	"tɕiɑ53"	"cia1"	"【文读】国~；~庭；~教。"	1	53		"c"	"ia"	"tɕ"	"iɑ"
"傢"	"家"	"kɑ53"	"ka1"	"【白读】"	1	53		"k"	"a"	"k"	"ɑ"
"傢"	"家"	"tɕiɑ53"	"cia1"	"【文读】"	1	53		"c"	"ia"	"tɕ"	"iɑ"
"假"	"假"	"kɑ44"	"ka3"	"与“真”相对。"	3	44		"k"	"a"	"k"	"ɑ"
"假"	"假"	"kɑ423"	"ka5"	"放~。"	5	423		"k"	"a"	"k"	"ɑ"
"賈"	"贾"	"kɑ44"	"ka3"	"【白读】姓。"	3	44		"k"	"a"	"k"	"ɑ"
"賈"	"贾"	"tɕiɑ44"	"cia3"	"【文读】姓。"	3	44		"c"	"ia"	"tɕ"	"iɑ"
"賈"	"贾"	"ku44"	"ku3"	"商~。"	3	44		"k"	"u"	"k"	"u"
"稼"	"稼"	"kɑ423"	"ka5"	"【白读】庄~；召~楼（上海闵行地名）。"	5	423		"k"	"a"	"k"	"ɑ"
"稼"	"稼"	"tɕiɑ423"	"cia5"	"【文读】庄~。"	5	423		"c"	"ia"	"tɕ"	"iɑ"
"嫁"	"嫁"	"kɑ423"	"ka5"	"【白读】出~。"	5	423		"k"	"a"	"k"	"ɑ"
"嫁"	"嫁"	"tɕiɑ423"	"cia5"	"【文读】~接。"	5	423		"c"	"ia"	"tɕ"	"iɑ"
"架"	"架"	"kɑ423"	"ka5"		5	423		"k"	"a"	"k"	"ɑ"
"駕"	"驾"	"kɑ423"	"ka5"	"【白读】接~；接~桥（江苏苏州地名）；腾~桥（上海浦东地名）。"	5	423		"k"	"a"	"k"	"ɑ"
"駕"	"驾"	"tɕiɑ423"	"cia5"	"【文读】~驶。"	5	423		"c"	"ia"	"tɕ"	"iɑ"
"價"	"价"	"kɑ423"	"ka5"	"【白读】~钱（俗写作“~钿”）。"	5	423		"k"	"a"	"k"	"ɑ"
"價"	"价"	"tɕiɑ423"	"cia5"	"【文读】~格；~值。"	5	423		"c"	"ia"	"tɕ"	"iɑ"
"牙"	"牙"	"ŋɑ24"	"nga2"		2	24		"ng"	"a"	"ŋ"	"ɑ"
"芽"	"芽"	"ŋɑ24"	"nga2"		2	24		"ng"	"a"	"ŋ"	"ɑ"
"衙"	"衙"	"ŋɑ24"	"nga2"		2	24		"ng"	"a"	"ŋ"	"ɑ"
"雅"	"雅"	"io44"	"io3"	"【文读】"	3	44			"io"		"io"
"霞"	"霞"	"io53"	"io1"	"【文读】"	1	53			"io"		"io"
"下"	"下"	"ɦu31"	"wu4"	"【白读】"	4	31		"w"	"u"	"ɦ"	"u"
"下"	"下"	"ɦio31"	"yo4"	"【文读】陛~。"	4	31		"y"	"o"	"ɦ"	"io"
"夏"	"夏"	"ɦu31"	"wu4"	"姓；朝代名。"	4	31		"w"	"u"	"ɦ"	"u"
"夏"	"夏"	"ɦu213"	"wu6"	"季节。"	6	213		"w"	"u"	"ɦ"	"u"
"鴉"	"鸦"	"u53"	"u1"	"【白读】老~；水老~；~鹊。"	1	53			"u"		"u"
"鴉"	"鸦"	"iɑ53"	"ia1"	"【文读】~片；涂~。"	1	53			"ia"		"iɑ"
"丫"	"丫"	"u53"	"u1"		1	53			"u"		"u"
"啞"	"哑"	"u44"	"u3"	"【白读】~巴。"	3	44			"u"		"u"
"啞"	"哑"	"iɑ44"	"ia3"	"【文读】沙~。"	3	44			"ia"		"iɑ"
"亞"	"亚"	"u53"	"u1"	"【白读】~细~；东~饭店。"	1	53			"u"		"u"
"亞"	"亚"	"io53"	"io1"	"【文读】~洲。"	1	53			"io"		"io"
"姐"	"姐"	"tsiɑ44"	"tsia3"	"【白读】"	3	44		"ts"	"ia"	"ts"	"iɑ"
"姐"	"姐"	"tsi44"	"tsi3"	"【文读】"	3	44		"ts"	"i"	"ts"	"i"
"借"	"借"	"tsiɑ423"	"tsia5"		5	423		"ts"	"ia"	"ts"	"iɑ"
"且"	"且"	"tsʰiɑ44"	"tshia3"	"【白读】"	3	44		"tsh"	"ia"	"tsʰ"	"iɑ"
"且"	"且"	"tsʰi44"	"tshi3"	"【文读】而~。"	3	44		"tsh"	"i"	"tsʰ"	"i"
"笡"	"笡"	"tsʰiɑ423"	"tshia5"	"斜。"	5	423		"tsh"	"ia"	"tsʰ"	"iɑ"
"寫"	"写"	"siɑ44"	"sia3"		3	44		"s"	"ia"	"s"	"iɑ"
"瀉"	"泻"	"siɑ423"	"sia5"		5	423		"s"	"ia"	"s"	"iɑ"
"卸"	"卸"	"siɑ423"	"sia5"		5	423		"s"	"ia"	"s"	"iɑ"
"邪"	"邪"	"ziɑ24"	"zia2"		2	24		"z"	"ia"	"z"	"iɑ"
"邪"	"邪"	"ɦiɑ24"	"ya2"	"莫~。"	2	24		"y"	"a"	"ɦ"	"iɑ"
"斜"	"斜"	"ziɑ24"	"zia2"		2	24		"z"	"ia"	"z"	"iɑ"
"謝"	"谢"	"ziɑ213"	"zia6"		6	213		"z"	"ia"	"z"	"iɑ"
"爹"	"爹"	"tiɑ53"	"tia1"		1	53		"t"	"ia"	"t"	"iɑ"
"遮"	"遮"	"tsu53"	"tsu1"		1	53		"ts"	"u"	"ts"	"u"
"遮"	"遮"	"tʂɑ53"	"ca1"	"奢~（聪明）。"	1	53		"c"	"a"	"tʂ"	"ɑ"
"者"	"者"	"tʂᴇ44"	"cei3"	"【文读】作~；知乎~也；或~。"	3	44		"c"	"ei"	"tʂ"	"ᴇ"
"蔗"	"蔗"	"tsu423"	"tsu5"		5	423		"ts"	"u"	"ts"	"u"
"車"	"车"	"tsʰu53"	"tshu1"		1	53		"tsh"	"u"	"tsʰ"	"u"
"車"	"车"	"tɕi53"	"ci1"	"象棋棋子。"	1	53		"c"	"i"	"tɕ"	"i"
"扯"	"扯"	"tʂʰɑ44"	"cha3"		3	44		"ch"	"a"	"tʂʰ"	"ɑ"
"蛇"	"蛇"	"dzu24"	"dzu2"		2	24		"dz"	"u"	"dz"	"u"
"射"	"射"	"dzu213"	"dzu6"	"【白读】~击。"	6	213		"dz"	"u"	"dz"	"u"
"射"	"射"	"ʐᴇ213"	"zhei6"	"【文读】高~炮；~阳（江苏地名）。"	6	213		"zh"	"ei"	"ʐ"	"ᴇ"
"射"	"射"	"zɔʔ23"	"zaoq8"	"~箭。"	8	23		"z"	"aoq"	"z"	"ɔʔ"
"射"	"射"	"dzɑ213"	"dza6"	"排泄。"	6	213		"dz"	"a"	"dz"	"ɑ"
"賒"	"赊"	"su53"	"su1"		1	53		"s"	"u"	"s"	"u"
"舍"	"舍"	"su423"	"su5"	"【白读】"	5	423		"s"	"u"	"s"	"u"
"舍"	"舍"	"ʂᴇ423"	"shei5"	"【文读】宿~。"	5	423		"sh"	"ei"	"ʂ"	"ᴇ"
"舍"	"舍"	"ʂᴇ423"	"shei5"	"杨~（江苏张家港地名）；杨~（亦作“杨扇”，上海青浦地名）。可能是“舍”的儿化音。"	5	423		"sh"	"ei"	"ʂ"	"ᴇ"
"捨"	"舍"	"su44"	"su3"	"~勿得。"	3	44		"s"	"u"	"s"	"u"
"厙"	"厍"	"su423"	"su5"		5	423		"s"	"u"	"s"	"u"
"赦"	"赦"	"su423"	"su5"		5	423		"s"	"u"	"s"	"u"
"社"	"社"	"zu213"	"zu6"		6	213		"z"	"u"	"z"	"u"
"喏"	"喏"	"dzu31"	"dzu4"	"唱~（拜祖宗）。"	4	31		"dz"	"u"	"dz"	"u"
"惹"	"惹"	"dʐɑ31"	"ja4"		4	31		"j"	"a"	"dʐ"	"ɑ"
"爺"	"爷"	"ɦiɑ24"	"ya2"		2	24		"y"	"a"	"ɦ"	"iɑ"
"耶"	"耶"	"ɦiɑ24"	"ya2"		2	24		"y"	"a"	"ɦ"	"iɑ"
"椰"	"椰"	"ɦiɑ24"	"ya2"		2	24		"y"	"a"	"ɦ"	"iɑ"
"揶"	"揶"	"ɦiɑ24"	"ya2"		2	24		"y"	"a"	"ɦ"	"iɑ"
"也"	"也"	"ɦiɑ31"	"ya4"		4	31		"y"	"a"	"ɦ"	"iɑ"
"野"	"野"	"ɦiɑ31"	"ya4"		4	31		"y"	"a"	"ɦ"	"iɑ"
"冶"	"冶"	"ɦiɑ31"	"ya4"	"【白读】"	4	31		"y"	"a"	"ɦ"	"iɑ"
"冶"	"冶"	"ɦie31"	"ye4"	"【文读】"	4	31		"y"	"e"	"ɦ"	"ie"
"夜"	"夜"	"ɦiɑ213"	"ya6"		6	213		"y"	"a"	"ɦ"	"iɑ"
"瓜"	"瓜"	"ku53"	"ku1"		1	53		"k"	"u"	"k"	"u"
"寡"	"寡"	"ku44"	"ku3"		3	44		"k"	"u"	"k"	"u"
"誇"	"夸"	"kʰu53"	"khu1"		1	53		"kh"	"u"	"kʰ"	"u"
"垮"	"垮"	"kʰu44"	"khu3"		3	44		"kh"	"u"	"kʰ"	"u"
"跨"	"跨"	"kʰu423"	"khu5"		5	423		"kh"	"u"	"kʰ"	"u"
"瓦"	"瓦"	"ŋu31"	"ngu4"		4	31		"ng"	"u"	"ŋ"	"u"
"花"	"花"	"hu53"	"hu1"		1	53		"h"	"u"	"h"	"u"
"化"	"化"	"hu423"	"hu5"		5	423		"h"	"u"	"h"	"u"
"華"	"华"	"ɦu24"	"wu2"		2	24		"w"	"u"	"ɦ"	"u"
"華"	"华"	"hu53"	"hu1"	"龙~，法~（上海徐汇地名）；法~桥（上海奉贤地名）。"	1	53		"h"	"u"	"h"	"u"
"劃"	"划"	"ɦu24"	"wu2"	"~船。"	2	24		"w"	"u"	"ɦ"	"u"
"補"	"补"	"pu44"	"pu3"		3	44		"p"	"u"	"p"	"u"
"譜"	"谱"	"pu44"	"pu3"		3	44		"p"	"u"	"p"	"u"
"布"	"布"	"pu423"	"pu5"		5	423		"p"	"u"	"p"	"u"
"鋪"	"铺"	"pʰu53"	"phu1"		1	53		"ph"	"u"	"pʰ"	"u"
"普"	"普"	"pʰu44"	"phu3"		3	44		"ph"	"u"	"pʰ"	"u"
"浦"	"浦"	"pʰu44"	"phu3"		3	44		"ph"	"u"	"pʰ"	"u"
"蒲"	"蒲"	"bu24"	"bu2"		2	24		"b"	"u"	"b"	"u"
"菩"	"菩"	"bu24"	"bu2"		2	24		"b"	"u"	"b"	"u"
"部"	"部"	"bu31"	"bu4"		4	31		"b"	"u"	"b"	"u"
"簿"	"簿"	"bu31"	"bu4"		4	31		"b"	"u"	"b"	"u"
"捕"	"捕"	"bu213"	"bu6"		6	213		"b"	"u"	"b"	"u"
"步"	"步"	"bu213"	"bu6"		6	213		"b"	"u"	"b"	"u"
"模"	"模"	"mu24"	"mu2"		2	24		"m"	"u"	"m"	"u"
"暮"	"暮"	"mu213"	"mu6"		6	213		"m"	"u"	"m"	"u"
"慕"	"慕"	"mu213"	"mu6"		6	213		"m"	"u"	"m"	"u"
"墓"	"墓"	"mu213"	"mu6"		6	213		"m"	"u"	"m"	"u"
"墓"	"墓"	"m̩213"	"m6"	"陆~（江苏苏州地名）；严~（江苏吴江地名）；陈~（江苏昆山地名）。"	6	213			"m"		"m̩"
"募"	"募"	"mu213"	"mu6"		6	213		"m"	"u"	"m"	"u"
"都"	"都"	"tɯ53"	"tou1"		1	53		"t"	"ou"	"t"	"ɯ"
"賭"	"赌"	"tɯ44"	"tou3"		3	44		"t"	"ou"	"t"	"ɯ"
"堵"	"堵"	"tɯ44"	"tou3"		3	44		"t"	"ou"	"t"	"ɯ"
"肚"	"肚"	"tɯ44"	"tou3"	"胃：牛~；猪~。"	3	44		"t"	"ou"	"t"	"ɯ"
"妒"	"妒"	"tɯ423"	"tou5"		5	423		"t"	"ou"	"t"	"ɯ"
"土"	"土"	"tʰɯ44"	"thou3"		3	44		"th"	"ou"	"tʰ"	"ɯ"
"吐"	"吐"	"tʰɯ44"	"thou3"		3	44		"th"	"ou"	"tʰ"	"ɯ"
"兔"	"兔"	"tʰɯ423"	"thou5"		5	423		"th"	"ou"	"tʰ"	"ɯ"
"徒"	"徒"	"dɯ24"	"dou2"		2	24		"d"	"ou"	"d"	"ɯ"
"途"	"途"	"dɯ24"	"dou2"		2	24		"d"	"ou"	"d"	"ɯ"
"塗"	"涂"	"dɯ24"	"dou2"		2	24		"d"	"ou"	"d"	"ɯ"
"圖"	"图"	"dɯ24"	"dou2"		2	24		"d"	"ou"	"d"	"ɯ"
"屠"	"屠"	"dɯ24"	"dou2"		2	24		"d"	"ou"	"d"	"ɯ"
"杜"	"杜"	"dɯ31"	"dou4"		4	31		"d"	"ou"	"d"	"ɯ"
"肚"	"肚"	"dɯ31"	"dou4"	"腹部：~皮。"	4	31		"d"	"ou"	"d"	"ɯ"
"度"	"度"	"dɯ213"	"dou6"		6	213		"d"	"ou"	"d"	"ɯ"
"渡"	"渡"	"dɯ213"	"dou6"		6	213		"d"	"ou"	"d"	"ɯ"
"鍍"	"镀"	"dɯ213"	"dou6"		6	213		"d"	"ou"	"d"	"ɯ"
"奴"	"奴"	"nɯ24"	"nou2"		2	24		"n"	"ou"	"n"	"ɯ"
"努"	"努"	"nɯ31"	"nou4"		4	31		"n"	"ou"	"n"	"ɯ"
"怒"	"怒"	"nɯ213"	"nou6"		6	213		"n"	"ou"	"n"	"ɯ"
"盧"	"卢"	"lɯ24"	"lou2"		2	24		"l"	"ou"	"l"	"ɯ"
"爐"	"炉"	"lɯ24"	"lou2"		2	24		"l"	"ou"	"l"	"ɯ"
"蘆"	"芦"	"lɯ24"	"lou2"		2	24		"l"	"ou"	"l"	"ɯ"
"擼"	"撸"	"lɯ53"	"lou1"		1	53		"l"	"ou"	"l"	"ɯ"
"魯"	"鲁"	"lɯ31"	"lou4"		4	31		"l"	"ou"	"l"	"ɯ"
"櫓"	"橹"	"lɯ31"	"lou4"		4	31		"l"	"ou"	"l"	"ɯ"
"露"	"露"	"lɯ213"	"lou6"		6	213		"l"	"ou"	"l"	"ɯ"
"路"	"路"	"lɯ213"	"lou6"		6	213		"l"	"ou"	"l"	"ɯ"
"租"	"租"	"tsɯ53"	"tsou1"		1	53		"ts"	"ou"	"ts"	"ɯ"
"祖"	"祖"	"tsɯ44"	"tsou3"		3	44		"ts"	"ou"	"ts"	"ɯ"
"組"	"组"	"tsɯ44"	"tsou3"		3	44		"ts"	"ou"	"ts"	"ɯ"
"粗"	"粗"	"tsʰɯ53"	"tshou1"		1	53		"tsh"	"ou"	"tsʰ"	"ɯ"
"醋"	"醋"	"tsʰɯ423"	"tshou5"		5	423		"tsh"	"ou"	"tsʰ"	"ɯ"
"挫"	"挫"	"tsʰɯ423"	"tshou5"		5	423		"tsh"	"ou"	"tsʰ"	"ɯ"
"措"	"措"	"tsʰɯ423"	"tshou5"		5	423		"tsh"	"ou"	"tsʰ"	"ɯ"
"錯"	"错"	"tsʰɯ423"	"tshou5"		5	423		"tsh"	"ou"	"tsʰ"	"ɯ"
"錯"	"错"	"tsʰu53"	"tshu1"	"本字或为“差”。"	1	53		"tsh"	"u"	"tsʰ"	"u"
"蘇"	"苏"	"sɯ53"	"sou1"		1	53		"s"	"ou"	"s"	"ɯ"
"酥"	"酥"	"sɯ53"	"sou1"		1	53		"s"	"ou"	"s"	"ɯ"
