"例字"	"中古音"	"电白龙山海话"	"罗定漳州话"	"湛江雷州黎话"	"吴川兰石东话"	"说明：兰石东话 阴平 33 家多初开 阳平 22 牙河图鱼 阴上 31 左把假女 阳上 42 午谢异硬 阴去 44 化废放布 阴入 5 发括得绩 阳入 2 活越贼局 升降调 453 之爸血百"
"茄"	"果开一平戈群"	"kʰɛ22"	"kʰe24"	"kio22"	"kʰɛ22"	"4.3.1、阴平字读高升调 45，但有些字读 55，系粤语读音。
4.3.2、阳平读 213，但有部分字读 22。
 4.3.3、阳上调有时听感上象平调，但有轻微下降趋势，本文记为 443。
4.3.4、浊上字读平降调，但有些字读 24 调，属粤语读音。
4.3.5、粤语有三个入声调，其中下阴入声调为 3。受此影响，读闽语时，
会把属于粤语下阴入的字读成与之接近的阳入。例如：“擦”读 tshat2。"
"波"	"果合一平戈帮"	"pɔ33"	"po55"	"po24"	"ɓɔ33"	
"坡"	"果合一平戈滂"	"pʰɔ33"	"po45"	"pʰo24"	"pʰɔ33"	
"破"	"果合一平过滂"	"pʰua44"	"pʰua31"	"pʰua21"	"pʰu44"	
"婆"	"果合一平戈并"	"pɔ22"	"po24"	"pʰo22"	"ɓɔ22/pʰɔ22"	
"磨～刀"	"果合一平戈明"	"wua22"	"ɓua24"	"mo22"	"pʰu22"	
"磨石～"	"果合一去过明"	"wua22"	"ɓua24"	"ɓua22"	"mɔ22"	
"朵"	"果合一过去端"	"pʰa33"	"——"	"tʰo453"	"ɗɛ31"	
"糯"	"果合一过去泥"	"ʦuk2"	"ʦut2"	"ʦuk2"	"tut2"	
"螺"	"果合一平戈来"	"lia22"	"lua24"	"lɛ22"	"lœ22"	
"锉"	"果合一去过清"	"tsʰɔ44"	"tsʰo31"	"tsʰo22"	"sɔ44"	
"坐"	"果合一上果从"	"ʦɛ42"	"ʦe443"	"ʦɛ33"	"ʦɛ42"	
"座"	"果合一去过从"	"ʦɛ42"	"ʦo31"	"ʦo453"	"ʦɛ42"	
"梭"	"果合一平戈心"	"ɬɔi33"	"sua45"	"so24"	"ɬœ22"	
"锁"	"果合一上果心"	"ɬɔ31"	"so451"	"so41"	"ɬɛ31"	
"果"	"果合一上果见"	"kua31"	"ko451"	"kuɛ41"	"kɔ31/kuɔ31"	
"过"	"果合一去过见"	"kɔi44"	"kue31"	"kuɛ21"	"koi44"	
"课"	"果合一去过溪"	"kʰua44"	"hue31"	"kʰo21"	"fɔ44"	
"火"	"果合一上果晓"	"hɔi31"	"hue451"	"huɛ41/ho41"	"hoi31"	
"货"	"果合一去戈晓"	"hɔi44"	"hue31"	"huɛ21"	"hoi44"	
"禾"	"果合一平戈匣"	"hɔ22/tiu42"	"tiu443"	"ta22/ho22"	"ɗiu42"	
"祸"	"果合一上果匣"	"ua42"	"uo24"	"huɛ33/ho453"	"u42"	
"靴"	"果合三平戈晓"	"hɛ53"	"he45"	"kʰuɛ24/siɛ453"	"hɛ453"	
"疤"	"假开二平麻帮"	"pa33"	"na45"	"ɓa453"	"——"	
"把"	"假开二上马帮"	"pa31"	"——"	"pɛ41"	"ɓɛ31"	
"霸"	"假开二去禡帮"	"pa44"	"——"	"pa21"	"ɓa44"	
"怕"	"假开二去禡滂"	"kia33"	"kia45"	"kia24/pʰa21"	"kia33"	
"爬"	"假开二平麻并"	"pia22"	"pe24"	"pʰa22/niau22"	"pʰa22"	
"耙犁～"	"假开二去禡并"	"pia22"	"pe443"	"pɛ22"	"ɓɛ22"	
"麻"	"假开二平麻明"	"mua22"	"ɓe24"	"mua22"	"mu22"	
"马"	"假开二上马明"	"wia31"	"ɓe451"	"ɓɛ41/ma41"	"pʰɛ31"	
"骂"	"假开二去禡明"	"mia33"	"ɓe24"	"mɛ24/ma453"	"mɛ33"	
"拿"	"假开二平麻泥"	"niam53/na22"	"pʰe24"	"lia453/na453"	"ȵou33"	
"茶"	"假开二平麻澄"	"tia22"	"te24"	"tɛ22/tsʰa22"	"sa22"	
"榨"	"假开二去禡庄"	"ʦa44"	"kʰe451"	"ʦa21"	"ta44"	
"叉"	"假开二平麻初"	"tsʰia33"	"tsʰie45"	"tsʰa24"	"ta44"	
"查调～"	"假开二平麻崇"	"tsʰa22"	"tsʰie24"	"tsʰa22"	"sa22"	
"沙"	"假开二平麻生"	"ɬua33"	"sua45"	"sua24"	"ɬu33/ɬa33"	
"家"	"假开二平麻见"	"kia33"	"ke45"	"kɛ24/kia24"	"kɛ33"	
"加"	"假开二平麻见"	"kia33"	"ke45"	"kɛ24"	"kɛ44"	
"假真～"	"假开二上马见"	"kia31"	"ke451"	"kɛ41"	"kɛ31"	
"嫁"	"假开二去禡见"	"kia44"	"ke31"	"kɛ41"	"kɛ44"	
"牙"	"假开二平麻疑"	"kia22"	"ŋe24"	"ŋɛ22/ia22"	"kɛ22"	
"虾"	"假开二平麻晓"	"hia33"	"he45"	"hɛ22"	"hɛ33"	
"下方位"	"假开二上马匣"	"ia42"	"e443"	"hŋia453"	"ɛ42"	
"下动词"	"假开二去禡匣"	"lɔ42"	"e443"	"lo33/hŋia453"	"lɔ42"	
"哑"	"假开二上马影"	"ia31"		"ɛ41"	"ɛ31"	
"姐"	"假开三上马精"	"ʦiɛ53"	"ʦia451"	"ʦɛ41/ʦɛ453"	"ʦɛ31"	
"借"	"假开三去禡精"	"ʦiau53"	"ʦyo451"	"ʦio453"	"ʦɔ453"	
"写"	"假开三上马心"	"ɬia31"	"sia451"	"sia41/siɛ41"	"ɬia31"	
"泻"	"假开三去禡心"	"——"	"sia31"	"sia21"	"ɬia31"	
"邪"	"假开三平麻邪"	"tsʰia22"	"tsʰia24"	"sɛ22"	"sɛ22"	
"斜"	"假开三平麻邪"	"tsʰia22"	"tsʰia24"	"sia22"	"sɛ22"	
"谢"	"假开三去禡邪"	"ɬia42/ʦia33"	"ʦia331"	"ʦia24"	"ʦɛ42"	
"遮"	"假开三平麻章"	"ʦa42"	"ia45"	"ʦia24/ʦiɛ453"	"ʦa453"	
"蔗"	"假开三去禡章"	"ʦia44"	"ʦia31"	"ʦia41"	"ʦa44"	
"车"	"假开三平麻昌"	"tsʰia33"	"tsʰia45"	"tsʰia24"	"sa33"	
"扯"	"假开三上马昌"	"——"	"ɓan451"	"tsʰɛ41"	"——"	
"蛇"	"假开三平麻船"	"ʣua22"	"ʦua24"	"ʦua22/sɛ22"	"tu22"	
"射"	"假开三去禡船"	"ɬia42"	"ʦua443"	"sia24"	"ɬia44"	
"赊"	"假开三平麻书"	"ɬia33"	"sia24"	"sia24"	"ɬia33"	
"舍～不得"	"假开三上马书"	"ɬia31"	"sia451"	"siɛ41"	"ɬia31"	
"社"	"假开三上马禅"	"ɬia42"	"sia443"	"siɛ453/sia453"	"ɬia42"	
"惹"	"假开三上马日"	"ia31"	"ia451"	"ia41"	"jia31"	
"爷"	"假开三平麻以"	"koŋ53"	"ia24"	"jiɛ41"	"jiɛ22/jiɛ453"	
"野"	"假开三上马以"	"ia31"	"ia451"	"jiɛ41"	"jia31"	
"夜"	"假开三去禡以"	"mia22"	"ɓe24"	"mɛ22/jiɛ453"	"mɛ22"	
"也"	"假开三上马以"	"jia33"	"ia24"	"jiɛ22"	"jiɛ33"	
"瓜"	"假合二平麻见"	"kɔi33"	"kue45"	"kuɛ24"	"kuɛ33"	
"垮"	"假合二上以溪"	"kʰua31"	"lam31"	"kʰua453"	"——"	
"瓦"	"假合二上马疑"	"ŋa31"	"hia443"	"wa22/hia41"	"hia42/ŋa42"	
"花"	"假合二平麻晓"	"hɔi33"	"hue45"	"huɛ24"	"fɛ33"	
"化"	"假合二去禡晓"	"hua44"	"hua31"	"hua21"	"fɛ44"	
"华"	"假开三平麻匣"	"hua22"	"hua24"	"hua22"	"wa22"	
"补"	"遇合一上姥帮"	"pɛu31"	"pou451"	"pɛu41"	"ɓɛu31"	
"布"	"遇合一去暮帮"	"pɛu44"	"pou31"	"pɛu21"	"ɓɛu44/ɓu44"	
"菩"	"遇合一平模并"	"pɔ22"	"pʰu24"	"pʰu22"	"pʰɔ22"	
"铺～设"	"遇合一平模滂"	"pɛu33"	"pʰou45"	"pʰɛu21"	"pʰy33"	
"部"	"遇合一上姥并"	"pu42"	"pou443"	"pu453/pɛu453"	"pʰɛu42/ɓu42"	
"簿账～"	"遇合一上姥并"	"pɛu42"	"pou443"	"pʰɛu33/pu453"	"pʰɛu42"	
"步"	"遇合一去暮并"	"pu42"	"pou443"	"pɛu24/pu453"	"ɓɛu33/ɓu42"	
"墓"	"遇合一去暮明"	"mɛu33"	"ɓou443"	"mɛu24"	"mɛu33"	
"都"	"遇合一平模端"	"tɛu33"	"tu45"	"tɛu24/tu24"	"ɗɛu33/ɗu33"	
"赌"	"遇合一上姥端"	"tu31"	"tou451"	"tu41"	"du31"	
"肚猪～"	"遇合一上姥端"	"tɛu31"	"tou443"	"tɛu41/tʰu453"	"ɗɛu31"	
"土"	"遇合一上姥透"	"tʰɛu22"	"tʰou451"	"tʰɛu22/tʰu41"	"tʰɛu31"	
"兔"	"遇合一去暮透"	"tʰɛu44"	"tʰu451"	"tʰɛu21"	"tʰɛu44"	
"涂"	"遇合一平模定"	"tʰu22"	"tʰou24"	"tʰu22"	"tʰu22"	
"图"	"遇合一平模定"	"tʰu22"	"——"	"tʰu22"	"tʰu22"	
"杜"	"遇合一上姥定"	"tu42"	"tou443"	"tʰu453"	"ɗu42"	
"肚肠～"	"遇合一上姥定"	"tɛu31"	"tou443"	"tʰu453"	"ɗɛu42"	
"度"	"遇合一去暮定"	"tɔk2"	"kue31"	"tu41"	"ɗu42"	
"炉"	"遇合一平模平"	"lɛu22"	"lou24"	"lɛu22"	"lɛu22"	
"奴"	"遇合一平模泥"	"nɛu22"	"nou24"	"nɛu22"	"——"	
"卤"	"遇合一上姥来"	"——"	"iap5"	"lɛu453"	"——"	
"路"	"遇合一去暮来"	"lɛu33"	"lou443"	"lɛu24/lu453"	"lɛu33"	
"露"	"遇合一去暮来"	"lɛu44"	"lou443"	"lɛu24"	"lɛu22"	
"租"	"遇合一平模精"	"ʦɛu33"	"ʦou45"	"ʦɛu24/ʦu453"	"ʦɛu33"	
"祖"	"遇合一上姥精"	"ʦɛu31"	"ʦu451"	"ʦɛu41"	"ʦɛu31"	
"做"	"遇合一去暮清"	"ʦɔ53"	"ʦo31"	"ʦo453/ʦok5"	"tɔ453"	
"粗"	"遇合一平模清"	"tsʰɛu33"	"tsʰou45"	"tsʰɛu24"	"sɛu33/su33"	
"醋"	"遇合一去暮清"	"tsʰɛu44"	"tsʰu31"	"tsʰɛu21/tsʰu453"	"sɛu44"	
"错"	"遇合一去暮清"	"tsʰɔ44"	"tsʰo31"	"tsʰo21/tsʰu453"	"sɔ44"	
"苏"	"遇合一平模心"	"ɬu33"	"sou45"	"sɛu24/su24"	"ɬu33"	
"姑"	"遇合一平模见"	"ku33/kɛu33"	"kou45"	"kɛu24"	"kɛu33/ku453"	
"箍"	"遇合一平模见"	"kʰɛu33"	"kʰou45"	"kʰɛu24/ku24"	"kʰu33"	
"鼓"	"遇合一上姥见"	"ku31"	"kou451"	"kɛu41"	"kɛu31"	
"枯"	"遇合一平模溪"	"ɬem53"	"ɓau451"	"kʰu24"	"kʰu453"	
"苦"	"遇合一上姥溪"	"kʰɛu31"	"kou451"	"kʰɛu41"	"kʰɛu31/fu31"	
"裤"	"遇合一去墓溪"	"kʰɛu44"	"kʰou31"	"kʰɛu21"	"kʰɛu44"	
"吴"	"遇合一平模疑"	"kɛu22"	"ŋou24"	"ŋɛu22"	"kʰɛu22"	
"五"	"遇合一上姥疑"	"ŋɛu42"	"ŋou443"	"ŋɛu41"	"ŋɛu42"	
"虎"	"遇合一上姥晓"	"hɛu31"	"hou451"	"hɛu41"	"hɛu31"	
"胡"	"遇合一平模匣"	"hu22"	"ou24"	"hu22"	"fu22"	
"户"	"遇合一上姥匣"	"hɛu42"	"ou24"	"hɛu33"	"hɛu42"	
"乌"	"遇合一平模影"	"u33"	"ou45"	"ɛu24"	"ɛu33"	
"女"	"遇合三上语泥"	"ni31"	"ly451"	"ni41"	"ni31"	
"庐"	"遇合三平鱼来"	"lɛu22"	"lou24"	"lɛu22"	"lu22"	
"吕"	"遇合三上语来"	"li31"	"ly451"	"lu41"	"ly31/loi31"	
"虑"	"遇合三去御来"	"li42"	"ly443"	"li41"	"ly42"	
"徐"	"遇合三平鱼邪"	"tsʰu22"	"ti24"	"tsʰi22/tsʰa22"	"sy22"	
"猪"	"遇合三平鱼知"	"tu33"	"ti45"	"tu24"	"ɗy33"	
"除"	"遇合三平鱼澄"	"tsʰu22"	"ti24"	"tsʰi22"	"sy22"	
"阻"	"遇合三去语庄"	"ʦɔ31"	"ʦo451"	"ʦo41"	"tɔ31"	
"箸"	"遇合三去御澄"	"tu33"	"ti443"	"tu24"	"ɗy33"	
"初"	"遇合三平鱼初"	"tsʰɔ33"	"tsʰei45"	"tsʰo24"	"sɔ33/sɛi33"	
"锄"	"遇合三平鱼崇"	"——"	"tsʰo31"	"tʰu22"	"tʰu22"	
"助"	"遇合三去御崇"	"tɔ42"	"ʦo443"	"ʦu33"	"tɔ42"	
"梳"	"遇合三平鱼生"	"ɬɔi33"	"sɐi45"	"soi24"	"ɬɛi33"	
"煮"	"遇合三上语章"	"ʦu31"	"ʦi451"	"ʦu41"	"ʦy31"	
"书"	"遇合三平鱼书"	"ʦu33"	"ʦie451"	"ʦu24/si24"	"ʦy33"	
"鼠"	"遇合三上语书"	"tsʰu31"	"tsʰi451"	"tsʰu41/si41"	"sy31"	
"薯"	"遇合三去御禅"	"——"	"sy451"	"ʦu22/si22"	"ʦy22"	
"车～马炮"	"遇合三平鱼见"	"ku33"	"ky45"	"ku24/ki24"	"ky33"	
"锯"	"遇合三去御见"	"ku44"	"ku31"	"ku21"	"ky44"	
"去"	"遇合三去御溪"	"kʰu44"	"kʰi31"	"kʰu21/kʰi453"	"kʰy44/kʰu44"	
"鱼"	"遇合三平鱼疑"	"hu22"	"hi24"	"hu22/ji22"	"hy22"	
"语"	"遇合三上语疑"	"ji31"	"ny451"	"ŋi41"	"ȵy31"	
"墟"	"遇合三平鱼溪"	"hu33"	"hi45"	"tsʰi453"	"hy33"	
"虚"	"遇合三平鱼晓"	"hi33"	"hy45"	"hi24"	"hy33"	
"许"	"遇合三上语晓"	"hi31"	"kʰi451"	"kʰɛu41/hi41"	"hy31"	
"余"	"遇合三平鱼以"	"ji22"	"——"	"ji22"	"jy22"	
"夫"	"遇合三平虞非"	"hu33"	"hou45"	"hu24"	"fu33/hu33"	
"斧"	"遇合三上虞非"	"pɛu31"	"pʰu451"	"pɛu41/pʰu41"	"ɓɛu31"	
"符"	"遇合三平虞奉"	"hu22"	"hu22"	"hu22"	"ɓɛu22/fu22"	
"扶"	"遇合三平虞奉"	"hu31"	"hua443"	"kʰaŋ24/hu22"	"fu22"	
"辅"	"遇合三上虞奉"	"hu42"	"hu443"	"hu453"	"fu31"	
"舞"	"遇合三上虞微"	"mu31"	"ɓu451"	"ɓu41/mɛu41"	"mɛu42/mu31"	
"雾"	"遇合三去遇微"	"ɓɛu22"	"ɓu443"	"pɛu22/mu453"	"mɛu33"	
"娶"	"遇合三上虞清"	"tɔ31"	"lo451"	"hŋɛ24/tsʰi41"	"——"	
"须胡～"	"遇合三平虞心"	"tsʰiu33"	"tsʰiu45"	"tsʰiu24"	"siu33"	
"蛛"	"遇合三平虞知"	"——"	"——"	"ʦu24"	"——"	
"厨"	"遇合三平虞澄"	"tu22"	"tou22"	"tu22/si22"	"ɗy22"	
"柱"	"遇合三上麌澄"	"tʰiau42"	"kʰiau443"	"tʰiau33"	"kʰiau42"	
"住"	"遇合三去遇澄"	"tiu33"	"he451"	"kʰia33/ʦi41"	"ɗiu33"	
"数～字"	"遇合三去遇生"	"ɬiau44"	"siau31"	"su453"	"ɬiau44"	
"朱"	"遇合三平虞章"	"ʦu33"	"ti45"	"ʦu24"	"ʦy33"	
"主"	"遇合三上麌章"	"ʦu31"	"ʦou451"	"ʦu41/ʦi41"	"ʦy31"	
"注"	"遇合三去遇章"	"ʦu44"	"ʦy31"	"ʦu21"	"ʦy44"	
"输"	"遇合三平虞书"	"ɬu33"	"su45"	"si24/su24"	"ɬy33"	
"竖"	"遇合三上麌禅"	"tik2"	"toŋ443"	"kʰia24/si453"	"kia42"	
"戍"	"遇合三去遇书"	"——"	"——"	"si453"	"ɬy44"	
"树"	"遇合三去遇禅"	"tsʰiu33"	"tsʰiu443"	"tsʰiu24"	"siu33"	
"句"	"遇合三去遇见"	"ku44"	"ky31"	"ku21/ki453"	"jy44"	
"区"	"遇合三平虞溪"	"kʰi33"	"kʰy45"	"kʰi24"	"kʰy33"	
"具"	"遇合三去遇群"	"ki42"	"ky443"	"ki33"	"ky42"	
"雨"	"遇合三去遇云"	"hɛu42"	"hou443"	"hɛu33/ji453"	"hɛu42"	
"芋"	"遇合三去遇云"	"ɛu33"	"ou443"	"ɛu24"	"ɛu33"	
"戴"	"蟹开一去代端"	"ti44"	"tua31"	"tai21/ti21"	"ɗi44/ɗai44"	
"台"	"蟹开一平咍定"	"tʰai22"	"to31"	"tʰai22"	"tʰɔi22"	
"待"	"蟹开一上海定"	"tai42"	"tai443"	"tai33"	"ɗai42"	
"代"	"蟹开一去代定"	"tai42"	"te443"	"tai21"	"ɗɛ42"	
"袋"	"蟹开一去代定"	"tia33"	"te443"	"tɛ24"	"ɗɛ33"	
"来"	"蟹开一平咍来"	"lai22"	"lai24"	"lai22"	"lai22"	
"灾"	"蟹开一平咍精"	"ʦai33"	"ʦai45"	"ʦai24"	"tɔi33"	
"再"	"蟹开一去代精"	"ʦai44"	"ʦai31"	"ʦai453"	"tai44"	
"在"	"蟹开一上海从"	"ʦai42"	"ti443"	"ʦai453"	"ɗy42/ɗau31"	
"鳃"	"蟹开一平咍心"	"tsʰi33"	"soi45"	"su24"	"ɬɔi453"	
"菜"	"蟹开一去代清"	"tsʰai44"	"tsʰai31"	"tsʰai21"	"sai44"	
"财"	"蟹开一平咍从"	"ʦai22"	"ʦai24"	"tsʰai22"	"tai22"	
"该"	"蟹开一平咍见"	"kai33"	"kai45"	"koi24"	"kɔi33"	
"改"	"蟹开一上海见"	"kɔi31"	"kai451"	"koi41"	"kɔi31"	
"开"	"蟹开一平咍溪"	"kʰui33"	"kʰui45"	"kʰui24/kʰai24"	"kʰui33"	
"碍"	"蟹开一去代疑"	"ai42"	"ŋai443"	"ŋai24"	"——"	
"海"	"蟹开一上海晓"	"hai31"	"hai451"	"hai41"	"hai31"	
"哀"	"蟹开一平台影"	"ai33"	"ai45"	"ai24"	"ɛi453"	
"爱"	"蟹开一去代影"	"ai44"	"kye451"	"ai21"	"ai44"	
"贝"	"蟹开一去泰帮"	"pui44"	"pye31"	"puɛ21/pui453"	"ɓoi44"	
"带"	"蟹开一去泰端"	"tua44"	"tua31"	"tua21/tai21"	"ɗu44"	
"太"	"蟹开一去泰透"	"tʰai44"	"tʰai31"	"tʰai21"	"ʦai44"	
"蔡"	"蟹开一去泰清"	"tsʰua44"	"tsʰai31"	"tsʰua21/ʦai21"	"sai44"	
"亥"	"蟹开一平咍见"	"hai42"	"——"	"hai33"	"hai42"	
"盖"	"蟹开一去泰见"	"kua44"	"kua31"	"ka453/kai453"	"ku44/kʰɔi44"	
"害"	"蟹开一去泰匣"	"hai42"	"hai31"	"hai453"	"hai42"	
"拜"	"蟹开二去怪帮"	"pai44"	"pai31"	"pai21"	"ɓai44"	
"排"	"蟹开二平皆并"	"pai22"	"pai24"	"pai22"	"pʰai22"	
"埋"	"蟹开二平皆明"	"mai22/iaŋ44"	"ɐm45"	"mai22"	"mai22"	
"阶"	"蟹开二平皆见"	"kai33"	"kai45"	"kai24/tai33"	"kai33"	
"界"	"蟹开二去怪见"	"kai44"	"kai31"	"kai21"	"kai44"	
"械"	"蟹开二去怪匣"	"hai22"	"ai24"	"hai453"	"hai33"	
"挨～着"	"蟹开二平皆影"	"pɔk2"	"na45"	"ŋai21"	"ɛi33"	
"摆"	"蟹开二上蟹帮"	"pai31"	"pai451"	"pai41"	"ɓai31"	
"派"	"蟹开二去怪滂"	"pʰai44"	"pʰai31"	"pʰai41"	"pʰai44"	
"牌"	"蟹开二平佳并"	"pai22"	"pai24"	"pai22"	"pʰɛ453"	
"稗"	"蟹开二去卦并"	"——"	"pɐi31"	"pʰoi24"	"ɓɛi44"	
"买"	"蟹开二上蟹明"	"ɓɔi31"	"ɓei451"	"ɓoi41"	"ɓɛi33/pʰɛi33"	
"卖"	"蟹开二去卦明"	"wɔi42"	"ɓei443"	"ɓoi24"	"ɓɛi33/pʰɛi33"	
"奶"	"蟹开二上蟹泥"	"ma31"	"nai451"	"nai41"	"nɛn33"	
"债"	"蟹开二去卦庄"	"tsia44"	"ʦai31"	"ʦɛ21"	"ʦɛ44"	
"筛"	"蟹开二平佳生"	"ɬɔi33"	"tʰai45"	"tʰai24"	"tʰai33"	
"晒"	"蟹开二去卦生"	"pʰak2"	"pʰak2"	"pak2"	"pʰak2"	
"街"	"蟹开二平佳见"	"kɔi33"	"kɐi45"	"koi24"	"kɛi33"	
"鞋"	"蟹开二平佳匣"	"ɔi22"	"ai24"	"oi22"	"ai22"	
"蟹"	"蟹开二上蟹匣"	"hɔi42"	"he443"	"hoi33"	"hɛi42"	
"矮"	"蟹开二上蟹影"	"ɔi31"	"ke31"	"oi41"	"ɛi31"	
"败"	"蟹开二去夬并"	"pai42"	"pai443"	"pai21"	"ɓai42"	
"毙"	"蟹开三去祭并"	"pi42"	"——"	"pi453"	"ɓi42"	
"例"	"蟹开三去祭来"	"lɔi33"	"——"	"loi24"	"lɛi33"	
"祭"	"蟹开三去祭精"	"ʦi44"	"——"	"ʦoi21/ʦi453"	"tɛi44"	
"滞"	"蟹开三去祭澄"	"——"	"——"	"niŋ33"	"——"	
"制"	"蟹开三去祭章"	"ʦɔi44"	"ʦai31"	"ʦi21"	"tɛi44"	
"世"	"蟹开三去祭书"	"ɬi44"	"sai31"	"si21"	"ɬi44/ɬɛi44"	
"艺"	"蟹开三去祭疑"	"kai42"	"ŋɐi443"	"ŋi453"	"ŋɛi42"	
"闭"	"蟹开四去霁帮"	"pi44"	"ʦua31"	"pik5"	"ɓɛi44"	
"批"	"蟹开四平齐滂"	"pʰɔi33"	"pʰɐi45"	"pʰoi24"	"pʰɛi33"	
"米"	"蟹开四上齐明"	"wi31"	"ɓi451"	"ɓi41/mai453"	"ɓi31/pʰi31"	
"低"	"蟹开四上荠端"	"tɔi33"	"ke443"	"toi24"	"ɗɛi33"	
"堤"	"蟹开四平齐端"	"ti33"	"——"	"tʰi22"	"tʰɛi22"	
"梯"	"蟹开四平齐透"	"tʰui33"	"tʰui45"	"tʰoi24"	"tʰɛi33"	
"体"	"蟹开四上荠透"	"tʰi31"	"tʰɐi451"	"tʰi41"	"tʰɛi31"	
"替"	"蟹开四去霁透"	"tʰɔi44"	"tʰɐi443"	"tʰoi21/tiɛk5"	"tʰɛi44"	
"题"	"蟹开四平齐定"	"tɔi22"	"tʰɐi24"	"toi22/tʰi22"	"ɗɛi22/tʰɛi22"	
"提"	"蟹开四平齐定"	"tʰi22"	"tʰɐi22"	"tʰi22/pui453"	"tʰɛi22"	
"弟"	"蟹开四上荠定"	"ti53"	"ti443"	"ti33"	"ɗi42/ɗi453"	
"第"	"蟹开四去霁定"	"tɔi33"	"——"	"toi33"	"ɗɛi33"	
"泥"	"蟹开四平齐泥"	"tʰɛu22"	"tʰou24"	"ni22"	"tʰɛu22"	
"犁"	"蟹开四平齐来"	"lɔi22"	"lai24"	"loi22/li22"	"lɛi22"	
"礼"	"蟹开四上荠来"	"lɔi31"	"lɐi451"	"loi41/li41"	"li31/lɛi31"	
"妻"	"蟹开四平齐清"	"mai31"	"wou451"	"tsʰi24"	"——"	
"齐"	"蟹开四平齐从"	"ʦɔi22"	"tsʰɐi24"	"ʦoi22"	"tɛi22"	
"西"	"蟹开四平齐心"	"ɬai33"	"sɐi45"	"sai24"	"ɬai33"	
